,x,Q2,y,sigma_d measured (b/GeV2),Elab,*W2,*nu,*E',*epsilon,obs,target,curent,lepton beam,units,%dE,%dE1_c,%dE2_c,%dE3_c,%dE4_c,%dEp,%dEp1_c,%dEp2_c,%dEp3_c,%dEp4_c,%dAC_c,%dRC_c,%dRE_c,R,F2d,dFstat,dFsyst,%*norm_c,*epsilon.1,value,%*dST_u
25,0.0694,2.48,0.219,1.747e-07,90,34.1347143170029,19.0484383352894,70.9515616647106,0.970022513779224,sig_r,d,mu,nc,1,1.2,1.2,0.0,0.0,0.0,-0.6,-0.6,0.0,0.0,0.0,0.5,0.4,0.1,0.113,0.3348,0.0044,0.0051,2.5,0.970022513779224,0.333780574114862,1.3142174432497
26,0.0696,3.45,0.303,8.975e-08,90,46.9988095172414,26.4226895081244,63.5773104918756,0.937931653619736,sig_r,d,mu,nc,1,1.0,1.0,0.0,0.0,0.0,-0.4,-0.4,0.0,0.0,0.0,0.2,0.3,0.1,0.113,0.3608,0.005,0.0039,2.5,0.937931653619736,0.358525706065764,1.38580931263858
27,0.0702,4.42,0.382,5.027e-08,90,59.422806962963,33.5623469951828,56.4376530048172,0.894031244446528,sig_r,d,mu,nc,1,0.8,0.8,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,0.4,0.5,0.1,0.113,0.3579,0.007,0.0039,2.5,0.894031244446528,0.3540487796116,1.95585359038838
28,0.0703,5.38,0.463,3.236e-08,90,72.0290047396871,40.7937957034579,49.2062042965421,0.833139587033076,sig_r,d,mu,nc,1,0.7,0.7,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.5,0.8,0.2,0.113,0.3654,0.0122,0.0043,2.5,0.833139587033076,0.359209032591599,3.33880678708265
29,0.0711,6.38,0.536,2.146e-08,90,84.232614745429,47.8319673483097,42.1680326516903,0.763028654279462,sig_r,d,mu,nc,1,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1,0.3,0.113,0.3641,0.0253,0.0049,2.5,0.763028654279462,0.355339725258571,6.94864048338369
30,0.0902,1.38,0.095,4.694e-07,90,14.7991788115299,8.15529574175369,81.8447042582463,0.994945127323657,sig_r,d,mu,nc,1,2.5,2.5,0.0,0.0,0.0,-1.8,-1.8,0.0,0.0,0.0,4.4,0.4,0.1,0.096,0.3267,0.0195,0.0176,2.5,0.994945127323657,0.326555084441167,5.96877869605142
31,0.0899,1.76,0.121,2.777e-07,90,18.6971521201335,10.4356653092396,79.5643346907604,0.991618509687549,sig_r,d,mu,nc,1,2.0,2.0,0.0,0.0,0.0,-1.4,-1.4,0.0,0.0,0.0,2.6,0.4,0.1,0.096,0.3222,0.0096,0.0116,2.5,0.991618509687549,0.32196315197362,2.97951582867784
32,0.0897,2.47,0.169,1.414e-07,90,25.946075884058,14.6781619851055,75.3218380148945,0.982926770976509,sig_r,d,mu,nc,1,1.5,1.5,0.0,0.0,0.0,-0.9,-0.9,0.0,0.0,0.0,0.9,0.4,0.1,0.096,0.3358,0.0057,0.0065,2.5,0.982926770976509,0.335297434692777,1.697438951757
33,0.0897,3.46,0.236,6.915e-08,90,35.9928651817168,20.5613119305527,69.4386880694473,0.964566689163479,sig_r,d,mu,nc,1,1.1,1.1,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.2,0.3,0.1,0.096,0.3416,0.0056,0.0043,2.5,0.964566689163479,0.340539262057093,1.63934426229508
34,0.09,4.44,0.299,4.154e-08,90,45.7731773333333,26.2970859985785,63.7029140014215,0.939699234966443,sig_r,d,mu,nc,1,0.9,0.9,0.0,0.0,0.0,-0.3,-0.3,0.0,0.0,0.0,0.5,0.3,0.1,0.096,0.3577,0.0075,0.004,2.5,0.939699234966443,0.355810166830731,2.09672910259994
35,0.0903,5.44,0.366,2.77e-08,90,55.6834763366556,32.1128104139955,57.8871895860045,0.903994586076049,sig_r,d,mu,nc,1,0.8,0.8,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,0.7,0.4,0.1,0.096,0.3801,0.0117,0.0046,2.5,0.903994586076049,0.376902858311022,3.07813733228098
36,0.0897,6.5,0.436,1.708e-08,90,66.843612115942,38.6267420660672,51.3732579339328,0.855215116019295,sig_r,d,mu,nc,1,0.7,0.7,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.8,0.6,0.2,0.096,0.3527,0.0173,0.0045,2.5,0.855215116019295,0.348226540020798,4.90501842925999
37,0.109,1.78,0.101,2.283e-07,90,15.4301192293578,8.7048375423016,81.2951624576984,0.994237300001019,sig_r,d,mu,nc,1,2.3,2.3,0.0,0.0,0.0,-1.7,-1.7,0.0,0.0,0.0,3.2,0.4,0.1,0.043,0.322,0.0117,0.0141,2.5,0.994237300001019,0.321923353690617,3.63354037267081
38,0.1096,2.49,0.14,1.162e-07,90,21.1088221021898,12.1103294787792,77.8896705212208,0.988557341556426,sig_r,d,mu,nc,1,1.7,1.7,0.0,0.0,0.0,-1.1,-1.1,0.0,0.0,0.0,1.4,0.4,0.1,0.043,0.3346,0.0069,0.0083,2.5,0.988557341556426,0.334441952804821,2.06216377764495
39,0.1098,3.48,0.193,5.685e-08,90,29.0938330710383,16.8944504643061,73.1055495356939,0.977184707717106,sig_r,d,mu,nc,1,1.3,1.3,0.0,0.0,0.0,-0.7,-0.7,0.0,0.0,0.0,0.3,0.3,0.1,0.043,0.3353,0.0065,0.0054,2.5,0.977184707717106,0.334984410077828,1.93856248135998
40,0.11,4.45,0.246,3.308e-08,90,36.8843894545454,21.5642566388835,68.4357433611165,0.961074869291072,sig_r,d,mu,nc,1,1.1,1.1,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.4,0.3,0.1,0.043,0.336,0.0077,0.0042,2.5,0.961074869291072,0.335460538123404,2.29166666666667
41,0.1105,5.44,0.299,2.084e-08,90,44.6706132307692,26.2424143021158,63.7575856978842,0.939618969787968,sig_r,d,mu,nc,1,0.9,0.9,0.0,0.0,0.0,-0.3,-0.3,0.0,0.0,0.0,0.7,0.2,0.1,0.043,0.3314,0.0105,0.0042,2.5,0.939618969787968,0.33057472450226,3.16837658418829
42,0.1096,6.6,0.363,1.38e-08,90,54.4988221021898,32.099668497969,57.900331502031,0.905713241868964,sig_r,d,mu,nc,1,0.8,0.8,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,0.9,0.3,0.1,0.043,0.3379,0.0144,0.0043,2.5,0.905713241868964,0.336586245527496,4.26161586268127
43,0.1282,1.86,0.09,1.926e-07,90,13.5284243432137,7.73378483113738,82.2662151688626,0.995443845240654,sig_r,d,mu,nc,1,2.7,2.7,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,3.5,0.4,0.1,0.296,0.3479,0.0198,0.0168,2.5,0.995443845240654,0.347537008778398,5.69129060074734
44,0.1383,2.49,0.112,9.229e-08,90,16.3941823947939,9.59719530639335,80.4028046936067,0.992815215572313,sig_r,d,mu,nc,1,2.0,2.0,0.0,0.0,0.0,-1.4,-1.4,0.0,0.0,0.0,2.0,0.4,0.1,0.271,0.3298,0.006,0.0105,2.5,0.992815215572313,0.329293529132868,1.81928441479685
45,0.1396,3.48,0.154,4.525e-08,90,22.3282107621776,13.2880419841032,76.7119580158968,0.985928552933968,sig_r,d,mu,nc,1,1.5,1.5,0.0,0.0,0.0,-0.9,-0.9,0.0,0.0,0.0,0.7,0.3,0.1,0.233,0.3328,0.0057,0.0064,2.5,0.985928552933968,0.331913682835441,1.71274038461538
46,0.1394,4.45,0.196,2.633e-08,90,28.352369107604,17.0162713793198,72.9837286206802,0.976337157354124,sig_r,d,mu,nc,1,1.2,1.2,0.0,0.0,0.0,-0.6,-0.6,0.0,0.0,0.0,0.3,0.3,0.1,0.201,0.3272,0.0062,0.0047,2.5,0.976337157354124,0.325902866335248,1.89486552567237
47,0.1398,5.46,0.239,1.749e-08,90,34.4756379914163,20.8186535135481,69.1813464864519,0.96340828770451,sig_r,d,mu,nc,1,1.1,1.1,0.0,0.0,0.0,-0.4,-0.4,0.0,0.0,0.0,0.5,0.3,0.1,0.176,0.3411,0.0085,0.0043,2.5,0.96340828770451,0.339230586363585,2.49193784813838
48,0.1407,6.69,0.289,1.092e-08,90,41.7378184136461,25.3454021394702,64.6545978605298,0.943990289082813,sig_r,d,mu,nc,1,0.9,0.9,0.0,0.0,0.0,-0.3,-0.3,0.0,0.0,0.0,0.8,0.2,0.1,0.154,0.3363,0.0097,0.0042,2.5,0.943990289082813,0.333785077135628,2.88432946773714
49,0.1737,2.67,0.095,6.374e-08,90,13.5811738791019,8.19367264344451,81.8063273565555,0.994857804527359,sig_r,d,mu,nc,1,2.2,2.2,0.0,0.0,0.0,-1.5,-1.5,0.0,0.0,0.0,1.7,0.4,0.1,0.247,0.3277,0.0091,0.0103,2.5,0.994857804527359,0.327365181178899,2.77693011901129
