,X,Q2,w2,value,obs,target,lepton beam,current,stat_u,syst_u,*norm_c,%cor1_c,%cor2_c,%cor3_c,%cor4_c,%cor5_c,*Elab,*nu,*E',*sin2(theta/2),*epsilon
31,0.275,21.5,57.56166218181817,0.29911,F2,p,mu,NC,0.0056,0,0.0089733,-0.3,0.0,-0.1,0.0,1.0,100,41.674743167280475,58.325256832719525,0.0009215561648388168,0.9981358318822736
32,0.275,24.5,65.47075309090908,0.28068,F2,p,mu,NC,0.005,0,0.0084204,-0.3,0.0,0.0,0.0,0.0,100,47.4898236092266,52.5101763907734,0.0011664405684754522,0.9976445830359376
33,0.275,28.0,74.6980258181818,0.29223,F2,p,mu,NC,0.0051,0,0.0087669,-0.3,0.0,0.4,0.0,0.0,100,54.27408412483039,45.72591587516961,0.001530860534124629,0.9969139899356096
34,0.275,32.5,86.56166218181818,0.28428,F2,p,mu,NC,0.0048,0,0.008528399999999998,-0.2,0.1,0.3,0.0,0.0,100,62.99670478774956,37.00329521225044,0.002195750392875851,0.9955823946519506
35,0.275,37.5,99.74348036363634,0.27224,F2,p,mu,NC,0.0059,0,0.0081672,-0.2,0.1,0.2,0.0,0.0,100,72.68850552432642,27.311494475673584,0.003432620652945351,0.9931100196796459
36,0.35,11.75,22.701272571428575,0.24021,F2,p,mu,NC,0.0043,0,0.0072063,-0.2,0.2,-1.2,0.0,1.0,100,17.895217788607983,82.10478221139202,0.00035777453162678534,0.999258481228313
37,0.35,13.25,25.48698685714286,0.23373,F2,p,mu,NC,0.0043,0,0.0070119,-0.2,0.2,-0.9,0.0,1.0,100,20.179713676515384,79.82028632348462,0.00041499475290975,0.9991433832302474
38,0.35,15.0,28.73698685714286,0.23122,F2,p,mu,NC,0.0038,0,0.0069366,-0.2,0.2,-0.7,0.0,1.0,100,22.84495887907402,77.15504112092597,0.0004860343466245559,0.9990005062386457
39,0.35,17.0,32.451272571428575,0.23727,F2,p,mu,NC,0.0041,0,0.0071181,-0.2,0.2,-0.5,0.0,1.0,100,25.89095339628389,74.10904660371611,0.0005734792437320182,0.9988246626238614
40,0.35,19.0,36.16555828571429,0.223,F2,p,mu,NC,0.0042,0,0.00669,-0.2,0.2,-0.4,0.0,1.0,100,28.93694791349376,71.06305208650625,0.0006684204886412344,0.9986337797991889
41,0.35,21.5,40.80841542857143,0.23275,F2,p,mu,NC,0.0039,0,0.0069825,-0.2,0.2,-0.2,0.0,1.0,100,32.744441060006096,67.2555589399939,0.0007991904438405797,0.9983709221226966
42,0.35,24.5,46.379844,0.22389,F2,p,mu,NC,0.0028,0,0.0067167,-0.2,0.2,-0.3,0.0,0.4,100,37.3134328358209,62.6865671641791,0.0009770833333333333,0.9980134554283696
43,0.35,28.0,52.879844,0.22548,F2,p,mu,NC,0.0035,0,0.0067644,-0.2,0.2,-0.4,0.0,0.0,100,42.64392324093817,57.35607675906183,0.0012204460966542753,0.997524638807144
44,0.35,32.5,61.23698685714286,0.22042,F2,p,mu,NC,0.0032,0,0.0066126,-0.2,0.2,0.2,0.0,0.0,100,49.49741090466038,50.50258909533962,0.001608828407720145,0.9967450354839571
45,0.35,37.5,70.52270114285716,0.21929,F2,p,mu,NC,0.0035,0,0.0065787,-0.2,0.2,-0.1,0.0,0.0,100,57.112397197685056,42.887602802314944,0.00218594637784091,0.9955877120139581
46,0.35,43.0,80.73698685714285,0.21644,F2,p,mu,NC,0.0037,0,0.006493199999999999,-0.2,0.2,0.0,0.0,0.0,100,65.48888212001219,34.51111787998781,0.003114938217122684,0.9937275919668902
47,0.45,11.75,15.240955111111111,0.16027,F2,p,mu,NC,0.0041,0,0.0048081,0.4,1.2,0.2,0.0,1.0,100,13.918502724472875,86.08149727552713,0.000341246387780377,0.9992763888222203
48,0.45,13.25,17.07428844444444,0.15606,F2,p,mu,NC,0.0043,0,0.0046818,0.3,1.1,-0.5,0.0,1.0,100,15.695332859511964,84.30466714048804,0.00039292012083743153,0.9991722522387869
49,0.45,15.0,19.213177333333334,0.15503,F2,p,mu,NC,0.0038,0,0.0046508999999999995,0.3,1.0,-0.6,0.0,1.0,100,17.768301350390903,82.2316986496091,0.00045602852203975797,0.9990450865356507
50,0.45,17.0,21.657621777777777,0.15335,F2,p,mu,NC,0.004,0,0.0046004999999999996,0.2,0.9,-0.1,0.0,1.0,100,20.13740819710969,79.86259180289031,0.0005321640462770692,0.9988916924204221
51,0.45,19.0,24.10206622222222,0.15573,F2,p,mu,NC,0.0043,0,0.0046719,0.1,0.8,0.4,0.0,1.0,100,22.50651504382848,77.49348495617153,0.0006129547538978905,0.9987289452278746
52,0.45,21.5,27.157621777777777,0.14488,F2,p,mu,NC,0.0036,0,0.0043464,0.1,0.8,-0.4,0.0,1.0,100,25.46789860222696,74.53210139777303,0.0007211657660521298,0.9985110036249987
53,0.45,24.5,30.82428844444444,0.14465,F2,p,mu,NC,0.0026,0,0.0043395,0.0,0.7,-0.2,0.0,0.4,100,29.021558872305143,70.97844112769485,0.0008629380841121496,0.9982255406358491
54,0.45,28.0,35.10206622222222,0.14024,F2,p,mu,NC,0.0031,0,0.0042072,0.0,0.6,-0.3,0.0,0.0,100,33.16749585406302,66.83250414593698,0.0010473945409429281,0.9978542548750206
55,0.45,32.5,40.60206622222221,0.1437,F2,p,mu,NC,0.0028,0,0.004311,-0.1,0.6,-0.4,0.0,0.0,100,38.49798625918029,61.50201374081971,0.0013210949537750384,0.9973035894850365
56,0.45,37.5,46.71317733333333,0.14557,F2,p,mu,NC,0.0031,0,0.0043671,-0.1,0.5,-0.2,0.0,0.0,100,44.42075337597726,55.57924662402274,0.0016867806905370847,0.9965683338154029
57,0.45,43.0,53.435399555555556,0.14129,F2,p,mu,NC,0.0031,0,0.0042387,-0.1,0.5,-0.4,0.0,0.0,100,50.93579720445392,49.06420279554608,0.002191006760019314,0.9955554207378926
58,0.45,49.5,61.379844,0.13463,F2,p,mu,NC,0.0031,0,0.0040389,-0.1,0.5,-0.2,0.0,0.0,100,58.63539445628998,41.36460554371002,0.002991688144329897,0.9939491020231429
59,0.45,57.0,70.54651066666665,0.13718,F2,p,mu,NC,0.0036,0,0.0041154,-0.2,0.4,-0.2,0.0,0.0,100,67.51954513148543,32.48045486851457,0.004387253829321662,0.9911555573872028
60,0.55,11.75,10.493480363636364,0.09289,F2,p,mu,NC,0.0032,0,0.0027867,1.6,3.1,2.1,0.0,1.0,100,11.387865865477805,88.6121341345222,0.0003315008749863283,0.9992772098605606
61,0.55,13.25,11.72075309090909,0.08787,F2,p,mu,NC,0.0033,0,0.0026361,1.4,2.8,1.5,0.0,1.0,100,12.841635975964333,87.15836402403566,0.0003800553208050706,0.9991791780629073
62,0.55,15.0,13.15257127272727,0.09002,F2,p,mu,NC,0.0031,0,0.0027006,1.2,2.5,1.2,0.0,1.0,100,14.537701104865285,85.46229889513472,0.0004387899750510319,0.9990606053255415
63,0.55,17.0,14.788934909090905,0.08473,F2,p,mu,NC,0.0031,0,0.0025418999999999997,1.0,2.3,0.8,0.0,1.0,100,16.476061252180653,83.52393874781934,0.0005088361568809469,0.9989192156028515
64,0.55,19.0,16.425298545454538,0.08291,F2,p,mu,NC,0.0032,0,0.0024873,0.8,2.1,0.6,0.0,1.0,100,18.414421399496028,81.58557860050396,0.0005822107388928487,0.998771129099001
65,0.55,21.5,18.470753090909085,0.08285,F2,p,mu,NC,0.0029,0,0.0024855,0.7,1.8,0.3,0.0,1.0,100,20.837371583640238,79.16262841635977,0.0006789820029382957,0.998575856689482
66,0.55,24.5,20.925298545454538,0.0852,F2,p,mu,NC,0.0021,0,0.0025559999999999997,0.5,1.7,0.6,0.0,0.4,100,23.7449118046133,76.2550881953867,0.0008032250889679715,0.998325206054168
67,0.55,28.0,23.788934909090905,0.08108,F2,p,mu,NC,0.002,0,0.0024324,0.4,1.5,0.8,0.0,0.4,100,27.137042062415194,72.86295793758481,0.000960707635009311,0.9980075886870381
68,0.55,32.5,27.470753090909085,0.08528,F2,p,mu,NC,0.0024,0,0.0025583999999999997,0.3,1.3,0.5,0.0,0.0,100,31.49835239387478,68.50164760612522,0.00118610285795133,0.9975531796191909
69,0.55,37.5,31.56166218181817,0.08115,F2,p,mu,NC,0.0025,0,0.0024345,0.2,1.2,0.2,0.0,0.0,100,36.34425276216321,63.65574723783679,0.0014727656820950061,0.9969755532944693
70,0.55,43.0,36.06166218181817,0.08024,F2,p,mu,NC,0.0025,0,0.0024072,0.1,1.0,0.0,0.0,0.0,100,41.674743167280475,58.325256832719525,0.0018431123296776335,0.9962298032957484
71,0.55,49.5,41.379843999999984,0.07715,F2,p,mu,NC,0.0025,0,0.0023144999999999997,0.0,0.9,-0.1,0.0,0.0,100,47.97441364605544,52.02558635394456,0.0023786372950819674,0.9951524358694053
72,0.55,57.0,47.516207636363625,0.07418,F2,p,mu,NC,0.0027,0,0.0022253999999999998,0.0,0.9,-0.1,0.0,0.0,100,55.24326419848808,44.75673580151192,0.0031838783022953656,0.9935346641057106
73,0.55,65.5,54.470753090909085,0.07237,F2,p,mu,NC,0.0029,0,0.0021711,-0.1,0.8,-0.2,0.0,0.0,100,63.481294824578406,36.518705175421594,0.0044840034501061575,0.9909282308103047
74,0.65,13.25,8.014459384615384,0.0439,F2,p,mu,NC,0.0019,0,0.001317,3.4,6.0,8.4,0.0,1.0,100,10.86599967196982,89.13400032803018,0.0003716314748366915,0.9991737028835144
75,0.65,15.0,8.956767076923077,0.04265,F2,p,mu,NC,0.0017,0,0.0012795,3.0,5.4,7.1,0.0,1.0,100,12.301131704116779,87.69886829588322,0.00042759958855432954,0.9990605070785343
76,0.65,17.0,10.033690153846152,0.04167,F2,p,mu,NC,0.0018,0,0.0012500999999999999,2.6,4.8,6.3,0.0,1.0,100,13.941282597999017,86.05871740200098,0.0004938488660186774,0.9989265343311838
77,0.65,19.0,11.110613230769228,0.04151,F2,p,mu,NC,0.002,0,0.0012453,2.2,4.4,5.2,0.0,1.0,100,15.581433491881254,84.41856650811874,0.0005626724305420633,0.9987873749713571
78,0.65,21.5,12.456767076923072,0.04012,F2,p,mu,NC,0.0018,0,0.0012036,1.8,3.9,4.4,0.0,1.0,100,17.631622109234048,82.36837789076596,0.0006525562524890481,0.9986056618740539
79,0.65,24.5,14.072151692307692,0.04117,F2,p,mu,NC,0.0012,0,0.0012350999999999998,1.5,3.5,2.8,0.0,0.3,100,20.091848450057405,79.9081515499426,0.0007665050287356322,0.9983753460636591
80,0.65,28.0,15.956767076923072,0.03871,F2,p,mu,NC,0.0012,0,0.0011613,1.3,3.1,2.6,0.0,0.3,100,22.962112514351322,77.03788748564868,0.0009086438152011924,0.9980881272663316
81,0.65,32.5,18.379844,0.03829,F2,p,mu,NC,0.0014,0,0.0011487,1.0,2.7,2.1,0.0,0.0,100,26.652452025586353,73.34754797441364,0.0011077398255813955,0.9976859558878036
82,0.65,37.5,21.072151692307692,0.03666,F2,p,mu,NC,0.0016,0,0.0010998,0.8,2.4,1.5,0.0,0.0,100,30.75282926029195,69.24717073970805,0.0013538459261013738,0.9971890511229118
83,0.65,43.0,24.033690153846145,0.03529,F2,p,mu,NC,0.0017,0,0.0010587,0.6,2.1,1.1,0.0,0.0,100,35.263244218468095,64.73675578153191,0.0016605713199898653,0.9965701020249307
84,0.65,49.5,27.533690153846145,0.03309,F2,p,mu,NC,0.0017,0,0.0009927,0.4,1.9,0.8,0.0,0.0,100,40.59373462358537,59.40626537641463,0.002083113611264495,0.9957180785950569
85,0.65,57.0,31.572151692307692,0.03371,F2,p,mu,NC,0.0018,0,0.0010113,0.3,1.7,0.6,0.0,0.0,100,46.74430047564376,53.25569952435624,0.002675769941484447,0.9945242728384959
86,0.65,65.5,36.149074769230765,0.02989,F2,p,mu,NC,0.0019,0,0.0008967,0.2,1.5,0.5,0.0,0.0,100,53.714941774643265,46.285058225356735,0.0035378587880935506,0.9927903192156676
87,0.65,75.0,41.26445938461539,0.03206,F2,p,mu,NC,0.0022,0,0.0009618,0.1,1.4,0.3,0.0,0.0,100,61.5056585205839,38.4943414794161,0.004870845760545378,0.990115227790605
88,0.75,24.5,9.046510666666663,0.01357,F2,p,mu,NC,0.0006,0,0.0004071,4.0,7.6,8.8,0.0,0.0,100,17.412935323383085,82.58706467661692,0.0007416415662650601,0.9983982445262208
89,0.75,28.0,10.213177333333334,0.01366,F2,p,mu,NC,0.0007,0,0.0004098,3.3,6.7,7.2,0.0,0.0,100,19.900497512437813,80.09950248756219,0.000873913043478261,0.9981304643882288
90,0.75,32.5,11.713177333333334,0.01308,F2,p,mu,NC,0.0007,0,0.0003924,2.7,5.9,6.4,0.0,0.0,100,23.098791755508174,76.90120824449183,0.001056550369685767,0.9977608394799096
91,0.75,37.5,13.379843999999999,0.0117,F2,p,mu,NC,0.0007,0,0.000351,2.2,5.2,5.1,0.0,0.0,100,26.652452025586356,73.34754797441364,0.0012781613372093025,0.9973125251165368
92,0.75,43.0,15.213177333333334,0.01106,F2,p,mu,NC,0.0008,0,0.0003318,1.8,4.6,4.6,0.0,0.0,100,30.561478322672354,69.43852167732764,0.0015481320368474923,0.9967666555880341
93,0.75,49.5,17.379844,0.01083,F2,p,mu,NC,0.0008,0,0.0003249,1.4,4.0,3.7,0.0,0.0,100,35.18123667377399,64.81876332622602,0.0019091694078947367,0.996037125662105
94,0.75,57.0,19.879844,0.01149,F2,p,mu,NC,0.001,0,0.0003447,1.1,3.6,2.5,0.0,0.0,100,40.51172707889126,59.48827292110874,0.0023954301075268815,0.9950554170629861
95,0.75,65.5,22.713177333333334,0.00968,F2,p,mu,NC,0.001,0,0.00029039999999999996,0.8,3.2,2.1,0.0,0.0,100,46.552949538024166,53.447050461975834,0.003063779920212766,0.9937076865252391
96,0.75,75.0,25.879844000000006,0.01033,F2,p,mu,NC,0.0012,0,0.0003099,0.6,2.8,1.7,0.0,0.0,100,53.30490405117271,46.69509594882729,0.00401541095890411,0.9917919007803457
97,0.07,8.75,117.12984399999999,0.38956,F2,p,mu,NC,0.006,0,0.0116868,-0.3,-0.1,0.3,1.5,1.0,120,66.63113006396588,53.368869936034116,0.000341569283526435,0.9993157497090513
98,0.07,10.25,137.0584154285714,0.38982,F2,p,mu,NC,0.0062,0,0.0116946,-0.3,-0.1,0.8,1.5,1.0,120,78.0536095035029,41.9463904964971,0.0005090823409096411,0.9989806430067053
99,0.1,10.25,93.129844,0.39249,F2,p,mu,NC,0.0046,0,0.011774699999999999,-0.3,-0.2,0.5,0.5,1.0,120,54.63752665245203,65.36247334754796,0.00032670377317457733,0.9993445645579988
100,0.1,11.75,106.629844,0.39066,F2,p,mu,NC,0.0049,0,0.011719799999999999,-0.3,-0.2,0.6,0.5,1.0,120,62.633262260127935,57.366737739872065,0.0004267135910301679,0.9991443839113596
101,0.1,13.25,120.129844,0.39239,F2,p,mu,NC,0.0053,0,0.0117717,-0.3,-0.1,0.4,0.5,1.0,120,70.62899786780383,49.37100213219617,0.0005591170013675951,0.9988794256796772
102,0.14,11.75,73.05841542857142,0.38505,F2,p,mu,NC,0.0057,0,0.0115515,-0.4,-0.3,0.2,0.0,1.0,120,44.73804447151995,75.26195552848006,0.0003252528650734227,0.9993458906476564
103,0.14,13.25,82.27270114285714,0.37936,F2,p,mu,NC,0.0059,0,0.011380799999999998,-0.4,-0.2,0.4,0.0,1.0,120,50.44928419128845,69.55071580871154,0.0003968926321705681,0.9992024021301825
104,0.14,15.0,93.02270114285714,0.37987,F2,p,mu,NC,0.0057,0,0.0113961,-0.3,-0.2,0.4,0.0,1.0,120,57.11239719768504,62.88760280231496,0.0004969182892569989,0.9990020935523102
105,0.14,17.0,105.30841542857141,0.37759,F2,p,mu,NC,0.0064,0,0.0113277,-0.3,-0.1,0.2,0.0,1.0,120,64.72738349070971,55.27261650929029,0.0006407633454572173,0.9987141039850933
