,exp,x,Q2,target,obs,lepton beam,current,units,value,stat_u,syst_u,dRSY,dRSE,dRN1,dRN2,No,Deps,X2/df,*dRRC_c,W2
76,slac,0.7,16.0,p,R,e,NC,1,0.092,0.069,0.048,0.021,0.002,0.007,0.043,10,0.552,1.0,0.024058,7.736986857142856
77,slac,0.7,20.0,p,R,e,NC,1,0.418,0.206,0.155,0.115,0.002,0.018,0.102,3,0.369,0.1,0.027807000000000002,9.451272571428571
78,slac,0.775,6.4,p,R,e,NC,1,0.129,0.247,0.042,0.012,0.018,0.015,0.033,5,0.261,1.0,0.0244835,2.737908516129032
79,slac,0.775,8.0,p,R,e,NC,1,0.059,0.046,0.048,0.012,0.003,0.007,0.046,8,0.697,1.1,0.0236785,3.2024246451612903
80,slac,0.775,10.0,p,R,e,NC,1,0.207,0.134,0.024,0.013,0.005,0.007,0.018,7,0.374,0.9,0.025380499999999997,3.7830698064516124
81,slac,0.775,12.5,p,R,e,NC,1,0.042,0.067,0.04,0.01,0.009,0.004,0.038,7,0.649,0.8,0.023482999999999997,4.5088762580645145
82,slac,0.775,16.0,p,R,e,NC,1,0.207,0.087,0.05,0.02,0.002,0.007,0.046,9,0.576,0.4,0.025380499999999997,5.525005290322579
83,slac,0.775,20.0,p,R,e,NC,1,0.024,0.09,0.079,0.053,0.004,0.008,0.058,5,0.555,1.6,0.023276,6.686295612903223
84,slac,0.86,10.0,p,R,e,NC,1,0.467,0.593,0.11,0.049,0.017,0.036,0.09,2,0.226,0.0,0.0283705,2.5077509767441857
85,slac,0.86,12.5,p,R,e,NC,1,0.259,0.177,0.057,0.015,0.004,0.008,0.054,4,0.637,0.8,0.025978499999999998,2.914727720930234
86,slac,0.86,16.0,p,R,e,NC,1,0.29,0.191,0.059,0.015,0.004,0.008,0.056,6,0.634,0.2,0.026335,3.4844951627906973
87,slac,0.86,20.0,p,R,e,NC,1,0.099,0.098,0.059,0.014,0.004,0.008,0.056,6,0.554,1.3,0.0241385,4.135657953488369
