,exp,Elab,*E',*theta,Q2,x,*epsilon,sigma(ub/sr/GeV/nucleon),*nu,*y,*y+,*W2,*value,%sys_c,%sys_u,obs,target,lepton beam,current,units,*%norm_c
26,clas6,2.474,1.56234671139845,19.0967216059783,0.425,0.2485,0.9164172461811328,0.33413,0.911653288601545,0.368493649394319,1.43351865817069,2.1651055694165,0.23944638301687,0.891239936551642,4.22200939753988,sig_r,d,e,nc,1,1
27,clas6,2.474,1.5942103214855,18.9031481249551,0.425,0.2575,0.9959629380870033,0.32228,0.879789678514501,0.355614259706751,1.44995136960867,2.1053294368932,0.215951905021693,0.956063050763311,4.19324810723594,sig_r,d,e,nc,1,1
28,clas6,2.474,1.62392179280494,18.7278533820301,0.425,0.2665,0.9803466735978796,0.31915,0.850078207195062,0.343604772512151,1.46557308198421,2.04959071669794,0.200689669001055,0.992166692777691,4.20084599718001,sig_r,d,e,nc,1,1
29,clas6,2.474,1.65169204276775,18.5683451470778,0.425,0.2755,0.9059493444783285,0.31988,0.822307957232247,0.332379934208669,1.48043493956261,1.99749372776769,0.18938564283271,1.03329373515068,4.20438914592972,sig_r,d,e,nc,1,1
30,clas6,2.474,1.6777052997628,18.4225674053691,0.425,0.2845,0.8102073320528956,0.33368,0.796294700237202,0.321865278996444,1.49458508714596,1.94869285764499,0.186557002936103,1.11981539199233,4.20882282426277,sig_r,d,e,nc,1,1
31,clas6,2.474,1.70212319517041,18.2888084315257,0.425,0.2935,0.7151399724067442,0.33506,0.771876804829588,0.311995474870488,1.50806861391407,1.90288488586031,0.177379063726929,1.21942338685609,4.16761177102608,sig_r,d,e,nc,1,1
32,clas6,2.474,1.72508812490088,18.165631267579,0.425,0.3025,0.6298024421816084,0.35508,0.748911875099121,0.302712964874341,1.52092759666972,1.85980267768595,0.178435383086676,1.33550185873606,4.1635687732342,sig_r,d,e,nc,1,1
33,clas6,2.474,1.74672602819427,18.0518204613032,0.425,0.3115,0.5563641722510669,0.38775,0.727273971805727,0.293966843898839,1.53320120482955,1.81920997110754,0.185382947480809,1.42952933591231,4.18027079303675,sig_r,d,e,nc,1,1
34,clas6,2.474,1.76714869822938,17.946340779465,0.425,0.3205,0.49414766777278596,0.41607,0.706851301770621,0.285711924725392,1.54492584179489,1.78089704212168,0.189652078757587,1.55240704689115,4.16035763212921,sig_r,d,e,nc,1,1
35,clas6,2.474,1.78645571405923,17.8483048581747,0.425,0.3295,0.4415878133232668,0.45867,0.687544285940771,0.277907957130465,1.55613530569089,1.74467708042489,0.199712513148448,1.68890487714479,4.19517300019622,sig_r,d,e,nc,1,1
36,clas6,2.474,1.80473606435012,17.7569476048558,0.425,0.3385,0.39703411711639114,0.49196,0.669263935649879,0.270518971564219,1.56686095816311,1.71038314327917,0.204987290297129,1.87482722172534,4.16781852183104,sig_r,d,e,nc,1,1
37,clas6,2.474,1.82206951879861,17.6716057581454,0.425,0.3475,0.35902642891029324,0.56536,0.651930481201393,0.263512724818671,1.57713189381941,1.67786558273381,0.225806938750867,2.01128484505448,4.20015565303523,sig_r,d,e,nc,1,1
38,clas6,2.474,1.83852779181631,17.5917014290454,0.425,0.3565,0.32635663123718506,0.6222,0.635472208183686,0.256860229661959,1.58697510557346,1.64698986255259,0.23857785536501,2.20411443265831,4.17888138862102,sig_r,d,e,nc,1,1
39,clas6,2.474,1.85417553428869,17.5167287445153,0.425,0.3655,0.2980528371354854,0.73829,0.619824465711311,0.250535353965768,1.5964156429706,1.61763469767442,0.272171567675829,2.4189681561446,4.21717753186417,sig_r,d,e,nc,1,1
40,clas6,2.474,1.86907118232982,17.4462429301563,0.425,0.3745,0.27334145007615407,0.78963,0.604928817670184,0.244514477635483,1.60547676181778,1.58969046194927,0.280247613891874,2.7105099856895,4.25946329293467,sig_r,d,e,nc,1,1
41,clas6,2.474,1.88326768652547,17.3798513263102,0.425,0.3835,0.2516078242473404,0.84946,0.590732313474535,0.238776197847427,1.61418006427901,1.56305782007823,0.290611972374053,2.95022720316436,4.18807242248016,sig_r,d,e,nc,1,1
42,clas6,2.474,1.89681314084717,17.3172059485422,0.425,0.3925,0.23236221185951866,0.94337,0.577186859152826,0.233301074839461,1.62254562915771,1.5376465477707,0.31147335624962,3.26075664903484,4.23025960121691,sig_r,d,e,nc,1,1
43,clas6,2.474,1.90975132698011,17.2579972906315,0.425,0.4015,0.21521228576602236,0.96885,0.564248673019885,0.228071411891627,1.63059213245437,1.5133745105853,0.309064271109442,3.53780254941425,4.16741497651855,sig_r,d,e,nc,1,1
44,clas6,2.474,1.92212218704632,17.2019491339492,0.425,0.4105,0.1998416525067389,1.0327,0.551877812953676,0.223071064249667,1.63833695852153,1.4901667771011,0.318622738804745,3.88931926019173,4.25602788806042,sig_r,d,e,nc,1,1
45,clas6,2.474,1.9339622354768,17.1488141771315,0.425,0.4195,0.18599327934778317,0.98917,0.540037764523204,0.218285272644787,1.64579630227942,1.46795484624553,0.295471005922129,4.17764388325566,4.17946359068714,sig_r,d,e,nc,1,1
46,clas6,2.474,1.94530491897903,17.0983703383518,0.425,0.4285,0.17345677128706108,0.94048,0.528695081020966,0.213700517793438,1.6529852630337,1.44667597199533,0.272233798233019,4.47526794828173,4.20944624021776,sig_r,d,e,nc,1,1
47,clas6,2.474,1.95618093207432,17.0504176121875,0.425,0.4375,0.1620586005438991,0.99241,0.517819067925678,0.209304392855973,1.65991793047225,1.42627257142857,0.278623284785828,4.84608176056267,4.14465795386987,sig_r,d,e,nc,1,1
48,clas6,2.474,1.96661849447372,17.0047753861994,0.425,0.4465,0.15165457944459185,0.88215,0.50738150552628,0.205085491320243,1.66660746342497,1.4066917043673,0.240418290569555,5.16828203820212,4.17060590602505,sig_r,d,e,nc,1,1
49,clas6,2.474,1.97664359557084,16.9612801404912,0.425,0.4555,0.14212403346049923,0.91033,0.497356404429164,0.201033308176703,1.67306616195845,1.38788461470911,0.24102881170036,5.83085254797711,4.28372128788461,sig_r,d,e,nc,1,1
50,clas6,2.474,1.98628021051134,16.9197834678344,0.425,0.4645,0.13336526423417341,0.80126,0.487719789488663,0.197138152582321,1.67930553335432,1.36980632508073,0.206261171806811,6.23193470284302,4.21610962733694,sig_r,d,e,nc,1,1
51,clas6,2.474,1.99555049162094,16.8801503633292,0.425,0.4735,0.12529199475355082,0.78469,0.478449508379058,0.193391070484664,1.68533635248926,1.35241527771911,0.196529973854715,6.87379729574736,4.18432756884885,sig_r,d,e,nc,1,1
52,clas6,2.474,2.00447493840936,16.8422577416601,0.425,0.4825,0.11783056587243174,0.57402,0.469525061590641,0.189783775905675,1.69116871710105,1.33567301554404,0.139972303722223,7.16438451621895,4.08156510226125,sig_r,d,e,nc,1,1
53,clas6,2.474,2.01307254889627,16.8059931473185,0.425,0.4915,0.11091771081177434,0.56713,0.460927451103732,0.186308589775154,1.69681209838909,1.3195438982706,0.134730490638696,7.61924073845503,4.0399908310264,sig_r,d,e,nc,1,1
54,clas6,2.474,2.02136095461042,16.771253629063,0.425,0.5005,0.10449877694011812,0.69557,0.452639045389579,0.182958385363613,1.70227538736302,1.30399484915085,0.161087944347788,8.60675417283667,4.10972296102477,sig_r,d,e,nc,1,1
55,clas6,2.474,2.0293565412807,16.7379447546862,0.425,0.5095,0.09852629583000065,0.65659,0.444643458719301,0.179726539498505,1.70756693731849,1.28899512855741,0.148324862305966,10.4483772217061,4.11626738147093,sig_r,d,e,nc,1,1
56,clas6,2.474,2.0370745569576,16.705979746063,0.425,0.5185,0.09295882619195923,0.50534,0.436925443042399,0.176606888861115,1.71269460278636,1.27451613114754,0.111416120614146,11.2526219970713,4.18094748090395,sig_r,d,e,nc,1,1
57,clas6,2.474,2.04452920906638,16.6752787176639,0.425,0.5275,0.08776001193564983,0.49434,0.429470790933619,0.173593690757324,1.71766577527149,1.26053120379147,0.106431768483611,12.8456123315936,4.12226402880609,sig_r,d,e,nc,1,1
58,clas6,2.474,2.05173375169155,16.6457680043547,0.425,0.5365,0.0828978108623327,0.54629,0.422266248308451,0.170681587836884,1.72248741606814,1.24701548182665,0.114914924186307,14.1928279851361,4.40937963352798,sig_r,d,e,nc,1,1
59,clas6,2.474,0.548537686364484,34.4297556324656,0.475,0.1315,0.00023231287117455338,0.033487,1.92546231363552,0.778279027338527,1.08796309318809,4.01701130038023,0.237598593571196,0.23137336876997,4.67733747424374,sig_r,d,e,nc,1,1
60,clas6,2.474,0.671876909301991,31.0210890169898,0.475,0.1405,0.6145814930707162,0.045861,1.80212309069801,0.728424854768799,1.11255596297749,3.78562691814947,0.243147396832257,0.255205948409324,4.416606702863,sig_r,d,e,nc,1,1
61,clas6,2.474,0.780365924795516,28.7340446026957,0.475,0.1495,0.0038742484764518127,0.057043,1.69363407520448,0.684573191271012,1.13829697513509,3.58210152508361,0.239178036225946,0.28155952527041,4.36109601528671,sig_r,d,e,nc,1,1
62,clas6,2.474,0.876534421179367,27.0801508134697,0.475,0.1585,0.034998767754619686,0.068005,1.59746557882063,0.645701527413352,1.16433031114737,3.40168942586751,0.234088678101058,0.32131460921991,4.34321005808396,sig_r,d,e,nc,1,1
63,clas6,2.474,0.962368392578685,25.8224348662617,0.475,0.1675,0.40009361497068624,0.08072,1.51163160742132,0.611007116985172,1.19011836650633,3.24066489552239,0.234287351685877,0.355773042616452,4.32371159563925,sig_r,d,e,nc,1,1
64,clas6,2.474,1.03944875782963,24.8306902884471,0.475,0.1765,0.8019233665396478,0.097394,1.43455124217037,0.579850946713974,1.21532813044728,3.09606213031161,0.243223127122419,0.388329876583773,4.30837628601351,sig_r,d,e,nc,1,1
65,clas6,2.474,1.10904962672199,24.0269108879297,0.475,0.1855,0.21056066178031113,0.11814,1.36495037327801,0.551718016684724,1.23975964003522,2.96549090026954,0.257916180353001,0.422998137802607,4.32571525308956,sig_r,d,e,nc,1,1
66,clas6,2.474,1.17220928409732,23.3612811662774,0.475,0.1945,0.068102690318234,0.13934,1.30179071590268,0.526188648303426,1.26330010046667,2.84700338303342,0.269375766259994,0.446404478254629,4.32208985216018,sig_r,d,e,nc,1,1
67,clas6,2.474,1.22978233787189,22.8003831002527,0.475,0.2035,0.021075978449325745,0.14734,1.24421766212811,0.502917405872316,1.28589400885485,2.73899633415233,0.254939328420983,0.480697705986155,4.30392289941632,sig_r,d,e,nc,1,1
68,clas6,2.474,1.28247861532673,22.3209029976186,0.475,0.2125,0.003458244001416457,0.15707,1.19152138467327,0.481617374564783,1.30752344982325,2.64013811764706,0.245441897868161,0.520054752658051,4.31692875787865,sig_r,d,e,nc,1,1
69,clas6,2.474,1.33089257678072,21.9060481875267,0.475,0.2215,0.00024157552538636842,0.17003,1.14310742321928,0.462048271309329,1.32819496587142,2.54931352595937,0.241802619557345,0.559371875551373,4.31817914485679,sig_r,d,e,nc,1,1
70,clas6,2.474,1.37552583842486,21.5433971176354,0.475,0.2305,0.007268726996752325,0.18783,1.09847416157514,0.44400734097621,1.34793074035848,2.46558152711497,0.24472126449918,0.585422988872917,4.3214608954906,sig_r,d,e,nc,1,1
71,clas6,2.474,1.41680461693916,21.223552611907,0.475,0.2395,0.02374040139747279,0.21123,1.05719538306084,0.427322305198398,1.36676264559342,2.38814253862213,0.253606877490346,0.609619845665862,4.32930928371917,sig_r,d,e,nc,1,1
72,clas6,2.474,1.45509338332768,20.939267136465,0.475,0.2485,0.050230124818388615,0.24285,1.01890661667232,0.41184584344071,1.38472821534811,2.31631281287726,0.270066251890627,0.633889232036236,4.34753963351863,sig_r,d,e,nc,1,1
73,clas6,2.474,1.49070565342497,20.6848568387214,0.475,0.2575,0.08795894856579549,0.24685,0.983294346575031,0.397451231436957,1.40186792196698,2.24950419417476,0.255429416491661,0.667976503949767,4.33097022483289,sig_r,d,e,nc,1,1
74,clas6,2.474,1.52391259195846,20.4557984367918,0.475,0.2665,0.13837107087390885,0.242,0.95008740804154,0.384028863395934,1.41822334459944,2.18720797748593,0.233952383971612,0.703719008264463,4.31239669421488,sig_r,d,e,nc,1,1
75,clas6,2.474,1.55494993015219,20.2484453860021,0.475,0.2755,0.20271086110614572,0.23752,0.919050069847805,0.371483455880277,1.43383594970234,2.12898193103448,0.215316205170786,0.74019029976423,4.34195015156618,sig_r,d,e,nc,1,1
76,clas6,2.474,1.58402357032313,20.059823903386,0.475,0.2845,0.28149043976049287,0.23483,0.889976429676873,0.35973178240779,1.44874629392884,2.07443978207381,0.200277120901085,0.751820465868926,4.32994080824426,sig_r,d,e,nc,1,1
77,clas6,2.474,1.61131415930811,19.8874836999017,0.475,0.2935,0.37385197368295364,0.23802,0.862685840691892,0.348700824855252,1.46299351901437,2.02324263713799,0.191556427704776,0.756995210486514,4.35803713973616,sig_r,d,e,nc,1,1
78,clas6,2.474,1.63698084547745,19.7293869635681,0.475,0.3025,0.47696575988581325,0.23914,0.837019154522547,0.338326254859558,1.47661504847832,1.9750919338843,0.182108395477273,0.753742577569625,4.32173622146023,sig_r,d,e,nc,1,1
79,clas6,2.474,1.66116438445242,19.583824580199,0.475,0.3115,0.5857492487720412,0.24592,0.812835615547577,0.328551178475173,1.48964642339722,1.92972361476725,0.177645413611591,0.779603122966818,4.3180709173715,sig_r,d,e,nc,1,1
80,clas6,2.474,1.68398972155048,19.4493520711322,0.475,0.3205,0.6932336845432373,0.26525,0.790010278449518,0.319325092340145,1.50212123338789,1.88690328237129,0.182178426595007,0.814514608859567,4.34194156456173,sig_r,d,e,nc,1,1
81,clas6,2.474,1.70556815100737,19.3247400180898,0.475,0.3295,0.791706598028623,0.29601,0.768431848992626,0.31060301091052,1.51407111203578,1.84642214871017,0.19370892135761,0.835850140197966,4.36775784601872,sig_r,d,e,nc,1,1
82,clas6,2.474,1.72599913074425,19.208935277774,0.475,0.3385,0.8743354007308428,0.31433,0.748000869255747,0.302344732924716,1.52552577514803,1.80809363072378,0.196372670770684,0.854261444978208,4.3610218560112,sig_r,d,e,nc,1,1
83,clas6,2.474,1.74537181512785,19.101030332624,0.475,0.3475,0.9366167252784469,0.32668,0.728628184872145,0.294514221856162,1.53651308663336,1.77175047482014,0.195189982747668,0.890290192237051,4.35043467613567,sig_r,d,e,nc,1,1
84,clas6,2.474,1.76376635555941,19.0002388469094,0.475,0.3565,0.977041817996953,0.36105,0.71023364444059,0.287079080210424,1.54705914134375,1.73724231697055,0.206668294035846,0.907298158149841,4.34455061625814,sig_r,d,e,nc,1,1
85,clas6,2.474,1.78125500891089,18.9058760053567,0.475,0.3655,0.996820159542043,0.4068,0.692744991089112,0.280010101491153,1.55718835742492,1.70443360328317,0.223429403546107,0.921804326450344,4.38692232055064,sig_r,d,e,nc,1,1
86,clas6,2.474,1.79790308613332,18.8173425735724,0.475,0.3745,0.9989827048024746,0.43953,0.676096913866677,0.273280886769069,1.56692357300529,1.67320181041388,0.231972561834867,0.959092667167201,4.35897435897436,sig_r,d,e,nc,1,1
87,clas6,2.474,1.81376976729317,18.7341118808855,0.475,0.3835,0.9873546569197765,0.49003,0.660230232706833,0.266867515241242,1.57628614367869,1.64343591655802,0.248859425175708,0.985572311899271,4.3607534232598,sig_r,d,e,nc,1,1
88,clas6,2.474,1.82890880447625,18.6557191171341,0.475,0.3925,0.9657480328299187,0.54384,0.645091195523746,0.260748260114691,1.5852960383936,1.61503508280255,0.266098894910139,1.01276110620771,4.35550897322742,sig_r,d,e,nc,1,1
89,clas6,2.474,1.84336913015425,18.5817524759087,0.475,0.4015,0.9374897983949555,0.60014,0.630630869845754,0.254903342702407,1.59397193218619,1.58790751183063,0.283261828338081,1.06381844236345,4.35148465358083,sig_r,d,e,nc,1,1
90,clas6,2.474,1.85719538552236,18.5118457819477,0.475,0.4105,0.9052385574422567,0.66654,0.616804614477638,0.249314718867275,1.60233129477946,1.56196945676005,0.303820556345825,1.10287454616377,4.38083235814805,sig_r,d,e,nc,1,1
91,clas6,2.474,1.87042838082701,18.4456723196128,0.475,0.4195,0.8709858611239719,0.70719,0.603571619172993,0.243965892955939,1.61039047448405,1.53714435756853,0.311634749691373,1.15738344716413,4.3991006660162,sig_r,d,e,nc,1,1
92,clas6,2.474,1.88310549768245,18.3829396395859,0.475,0.4285,0.8361478960927345,0.7446,0.59089450231755,0.238841755180902,1.61816477712623,1.51336208634772,0.31753296635874,1.21642492613484,4.38033843674456,sig_r,d,e,nc,1,1
93,clas6,2.474,1.89526104173012,18.3233851670791,0.475,0.4375,0.8016850928877877,0.7559,0.578738958269875,0.233928439074323,1.62566853992924,1.49055828571429,0.31224770925821,1.25663447545972,4.33827225823522,sig_r,d,e,nc,1,1
94,clas6,2.474,1.9069265526471,18.2667724704929,0.475,0.4465,0.768216566659016,0.76098,0.567073447352901,0.229213196181448,1.63291520041096,1.46867378723404,0.304767176489683,1.31987700070961,4.36410943783017,sig_r,d,e,nc,1,1
95,clas6,2.474,1.9181310774027,18.2128880772018,0.475,0.4555,0.7361159277802695,0.74369,0.5558689225973,0.224684285609256,1.63991736045137,1.44765409879254,0.289012964735359,1.34881469429467,4.35893988086434,sig_r,d,e,nc,1,1
96,clas6,2.474,1.92890141174796,18.1615387448807,0.475,0.4645,0.7055857337250886,0.70301,0.545098588252035,0.220330876415536,1.64668684574111,1.42744895156082,0.265319241448989,1.40050639393465,4.32397832178774,sig_r,d,e,nc,1,1
97,clas6,2.474,1.93926231416458,18.1125491139371,0.475,0.4735,0.6767126927722324,0.68316,0.534737685835418,0.216142961129918,1.65323476085631,1.40801189862724,0.250579403037212,1.45216347561333,4.3247555477487,sig_r,d,e,nc,1,1
98,clas6,2.474,1.94923669586928,18.0657596802229,0.475,0.4825,0.6495073094085676,0.61273,0.524763304130716,0.212111278953402,1.65957154022258,1.38929995854922,0.218587477960883,1.49969807256051,4.32555938178317,sig_r,d,e,nc,1,1
99,clas6,2.474,1.95884578994289,18.021025038072,0.475,0.4915,0.6239316970593379,0.59214,0.515154210057112,0.208227247395761,1.66570699523663,1.37127329806714,0.20559664805062,1.54699902050191,4.30050325936434,sig_r,d,e,nc,1,1
100,clas6,2.474,1.96810930221165,17.978212352434,0.475,0.5005,0.599918725608315,0.49781,0.505890697788352,0.204482901288744,1.67165035781211,1.35389494905095,0.168336729292812,1.57513910929873,4.23193587915068,sig_r,d,e,nc,1,1
101,clas6,2.474,1.97704554613725,17.9372000259242,0.475,0.5095,0.5773849804334621,0.48193,0.496954453862749,0.200870838263035,1.67741032060856,1.33713055544652,0.158817296188273,1.67457929574835,4.24812732139522,sig_r,d,e,nc,1,1
102,clas6,2.474,1.98567156365849,17.8978765323258,0.475,0.5185,0.5562393789671454,0.44705,0.488328436341505,0.197384169903599,1.68299507419147,1.32094814657666,0.143658420446268,1.72148529247288,4.27200536852701,sig_r,d,e,nc,1,1
103,clas6,2.474,1.99400323366243,17.8601393927401,0.475,0.5275,0.5363887803089933,0.40208,0.479996766337574,0.194016477905244,1.68841234135841,1.30531793364929,0.126066484096257,1.77788002387585,4.31307202546757,sig_r,d,e,nc,1,1
104,clas6,2.474,2.00205536953761,17.8238942744049,0.475,0.5365,0.5177415354647816,0.37851,0.471944630462387,0.190761774641223,1.69366940885196,1.29021212674744,0.11585556875954,1.83656970753745,4.31983302951045,sig_r,d,e,nc,1,1
105,clas6,2.474,2.00984180707045,17.7890541953359,0.475,0.5455,0.500209641648099,0.32878,0.464158192929552,0.187614467635227,1.69877315666574,1.27560476993584,0.0982940841092991,2.00617434150496,4.29831498266318,sig_r,d,e,nc,1,1
106,clas6,2.474,2.01737548378166,17.7555388205483,0.475,0.5545,0.4837099607529919,0.31562,0.456624516218342,0.184569327493267,1.70373008513492,1.26147159242561,0.0922124250827241,1.99480387808124,4.28806792978899,sig_r,d,e,nc,1,1
107,clas6,2.474,2.02466851066003,17.7232738377659,0.475,0.5635,0.4681648187581055,0.27426,0.449331489339965,0.181621458908636,1.70854633998897,1.24778987400177,0.0783433016514486,2.12776197768541,4.2386786261212,sig_r,d,e,nc,1,1
108,clas6,2.474,2.03173223713001,17.6921904023196,0.475,0.5725,0.45350220276875935,0.26923,0.442267762869992,0.178766274401775,1.71322773553008,1.2345383231441,0.0752281534646028,2.23570924488356,4.28444081268804,sig_r,d,e,nc,1,1
109,clas6,2.474,2.03857730998612,17.6622246424377,0.475,0.5815,0.4396557030390275,0.27273,0.435422690013879,0.175999470498738,1.7177797760885,1.22169696646604,0.0745765917719304,2.25285080482529,4.26355736442636,sig_r,d,e,nc,1,1
110,clas6,2.474,2.04521372693807,17.6333172173854,0.475,0.5905,0.4265642994589204,0.24385,0.428786273061931,0.173317006088089,1.7222076758933,1.20924704826418,0.0652818793154746,2.38933770760714,4.24236210785319,sig_r,d,e,nc,1,1
111,clas6,2.474,2.05165088533266,17.6054129219733,0.475,0.5995,0.4141720591030647,0.21876,0.42234911466734,0.1707150827273,1.72651637748613,1.19717093911593,0.0573612455014912,2.52047906381423,4.21896141890656,sig_r,d,e,nc,1,1
112,clas6,2.474,2.05789762655206,17.5784603318463,0.475,0.6085,0.40242778890717756,0.2327,0.416102373447938,0.168190126696822,1.73071056879479,1.18545205258833,0.0597862891834019,2.48783841856468,4.27438762354963,sig_r,d,e,nc,1,1
113,clas6,2.474,2.06396227652944,17.5524114847222,0.475,0.6175,0.3912846721628104,0.22867,0.410037723470559,0.165738772623508,1.73479469897387,1.17407476923077,0.0575885836993907,2.55612891940351,4.25718283990029,sig_r,d,e,nc,1,1
