,x,Q2,obs,target,curent,lepton beam,units,value,dstat_u,dsys,%dVX_c,%dSM_c,%dRC_c,%dE_c,%dEp_c
56,0.0175,2.73,sig,d/p,mu,nc,1,0.968,0.0098,0.002,0.1,0.0,0.1,0.0,0.0
57,0.0175,3.48,sig,d/p,mu,nc,1,0.9761,0.0092,0.0018,0.2,0.0,0.1,0.0,0.0
58,0.0175,4.47,sig,d/p,mu,nc,1,0.9716,0.01,0.0028,0.1,0.0,0.3,0.0,0.0
59,0.0175,5.49,sig,d/p,mu,nc,1,0.9817,0.0143,0.0027,0.2,0.0,0.2,0.0,0.0
60,0.0175,6.83,sig,d/p,mu,nc,1,0.9942,0.0107,0.004,0.1,0.0,0.4,0.0,0.0
61,0.025,0.26,sig,d/p,mu,nc,1,0.9493,0.0375,0.0063,0.2,-0.6,0.1,0.0,0.0
62,0.025,0.35,sig,d/p,mu,nc,1,0.9601,0.0287,0.0064,0.2,-0.6,0.2,0.0,0.0
63,0.025,0.45,sig,d/p,mu,nc,1,0.9408,0.0313,0.0037,0.2,-0.3,0.2,0.0,0.0
64,0.025,0.62,sig,d/p,mu,nc,1,0.962,0.0131,0.0022,0.2,-0.1,0.1,0.0,0.0
65,0.025,0.86,sig,d/p,mu,nc,1,0.9585,0.0154,0.002,0.2,0.0,0.1,0.0,0.0
66,0.025,1.13,sig,d/p,mu,nc,1,0.9631,0.0124,0.0023,0.2,0.0,0.1,0.0,0.0
67,0.025,1.37,sig,d/p,mu,nc,1,0.9849,0.0107,0.0027,0.3,0.0,0.1,0.0,0.0
68,0.025,1.74,sig,d/p,mu,nc,1,0.9802,0.0076,0.0023,0.2,0.0,0.1,0.0,0.0
69,0.025,2.24,sig,d/p,mu,nc,1,0.9677,0.0071,0.002,0.2,0.0,0.1,0.0,0.0
70,0.025,2.74,sig,d/p,mu,nc,1,0.9581,0.0074,0.0018,0.2,0.0,0.1,0.0,0.0
71,0.025,3.45,sig,d/p,mu,nc,1,0.979,0.0065,0.0023,0.1,0.0,0.2,0.0,0.0
72,0.025,4.47,sig,d/p,mu,nc,1,0.9764,0.0085,0.0017,0.2,0.0,0.1,0.0,0.0
73,0.025,5.48,sig,d/p,mu,nc,1,0.9592,0.0097,0.0017,0.2,0.0,0.1,0.0,0.0
74,0.025,6.92,sig,d/p,mu,nc,1,0.9893,0.0085,0.0032,0.2,0.0,0.3,0.0,0.0
75,0.025,8.92,sig,d/p,mu,nc,1,0.9738,0.01,0.0043,0.1,0.0,0.4,0.0,0.0
76,0.035,0.36,sig,d/p,mu,nc,1,0.9557,0.0375,0.0064,0.2,-0.6,0.2,-0.1,0.1
77,0.035,0.45,sig,d/p,mu,nc,1,0.9264,0.034,0.0061,0.2,-0.6,0.1,0.0,0.0
78,0.035,0.64,sig,d/p,mu,nc,1,0.9308,0.0207,0.003,0.2,-0.2,0.1,0.0,0.0
79,0.035,0.86,sig,d/p,mu,nc,1,0.9618,0.0179,0.0023,0.2,-0.1,0.1,0.0,0.0
80,0.035,1.13,sig,d/p,mu,nc,1,0.9723,0.0183,0.0023,0.2,0.0,0.1,0.0,0.0
81,0.035,1.38,sig,d/p,mu,nc,1,0.9633,0.0138,0.0025,0.2,0.0,0.1,0.0,0.0
82,0.035,1.74,sig,d/p,mu,nc,1,0.9554,0.0089,0.0024,0.2,0.0,0.1,0.0,0.0
83,0.035,2.24,sig,d/p,mu,nc,1,0.9572,0.0087,0.0022,0.2,0.0,0.1,0.0,0.0
84,0.035,2.74,sig,d/p,mu,nc,1,0.9766,0.009,0.0019,0.2,0.0,0.1,0.0,0.0
85,0.035,3.46,sig,d/p,mu,nc,1,0.9565,0.0069,0.0021,0.2,0.0,0.1,0.0,0.0
86,0.035,4.45,sig,d/p,mu,nc,1,0.9611,0.0088,0.0016,0.1,0.0,0.1,0.0,0.0
87,0.035,5.47,sig,d/p,mu,nc,1,0.9669,0.0111,0.0018,0.2,0.0,0.1,0.0,0.0
88,0.035,6.92,sig,d/p,mu,nc,1,0.9817,0.0101,0.0018,0.2,0.0,0.1,0.0,0.0
89,0.035,8.96,sig,d/p,mu,nc,1,0.9686,0.0115,0.0021,0.2,0.0,0.1,0.0,0.0
90,0.035,11.45,sig,d/p,mu,nc,1,0.9572,0.0107,0.0015,0.1,0.0,0.1,0.0,0.0
91,0.035,14.36,sig,d/p,mu,nc,1,0.9439,0.0144,0.0031,0.1,0.0,0.3,0.0,0.0
92,0.05,0.46,sig,d/p,mu,nc,1,0.9101,0.0412,0.006,0.2,-0.6,0.1,-0.1,0.1
93,0.05,0.61,sig,d/p,mu,nc,1,0.9539,0.0214,0.0063,0.2,-0.6,0.1,-0.1,0.1
94,0.05,0.88,sig,d/p,mu,nc,1,0.9204,0.0213,0.0029,0.2,-0.2,0.1,0.0,0.0
95,0.05,1.13,sig,d/p,mu,nc,1,0.9738,0.0167,0.0025,0.2,-0.1,0.1,0.0,0.0
96,0.05,1.37,sig,d/p,mu,nc,1,0.94,0.0138,0.0025,0.2,0.0,0.1,0.0,0.0
97,0.05,1.74,sig,d/p,mu,nc,1,0.9532,0.0092,0.0025,0.3,0.0,0.1,0.0,0.0
98,0.05,2.25,sig,d/p,mu,nc,1,0.9526,0.0077,0.0023,0.2,0.0,0.1,0.0,0.0
99,0.05,2.74,sig,d/p,mu,nc,1,0.9642,0.0077,0.002,0.2,0.0,0.1,0.0,0.0
100,0.05,3.46,sig,d/p,mu,nc,1,0.9597,0.0058,0.0017,0.2,0.0,0.1,0.0,0.0
101,0.05,4.46,sig,d/p,mu,nc,1,0.9551,0.0069,0.0015,0.1,0.0,0.1,0.0,0.0
102,0.05,5.46,sig,d/p,mu,nc,1,0.9577,0.0085,0.0015,0.1,0.0,0.1,0.0,0.0
103,0.05,6.9,sig,d/p,mu,nc,1,0.9682,0.0076,0.0015,0.1,0.0,0.1,0.0,0.0
104,0.05,8.93,sig,d/p,mu,nc,1,0.9578,0.0097,0.0018,0.2,0.0,0.1,0.0,0.0
105,0.05,11.44,sig,d/p,mu,nc,1,0.9532,0.0087,0.0014,0.1,0.0,0.0,0.0,0.0
106,0.05,14.82,sig,d/p,mu,nc,1,0.9698,0.009,0.0015,0.1,0.0,0.1,0.0,0.0
107,0.05,19.19,sig,d/p,mu,nc,1,0.9635,0.0119,0.0022,0.1,0.0,0.2,0.0,0.0
108,0.07,0.68,sig,d/p,mu,nc,1,0.9488,0.0438,0.0063,0.2,-0.6,0.1,-0.1,0.1
109,0.07,0.86,sig,d/p,mu,nc,1,0.9595,0.0344,0.0063,0.2,-0.6,0.1,-0.1,0.1
110,0.07,1.11,sig,d/p,mu,nc,1,1.001,0.0542,0.0068,0.2,-0.6,0.1,-0.1,-0.1
111,0.07,1.38,sig,d/p,mu,nc,1,0.981,0.0197,0.0028,0.2,-0.1,0.1,0.0,0.1
112,0.07,1.74,sig,d/p,mu,nc,1,0.971,0.0117,0.0027,0.3,0.0,0.1,0.0,0.0
113,0.07,2.24,sig,d/p,mu,nc,1,0.9477,0.0111,0.0023,0.2,0.0,0.1,0.0,0.0
114,0.07,2.75,sig,d/p,mu,nc,1,0.9449,0.0096,0.0023,0.2,-0.1,0.1,0.0,0.0
115,0.07,3.47,sig,d/p,mu,nc,1,0.9486,0.0069,0.0019,0.2,0.0,0.1,0.0,0.0
116,0.07,4.47,sig,d/p,mu,nc,1,0.937,0.0079,0.0016,0.2,0.0,0.0,0.0,0.0
117,0.07,5.47,sig,d/p,mu,nc,1,0.945,0.0095,0.0014,0.1,0.0,0.0,0.0,0.0
118,0.07,6.91,sig,d/p,mu,nc,1,0.9367,0.0082,0.0015,0.2,0.0,0.0,0.0,0.0
119,0.07,8.91,sig,d/p,mu,nc,1,0.9394,0.0105,0.0015,0.2,0.0,0.0,0.0,0.0
120,0.07,11.4,sig,d/p,mu,nc,1,0.9328,0.0105,0.0018,0.2,0.0,0.0,0.0,0.0
121,0.07,14.89,sig,d/p,mu,nc,1,0.9432,0.0103,0.0014,0.1,0.0,0.1,0.0,0.0
122,0.07,19.63,sig,d/p,mu,nc,1,0.9371,0.0103,0.0013,0.1,0.0,0.1,0.0,0.0
123,0.07,26.07,sig,d/p,mu,nc,1,0.9592,0.0157,0.0018,0.1,0.0,0.2,0.0,0.0
124,0.09,0.9,sig,d/p,mu,nc,1,0.9678,0.054,0.0065,0.2,-0.6,0.1,-0.1,0.1
125,0.09,1.11,sig,d/p,mu,nc,1,0.9351,0.0537,0.0062,0.2,-0.6,0.1,-0.1,0.1
126,0.09,1.38,sig,d/p,mu,nc,1,0.9385,0.0281,0.0032,0.3,-0.1,0.1,-0.1,0.1
127,0.09,1.76,sig,d/p,mu,nc,1,0.9413,0.014,0.0028,0.3,0.0,0.1,-0.1,0.1
128,0.09,2.24,sig,d/p,mu,nc,1,0.9313,0.0136,0.0025,0.2,0.0,0.1,0.0,0.1
129,0.09,2.75,sig,d/p,mu,nc,1,0.9445,0.0124,0.0024,0.2,-0.1,0.1,0.0,0.0
130,0.09,3.49,sig,d/p,mu,nc,1,0.936,0.0082,0.0021,0.2,-0.1,0.1,0.0,0.0
131,0.09,4.47,sig,d/p,mu,nc,1,0.9397,0.0089,0.0018,0.2,-0.1,0.0,0.0,0.0
132,0.09,5.46,sig,d/p,mu,nc,1,0.942,0.0106,0.0016,0.1,-0.1,0.0,0.0,0.0
133,0.09,6.91,sig,d/p,mu,nc,1,0.9245,0.0092,0.0016,0.2,0.0,0.0,0.0,0.0
134,0.09,8.92,sig,d/p,mu,nc,1,0.9218,0.0114,0.0014,0.1,0.0,0.0,0.0,0.0
135,0.09,11.37,sig,d/p,mu,nc,1,0.9254,0.0115,0.0017,0.2,0.0,0.0,0.0,0.0
136,0.09,14.87,sig,d/p,mu,nc,1,0.9291,0.0116,0.0014,0.1,0.0,0.0,0.0,0.0
137,0.09,19.74,sig,d/p,mu,nc,1,0.9319,0.0114,0.0013,0.1,0.0,0.1,0.0,0.0
138,0.09,26.36,sig,d/p,mu,nc,1,0.9554,0.0147,0.0012,0.1,0.0,0.1,0.0,0.0
139,0.09,34.74,sig,d/p,mu,nc,1,0.9233,0.0222,0.0017,0.1,0.0,0.2,0.0,0.0
140,0.11,1.13,sig,d/p,mu,nc,1,0.9264,0.068,0.0063,0.2,-0.6,0.1,-0.1,0.2
141,0.11,1.38,sig,d/p,mu,nc,1,0.9005,0.0306,0.0031,0.3,-0.1,0.1,-0.1,0.1
142,0.11,1.75,sig,d/p,mu,nc,1,0.9227,0.0169,0.0031,0.3,0.0,0.1,-0.1,0.1
143,0.11,2.24,sig,d/p,mu,nc,1,0.915,0.0151,0.0026,0.3,0.0,0.1,-0.1,0.1
144,0.11,2.74,sig,d/p,mu,nc,1,0.9292,0.0153,0.0027,0.3,0.0,0.1,0.0,0.1
145,0.11,3.49,sig,d/p,mu,nc,1,0.9205,0.0097,0.0022,0.2,-0.1,0.1,0.0,0.1
146,0.11,4.47,sig,d/p,mu,nc,1,0.9114,0.0098,0.002,0.2,-0.1,0.0,-0.1,0.1
147,0.11,5.46,sig,d/p,mu,nc,1,0.9409,0.0117,0.0018,0.2,-0.1,0.0,0.0,0.1
148,0.11,6.9,sig,d/p,mu,nc,1,0.9291,0.0102,0.0017,0.2,0.0,0.0,0.0,0.0
149,0.11,8.92,sig,d/p,mu,nc,1,0.9266,0.0127,0.0014,0.1,0.0,0.0,0.0,0.0
150,0.11,11.37,sig,d/p,mu,nc,1,0.9263,0.0126,0.0017,0.2,0.0,0.0,0.0,0.0
151,0.11,14.85,sig,d/p,mu,nc,1,0.9272,0.013,0.0015,0.2,0.0,0.0,0.0,0.0
152,0.11,19.74,sig,d/p,mu,nc,1,0.9123,0.0124,0.0012,0.1,0.0,0.0,0.0,0.0
153,0.11,26.52,sig,d/p,mu,nc,1,0.9272,0.0147,0.0011,0.1,0.0,0.0,0.0,0.0
154,0.11,35.32,sig,d/p,mu,nc,1,0.905,0.0209,0.0011,0.1,0.0,0.1,0.0,0.0
155,0.11,44.94,sig,d/p,mu,nc,1,0.9039,0.0345,0.0019,0.1,0.0,0.2,0.0,0.0
156,0.14,1.4,sig,d/p,mu,nc,1,0.914,0.031,0.0037,0.3,0.1,0.1,-0.2,0.2
157,0.14,1.75,sig,d/p,mu,nc,1,0.9427,0.0143,0.0036,0.3,0.0,0.1,-0.2,0.2
158,0.14,2.24,sig,d/p,mu,nc,1,0.9056,0.0127,0.003,0.3,0.0,0.1,-0.1,0.1
159,0.14,2.74,sig,d/p,mu,nc,1,0.9223,0.0125,0.0028,0.3,0.0,0.1,-0.1,0.1
160,0.14,3.47,sig,d/p,mu,nc,1,0.8966,0.009,0.0023,0.2,0.0,0.1,-0.1,0.1
161,0.14,4.48,sig,d/p,mu,nc,1,0.9132,0.0087,0.0022,0.2,-0.1,0.0,-0.1,0.1
162,0.14,5.47,sig,d/p,mu,nc,1,0.9242,0.0095,0.002,0.2,-0.1,0.0,-0.1,0.1
163,0.14,6.9,sig,d/p,mu,nc,1,0.9212,0.0081,0.0019,0.2,-0.1,0.0,-0.1,0.1
164,0.14,8.92,sig,d/p,mu,nc,1,0.9147,0.01,0.0016,0.1,0.0,0.0,0.0,0.1
165,0.14,11.37,sig,d/p,mu,nc,1,0.8981,0.0097,0.0016,0.2,0.0,0.0,0.0,0.0
166,0.14,14.84,sig,d/p,mu,nc,1,0.9068,0.0101,0.0017,0.2,0.0,0.0,0.0,0.0
167,0.14,19.76,sig,d/p,mu,nc,1,0.9018,0.0098,0.0013,0.1,0.0,0.0,0.0,0.0
168,0.14,26.55,sig,d/p,mu,nc,1,0.8924,0.011,0.0011,0.1,0.0,0.0,0.0,0.0
169,0.14,35.28,sig,d/p,mu,nc,1,0.905,0.0149,0.0011,0.1,0.0,0.0,0.0,0.0
170,0.14,46.95,sig,d/p,mu,nc,1,0.8453,0.0191,0.001,0.1,0.0,0.1,0.0,0.0
171,0.18,1.82,sig,d/p,mu,nc,1,0.8859,0.0193,0.0047,0.3,0.3,0.1,-0.2,0.3
172,0.18,2.24,sig,d/p,mu,nc,1,0.8781,0.0146,0.0037,0.3,0.1,0.0,-0.2,0.2
173,0.18,2.75,sig,d/p,mu,nc,1,0.9173,0.015,0.0033,0.3,0.0,0.0,-0.2,0.2
174,0.18,3.47,sig,d/p,mu,nc,1,0.8983,0.0106,0.0027,0.2,-0.1,0.0,-0.1,0.1
175,0.18,4.47,sig,d/p,mu,nc,1,0.8811,0.0117,0.0022,0.2,-0.1,0.0,-0.1,0.1
176,0.18,5.49,sig,d/p,mu,nc,1,0.9134,0.012,0.0025,0.2,-0.1,0.0,-0.1,0.1
177,0.18,6.92,sig,d/p,mu,nc,1,0.8869,0.0093,0.0022,0.2,-0.1,0.0,-0.1,0.1
178,0.18,8.93,sig,d/p,mu,nc,1,0.8622,0.0108,0.0018,0.2,-0.1,0.0,-0.1,0.1
179,0.18,11.37,sig,d/p,mu,nc,1,0.8676,0.0109,0.0017,0.2,0.0,0.0,-0.1,0.1
180,0.18,14.85,sig,d/p,mu,nc,1,0.8787,0.0114,0.0018,0.2,0.0,0.0,-0.1,0.1
181,0.18,19.75,sig,d/p,mu,nc,1,0.862,0.0108,0.0014,0.1,0.0,0.0,-0.1,0.1
182,0.18,26.61,sig,d/p,mu,nc,1,0.8684,0.0122,0.0013,0.1,0.0,0.0,0.0,0.1
183,0.18,35.37,sig,d/p,mu,nc,1,0.8641,0.0153,0.0011,0.1,0.0,0.0,0.0,0.1
184,0.18,47.01,sig,d/p,mu,nc,1,0.8715,0.0202,0.001,0.1,0.0,0.0,0.0,0.0
185,0.18,63.04,sig,d/p,mu,nc,1,0.897,0.0297,0.0011,0.1,0.0,0.1,0.0,0.0
186,0.225,2.28,sig,d/p,mu,nc,1,0.8552,0.0172,0.0055,0.3,0.3,0.0,-0.3,0.3
187,0.225,2.74,sig,d/p,mu,nc,1,0.8761,0.0161,0.0044,0.2,0.1,0.0,-0.3,0.3
188,0.225,3.48,sig,d/p,mu,nc,1,0.8714,0.0109,0.0032,0.2,0.0,0.0,-0.2,0.2
189,0.225,4.47,sig,d/p,mu,nc,1,0.8702,0.0121,0.0027,0.2,-0.1,0.0,-0.1,0.2
190,0.225,5.47,sig,d/p,mu,nc,1,0.8445,0.0137,0.0023,0.2,-0.1,0.0,-0.1,0.1
191,0.225,6.97,sig,d/p,mu,nc,1,0.8607,0.0101,0.0024,0.2,-0.1,0.0,-0.1,0.2
192,0.225,8.93,sig,d/p,mu,nc,1,0.8464,0.0112,0.0021,0.2,-0.1,0.0,-0.1,0.1
193,0.225,11.38,sig,d/p,mu,nc,1,0.8534,0.0112,0.0018,0.2,0.0,0.0,-0.1,0.1
194,0.225,14.85,sig,d/p,mu,nc,1,0.8549,0.0116,0.0019,0.2,0.0,0.0,-0.1,0.1
195,0.225,19.74,sig,d/p,mu,nc,1,0.8617,0.0112,0.0017,0.1,0.0,0.0,-0.1,0.1
196,0.225,26.64,sig,d/p,mu,nc,1,0.8651,0.0126,0.0015,0.1,0.0,0.0,-0.1,0.1
197,0.225,35.42,sig,d/p,mu,nc,1,0.867,0.0155,0.0013,0.1,0.0,0.0,-0.1,0.1
198,0.225,46.95,sig,d/p,mu,nc,1,0.8343,0.0186,0.0011,0.1,0.0,0.0,0.0,0.1
199,0.225,63.23,sig,d/p,mu,nc,1,0.8218,0.0248,0.001,0.1,0.0,0.0,0.0,0.1
200,0.275,2.78,sig,d/p,mu,nc,1,0.8219,0.0203,0.0068,0.2,0.5,0.0,-0.4,0.5
201,0.275,3.46,sig,d/p,mu,nc,1,0.8637,0.0155,0.0051,0.2,0.1,0.0,-0.4,0.4
202,0.275,4.47,sig,d/p,mu,nc,1,0.8542,0.0141,0.0033,0.2,0.0,0.0,-0.2,0.2
203,0.275,5.47,sig,d/p,mu,nc,1,0.8505,0.0163,0.003,0.2,-0.1,0.0,-0.2,0.2
204,0.275,6.89,sig,d/p,mu,nc,1,0.8302,0.0142,0.0023,0.2,-0.1,0.0,-0.1,0.2
205,0.275,8.94,sig,d/p,mu,nc,1,0.8377,0.0134,0.0025,0.2,0.0,0.0,-0.2,0.2
206,0.275,11.37,sig,d/p,mu,nc,1,0.8202,0.0128,0.002,0.2,0.0,0.0,-0.1,0.1
207,0.275,14.87,sig,d/p,mu,nc,1,0.8459,0.0135,0.0022,0.2,0.0,0.0,-0.1,0.1
208,0.275,19.74,sig,d/p,mu,nc,1,0.8269,0.0127,0.0019,0.1,0.0,0.0,-0.1,0.1
209,0.275,26.6,sig,d/p,mu,nc,1,0.8334,0.014,0.0017,0.1,0.0,0.0,-0.1,0.1
210,0.275,35.43,sig,d/p,mu,nc,1,0.832,0.0169,0.0014,0.1,0.0,0.0,-0.1,0.1
211,0.275,46.98,sig,d/p,mu,nc,1,0.8444,0.0214,0.0013,0.1,0.0,0.0,-0.1,0.1
212,0.275,63.48,sig,d/p,mu,nc,1,0.8104,0.0265,0.001,0.1,0.0,0.0,0.0,0.1
213,0.275,90.68,sig,d/p,mu,nc,1,0.8027,0.0349,0.001,0.1,0.0,0.1,0.0,0.0
214,0.35,3.57,sig,d/p,mu,nc,1,0.8205,0.0158,0.008,0.2,0.5,0.0,-0.6,0.6
215,0.35,4.51,sig,d/p,mu,nc,1,0.7953,0.0134,0.0045,0.2,0.2,0.0,-0.3,0.4
216,0.35,5.48,sig,d/p,mu,nc,1,0.8332,0.0143,0.0041,0.2,0.0,0.0,-0.3,0.3
217,0.35,6.9,sig,d/p,mu,nc,1,0.7939,0.012,0.0031,0.2,0.0,0.0,-0.2,0.3
218,0.35,8.91,sig,d/p,mu,nc,1,0.8222,0.0165,0.0026,0.1,0.0,0.0,-0.2,0.2
219,0.35,11.43,sig,d/p,mu,nc,1,0.8188,0.0118,0.0028,0.2,0.0,0.0,-0.2,0.2
220,0.35,14.85,sig,d/p,mu,nc,1,0.7828,0.0113,0.0025,0.2,0.0,0.0,-0.2,0.2
221,0.35,19.74,sig,d/p,mu,nc,1,0.792,0.0109,0.0023,0.1,0.0,0.0,-0.2,0.2
222,0.35,26.63,sig,d/p,mu,nc,1,0.8055,0.012,0.002,0.1,0.0,0.0,-0.1,0.2
223,0.35,35.45,sig,d/p,mu,nc,1,0.8197,0.0147,0.0018,0.1,0.0,0.0,-0.1,0.1
224,0.35,47.12,sig,d/p,mu,nc,1,0.762,0.0162,0.0013,0.1,0.0,0.0,-0.1,0.1
225,0.35,63.52,sig,d/p,mu,nc,1,0.7732,0.0213,0.0011,0.1,0.0,0.0,0.0,0.1
226,0.35,96.35,sig,d/p,mu,nc,1,0.7614,0.0253,0.001,0.1,0.0,0.1,0.0,0.1
227,0.45,4.54,sig,d/p,mu,nc,1,0.7771,0.0242,0.0092,0.2,0.7,0.0,-0.7,0.7
228,0.45,5.47,sig,d/p,mu,nc,1,0.7608,0.0245,0.0066,0.2,0.4,0.0,-0.5,0.6
