,W2,Q2,x,nu,obs,target,curent,lepton beam,units,value,F2stat_u,F2angle_c,F2rad_c,F2charge_c
41,2.35,2,0.57643,1.849,F2,d,e,NC,1,0.116845,0.0009019,0.001314,4.29035e-05,0.000154275
42,2.39,2,0.56986,1.8703,F2,d,e,NC,1,0.11983,0.00091225,0.0013178,3.35875e-05,0.00017107
43,2.43,2,0.56344,1.8916,F2,d,e,NC,1,0.1201,0.0009667,0.00145715,3.61125e-05,0.000168665
44,2.47,2,0.55716,1.9129,F2,d,e,NC,1,0.12274,0.0009321,0.0014642,2.7543e-05,0.00017884
45,2.51,2,0.55102,1.9342,F2,d,e,NC,1,0.125595,0.0012431,0.0013417,0.000106335,1.28845e-05
46,2.55,2,0.54501,1.9555,F2,d,e,NC,1,0.128905,0.0009865,0.00157245,4.05045e-05,0.000223265
47,2.59,2,0.53914,1.9768,F2,d,e,NC,1,0.131275,0.0012837,0.00153275,0.00010679,1.3192e-05
48,2.63,2,0.53338,1.9982,F2,d,e,NC,1,0.13649,0.0020241,0.00209965,0.0001275,8.3205e-06
49,2.67,2,0.52775,2.0195,F2,d,e,NC,1,0.139335,0.00136005,0.00167815,0.000111325,1.5819e-05
50,2.71,2,0.52224,2.0408,F2,d,e,NC,1,0.14346,0.00164115,0.00183335,0.000123315,2.32595e-05
51,2.75,2,0.51684,2.0621,F2,d,e,NC,1,0.149055,0.00324205,0.00352065,0.00019418,1.1584e-05
52,2.79,2,0.51156,2.0834,F2,d,e,NC,1,0.15109,0.00169785,0.00186605,0.00012389,2.7681e-05
53,2.83,2,0.50637,2.1047,F2,d,e,NC,1,0.156525,0.00332565,0.00345625,0.000190075,1.37435e-05
54,2.87,2,0.5013,2.1261,F2,d,e,NC,1,0.157215,0.00212925,0.00277395,0.000143755,8.1385e-05
55,2.91,2,0.49632,2.1474,F2,d,e,NC,1,0.16261,0.0021591,0.00275115,0.000136125,8.9365e-05
56,2.95,2,0.49144,2.1687,F2,d,e,NC,1,0.16409,0.0020531,0.00243385,0.00011395,0.00010976
57,2.99,2,0.48666,2.19,F2,d,e,NC,1,0.164695,0.00285425,0.00217895,9.338e-05,0.00016813
58,3.03,2,0.48197,2.2113,F2,d,e,NC,1,0.16685,0.0026354,0.0018758,7.3435e-05,0.0002001
59,3.07,2,0.47737,2.2326,F2,d,e,NC,1,0.16601,0.00271325,0.00220385,8.4965e-05,0.000153325
60,3.11,2,0.47285,2.254,F2,d,e,NC,1,0.168045,0.002753,0.0022524,7.685e-05,0.00016717
61,3.15,2,0.46842,2.2753,F2,d,e,NC,1,0.170785,0.0020808,0.00233325,5.775e-05,8.794e-05
62,3.19,2,0.46408,2.2966,F2,d,e,NC,1,0.170885,0.00211355,0.00235545,3.8564e-05,0.000116375
63,3.23,2,0.45981,2.3179,F2,d,e,NC,1,0.174815,0.00215425,0.002394,2.32675e-05,0.000132915
64,3.27,2,0.45562,2.3392,F2,d,e,NC,1,0.178145,0.00218855,0.00246095,1.28505e-05,0.00014558
65,3.31,2,0.4515,2.3605,F2,d,e,NC,1,0.177065,0.00218545,0.00247235,9.3365e-06,0.00015806
66,3.35,2,0.44746,2.3818,F2,d,e,NC,1,0.18132,0.0032619,0.0028325,1.9217e-05,6.899e-05
67,3.39,2,0.44349,2.4032,F2,d,e,NC,1,0.18493,0.00219375,0.002514,2.68245e-05,0.00036231
68,3.43,2,0.43959,2.4245,F2,d,e,NC,1,0.18492,0.00228365,0.002619,3.0554e-05,0.000205535
69,3.47,2,0.43576,2.4458,F2,d,e,NC,1,0.190495,0.0021716,0.0025783,6.642e-05,0.000418765
70,3.51,2,0.432,2.4671,F2,d,e,NC,1,0.189525,0.00194715,0.00247455,7.9955e-05,0.0005872
71,3.55,2,0.4283,2.4884,F2,d,e,NC,1,0.194685,0.00199835,0.002131,0.000100795,0.0005196
72,3.59,2,0.42466,2.5097,F2,d,e,NC,1,0.19477,0.0020438,0.00207205,9.559e-05,0.00058815
73,3.63,2,0.42108,2.5311,F2,d,e,NC,1,0.19822,0.0020151,0.00221085,0.000106945,0.00054575
74,3.67,2,0.41757,2.5524,F2,d,e,NC,1,0.199835,0.00204245,0.00216395,7.8445e-05,0.00055005
75,3.71,2,0.41411,2.5737,F2,d,e,NC,1,0.19809,0.00227235,0.0017868,0.00013604,0.000826
76,3.75,2,0.41071,2.595,F2,d,e,NC,1,0.20538,0.0027318,0.0017461,0.000135845,0.0006082
77,3.79,2,0.40736,2.6163,F2,d,e,NC,1,0.20852,0.0027584,0.0017589,0.000149845,0.00065945
78,3.83,2,0.40407,2.6376,F2,d,e,NC,1,0.20334,0.0040985,0.00256505,0.00016303,0.0007212
79,3.87,2,0.40083,2.659,F2,d,e,NC,1,0.20668,0.00413735,0.0025774,0.00018234,0.0007819
80,3.91,2,0.39764,2.6803,F2,d,e,NC,1,0.20598,0.00467755,0.00080035,0.000121985,0.00015264
81,3.95,2,0.3945,2.7016,F2,d,e,NC,1,0.203835,0.0047227,0.0007701,0.00014472,0.00016495
82,3.99,2,0.39142,2.7229,F2,d,e,NC,1,0.21723,0.00475445,0.00083445,0.00016453,0.00018356
83,4.07,2,0.38538,2.7655,F2,d,e,NC,1,0.209625,0.0056505,0.00128845,0.0001838,0.00021345
84,4.11,2,0.38244,2.7868,F2,d,e,NC,1,0.20515,0.0056065,0.0012527,0.00018616,0.00023228
85,4.19,2,0.37667,2.8295,F2,d,e,NC,1,0.22016,0.0048772,0.00125585,0.000152115,0.00036011
86,4.23,2,0.37386,2.8508,F2,d,e,NC,1,0.22086,0.00449525,0.00163555,7.54e-05,0.000244535
87,4.27,2,0.37108,2.8721,F2,d,e,NC,1,0.21993,0.00450455,0.00165445,7.302e-05,0.000264585
88,0.47,3,1.1585,1.38,F2,d,e,NC,1,0.00291415,0.000141325,0.00018965,1.01385e-05,5.2355e-07
89,0.51,3,1.1408,1.4013,F2,d,e,NC,1,0.0038137,0.000177905,0.00024647,1.3122e-05,6.1115e-07
90,0.55,3,1.1237,1.4226,F2,d,e,NC,1,0.0047937,0.000230335,0.00033646,1.7638e-05,7.2715e-07
91,0.59,3,1.1072,1.444,F2,d,e,NC,1,0.0063065,0.000263945,0.000400755,2.1563e-05,9.2385e-07
92,0.63,3,1.0911,1.4653,F2,d,e,NC,1,0.0080705,0.00031339,0.00047392,2.55945e-05,9.71e-07
93,0.67,3,1.0754,1.4866,F2,d,e,NC,1,0.0108145,0.000372775,0.00055425,3.05395e-05,9.661e-07
94,0.71,3,1.0602,1.5079,F2,d,e,NC,1,0.0133815,0.00042348,0.00061025,3.4567e-05,9.64e-07
95,0.75,3,1.0454,1.5292,F2,d,e,NC,1,0.016928,0.00059985,0.001111,6.771e-05,1.58615e-06
96,0.79,3,1.0311,1.5505,F2,d,e,NC,1,0.020965,0.00052885,0.00084455,5.855e-05,1.1725e-06
97,0.83,3,1.0171,1.5718,F2,d,e,NC,1,0.0235715,0.000497185,0.00082815,7.1535e-05,1.33385e-06
98,0.87,3,1.0035,1.5932,F2,d,e,NC,1,0.025802,0.0006152,0.00062275,7.149e-05,4.1942e-07
99,0.91,3,0.99022,1.6145,F2,d,e,NC,1,0.025701,0.000495395,0.000253525,6.399e-05,4.3421e-07
100,0.95,3,0.97731,1.6358,F2,d,e,NC,1,0.024312,0.00065425,8.297e-05,6.96e-05,6.069e-07
101,0.99,3,0.96474,1.6571,F2,d,e,NC,1,0.022428,0.00056615,0.000195315,3.0892e-05,3.7747e-07
102,1.03,3,0.95249,1.6784,F2,d,e,NC,1,0.0203665,0.000537,0.000225375,2.1953e-05,4.01655e-07
103,1.07,3,0.94054,1.6997,F2,d,e,NC,1,0.0183545,0.00046884,0.000193385,1.7618e-05,4.79435e-07
104,1.11,3,0.92889,1.7211,F2,d,e,NC,1,0.0164825,0.000382015,9.435e-05,1.54025e-05,5.968e-07
105,1.15,3,0.91753,1.7424,F2,d,e,NC,1,0.0155245,0.00033993,7.613e-05,1.49595e-05,8.358e-07
106,1.19,3,0.90644,1.7637,F2,d,e,NC,1,0.0155945,0.00031041,0.000243965,1.31195e-05,7.8775e-07
107,1.23,3,0.89562,1.785,F2,d,e,NC,1,0.0161725,0.000369415,0.000419495,1.65755e-05,6.278e-07
108,1.27,3,0.88505,1.8063,F2,d,e,NC,1,0.0173645,0.00031856,0.0003209,1.3395e-05,7.533e-07
109,1.31,3,0.87473,1.8276,F2,d,e,NC,1,0.018451,0.000361695,0.00038458,1.6284e-05,8.2815e-07
110,1.35,3,0.86464,1.849,F2,d,e,NC,1,0.02058,0.00043249,0.00051755,2.3402e-05,1.0654e-06
111,1.39,3,0.85479,1.8703,F2,d,e,NC,1,0.022827,0.00043043,0.00049179,2.46705e-05,1.0301e-06
112,1.43,3,0.84516,1.8916,F2,d,e,NC,1,0.0247955,0.000486915,0.00052585,2.95945e-05,1.65505e-06
113,1.47,3,0.83574,1.9129,F2,d,e,NC,1,0.0264145,0.00048126,0.00051435,3.24025e-05,1.8237e-06
114,1.51,3,0.82653,1.9342,F2,d,e,NC,1,0.0277915,0.00048167,0.000493795,3.4553e-05,1.9907e-06
115,1.55,3,0.81752,1.9555,F2,d,e,NC,1,0.0288615,0.00047366,0.00046782,3.57615e-05,2.17055e-06
116,1.59,3,0.8087,1.9768,F2,d,e,NC,1,0.030308,0.0004761,0.000458095,3.7335e-05,2.36965e-06
117,1.63,3,0.80008,1.9982,F2,d,e,NC,1,0.030974,0.000340015,0.00037801,3.14965e-05,4.77125e-06
118,1.67,3,0.79163,2.0195,F2,d,e,NC,1,0.0323325,0.000384265,0.00043129,3.5727e-05,5.743e-06
119,1.71,3,0.78336,2.0408,F2,d,e,NC,1,0.034284,0.0006417,0.0006417,5.316e-05,3.1168e-06
120,1.75,3,0.77527,2.0621,F2,d,e,NC,1,0.0350665,0.000405605,0.0004715,3.7234e-05,6.713e-06
121,1.79,3,0.76733,2.0834,F2,d,e,NC,1,0.0361355,0.000419745,0.0005006,3.86215e-05,7.365e-06
122,1.83,3,0.75956,2.1047,F2,d,e,NC,1,0.0381085,0.000437135,0.00055345,4.1467e-05,8.726e-06
123,1.87,3,0.75195,2.1261,F2,d,e,NC,1,0.0395415,0.000487335,0.0006344,4.94495e-05,8.905e-06
124,1.91,3,0.74448,2.1474,F2,d,e,NC,1,0.0413955,0.0006681,0.0005283,4.2439e-05,1.31715e-05
125,1.95,3,0.73717,2.1687,F2,d,e,NC,1,0.044367,0.00084975,0.00073195,5.6375e-05,1.43845e-05
126,1.99,3,0.72999,2.19,F2,d,e,NC,1,0.046605,0.00078165,0.0007675,5.1875e-05,1.3012e-05
127,2.03,3,0.72295,2.2113,F2,d,e,NC,1,0.04946,0.00075605,0.0008999,6.7935e-05,1.83455e-05
128,2.07,3,0.71605,2.2326,F2,d,e,NC,1,0.05121,0.0009609,0.0008723,6.8885e-05,1.8852e-05
129,2.11,3,0.70928,2.254,F2,d,e,NC,1,0.054385,0.00073145,0.00083665,6.6015e-05,2.51165e-05
130,2.15,3,0.70263,2.2753,F2,d,e,NC,1,0.056095,0.0007462,0.0008475,6.863e-05,2.75675e-05
131,2.19,3,0.69611,2.2966,F2,d,e,NC,1,0.05843,0.0009356,0.0008629,6.5705e-05,3.2046e-05
132,2.23,3,0.68971,2.3179,F2,d,e,NC,1,0.061255,0.00076905,0.00084955,7.302e-05,3.37865e-05
133,2.27,3,0.68343,2.3392,F2,d,e,NC,1,0.063665,0.0009586,0.00086665,6.872e-05,3.86935e-05
134,2.31,3,0.67726,2.3605,F2,d,e,NC,1,0.0645,0.0008012,0.0008511,7.5085e-05,4.3531e-05
135,2.35,3,0.67119,2.3818,F2,d,e,NC,1,0.06706,0.00098645,0.00090525,7.138e-05,4.8387e-05
136,2.39,3,0.66524,2.4032,F2,d,e,NC,1,0.06909,0.0009906,0.0007776,5.95e-05,5.3885e-05
137,2.43,3,0.65939,2.4245,F2,d,e,NC,1,0.06938,0.00088795,0.00092135,6.7075e-05,6.7235e-05
138,2.47,3,0.65365,2.4458,F2,d,e,NC,1,0.07244,0.0009157,0.0009967,6.7055e-05,7.405e-05
139,2.51,3,0.648,2.4671,F2,d,e,NC,1,0.07574,0.00093875,0.0010454,6.7965e-05,8.131e-05
140,2.55,3,0.64245,2.4884,F2,d,e,NC,1,0.077935,0.002015,0.00116035,6.837e-05,0.0001421
141,2.59,3,0.63699,2.5097,F2,d,e,NC,1,0.07925,0.00103185,0.0011259,7.2125e-05,7.183e-05
142,2.63,3,0.63163,2.5311,F2,d,e,NC,1,0.081135,0.0007099,0.0009984,6.0985e-05,6.3425e-05
143,2.67,3,0.62635,2.5524,F2,d,e,NC,1,0.08497,0.0010693,0.0011886,7.3175e-05,7.665e-05
144,2.71,3,0.62116,2.5737,F2,d,e,NC,1,0.084965,0.0011016,0.0011725,6.555e-05,0.00012198
145,2.75,3,0.61606,2.595,F2,d,e,NC,1,0.08753,0.000729,0.00098115,5.099e-05,0.00010662
146,2.79,3,0.61104,2.6163,F2,d,e,NC,1,0.089795,0.00102985,0.0009953,4.84745e-05,0.0001519
147,2.83,3,0.6061,2.6376,F2,d,e,NC,1,0.09132,0.00111275,0.0013162,8.0785e-05,8.232e-05
148,2.91,3,0.59646,2.6803,F2,d,e,NC,1,0.096775,0.00113525,0.00104485,4.4266e-05,0.00018417
149,2.99,3,0.58713,2.7229,F2,d,e,NC,1,0.101045,0.00108555,0.0010462,3.8588e-05,0.00020565
150,3.03,3,0.58256,2.7442,F2,d,e,NC,1,0.10123,0.0047356,0.001615,0.000148965,5.9575e-05
151,3.07,3,0.57807,2.7655,F2,d,e,NC,1,0.102735,0.00181035,0.00167185,7.9155e-05,0.00021062
152,3.11,3,0.57365,2.7868,F2,d,e,NC,1,0.10683,0.00171335,0.00166385,6.496e-05,0.00021908
153,3.15,3,0.5693,2.8082,F2,d,e,NC,1,0.107785,0.0018567,0.00171755,6.5695e-05,0.000242375
154,3.19,3,0.56501,2.8295,F2,d,e,NC,1,0.11047,0.0017586,0.0015158,5.6715e-05,0.000216075
155,3.23,3,0.56078,2.8508,F2,d,e,NC,1,0.111645,0.00178265,0.00156765,4.9153e-05,0.000236305
156,3.27,3,0.55662,2.8721,F2,d,e,NC,1,0.112775,0.00180835,0.00157045,2.7851e-05,0.000329755
157,3.31,3,0.55252,2.8934,F2,d,e,NC,1,0.11446,0.00169325,0.0016266,5.4005e-05,0.0005084
158,3.35,3,0.54848,2.9147,F2,d,e,NC,1,0.117245,0.00201305,0.00174065,2.15505e-05,0.000408045
159,3.39,3,0.5445,2.9361,F2,d,e,NC,1,0.118305,0.00177295,0.00165425,3.8933e-05,0.00042504
160,3.43,3,0.54058,2.9574,F2,d,e,NC,1,0.12122,0.00174595,0.00172185,6.216e-05,0.00063265
161,3.47,3,0.53671,2.9787,F2,d,e,NC,1,0.126615,0.0041441,0.00172905,2.1677e-05,0.00026458
162,3.51,3,0.53289,3.0,F2,d,e,NC,1,0.126585,0.0038351,0.0016498,9.182e-06,0.00027602
163,3.55,3,0.52913,3.0213,F2,d,e,NC,1,0.126655,0.005644,0.0018809,1.9927e-05,0.000202665
164,3.59,3,0.52543,3.0426,F2,d,e,NC,1,0.12831,0.00205525,0.00188905,7.188e-05,0.0007727
165,3.63,3,0.52177,3.064,F2,d,e,NC,1,0.12988,0.0043253,0.00130615,1.1421e-05,0.00018496
166,3.67,3,0.51817,3.0853,F2,d,e,NC,1,0.130725,0.00193055,0.0017257,8.3365e-05,0.00079435
167,3.71,3,0.51461,3.1066,F2,d,e,NC,1,0.130795,0.0027068,0.0014433,2.5225e-05,0.00025906
168,3.75,3,0.5111,3.1279,F2,d,e,NC,1,0.136765,0.00273945,0.0016331,3.4891e-05,0.00030584
169,3.79,3,0.50764,3.1492,F2,d,e,NC,1,0.134355,0.0036605,0.00124065,7.097e-05,0.00043273
170,3.83,3,0.50423,3.1705,F2,d,e,NC,1,0.143045,0.002901,0.00149945,8.016e-05,0.00039751
171,3.87,3,0.50086,3.1918,F2,d,e,NC,1,0.141015,0.0026567,0.00083735,8.4315e-05,0.00018823
172,3.91,3,0.49754,3.2132,F2,d,e,NC,1,0.138755,0.0034818,0.00189575,9.3445e-05,0.000363385
173,3.95,3,0.49426,3.2345,F2,d,e,NC,1,0.13858,0.0034847,0.0019851,0.00011246,0.000410205
174,3.99,3,0.49103,3.2558,F2,d,e,NC,1,0.143,0.0044367,0.0019911,0.000154385,0.00044407
175,4.03,3,0.48783,3.2771,F2,d,e,NC,1,0.14323,0.0026933,0.00130875,0.00014321,0.00040687
176,4.07,3,0.48468,3.2984,F2,d,e,NC,1,0.14907,0.0045363,0.0020253,0.000194635,0.00056595
177,4.11,3,0.48157,3.3197,F2,d,e,NC,1,0.149645,0.0037427,0.00207185,0.000190595,0.00066185
178,4.15,3,0.4785,3.3411,F2,d,e,NC,1,0.15363,0.00365265,0.0012011,0.000192675,0.00075945
179,4.19,3,0.47546,3.3624,F2,d,e,NC,1,0.15179,0.00346035,0.0012857,0.00016384,0.00081935
180,4.31,3,0.46659,3.4263,F2,d,e,NC,1,0.16092,0.0057045,0.0022062,0.000207345,0.0012803
181,4.35,3,0.4637,3.4476,F2,d,e,NC,1,0.161775,0.005738,0.0022192,0.000209585,0.00137685
182,4.39,3,0.46085,3.469,F2,d,e,NC,1,0.165815,0.005816,0.00226225,0.00021333,0.00148465
183,4.43,3,0.45804,3.4903,F2,d,e,NC,1,0.16333,0.0057955,0.00221715,0.000214785,0.0015993
184,0.43,4,1.1269,1.8916,F2,d,e,NC,1,0.0018334,0.0008546,0.0,0.0,0.0
185,0.47,4,1.1143,1.9129,F2,d,e,NC,1,0.0016096,0.00063485,0.0,0.0,0.0
186,0.51,4,1.102,1.9342,F2,d,e,NC,1,0.00251905,0.0005937,0.0,0.0,0.0
187,0.59,4,1.0783,1.9768,F2,d,e,NC,1,0.00429875,0.0006646,0.0,0.0,0.0
188,0.63,4,1.0668,1.9982,F2,d,e,NC,1,0.005057,0.0006344,0.0,0.0,0.0
189,0.67,4,1.0555,2.0195,F2,d,e,NC,1,0.0062005,0.00060595,0.0,0.0,0.0
190,0.71,4,1.0445,2.0408,F2,d,e,NC,1,0.007784,0.00060145,0.0,0.0,0.0
191,0.79,4,1.0231,2.0834,F2,d,e,NC,1,0.009913,0.00072465,0.0,0.0,0.0
192,0.83,4,1.0127,2.1047,F2,d,e,NC,1,0.011038,0.0007031,0.0,0.0,0.0
193,0.87,4,1.0026,2.1261,F2,d,e,NC,1,0.011754,0.00084565,0.0,0.0,0.0
194,0.91,4,0.99264,2.1474,F2,d,e,NC,1,0.0127485,0.0007444,0.0,0.0,0.0
195,0.99,4,0.97332,2.19,F2,d,e,NC,1,0.011548,0.0006714,0.0,0.0,0.0
196,1.03,4,0.96394,2.2113,F2,d,e,NC,1,0.0110635,0.00062825,0.0,0.0,0.0
197,1.07,4,0.95473,2.2326,F2,d,e,NC,1,0.010284,0.00061515,0.0,0.0,0.0
198,1.11,4,0.94571,2.254,F2,d,e,NC,1,0.0096255,0.00059735,0.0,0.0,0.0
199,1.19,4,0.92815,2.2966,F2,d,e,NC,1,0.0096245,0.00061265,0.0,0.0,0.0
200,1.23,4,0.91962,2.3179,F2,d,e,NC,1,0.0098035,0.000242195,0.00022849,1.10555e-05,2.2938e-06
201,1.27,4,0.91124,2.3392,F2,d,e,NC,1,0.010267,0.000264725,0.000292985,1.25915e-05,2.5047e-06
202,1.31,4,0.90301,2.3605,F2,d,e,NC,1,0.010943,0.000322405,0.000422425,1.84035e-05,3.333e-06
203,1.35,4,0.89493,2.3818,F2,d,e,NC,1,0.0119405,0.000353855,0.00048575,2.28935e-05,3.739e-06
204,1.39,4,0.88699,2.4032,F2,d,e,NC,1,0.012683,0.00036866,0.0005264,2.75025e-05,4.2665e-06
205,1.43,4,0.87919,2.4245,F2,d,e,NC,1,0.0131355,0.000347165,0.00045438,2.64945e-05,3.9395e-06
206,1.47,4,0.87153,2.4458,F2,d,e,NC,1,0.014235,0.000359295,0.000471945,3.0411e-05,4.4459e-06
207,1.51,4,0.864,2.4671,F2,d,e,NC,1,0.01557,0.000396165,0.00055615,3.89915e-05,5.7235e-06
208,1.55,4,0.8566,2.4884,F2,d,e,NC,1,0.0158435,0.000395735,0.00053835,4.046e-05,6.2275e-06
209,1.59,4,0.84932,2.5097,F2,d,e,NC,1,0.0170125,0.00026643,0.00030642,2.4693e-05,6.3255e-06
210,1.67,4,0.83514,2.5524,F2,d,e,NC,1,0.019767,0.00057845,0.000488575,3.8798e-05,1.2835e-05
211,1.71,4,0.82822,2.5737,F2,d,e,NC,1,0.019524,0.000269095,0.00033119,2.6411e-05,9.4525e-06
212,1.75,4,0.82142,2.595,F2,d,e,NC,1,0.022235,0.00072625,0.000407045,3.22945e-05,2.004e-05
213,1.79,4,0.81472,2.6163,F2,d,e,NC,1,0.022997,0.0007508,0.00043443,3.40065e-05,2.1876e-05
214,1.83,4,0.80814,2.6376,F2,d,e,NC,1,0.022583,0.00065695,0.0006109,4.52565e-05,1.84125e-05
215,1.87,4,0.80166,2.659,F2,d,e,NC,1,0.023706,0.0006453,0.00070595,5.0705e-05,1.8378e-05
216,1.91,4,0.79528,2.6803,F2,d,e,NC,1,0.0251965,0.00067195,0.0007566,5.3695e-05,2.04605e-05
217,1.95,4,0.78901,2.7016,F2,d,e,NC,1,0.0259125,0.0006808,0.00080815,5.715e-05,1.76855e-05
218,1.99,4,0.78283,2.7229,F2,d,e,NC,1,0.0278355,0.00076095,0.00078425,5.721e-05,2.6929e-05
219,2.03,4,0.77675,2.7442,F2,d,e,NC,1,0.031689,0.00143445,0.000464225,3.7776e-05,1.0045e-05
220,2.07,4,0.77077,2.7655,F2,d,e,NC,1,0.0313855,0.0007405,0.00099345,7.1205e-05,2.5856e-05
221,2.11,4,0.76487,2.7868,F2,d,e,NC,1,0.032795,0.0013091,0.00044868,3.934e-05,2.24595e-05
222,2.15,4,0.75906,2.8082,F2,d,e,NC,1,0.035089,0.0013386,0.000472235,4.23495e-05,2.4392e-05
223,2.19,4,0.75335,2.8295,F2,d,e,NC,1,0.0359315,0.0006858,0.0006945,5.4825e-05,3.42935e-05
224,2.27,4,0.74216,2.8721,F2,d,e,NC,1,0.039183,0.000716,0.00071525,5.7475e-05,4.11875e-05
225,2.31,4,0.7367,2.8934,F2,d,e,NC,1,0.040516,0.00141665,0.000483565,4.98785e-05,3.3418e-05
226,2.35,4,0.73131,2.9147,F2,d,e,NC,1,0.040507,0.0006992,0.0005969,5.0895e-05,6.61e-05
227,2.39,4,0.726,2.9361,F2,d,e,NC,1,0.0425185,0.00086505,0.00053465,5.314e-05,2.49165e-05
