,Elab,X,Q2,obs,target,lepton beam,current,units,value,stat_u,syst_u,*norm_c
46,27.6,0.1334,2.158,F2,p,e_plus,NC,1,0.359,0.0037336,0.0079354,0.027284
47,27.6,0.1662,2.458,F2,p,e_plus,NC,1,0.363,0.0041745,0.0038068,0.027588
48,27.6,0.2105,2.851,F2,p,e_plus,NC,1,0.355,0.0025915,0.008604,0.02698
49,27.6,0.2724,3.479,F2,p,e_plus,NC,1,0.316,0.0020856,0.0055936,0.024016
50,27.6,0.3622,5.125,F2,p,e_plus,NC,1,0.25,0.0015,0.0046371,0.019
51,27.6,0.4957,8.28,F2,p,e_plus,NC,1,0.147,0.0009702,0.0032963,0.011172
52,27.6,0.0408,1.615,F2,p,e_plus,NC,1,0.317,0.0022824,0.010697,0.024092
53,27.6,0.0496,1.927,F2,p,e_plus,NC,1,0.323,0.0020995,0.010075,0.024548
54,27.6,0.0596,1.675,F2,p,e_plus,NC,1,0.337,0.0041114,0.0069003,0.025612
55,27.6,0.0726,1.928,F2,p,e_plus,NC,1,0.352,0.0049984,0.0077641,0.026752
56,27.6,0.0885,2.08,F2,p,e_plus,NC,1,0.354,0.0032214,0.0046312,0.026904
57,27.6,0.1083,2.49,F2,p,e_plus,NC,1,0.364,0.0036036,0.0056454,0.027664
58,27.6,0.1334,2.795,F2,p,e_plus,NC,1,0.372,0.0030504,0.010007,0.028272
59,27.6,0.1663,3.195,F2,p,e_plus,NC,1,0.358,0.0031504,0.0069132,0.027208
60,27.6,0.2106,3.709,F2,p,e_plus,NC,1,0.343,0.0023324,0.00623,0.026068
61,27.6,0.2726,4.527,F2,p,e_plus,NC,1,0.315,0.002646,0.0067696,0.02394
62,27.6,0.3624,6.797,F2,p,e_plus,NC,1,0.242,0.0013794,0.0039584,0.018392
63,27.6,0.5038,11.344,F2,p,e_plus,NC,1,0.132,0.0012936,0.0021688,0.010032
64,27.6,0.0597,1.906,F2,p,e_plus,NC,1,0.333,0.0030969,0.0040569,0.025308
65,27.6,0.0726,2.276,F2,p,e_plus,NC,1,0.346,0.0032178,0.005789,0.026296
66,27.6,0.0885,2.587,F2,p,e_plus,NC,1,0.351,0.002457,0.0049624,0.026676
67,27.6,0.1083,3.071,F2,p,e_plus,NC,1,0.355,0.002059,0.0054513,0.02698
68,27.6,0.1335,3.538,F2,p,e_plus,NC,1,0.356,0.0029192,0.0034011,0.027056
69,27.6,0.1664,4.051,F2,p,e_plus,NC,1,0.354,0.0019824,0.0047474,0.026904
70,27.6,0.2107,4.702,F2,p,e_plus,NC,1,0.336,0.0019488,0.0034883,0.025536
71,27.6,0.2726,5.685,F2,p,e_plus,NC,1,0.304,0.0020064,0.0061877,0.023104
72,27.6,0.3679,9.154,F2,p,e_plus,NC,1,0.234,0.0015912,0.0033385,0.017784
73,27.6,0.0603,2.319,F2,p,e_plus,NC,1,0.33,0.002508,0.0094453,0.02508
74,27.6,0.0734,2.806,F2,p,e_plus,NC,1,0.339,0.0023391,0.0082912,0.025764
75,27.6,0.0894,3.341,F2,p,e_plus,NC,1,0.349,0.0023732,0.0065636,0.026524
76,27.6,0.1094,3.946,F2,p,e_plus,NC,1,0.346,0.0021452,0.0053028,0.026296
77,27.6,0.1347,4.618,F2,p,e_plus,NC,1,0.346,0.0020068,0.0028828,0.026296
78,27.6,0.1679,5.344,F2,p,e_plus,NC,1,0.342,0.0019836,0.0051092,0.025992
79,27.6,0.2128,6.266,F2,p,e_plus,NC,1,0.33,0.002079,0.0068241,0.02508
80,27.6,0.2759,7.501,F2,p,e_plus,NC,1,0.296,0.0016872,0.0026172,0.022496
