,I,J,x,Q2,Elab,target,curent,lepton beam,units,theta,sigma(pb/sr/GeV per nucleon),*epsilon,*y,obs,*value,%stat,%syst,%dST_u,%dSR_u,%dSY_c,%dSE_c,%*dRC_c,%1dN1_c,%2dN1_c,%3dN1_c,%4dN1_c,%5dN1_c,%6dN1_c,%7dN1_c,%8dN1_c,%1dN2_c,%2dN2_c,%3dN2_c,%4dN2_c,%5dN2_c,%6dN2_c,%7dN2_c,%8dN2_c,%*norm_c
84,85,1,0.096,1.968,15.204,d,e,NC,1,10.0,19900.0,0.5136196614539,0.719806945784529,sig_r,0.291892715509009,2.8,2.0,2.2,1.8,1.0,-1.1,0.526846575528369,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
85,86,1,0.746,6.879,17.706,d,e,NC,1,10.0,1531.0,0.935308648121964,0.277841740599395,sig_r,0.0249947599636914,6.0,2.4,5.1,3.2,2.2,0.6,0.190024701807338,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
86,87,1,0.69,6.729,17.706,d,e,NC,1,10.0,2109.0,0.928691245660132,0.29358875890294,sig_r,0.0360922131796205,4.3,1.8,3.5,2.4,1.6,0.6,0.178775117622224,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
87,88,1,0.662,6.647,17.706,d,e,NC,1,10.0,2283.0,0.924859275763313,0.302197128908879,sig_r,0.0400377710022578,20.7,1.6,20.6,2.2,1.3,0.5,0.172260768797632,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
88,89,1,0.599,6.441,17.706,d,e,NC,1,10.0,3728.0,0.914543316411178,0.323823034045748,sig_r,0.0693122491074033,3.0,1.3,2.3,1.9,1.0,0.5,0.154723637899002,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
89,90,1,0.528,6.174,17.706,d,e,NC,1,10.0,4976.0,0.899650476680409,0.351852726626059,sig_r,0.0987948443651938,2.8,1.0,2.1,1.8,0.7,0.4,0.129405810356695,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
90,91,1,0.465,5.894,17.706,d,e,NC,1,10.0,6415.0,0.88209785454193,0.381247160792678,sig_r,0.135238919142949,2.6,0.9,1.9,1.8,0.5,0.3,0.0995663527212819,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
91,92,1,0.404,5.569,17.706,d,e,NC,1,10.0,7766.0,0.859113484352514,0.41536570045036,sig_r,0.174007761801583,2.6,0.8,1.9,1.8,0.4,0.1,0.0604929233992742,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
92,93,1,0.347,5.215,17.706,d,e,NC,1,10.0,8977.0,0.830726536471399,0.452528663646728,sig_r,0.21169810401487,2.6,0.8,1.8,1.8,0.4,0.0,0.012235112001379,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
93,94,1,0.297,4.845,17.706,d,e,NC,1,10.0,9928.0,0.797146217466816,0.491371308795474,sig_r,0.243966389259708,2.6,0.9,1.8,1.8,0.4,-0.1,0.044851430306413,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
94,95,1,0.251,4.446,17.706,d,e,NC,1,10.0,10520.0,0.756276595356441,0.533258377482906,sig_r,0.265942256491427,2.7,1.0,2.0,1.8,0.4,-0.3,0.114329787894051,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
95,96,1,0.208,4.003,17.706,d,e,NC,1,10.0,11280.0,0.705071117571069,0.579764571539377,sig_r,0.289110092110704,2.7,1.2,2.0,1.8,0.4,-0.4,0.201379100129183,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
96,97,1,0.178,3.649,17.706,d,e,NC,1,10.0,11560.0,0.659681403655689,0.616927534735745,sig_r,0.294574387366199,2.7,1.5,2.0,1.8,0.7,-0.6,0.278541613785329,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
97,98,1,0.15,3.265,17.706,d,e,NC,1,10.0,12280.0,0.605965868988997,0.657239901592822,sig_r,0.307122388816498,2.7,1.8,2.0,1.8,0.7,-0.7,0.369858022718705,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
98,99,1,0.122,2.851,17.706,d,e,NC,1,10.0,12950.0,0.54294420246495,0.700701672110608,sig_r,0.307080682466247,2.7,2.1,2.0,1.8,0.7,-0.9,0.476994855809585,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
99,100,1,0.099,2.438,17.706,d,e,NC,1,10.0,13030.0,0.475030305990671,0.744058462506371,sig_r,0.289103475319084,3.1,2.3,2.5,1.8,1.0,-1.0,0.592448479815859,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
100,101,1,0.077,2.009,17.706,d,e,NC,1,10.0,14790.0,0.399553282860008,0.789094934854511,sig_r,0.292841348523524,3.3,2.4,2.8,1.8,0.8,-1.2,0.720759419137986,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
101,102,1,0.771,8.088,19.35,d,e,NC,1,10.0,783.6,0.930641865175561,0.289069417573279,sig_r,0.0172755262455395,5.3,2.8,3.9,3.6,2.6,0.8,0.182091170798454,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
102,103,1,0.711,7.897,19.35,d,e,NC,1,10.0,1304.0,0.923182759316917,0.305858208528213,sig_r,0.0301526016425728,3.5,2.0,2.4,2.6,1.8,0.8,0.169410690838758,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
103,104,1,0.645,7.656,19.35,d,e,NC,1,10.0,1978.0,0.912921696308285,0.327041970937318,sig_r,0.0483840264660553,2.7,1.6,1.7,2.1,1.2,0.7,0.151966883724084,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
104,105,1,0.571,7.348,19.35,d,e,NC,1,10.0,2874.0,0.898371154094793,0.354114995095012,sig_r,0.0748043528111962,2.4,1.2,1.6,1.8,0.8,0.6,0.127230961961148,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
105,106,1,0.508,7.037,19.35,d,e,NC,1,10.0,3829.0,0.881968539027377,0.381451717539956,sig_r,0.1054550987545,2.4,1.0,1.6,1.8,0.6,0.5,0.0993465163465402,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
106,107,1,0.447,6.691,19.35,d,e,NC,1,10.0,4860.0,0.861604927061324,0.41186492000282,sig_r,0.141051012228924,2.4,0.9,1.6,1.8,0.5,0.3,0.0647283760042505,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
107,108,1,0.393,6.328,19.35,d,e,NC,1,10.0,5660.0,0.837738471180232,0.443772412760103,sig_r,0.172344481004319,2.4,0.9,1.6,1.8,0.4,0.2,0.0241554010063946,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
108,109,1,0.341,5.931,19.35,d,e,NC,1,10.0,6620.0,0.808578086460429,0.478668486106222,sig_r,0.209509799864795,2.5,0.9,1.7,1.8,0.4,0.1,0.0254172530172713,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
109,110,1,0.293,5.498,19.35,d,e,NC,1,10.0,7151.0,0.772991895780884,0.516728938899343,sig_r,0.233635813087074,2.5,0.9,1.7,1.8,0.4,-0.1,0.0859137771724973,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
110,111,1,0.248,5.032,19.35,d,e,NC,1,10.0,7901.0,0.730148884760409,0.557690072852218,sig_r,0.262576807342478,2.5,1.0,1.7,1.8,0.4,-0.2,0.158746895907304,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
111,112,1,0.215,4.634,19.35,d,e,NC,1,10.0,8432.0,0.689755053732277,0.59267404562742,sig_r,0.281365422892908,2.5,1.2,1.7,1.8,0.4,-0.4,0.22741640865513,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
112,113,1,0.185,4.219,19.35,d,e,NC,1,10.0,9538.0,0.643881934594252,0.629152308697041,sig_r,0.316311560528952,2.5,1.4,1.7,1.8,0.4,-0.5,0.305400711189772,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
113,114,1,0.157,3.804,19.35,d,e,NC,1,10.0,9117.0,0.594206545842083,0.665630571766661,sig_r,0.29385078038115,2.6,1.8,1.8,1.8,0.7,-0.6,0.389848872068459,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
114,115,1,0.131,3.355,19.35,d,e,NC,1,10.0,9968.0,0.536283048813199,0.705097415425118,sig_r,0.30767876677606,2.6,2.2,1.8,1.8,0.7,-0.8,0.488318817017562,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
115,116,1,0.107,2.888,19.35,d,e,NC,1,10.0,10510.0,0.47163842622523,0.746146448807076,sig_r,0.303004672346393,2.5,2.6,1.8,1.8,1.0,-1.0,0.59821467541711,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
116,117,1,0.083,2.386,19.35,d,e,NC,1,10.0,11450.0,0.397518076948573,0.790271962206954,sig_r,0.292872532941145,2.7,2.6,2.0,1.8,1.0,-1.1,0.724219269187426,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
117,118,2,0.337,1.171,4.504,d,e,NC,1,18.02,62040.0,0.834823190000851,0.411591889415211,sig_r,0.237093021557136,1.0,0.8,0.4,0.9,0.5,-0.2,0.0191994230014465,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
118,119,2,0.293,1.102,4.504,d,e,NC,1,18.02,62970.0,0.809958997222863,0.446263246913375,sig_r,0.253415760857628,0.9,0.8,0.3,0.9,0.5,-0.3,0.0230697047211334,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
119,120,2,0.26,1.043,4.504,d,e,NC,1,18.02,63460.0,0.78628917770191,0.475909769991516,sig_r,0.264195566732903,1.0,0.8,0.4,0.9,0.5,-0.3,0.0633083979067523,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
120,121,2,0.235,0.994,4.504,d,e,NC,1,18.02,64240.0,0.764883494479274,0.500531458649632,sig_r,0.272779390277548,1.3,0.9,0.9,0.9,0.5,-0.4,0.0996980593852338,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
121,122,2,0.188,0.884,4.504,d,e,NC,1,18.02,62970.0,0.710855376585282,0.555804637269894,sig_r,0.275251862356798,1.3,1.0,1.0,0.9,0.4,-0.5,0.191545859805021,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
122,123,2,0.15,0.773,4.504,d,e,NC,1,18.02,61840.0,0.647724045196692,0.611580299332159,sig_r,0.271670400962291,1.3,1.2,1.0,0.9,0.4,-0.6,0.298869123165624,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
123,124,2,0.118,0.663,4.504,d,e,NC,1,18.02,60120.0,0.576541866190804,0.666853477952421,sig_r,0.255890300896679,1.4,1.7,1.1,0.9,0.4,-0.7,0.419878827475633,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
124,125,2,0.522,2.515,6.509,d,e,NC,1,18.02,11960.0,0.845749495120353,0.394898868117645,sig_r,0.134124622878898,1.1,0.9,0.7,0.9,0.5,0.4,0.037774141704601,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
125,126,2,0.485,2.443,6.509,d,e,NC,1,18.02,12550.0,0.834397774560695,0.412221842867359,sig_r,0.144677769661707,1.3,0.9,1.0,0.9,0.5,0.4,0.0184762167531811,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
126,127,2,0.408,2.266,6.509,d,e,NC,1,18.02,15210.0,0.803369161375199,0.454807489127071,sig_r,0.186233833666502,1.2,0.8,0.8,0.9,0.5,0.2,0.0342724256621614,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
127,128,2,0.355,2.121,6.509,d,e,NC,1,18.02,17100.0,0.7745037233891,0.489694035498022,sig_r,0.217367248753328,1.2,0.8,0.8,0.9,0.4,0.1,0.0833436702385299,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
128,129,2,0.298,1.941,6.509,d,e,NC,1,18.02,18530.0,0.734161251435604,0.533001472372306,sig_r,0.242383234529272,1.2,0.8,0.8,0.9,0.4,0.0,0.151925872559472,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
129,130,2,0.243,1.732,6.509,d,e,NC,1,18.02,20500.0,0.680842012007857,0.58328621852078,sig_r,0.271779959797407,1.3,0.8,1.0,0.9,0.4,-0.2,0.242568579586643,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
130,131,2,0.203,1.553,6.509,d,e,NC,1,18.02,20650.0,0.629536943386871,0.62635305852354,sig_r,0.271600195318542,1.3,0.9,0.9,0.9,0.4,-0.3,0.32978719624232,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
131,132,2,0.178,1.428,6.509,d,e,NC,1,18.02,21360.0,0.590620420495129,0.656427667464015,sig_r,0.275784284695114,1.3,1.0,0.9,0.9,0.4,-0.4,0.395945285158281,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
132,133,2,0.157,1.312,6.509,d,e,NC,1,18.02,21700.0,0.552262227882356,0.684336904560775,sig_r,0.273073858067298,1.3,1.1,0.9,0.9,0.4,-0.5,0.461154212599995,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
133,134,2,0.102,0.958,6.509,d,e,NC,1,18.02,24660.0,0.422457687511484,0.769508197080201,sig_r,0.266177794653488,1.7,2.3,1.5,0.9,0.4,-0.7,0.681821931230477,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
134,135,2,0.742,6.115,10.392,d,e,NC,1,18.02,630.2,0.827101146900269,0.422812782917016,sig_r,0.030081774153,2.8,2.1,2.5,1.3,1.4,1.4,0.00607194973045663,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
135,136,2,0.673,5.862,10.392,d,e,NC,1,18.02,912.1,0.809631874599831,0.446693137115216,sig_r,0.044986879470251,2.8,1.8,2.6,1.1,1.0,1.3,0.023625813180287,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
136,137,2,0.61,5.605,10.392,d,e,NC,1,18.02,1307.0,0.790406657684568,0.470951046320503,sig_r,0.0662804884560442,2.8,1.6,2.6,1.0,0.8,1.2,0.0563086819362346,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
137,138,2,0.555,5.352,10.392,d,e,NC,1,18.02,1750.0,0.769982474273406,0.494831400518703,sig_r,0.090894282173451,2.2,1.4,2.0,1.0,0.7,1.0,0.0910297937352101,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
138,139,2,0.484,4.986,10.392,d,e,NC,1,18.02,2358.0,0.737732635747933,0.529377683667088,sig_r,0.125612972583242,1.6,1.3,1.2,1.0,0.5,0.9,0.145854519228514,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
139,140,2,0.402,4.501,10.392,d,e,NC,1,18.02,3277.0,0.689941465733929,0.575156228276286,sig_r,0.177097877168512,1.3,1.2,0.9,1.0,0.5,0.6,0.227099508252321,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
140,141,2,0.344,4.103,10.392,d,e,NC,1,18.02,3871.0,0.646339213720437,0.61272295148136,sig_r,0.20855501475644,1.3,1.1,0.9,1.0,0.4,0.5,0.301223336675257,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
141,142,2,0.302,3.78,10.392,d,e,NC,1,18.02,4358.0,0.608034662823875,0.643210518303569,sig_r,0.231720130735614,1.3,1.1,0.8,1.0,0.4,0.3,0.366341073199412,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
142,143,2,0.268,3.501,10.392,d,e,NC,1,18.02,4783.0,0.572858662732833,0.669544980047829,sig_r,0.248534662175547,1.4,1.2,1.0,1.0,0.4,0.2,0.426140273354185,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
143,144,2,0.241,3.254,10.392,d,e,NC,1,18.02,5134.0,0.540125834050956,0.6928590017354,sig_r,0.260384093111751,1.7,1.3,1.4,1.0,0.4,0.1,0.481786082113375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
144,145,2,0.212,2.973,10.392,d,e,NC,1,18.02,5556.0,0.50111240073874,0.719382240983203,sig_r,0.271081907426233,1.3,1.5,0.9,1.0,0.4,-0.1,0.548108918744142,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
145,146,2,0.19,2.74,10.392,d,e,NC,1,18.02,5880.0,0.467374110787701,0.741374820145973,sig_r,0.276115326301633,1.6,1.7,1.3,1.0,0.4,-0.2,0.605464011660909,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
146,147,2,0.172,2.546,10.392,d,e,NC,1,18.02,5909.0,0.438357127767307,0.759686237989652,sig_r,0.266029606312979,2.1,1.9,1.9,1.0,0.4,-0.3,0.654792882795578,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
147,148,2,0.156,2.362,10.392,d,e,NC,1,18.02,6390.0,0.410088520572283,0.777053768315616,sig_r,0.275082310291655,1.9,1.9,1.6,1.0,0.4,-0.3,0.702849515027118,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
148,149,2,0.141,2.178,10.392,d,e,NC,1,18.02,6091.0,0.381123011631334,0.79442129864158,sig_r,0.249479379577905,3.2,1.9,3.1,0.9,0.4,-0.4,0.752090880226732,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
149,150,2,0.129,2.036,10.392,d,e,NC,1,18.02,6880.0,0.358313840640802,0.807824501393139,sig_r,0.267956622925194,2.3,1.8,2.1,0.9,0.4,-0.5,0.790866470910636,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
150,151,2,0.113,1.827,10.392,d,e,NC,1,18.02,7474.0,0.324059494868708,0.827551750513391,sig_r,0.2694618532904,2.8,1.7,2.6,0.9,0.4,-0.6,0.849098858723196,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
151,152,2,0.091,1.526,10.392,d,e,NC,1,18.02,8332.0,0.273405305208208,0.855962764796626,sig_r,0.261086696955082,3.6,2.5,3.5,0.9,0.4,-0.7,0.935210981146046,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
152,153,2,0.586,7.263,12.518,d,e,NC,1,18.02,760.6,0.739529559013743,0.527540410010313,sig_r,0.0705887472329578,1.8,1.8,1.5,1.0,0.7,1.4,0.142799749676637,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
153,154,2,0.428,6.075,12.518,d,e,NC,1,18.02,1667.0,0.655841863977714,0.604820045547659,sig_r,0.157139380631153,1.9,1.4,1.6,1.0,0.5,0.9,0.285068831237886,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
154,155,2,0.321,5.061,12.518,d,e,NC,1,18.02,2377.0,0.571160621048166,0.670780946587112,sig_r,0.215614962950431,2.0,1.3,1.8,1.0,0.4,0.5,0.429026944218117,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
155,156,2,0.236,4.07,12.518,d,e,NC,1,18.02,3122.0,0.476900475875556,0.735245693066498,sig_r,0.25909651236631,1.3,1.5,0.9,1.0,0.4,0.1,0.589269191011555,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
156,157,2,0.201,3.615,12.518,d,e,NC,1,18.02,3452.0,0.430037353480336,0.764843533276509,sig_r,0.267738393840874,2.0,1.8,1.8,1.0,0.4,0.0,0.668936499083429,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
157,158,2,0.179,3.302,12.518,d,e,NC,1,18.02,3772.0,0.396579997386947,0.785204245333065,sig_r,0.276997148881649,2.0,2.1,1.8,1.0,0.4,-0.2,0.725814004442189,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
158,159,2,0.157,2.982,12.518,d,e,NC,1,18.02,4038.0,0.361406579602529,0.806020308777468,sig_r,0.276305901790739,2.2,2.4,2.0,0.9,0.4,-0.3,0.785608814675702,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
159,160,2,0.143,2.762,12.518,d,e,NC,1,18.02,4339.0,0.336688478125326,0.820331352395495,sig_r,0.281566126900749,2.3,2.5,2.1,0.9,0.4,-0.4,0.827629587186946,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
160,161,2,0.13,2.542,12.518,d,e,NC,1,18.02,4547.0,0.311558151780752,0.834642396013523,sig_r,0.279015045600931,2.6,2.5,2.4,0.9,0.4,-0.5,0.870351141972721,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
161,162,2,0.116,2.316,12.518,d,e,NC,1,18.02,4795.0,0.285337604128268,0.849343740821132,sig_r,0.273111776518916,2.6,2.3,2.4,0.9,0.4,-0.5,0.914926072981944,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
162,163,2,0.106,2.144,12.518,d,e,NC,1,18.02,5095.0,0.265123460584436,0.860532374922499,sig_r,0.273081318142002,3.9,2.2,3.8,0.9,0.4,-0.6,0.949290117006459,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
163,164,2,0.096,1.971,12.518,d,e,NC,1,18.02,5179.0,0.244580019585923,0.87178605922213,sig_r,0.258779399667235,3.7,2.2,3.6,0.9,0.4,-0.7,0.984213966703931,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
164,165,2,0.08,1.665,12.518,d,e,NC,1,18.02,5821.0,0.207763468203228,0.89169141989084,sig_r,0.254756791569127,3.1,2.8,3.0,0.9,0.4,-0.8,1.04680210405451,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
165,166,2,0.771,9.147,13.32,d,e,NC,1,18.02,155.4,0.787482482412223,0.474480605560768,sig_r,0.0166588911200184,4.3,2.6,4.1,1.4,1.6,1.9,0.0612797798992209,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
166,167,2,0.664,8.494,13.32,d,e,NC,1,18.02,361.2,0.754362168575473,0.511997186359808,sig_r,0.0400213157478258,2.7,2.1,2.5,1.1,1.0,1.6,0.117584313421695,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
167,168,2,0.541,7.607,13.32,d,e,NC,1,18.02,809.2,0.703246845808373,0.562957687383925,sig_r,0.0918127968633442,1.6,1.7,1.2,1.0,0.6,1.3,0.204480362125765,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
168,169,2,0.472,7.026,13.32,d,e,NC,1,18.02,1118.0,0.665845515491866,0.596337677344479,sig_r,0.127181014373724,1.3,1.6,0.9,1.0,0.5,1.1,0.268062623663827,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
169,170,2,0.401,6.359,13.32,d,e,NC,1,18.02,1520.0,0.619042457305178,0.634658595251003,sig_r,0.170713989852201,1.4,1.5,1.0,1.0,0.5,0.9,0.347627822581197,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0.0,0,1.7
