,Elab,X,Y,Q2,obs,target,lepton beam,current,units,value,stat_u,syst_u,*norm_c
23,27.6,0.025,0.692,0.896,sig,d/p,e_plus,NC,1,0.981,0.0076518,0.016789,0.013734
24,27.6,0.0327,0.6755,1.144,sig,d/p,e_plus,NC,1,0.972,0.00972,0.016155,0.013608
25,27.6,0.0401,0.5171,1.074,sig,d/p,e_plus,NC,1,0.964,0.015038,0.013656,0.013496
26,27.6,0.049,0.4425,1.123,sig,d/p,e_plus,NC,1,0.962,0.014911,0.012524,0.013468
27,27.6,0.0596,0.415,1.281,sig,d/p,e_plus,NC,1,0.969,0.028682,0.010079,0.013566
28,27.6,0.0725,0.3619,1.359,sig,d/p,e_plus,NC,1,0.928,0.024406,0.0059021,0.012992
29,27.6,0.0884,0.3056,1.399,sig,d/p,e_plus,NC,1,0.925,0.025067,0.0052497,0.01295
30,27.6,0.1082,0.2773,1.554,sig,d/p,e_plus,NC,1,0.921,0.015933,0.0056744,0.012894
31,27.6,0.1333,0.2364,1.632,sig,d/p,e_plus,NC,1,0.901,0.023156,0.008128,0.012614
32,27.6,0.1661,0.2105,1.811,sig,d/p,e_plus,NC,1,0.903,0.013093,0.0051121,0.012642
33,27.6,0.2104,0.1881,2.05,sig,d/p,e_plus,NC,1,0.885,0.01885,0.0058343,0.01239
34,27.6,0.2722,0.1753,2.471,sig,d/p,e_plus,NC,1,0.86,0.012298,0.0070709,0.01204
35,27.6,0.362,0.2021,3.79,sig,d/p,e_plus,NC,1,0.809,0.0097889,0.0049083,0.011326
36,27.6,0.49,0.2374,6.026,sig,d/p,e_plus,NC,1,0.768,0.0069888,0.005074,0.010752
37,27.6,0.6641,0.3715,12.778,sig,d/p,e_plus,NC,1,0.756,0.024343,0.0051107,0.010584
38,27.6,0.027,0.7809,1.092,sig,d/p,e_plus,NC,1,0.99,0.010296,0.020543,0.01386
39,27.6,0.0338,0.7946,1.391,sig,d/p,e_plus,NC,1,0.99,0.014751,0.022478,0.01386
40,27.6,0.0401,0.6226,1.293,sig,d/p,e_plus,NC,1,0.975,0.011505,0.014154,0.01365
41,27.6,0.049,0.5753,1.46,sig,d/p,e_plus,NC,1,0.952,0.0097104,0.010815,0.013328
42,27.6,0.0596,0.4749,1.466,sig,d/p,e_plus,NC,1,0.941,0.014962,0.0073041,0.013174
43,27.6,0.0726,0.4327,1.627,sig,d/p,e_plus,NC,1,0.943,0.014994,0.0055669,0.013202
44,27.6,0.0885,0.3689,1.691,sig,d/p,e_plus,NC,1,0.945,0.01512,0.0044122,0.01323
45,27.6,0.1082,0.3592,2.013,sig,d/p,e_plus,NC,1,0.917,0.012746,0.0036056,0.012838
46,27.6,0.1334,0.3123,2.158,sig,d/p,e_plus,NC,1,0.92,0.014444,0.0036627,0.01288
47,27.6,0.1662,0.2856,2.458,sig,d/p,e_plus,NC,1,0.891,0.015503,0.0030723,0.012474
48,27.6,0.2105,0.2615,2.851,sig,d/p,e_plus,NC,1,0.862,0.0092234,0.0026736,0.012068
49,27.6,0.2724,0.2466,3.479,sig,d/p,e_plus,NC,1,0.851,0.0081696,0.0026422,0.011914
50,27.6,0.3622,0.2732,5.125,sig,d/p,e_plus,NC,1,0.813,0.0070731,0.0018052,0.011382
51,27.6,0.4957,0.3225,8.28,sig,d/p,e_plus,NC,1,0.76,0.007372,0.0017546,0.01064
52,27.6,0.0408,0.7643,1.615,sig,d/p,e_plus,NC,1,0.969,0.0097869,0.019437,0.013566
53,27.6,0.0496,0.7501,1.927,sig,d/p,e_plus,NC,1,0.978,0.008802,0.016113,0.013692
54,27.6,0.0596,0.5426,1.675,sig,d/p,e_plus,NC,1,0.961,0.016914,0.007419,0.013454
55,27.6,0.0726,0.5127,1.928,sig,d/p,e_plus,NC,1,0.951,0.020066,0.0049826,0.013314
56,27.6,0.0885,0.4538,2.08,sig,d/p,e_plus,NC,1,0.946,0.012393,0.0041764,0.013244
57,27.6,0.1083,0.4439,2.49,sig,d/p,e_plus,NC,1,0.914,0.013344,0.0042054,0.012796
58,27.6,0.1334,0.4045,2.795,sig,d/p,e_plus,NC,1,0.923,0.011076,0.0033048,0.012922
59,27.6,0.1663,0.3709,3.195,sig,d/p,e_plus,NC,1,0.896,0.011558,0.0024126,0.012544
60,27.6,0.2106,0.34,3.709,sig,d/p,e_plus,NC,1,0.877,0.0086823,0.0020398,0.012278
61,27.6,0.2726,0.3206,4.527,sig,d/p,e_plus,NC,1,0.834,0.010425,0.0015104,0.011676
62,27.6,0.3624,0.3621,6.797,sig,d/p,e_plus,NC,1,0.808,0.0066256,0.0010628,0.011312
63,27.6,0.5038,0.4348,11.344,sig,d/p,e_plus,NC,1,0.77,0.011011,0.002392,0.01078
64,27.6,0.0597,0.6164,1.906,sig,d/p,e_plus,NC,1,0.95,0.012445,0.0078827,0.0133
65,27.6,0.0726,0.6053,2.276,sig,d/p,e_plus,NC,1,0.954,0.012784,0.0058529,0.013356
66,27.6,0.0885,0.5644,2.587,sig,d/p,e_plus,NC,1,0.944,0.00944,0.0043588,0.013216
67,27.6,0.1083,0.5475,3.071,sig,d/p,e_plus,NC,1,0.94,0.007614,0.0033114,0.01316
68,27.6,0.1335,0.5117,3.538,sig,d/p,e_plus,NC,1,0.912,0.010944,0.0024893,0.012768
69,27.6,0.1664,0.47,4.051,sig,d/p,e_plus,NC,1,0.901,0.0071179,0.0019678,0.012614
70,27.6,0.2107,0.4309,4.702,sig,d/p,e_plus,NC,1,0.878,0.0071996,0.0015334,0.012292
71,27.6,0.2726,0.4027,5.685,sig,d/p,e_plus,NC,1,0.853,0.0081035,0.0011602,0.011942
72,27.6,0.3679,0.4804,9.154,sig,d/p,e_plus,NC,1,0.802,0.0078596,0.0020914,0.011228
73,27.6,0.0603,0.7425,2.319,sig,d/p,e_plus,NC,1,0.969,0.010368,0.012285,0.013566
74,27.6,0.0734,0.7381,2.806,sig,d/p,e_plus,NC,1,0.955,0.009168,0.0090906,0.01337
75,27.6,0.0894,0.7216,3.341,sig,d/p,e_plus,NC,1,0.936,0.0089856,0.0067916,0.013104
76,27.6,0.1094,0.6964,3.946,sig,d/p,e_plus,NC,1,0.947,0.0080495,0.005357,0.013258
77,27.6,0.1347,0.6619,4.618,sig,d/p,e_plus,NC,1,0.92,0.007452,0.0040741,0.01288
78,27.6,0.1679,0.6145,5.344,sig,d/p,e_plus,NC,1,0.898,0.0072738,0.0028862,0.012572
79,27.6,0.2128,0.5685,6.266,sig,d/p,e_plus,NC,1,0.874,0.0079534,0.0022741,0.012236
80,27.6,0.2759,0.5249,7.501,sig,d/p,e_plus,NC,1,0.829,0.0067978,0.0019353,0.011606
