,Q2,W2,x,value,er_u,obs,target,curent,lepton beam,units
103,2.5,2.175,0.65883,0.51456642,0.11987425,r,p,e,NC,1
104,2.5,2.225,0.65026,0.42659768,0.08571025,r,p,e,NC,1
105,2.5,2.275,0.64192,0.30133128,0.0764178,r,p,e,NC,1
106,2.5,2.325,0.63378,0.11151879,0.06196795,r,p,e,NC,1
107,2.5,2.375,0.62585,0.04909333,0.05745659,r,p,e,NC,1
108,2.5,2.425,0.61811,-0.03522196,0.0524739,r,p,e,NC,1
109,2.5,2.475,0.61056,-0.03537217,0.0523915,r,p,e,NC,1
110,2.5,2.525,0.6032,0.00803614,0.05654516,r,p,e,NC,1
111,2.5,2.575,0.59601,0.14674523,0.0644348,r,p,e,NC,1
112,2.5,2.625,0.58898,0.17593996,0.06456826,r,p,e,NC,1
113,2.5,2.675,0.58213,0.26085582,0.0695823,r,p,e,NC,1
114,2.5,2.725,0.57543,0.35290939,0.07424552,r,p,e,NC,1
115,2.5,2.775,0.56888,0.40256786,0.07654315,r,p,e,NC,1
116,2.5,2.825,0.56248,0.38467181,0.07317396,r,p,e,NC,1
117,2.5,2.875,0.55622,0.30868757,0.06806078,r,p,e,NC,1
118,2.5,2.925,0.5501,0.19974293,0.06045679,r,p,e,NC,1
119,2.5,2.975,0.54412,0.16725597,0.05613205,r,p,e,NC,1
120,2.5,3.05,0.53538,0.26412094,0.07446232,r,p,e,NC,1
121,2.5,3.15,0.52415,0.13469587,0.12272432,r,p,e,NC,1
122,2.5,3.25,0.51339,0.13211088,0.12959787,r,p,e,NC,1
123,2.5,3.35,0.50306,0.16340244,0.11022515,r,p,e,NC,1
124,2.5,3.45,0.49314,0.24365218,0.12430727,r,p,e,NC,1
125,2.5,3.55,0.4836,0.32116517,0.13188729,r,p,e,NC,1
126,2.5,3.65,0.47442,0.25687715,0.12156422,r,p,e,NC,1
127,2.5,3.75,0.46558,0.27660659,0.11995783,r,p,e,NC,1
128,2.5,3.85,0.45707,0.08465418,0.11094388,r,p,e,NC,1
129,3.75,1.325,0.89401,-0.23670639,0.13163283,r,p,e,NC,1
130,3.75,1.375,0.88348,0.27862135,0.1267457,r,p,e,NC,1
131,3.75,1.425,0.87319,0.38958853,0.11443798,r,p,e,NC,1
132,3.75,1.475,0.86314,0.53579438,0.1228385,r,p,e,NC,1
133,3.75,1.525,0.85332,0.27022296,0.13115793,r,p,e,NC,1
134,3.75,1.575,0.84372,0.2082836,0.11099333,r,p,e,NC,1
135,3.75,1.625,0.83434,0.08000697,0.09153239,r,p,e,NC,1
136,3.75,1.875,0.79037,0.05188957,0.13175672,r,p,e,NC,1
137,3.75,1.925,0.78213,0.07305866,0.13581663,r,p,e,NC,1
138,3.75,1.975,0.77406,0.05404173,0.12405665,r,p,e,NC,1
139,3.75,2.025,0.76615,-0.01754575,0.1183971,r,p,e,NC,1
140,3.75,2.075,0.7584,0.27453685,0.16501111,r,p,e,NC,1
141,3.75,2.125,0.75081,0.27999344,0.15482141,r,p,e,NC,1
142,3.75,2.175,0.74337,0.1454933,0.12988159,r,p,e,NC,1
143,3.75,2.225,0.73607,0.27745858,0.14867312,r,p,e,NC,1
144,3.75,2.275,0.72892,0.28343108,0.18879771,r,p,e,NC,1
145,3.75,2.325,0.7219,-0.03397341,0.12714015,r,p,e,NC,1
146,3.75,2.375,0.71502,0.08166784,0.1472577,r,p,e,NC,1
147,3.75,2.425,0.70827,0.02443309,0.13813427,r,p,e,NC,1
148,3.75,2.475,0.70164,0.0120358,0.10182138,r,p,e,NC,1
149,3.75,2.575,0.68876,-0.01448575,0.09505679,r,p,e,NC,1
150,3.75,2.625,0.68249,0.1813,0.12865683,r,p,e,NC,1
151,3.75,2.675,0.67633,0.15593334,0.12310147,r,p,e,NC,1
152,3.75,2.725,0.67029,0.33467019,0.14068818,r,p,e,NC,1
153,3.75,2.775,0.66435,0.30984578,0.13130859,r,p,e,NC,1
154,3.75,2.825,0.65852,0.05832051,0.10393147,r,p,e,NC,1
155,3.75,2.875,0.65279,0.15534176,0.11223624,r,p,e,NC,1
156,3.75,2.925,0.64716,0.04007263,0.10197674,r,p,e,NC,1
157,3.75,2.975,0.64162,0.09064802,0.10391415,r,p,e,NC,1
158,3.75,3.05,0.63349,0.09869686,0.10449002,r,p,e,NC,1
159,3.75,3.15,0.62297,0.12395852,0.10569648,r,p,e,NC,1
160,3.75,3.25,0.61279,0.24226862,0.14706887,r,p,e,NC,1
161,3.75,3.35,0.60293,0.27207783,0.15409514,r,p,e,NC,1
162,3.75,3.45,0.59339,0.18821025,0.1417823,r,p,e,NC,1
163,3.75,3.55,0.58415,0.26371327,0.16065541,r,p,e,NC,1
164,3.75,3.65,0.57519,0.18682726,0.15001112,r,p,e,NC,1
165,3.75,3.75,0.5665,0.02360162,0.12378392,r,p,e,NC,1
166,3.75,3.85,0.55807,0.03976403,0.12696488,r,p,e,NC,1
