,X,Q2,exp,obs,target,lepton beam,current,units,value,stat_u,syst_u,*norm_c
30,0.14,1.29,slac_reb,F2,d,e,NC,1,0.3056,0.0031,0.0025,0.0051952
31,0.14,1.37,slac_reb,F2,d,e,NC,1,0.3162,0.0054,0.0032,0.0053754
32,0.14,1.6,slac_reb,F2,d,e,NC,1,0.3141,0.0035,0.0022,0.0053397
33,0.14,1.74,slac_reb,F2,d,e,NC,1,0.3161,0.0044,0.0022,0.0053737
34,0.14,2.01,slac_reb,F2,d,e,NC,1,0.3196,0.0035,0.0038,0.0054332
35,0.14,2.19,slac_reb,F2,d,e,NC,1,0.3134,0.0038,0.0028,0.0053278
36,0.14,2.37,slac_reb,F2,d,e,NC,1,0.3202,0.0032,0.0032,0.0054434
37,0.14,2.58,slac_reb,F2,d,e,NC,1,0.3165,0.0044,0.007,0.0053805
38,0.14,2.8,slac_reb,F2,d,e,NC,1,0.3283,0.0056,0.0072,0.0055811
39,0.14,3.0,slac_reb,F2,d,e,NC,1,0.3222,0.0055,0.0081,0.0054774
40,0.14,3.31,slac_reb,F2,d,e,NC,1,0.3332,0.006,0.0063,0.0056644
41,0.14,3.77,slac_reb,F2,d,e,NC,1,0.3201,0.0064,0.007,0.0054417
42,0.14,4.18,slac_reb,F2,d,e,NC,1,0.3113,0.0087,0.0084,0.0052921
43,0.14,5.0,slac_reb,F2,d,e,NC,1,0.3272,0.0023,0.0069,0.0055624
44,0.2,0.69,slac_reb,F2,d,e,NC,1,0.2841,0.0054,0.004,0.0048297
45,0.2,0.82,slac_reb,F2,d,e,NC,1,0.2842,0.0063,0.0031,0.0048314
46,0.2,0.89,slac_reb,F2,d,e,NC,1,0.2908,0.0035,0.0026,0.0049436
47,0.2,1.0,slac_reb,F2,d,e,NC,1,0.2938,0.0053,0.0035,0.0049946
48,0.2,1.1,slac_reb,F2,d,e,NC,1,0.298,0.0051,0.0045,0.005066
49,0.2,1.24,slac_reb,F2,d,e,NC,1,0.302,0.0054,0.0033,0.005134
50,0.2,1.41,slac_reb,F2,d,e,NC,1,0.2958,0.003,0.0024,0.0050286
51,0.2,1.5,slac_reb,F2,d,e,NC,1,0.3044,0.0055,0.003,0.0051748
52,0.2,1.87,slac_reb,F2,d,e,NC,1,0.307,0.0034,0.0022,0.005219
53,0.2,2.57,slac_reb,F2,d,e,NC,1,0.3067,0.0028,0.0034,0.0052139
54,0.2,2.74,slac_reb,F2,d,e,NC,1,0.3066,0.0049,0.0052,0.0052122
55,0.2,3.01,slac_reb,F2,d,e,NC,1,0.3127,0.0084,0.0044,0.0053159
56,0.2,3.25,slac_reb,F2,d,e,NC,1,0.3125,0.0038,0.0063,0.0053125
57,0.2,3.54,slac_reb,F2,d,e,NC,1,0.3074,0.0037,0.0062,0.0052258
58,0.2,4.17,slac_reb,F2,d,e,NC,1,0.3133,0.0038,0.006,0.0053261
59,0.2,4.59,slac_reb,F2,d,e,NC,1,0.3016,0.0069,0.0069,0.0051272
60,0.2,5.2,slac_reb,F2,d,e,NC,1,0.3041,0.0043,0.0064,0.0051697
61,0.23,0.72,slac_reb,F2,d,e,NC,1,0.2761,0.0053,0.0041,0.0046937
62,0.23,0.87,slac_reb,F2,d,e,NC,1,0.276,0.0061,0.003,0.004692
63,0.23,1.0,slac_reb,F2,d,e,NC,1,0.284,0.0011,0.0017,0.004828
64,0.23,1.29,slac_reb,F2,d,e,NC,1,0.2874,0.0035,0.0026,0.0048858
65,0.23,1.5,slac_reb,F2,d,e,NC,1,0.2899,0.0009,0.0015,0.0049283
66,0.23,1.73,slac_reb,F2,d,e,NC,1,0.2898,0.0029,0.002,0.0049266
67,0.23,2.01,slac_reb,F2,d,e,NC,1,0.2913,0.0023,0.0018,0.0049521
68,0.23,2.22,slac_reb,F2,d,e,NC,1,0.2863,0.0063,0.0043,0.0048671
69,0.23,2.5,slac_reb,F2,d,e,NC,1,0.2918,0.0015,0.0029,0.0049606
70,0.23,2.82,slac_reb,F2,d,e,NC,1,0.2863,0.0034,0.0023,0.0048671
71,0.23,3.0,slac_reb,F2,d,e,NC,1,0.288,0.0035,0.0046,0.004896
72,0.23,3.29,slac_reb,F2,d,e,NC,1,0.2883,0.004,0.0032,0.0049011
73,0.23,3.62,slac_reb,F2,d,e,NC,1,0.2806,0.0059,0.0051,0.0047702
74,0.23,4.01,slac_reb,F2,d,e,NC,1,0.2822,0.0028,0.0042,0.0047974
75,0.23,4.46,slac_reb,F2,d,e,NC,1,0.2858,0.0043,0.0037,0.0048586
76,0.23,5.0,slac_reb,F2,d,e,NC,1,0.282,0.0011,0.004,0.004794
77,0.23,5.33,slac_reb,F2,d,e,NC,1,0.2859,0.008,0.0069,0.0048603
78,0.23,5.72,slac_reb,F2,d,e,NC,1,0.2796,0.0048,0.005,0.0047532
79,0.23,6.09,slac_reb,F2,d,e,NC,1,0.2761,0.0083,0.0064,0.0046937
80,0.23,7.31,slac_reb,F2,d,e,NC,1,0.2703,0.0154,0.0065,0.0045951
81,0.28,0.9,slac_reb,F2,d,e,NC,1,0.2617,0.0063,0.0029,0.0044489
82,0.28,1.07,slac_reb,F2,d,e,NC,1,0.2648,0.0019,0.0019,0.0045016
83,0.28,1.35,slac_reb,F2,d,e,NC,1,0.2677,0.0048,0.0029,0.0045509
84,0.28,1.46,slac_reb,F2,d,e,NC,1,0.2685,0.0048,0.003,0.0045645
85,0.28,1.6,slac_reb,F2,d,e,NC,1,0.2659,0.0037,0.0021,0.0045203
86,0.28,1.92,slac_reb,F2,d,e,NC,1,0.2637,0.0029,0.0021,0.0044829
87,0.28,2.11,slac_reb,F2,d,e,NC,1,0.2658,0.0037,0.0021,0.0045186
88,0.28,2.35,slac_reb,F2,d,e,NC,1,0.2635,0.004,0.0026,0.0044795
89,0.28,2.53,slac_reb,F2,d,e,NC,1,0.2646,0.0037,0.0034,0.0044982
90,0.28,3.09,slac_reb,F2,d,e,NC,1,0.2622,0.0066,0.0024,0.0044574
91,0.28,3.32,slac_reb,F2,d,e,NC,1,0.2696,0.0073,0.0043,0.0045832
92,0.28,3.53,slac_reb,F2,d,e,NC,1,0.2548,0.0023,0.0028,0.0043316
93,0.28,4.3,slac_reb,F2,d,e,NC,1,0.2566,0.0036,0.0026,0.0043622
94,0.28,4.76,slac_reb,F2,d,e,NC,1,0.2568,0.0026,0.0033,0.0043656
95,0.28,5.29,slac_reb,F2,d,e,NC,1,0.2513,0.0023,0.0033,0.0042721
96,0.28,6.07,slac_reb,F2,d,e,NC,1,0.2553,0.0036,0.0041,0.0043401
97,0.28,6.75,slac_reb,F2,d,e,NC,1,0.2494,0.0042,0.0045,0.0042398
98,0.28,7.5,slac_reb,F2,d,e,NC,1,0.2506,0.0055,0.005,0.0042602
99,0.28,8.22,slac_reb,F2,d,e,NC,1,0.2451,0.0081,0.0059,0.0041667
100,0.35,1.14,slac_reb,F2,d,e,NC,1,0.2345,0.0021,0.0014,0.0039865
101,0.35,1.39,slac_reb,F2,d,e,NC,1,0.2333,0.003,0.0023,0.0039661
102,0.35,1.5,slac_reb,F2,d,e,NC,1,0.2309,0.0009,0.0014,0.0039253
103,0.35,1.66,slac_reb,F2,d,e,NC,1,0.2311,0.0016,0.0012,0.0039287
104,0.35,1.83,slac_reb,F2,d,e,NC,1,0.2262,0.0039,0.0023,0.0038454
105,0.35,2.01,slac_reb,F2,d,e,NC,1,0.224,0.002,0.0011,0.003808
106,0.35,2.18,slac_reb,F2,d,e,NC,1,0.2246,0.0018,0.0011,0.0038182
107,0.35,2.5,slac_reb,F2,d,e,NC,1,0.2219,0.0009,0.0011,0.0037723
108,0.35,2.79,slac_reb,F2,d,e,NC,1,0.2139,0.0034,0.0026,0.0036363
109,0.35,3.08,slac_reb,F2,d,e,NC,1,0.217,0.0017,0.0017,0.003689
110,0.35,3.36,slac_reb,F2,d,e,NC,1,0.2141,0.0054,0.0019,0.0036397
111,0.35,3.74,slac_reb,F2,d,e,NC,1,0.2102,0.0021,0.0019,0.0035734
112,0.35,4.16,slac_reb,F2,d,e,NC,1,0.2125,0.0015,0.0019,0.0036125
113,0.35,5.01,slac_reb,F2,d,e,NC,1,0.2081,0.0006,0.0019,0.0035377
114,0.35,5.84,slac_reb,F2,d,e,NC,1,0.2064,0.0017,0.0025,0.0035088
115,0.35,6.41,slac_reb,F2,d,e,NC,1,0.2016,0.0016,0.0022,0.0034272
116,0.35,7.37,slac_reb,F2,d,e,NC,1,0.1991,0.0016,0.0032,0.0033847
117,0.35,8.13,slac_reb,F2,d,e,NC,1,0.196,0.0022,0.0031,0.003332
118,0.35,9.31,slac_reb,F2,d,e,NC,1,0.1908,0.0031,0.0036,0.0032436
119,0.35,10.01,slac_reb,F2,d,e,NC,1,0.1942,0.0023,0.0033,0.0033014
120,0.35,10.96,slac_reb,F2,d,e,NC,1,0.1899,0.0046,0.0046,0.0032283
121,0.45,1.7,slac_reb,F2,d,e,NC,1,0.1817,0.0018,0.0011,0.0030889
122,0.45,1.87,slac_reb,F2,d,e,NC,1,0.1685,0.0047,0.0019,0.0028645
123,0.45,2.0,slac_reb,F2,d,e,NC,1,0.1751,0.0018,0.0012,0.0029767
124,0.45,2.29,slac_reb,F2,d,e,NC,1,0.1687,0.0012,0.0008,0.0028679
125,0.45,2.44,slac_reb,F2,d,e,NC,1,0.1642,0.0015,0.0013,0.0027914
126,0.45,2.65,slac_reb,F2,d,e,NC,1,0.1622,0.0023,0.0015,0.0027574
127,0.45,3.36,slac_reb,F2,d,e,NC,1,0.1576,0.0013,0.0013,0.0026792
128,0.45,3.8,slac_reb,F2,d,e,NC,1,0.1567,0.0038,0.0014,0.0026639
129,0.45,4.59,slac_reb,F2,d,e,NC,1,0.1498,0.0015,0.0014,0.0025466
130,0.45,4.97,slac_reb,F2,d,e,NC,1,0.1467,0.001,0.0013,0.0024939
131,0.45,5.3,slac_reb,F2,d,e,NC,1,0.1451,0.0015,0.0015,0.0024667
132,0.45,5.68,slac_reb,F2,d,e,NC,1,0.1428,0.0013,0.0011,0.0024276
133,0.45,6.07,slac_reb,F2,d,e,NC,1,0.1461,0.0028,0.002,0.0024837
134,0.45,6.51,slac_reb,F2,d,e,NC,1,0.1413,0.0014,0.0016,0.0024021
135,0.45,7.11,slac_reb,F2,d,e,NC,1,0.1393,0.0008,0.0014,0.0023681
136,0.45,7.84,slac_reb,F2,d,e,NC,1,0.1395,0.0027,0.0024,0.0023715
137,0.45,8.43,slac_reb,F2,d,e,NC,1,0.1338,0.0012,0.0017,0.0022746
138,0.45,9.05,slac_reb,F2,d,e,NC,1,0.1346,0.0014,0.002,0.0022882
139,0.45,9.83,slac_reb,F2,d,e,NC,1,0.131,0.0009,0.0017,0.002227
140,0.45,10.69,slac_reb,F2,d,e,NC,1,0.1292,0.001,0.0023,0.0021964
141,0.45,11.61,slac_reb,F2,d,e,NC,1,0.1292,0.0014,0.0026,0.0021964
142,0.45,12.75,slac_reb,F2,d,e,NC,1,0.1264,0.0015,0.0028,0.0021488
143,0.45,15.02,slac_reb,F2,d,e,NC,1,0.1326,0.0094,0.009,0.0022542
144,0.45,16.39,slac_reb,F2,d,e,NC,1,0.1359,0.0063,0.0082,0.0023103
145,0.55,2.49,slac_reb,F2,d,e,NC,1,0.119,0.0005,0.0007,0.002023
146,0.55,2.77,slac_reb,F2,d,e,NC,1,0.1157,0.0016,0.001,0.0019669
147,0.55,3.47,slac_reb,F2,d,e,NC,1,0.1054,0.0012,0.0013,0.0017918
148,0.55,3.74,slac_reb,F2,d,e,NC,1,0.1027,0.0021,0.001,0.0017459
149,0.55,4.07,slac_reb,F2,d,e,NC,1,0.1007,0.0008,0.0008,0.0017119
150,0.55,4.99,slac_reb,F2,d,e,NC,1,0.0936,0.0004,0.0007,0.0015912
151,0.55,5.33,slac_reb,F2,d,e,NC,1,0.0926,0.0015,0.001,0.0015742
152,0.55,5.77,slac_reb,F2,d,e,NC,1,0.0914,0.0009,0.001,0.0015538
153,0.55,6.25,slac_reb,F2,d,e,NC,1,0.0887,0.0009,0.0008,0.0015079
154,0.55,7.5,slac_reb,F2,d,e,NC,1,0.0849,0.0004,0.0008,0.0014433
155,0.55,8.38,slac_reb,F2,d,e,NC,1,0.0818,0.0008,0.0011,0.0013906
156,0.55,9.02,slac_reb,F2,d,e,NC,1,0.0841,0.0014,0.0014,0.0014297
157,0.55,9.91,slac_reb,F2,d,e,NC,1,0.0785,0.0004,0.0009,0.0013345
158,0.55,10.72,slac_reb,F2,d,e,NC,1,0.0776,0.0006,0.0012,0.0013192
159,0.55,11.86,slac_reb,F2,d,e,NC,1,0.0762,0.0006,0.0013,0.0012954
160,0.55,12.88,slac_reb,F2,d,e,NC,1,0.0737,0.0007,0.0014,0.0012529
161,0.55,14.12,slac_reb,F2,d,e,NC,1,0.0721,0.0006,0.0015,0.0012257
162,0.55,15.55,slac_reb,F2,d,e,NC,1,0.0705,0.0018,0.002,0.0011985
163,0.55,16.71,slac_reb,F2,d,e,NC,1,0.0643,0.0071,0.0048,0.0010931
164,0.55,17.89,slac_reb,F2,d,e,NC,1,0.0718,0.0027,0.004,0.0012206
165,0.55,19.51,slac_reb,F2,d,e,NC,1,0.0689,0.0021,0.0035,0.0011713
166,0.65,4.15,slac_reb,F2,d,e,NC,1,0.062,0.0015,0.0009,0.001054
167,0.65,4.41,slac_reb,F2,d,e,NC,1,0.0598,0.0007,0.0006,0.0010166
168,0.65,5.01,slac_reb,F2,d,e,NC,1,0.0558,0.0005,0.0004,0.0009486
169,0.65,5.72,slac_reb,F2,d,e,NC,1,0.0528,0.0007,0.0006,0.0008976
170,0.65,6.27,slac_reb,F2,d,e,NC,1,0.0502,0.0005,0.0005,0.0008534
171,0.65,6.78,slac_reb,F2,d,e,NC,1,0.0494,0.0004,0.0006,0.0008398
172,0.65,7.98,slac_reb,F2,d,e,NC,1,0.0449,0.0004,0.0005,0.0007633
173,0.65,8.61,slac_reb,F2,d,e,NC,1,0.0435,0.0004,0.0004,0.0007395
174,0.65,9.75,slac_reb,F2,d,e,NC,1,0.0419,0.0003,0.0005,0.0007123
175,0.65,10.6,slac_reb,F2,d,e,NC,1,0.0407,0.0003,0.0005,0.0006919
176,0.65,11.53,slac_reb,F2,d,e,NC,1,0.0387,0.0004,0.0007,0.0006579
177,0.65,13.17,slac_reb,F2,d,e,NC,1,0.0379,0.0003,0.0006,0.0006443
178,0.65,14.2,slac_reb,F2,d,e,NC,1,0.038,0.0007,0.0011,0.000646
179,0.65,15.24,slac_reb,F2,d,e,NC,1,0.0353,0.0003,0.0006,0.0006001
180,0.65,16.89,slac_reb,F2,d,e,NC,1,0.0341,0.0006,0.0009,0.0005797
181,0.65,18.28,slac_reb,F2,d,e,NC,1,0.0328,0.0009,0.0016,0.0005576
182,0.65,20.63,slac_reb,F2,d,e,NC,1,0.0344,0.0011,0.0018,0.0005848
183,0.65,22.21,slac_reb,F2,d,e,NC,1,0.0323,0.0007,0.0016,0.0005491
184,0.75,5.0,slac_reb,F2,d,e,NC,1,0.0292,0.0002,0.0006,0.0004964
185,0.75,6.06,slac_reb,F2,d,e,NC,1,0.0264,0.0005,0.0004,0.0004488
186,0.75,6.66,slac_reb,F2,d,e,NC,1,0.0243,0.0003,0.0003,0.0004131
187,0.75,7.3,slac_reb,F2,d,e,NC,1,0.0225,0.0003,0.0003,0.0003825
188,0.75,7.96,slac_reb,F2,d,e,NC,1,0.0216,0.0006,0.0005,0.0003672
189,0.75,8.9,slac_reb,F2,d,e,NC,1,0.0201,0.0002,0.0003,0.0003417
190,0.75,10.19,slac_reb,F2,d,e,NC,1,0.0185,0.0002,0.0002,0.0003145
191,0.75,11.57,slac_reb,F2,d,e,NC,1,0.0169,0.0002,0.0002,0.0002873
192,0.75,13.07,slac_reb,F2,d,e,NC,1,0.0161,0.0002,0.0003,0.0002737
193,0.75,14.47,slac_reb,F2,d,e,NC,1,0.0149,0.0002,0.0003,0.0002533
194,0.75,15.71,slac_reb,F2,d,e,NC,1,0.0146,0.0004,0.0003,0.0002482
195,0.75,16.96,slac_reb,F2,d,e,NC,1,0.0138,0.0002,0.0003,0.0002346
196,0.75,18.42,slac_reb,F2,d,e,NC,1,0.0138,0.0002,0.0004,0.0002346
197,0.75,19.94,slac_reb,F2,d,e,NC,1,0.0133,0.0004,0.0007,0.0002261
198,0.75,21.56,slac_reb,F2,d,e,NC,1,0.0117,0.0004,0.0007,0.0001989
199,0.75,24.37,slac_reb,F2,d,e,NC,1,0.0114,0.0004,0.0006,0.0001938
200,0.75,26.73,slac_reb,F2,d,e,NC,1,0.0112,0.0003,0.0007,0.0001904
201,0.85,10.03,slac_reb,F2,d,e,NC,1,0.0065,0.0001,0.0003,0.0001105
202,0.85,11.08,slac_reb,F2,d,e,NC,1,0.0057,0.0002,0.0003,9.69e-05
203,0.85,12.18,slac_reb,F2,d,e,NC,1,0.0053,0.0001,0.0002,9.01e-05
204,0.85,13.95,slac_reb,F2,d,e,NC,1,0.0049,0.0001,0.0002,8.33e-05
205,0.85,15.45,slac_reb,F2,d,e,NC,1,0.0047,0.0001,0.0001,7.99e-05
206,0.85,16.64,slac_reb,F2,d,e,NC,1,0.0041,0.0001,0.0001,6.97e-05
207,0.85,18.46,slac_reb,F2,d,e,NC,1,0.004,0.0001,0.0001,6.8e-05
208,0.85,19.99,slac_reb,F2,d,e,NC,1,0.004,0.0001,0.0002,6.8e-05
209,0.85,23.4,slac_reb,F2,d,e,NC,1,0.0032,0.0001,0.0003,5.44e-05
210,0.85,29.09,slac_reb,F2,d,e,NC,1,0.0028,0.0001,0.0002,4.76e-05
