,x,Q2,y,sigma_p(b/GeV2) !!,Elab,obs,target,curent,lepton beam,units,%dE,%dE',%dE1_c,%dE2_c,%dE3_c,%dE4_c,%dEp1_c,%dEp2_c,%dEp3_c,%dEp4_c,%dAC_c,%dRC_c,%dRE_c,value,%*norm_c,*epsilon,%*dSTat_u
17,0.0495,1.33,0.168,8.974e-07,90,f2,p,mu,nc,1,1.6,-1.0,1.6,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.9,0.1,0.1,0.3331,2.5,0.983225140208657,2.94205944160913
18,0.0493,1.76,0.221,4.879e-07,90,f2,p,mu,nc,1,1.3,-0.7,1.3,0.0,0.0,0.0,-0.7,0.0,0.0,0.0,0.4,0.1,0.1,0.3314,2.5,0.969471175281982,1.75015087507544
19,0.0494,2.48,0.309,2.378e-07,90,f2,p,mu,nc,1,1.0,-0.4,1.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.2,0.2,0.1,0.3456,2.5,0.93517530915144,1.15740740740741
20,0.0501,3.41,0.415,1.22e-07,90,f2,p,mu,nc,1,0.8,-0.2,0.8,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.2,0.6,0.2,0.3721,2.5,0.871393457303353,1.53184627788229
21,0.0509,4.39,0.526,6.941e-08,90,f2,p,mu,nc,1,0.6,-0.1,0.6,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.3,1.1,0.3,0.3893,2.5,0.77368981833281,3.13382995119445
22,0.0526,5.31,0.608,4.373e-08,90,f2,p,mu,nc,1,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.7,0.3,0.3895,2.5,0.679096885535227,7.34274711168164
23,0.0701,1.35,0.12,6.06e-07,90,f2,p,mu,nc,1,2.1,-1.5,2.1,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,1.1,0.1,0.1,0.3156,2.5,0.991791037766853,4.404309252218
24,0.0699,1.77,0.156,3.741e-07,90,f2,p,mu,nc,1,1.7,-1.1,1.7,0.0,0.0,0.0,-1.1,0.0,0.0,0.0,0.6,0.1,0.1,0.3446,2.5,0.985661136678224,2.4376088218224
25,0.0694,2.48,0.219,1.839e-07,90,f2,p,mu,nc,1,1.3,-0.7,1.3,0.0,0.0,0.0,-0.7,0.0,0.0,0.0,0.3,0.1,0.1,0.3503,2.5,0.970022513779224,1.5129888666857
26,0.0696,3.45,0.303,9.63e-08,90,f2,p,mu,nc,1,1.0,-0.4,1.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.3,0.3,0.1,0.3841,2.5,0.937931653619736,1.69226763863577
27,0.0703,4.42,0.382,5.433e-08,90,f2,p,mu,nc,1,0.8,-0.2,0.8,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.3,0.6,0.1,0.3832,2.5,0.894031244446528,2.55741127348643
28,0.0703,5.38,0.463,3.306e-08,90,f2,p,mu,nc,1,0.7,-0.1,0.7,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.3,0.9,0.2,0.3705,2.5,0.833139587033076,4.69635627530364
29,0.0712,6.38,0.536,2.254e-08,90,f2,p,mu,nc,1,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.3,0.3785,2.5,0.763028654279462,10.0132100396301
30,0.0903,1.38,0.095,4.879e-07,90,f2,p,mu,nc,1,2.6,-1.9,2.6,0.0,0.0,0.0,-1.9,0.0,0.0,0.0,0.8,0.0,0.1,0.3384,2.5,0.994945127323657,6.23522458628842
31,0.09,1.76,0.121,2.938e-07,90,f2,p,mu,nc,1,2.1,-1.5,2.1,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.4,0.0,0.1,0.3395,2.5,0.991618509687549,3.15169366715758
32,0.0898,2.47,0.169,1.524e-07,90,f2,p,mu,nc,1,1.5,-0.9,1.5,0.0,0.0,0.0,-0.9,0.0,0.0,0.0,0.2,0.1,0.1,0.3599,2.5,0.982926770976509,1.88941372603501
33,0.0898,3.46,0.236,7.497e-08,90,f2,p,mu,nc,1,1.2,-0.6,1.2,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.3,0.2,0.1,0.3686,2.5,0.964566689163479,1.95333695062398
34,0.09,4.43,0.299,4.376e-08,90,f2,p,mu,nc,1,1.0,-0.4,1.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.4,0.3,0.1,0.3739,2.5,0.939700037651759,2.67451190157796
35,0.0903,5.44,0.366,2.626e-08,90,f2,p,mu,nc,1,0.8,-0.2,0.8,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.4,0.5,0.1,0.3584,2.5,0.903994586076049,4.32477678571429
36,0.0897,6.5,0.436,1.962e-08,90,f2,p,mu,nc,1,0.7,-0.1,0.7,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.5,0.7,0.2,0.402,2.5,0.855215116019295,6.69154228855721
37,0.1091,1.78,0.101,2.456e-07,90,f2,p,mu,nc,1,2.4,-1.8,2.4,0.0,0.0,0.0,-1.8,0.0,0.0,0.0,0.6,0.0,0.1,0.3453,2.5,0.994237300001019,3.85172313929916
38,0.1097,2.49,0.14,1.261e-07,90,f2,p,mu,nc,1,1.8,-1.2,1.8,0.0,0.0,0.0,-1.2,0.0,0.0,0.0,0.2,0.0,0.1,0.3615,2.5,0.988557341556426,2.26832641770401
39,0.1099,3.48,0.193,6.254e-08,90,f2,p,mu,nc,1,1.4,-0.8,1.4,0.0,0.0,0.0,-0.8,0.0,0.0,0.0,0.3,0.1,0.1,0.3674,2.5,0.977184707717106,2.2591181273816
40,0.11,4.45,0.246,3.642e-08,90,f2,p,mu,nc,1,1.1,-0.5,1.1,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.4,0.2,0.1,0.3676,2.5,0.961074869291072,2.82916213275299
41,0.1105,5.44,0.298,2.263e-08,90,f2,p,mu,nc,1,1.0,-0.4,1.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.4,0.2,0.1,0.3575,2.5,0.940075534259866,4.13986013986014
42,0.1096,6.6,0.363,1.536e-08,90,f2,p,mu,nc,1,0.8,-0.2,0.8,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.6,0.3,0.1,0.374,2.5,0.905713241868964,5.80213903743316
43,0.1284,1.86,0.09,2.038e-07,90,f2,p,mu,nc,1,2.9,-2.2,2.9,0.0,0.0,0.0,-2.2,0.0,0.0,0.0,1.1,0.0,0.1,0.3673,2.5,0.995443845240654,5.96242853253471
44,0.1385,2.49,0.111,1.02e-07,90,f2,p,mu,nc,1,2.2,-1.5,2.2,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.7,0.0,0.1,0.3631,2.5,0.992946894261465,1.95538419168273
45,0.1398,3.48,0.154,5.055e-08,90,f2,p,mu,nc,1,1.6,-1.0,1.6,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.3,0.1,0.1,0.3705,2.5,0.985928552933968,1.91632928475034
46,0.1396,4.45,0.195,2.952e-08,90,f2,p,mu,nc,1,1.3,-0.7,1.3,0.0,0.0,0.0,-0.7,0.0,0.0,0.0,0.2,0.1,0.1,0.3653,2.5,0.976597470157703,2.27210511908021
47,0.1399,5.46,0.238,1.856e-08,90,f2,p,mu,nc,1,1.1,-0.5,1.1,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.3,0.1,0.1,0.3601,2.5,0.96374524884784,3.19355734518189
48,0.1409,6.69,0.289,1.228e-08,90,f2,p,mu,nc,1,1.0,-0.3,1.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.5,0.2,0.1,0.3768,2.5,0.943990289082813,3.82165605095541
49,0.1741,2.67,0.095,7.069e-08,90,f2,p,mu,nc,1,2.4,-1.7,2.4,0.0,0.0,0.0,-1.7,0.0,0.0,0.0,1.2,0.0,0.1,0.363,2.5,0.994857804527359,3.00275482093664
50,0.1807,3.47,0.119,3.69e-08,90,f2,p,mu,nc,1,1.9,-1.2,1.9,0.0,0.0,0.0,-1.2,0.0,0.0,0.0,0.7,0.0,0.1,0.3386,2.5,0.991786985608672,2.39220318960425
51,0.1802,4.46,0.152,2.393e-08,90,f2,p,mu,nc,1,1.5,-0.9,1.5,0.0,0.0,0.0,-0.9,0.0,0.0,0.0,0.3,0.0,0.1,0.3727,2.5,0.986242350850071,2.73678561845989
52,0.1808,5.46,0.185,1.385e-08,90,f2,p,mu,nc,1,1.3,-0.6,1.3,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.1,0.1,0.1,0.3337,2.5,0.979034080258019,3.56607731495355
53,0.1804,6.77,0.229,9.398e-09,90,f2,p,mu,nc,1,1.1,-0.4,1.1,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.4,0.1,0.1,0.3616,2.5,0.96659466086443,3.89933628318584
54,0.1771,8.5,0.289,6.257e-09,90,f2,p,mu,nc,1,0.9,-0.3,0.9,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.8,0.2,0.1,0.3921,2.5,0.943846071071206,9.6914052537618
55,0.2051,2.9,0.087,4.686e-08,90,f2,p,mu,nc,1,2.3,-1.7,2.3,0.0,0.0,0.0,-1.7,0.0,0.0,0.0,1.0,0.0,0.1,0.3346,2.5,0.995677146130229,9.44411237298267
56,0.221,3.51,0.099,2.905e-08,90,f2,p,mu,nc,1,2.0,-1.3,2.0,0.0,0.0,0.0,-1.3,0.0,0.0,0.0,0.7,0.0,0.1,0.331,2.5,0.994351968238722,2.65861027190332
57,0.2262,4.47,0.122,1.675e-08,90,f2,p,mu,nc,1,1.6,-0.9,1.6,0.0,0.0,0.0,-0.9,0.0,0.0,0.0,0.3,0.0,0.1,0.324,2.5,0.991284890976862,2.83950617283951
58,0.2263,5.47,0.149,1.182e-08,90,f2,p,mu,nc,1,1.4,-0.7,1.4,0.0,0.0,0.0,-0.7,0.0,0.0,0.0,0.2,0.0,0.1,0.3498,2.5,0.986734824073299,3.60205831903945
59,0.228,6.81,0.184,6.709e-09,90,f2,p,mu,nc,1,1.1,-0.5,1.1,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.5,0.1,0.1,0.3205,2.5,0.97917707929025,3.90015600624025
60,0.2215,8.64,0.236,3.93e-09,90,f2,p,mu,nc,1,1.0,-0.3,1.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.8,0.1,0.1,0.3062,2.5,0.964170170648704,8.65447419986936
61,0.2657,3.75,0.088,1.933e-08,90,f2,p,mu,nc,1,1.7,-1.0,1.7,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.6,0.0,0.1,0.3029,2.5,0.995520156767426,4.85308682733575
62,0.2736,4.47,0.102,1.312e-08,90,f2,p,mu,nc,1,1.5,-0.8,1.5,0.0,0.0,0.0,-0.8,0.0,0.0,0.0,1.1,0.0,0.1,0.3045,2.5,0.99393591986348,3.34975369458128
63,0.2758,5.44,0.122,8.664e-09,90,f2,p,mu,nc,1,1.3,-0.5,1.3,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.8,0.0,0.1,0.3058,2.5,0.991217575076466,4.18574231523872
64,0.2803,6.85,0.151,5.503e-09,90,f2,p,mu,nc,1,1.1,-0.3,1.1,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.9,0.0,0.1,0.32,2.5,0.986261706078199,4.34375
65,0.2737,8.7,0.193,3.409e-09,90,f2,p,mu,nc,1,0.9,-0.2,0.9,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,1.1,0.1,0.1,0.3237,2.5,0.976799008337172,8.34105653382762
66,0.3166,4.62,0.091,1.009e-08,90,f2,p,mu,nc,1,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.1,0.2884,2.5,0.995154092722091,4.26490984743412
67,0.3397,5.46,0.1,5.961e-09,90,f2,p,mu,nc,1,0.6,0.1,0.6,0.0,0.0,0.0,0.1,0.0,0.0,0.0,3.6,0.0,0.1,0.2584,2.5,0.994103819423845,3.67647058823529
68,0.3511,6.87,0.122,3.805e-09,90,f2,p,mu,nc,1,0.6,0.2,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.3,0.0,0.1,0.2759,2.5,0.991118344471855,3.73323667995651
69,0.345,8.73,0.156,2.028e-09,90,f2,p,mu,nc,1,0.5,0.3,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.1,0.0,0.1,0.2398,2.5,0.985163085790661,6.79733110925771
70,0.3973,5.73,0.09,3.735e-09,90,f2,p,mu,nc,1,-2.4,3.2,-2.4,0.0,0.0,0.0,3.2,0.0,0.0,0.0,11.0,0.0,0.1,0.2086,2.5,0.995183138960769,10.1150527325024
71,0.4425,6.97,0.099,2.164e-09,90,f2,p,mu,nc,1,-2.0,2.9,-2.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,9.1,0.0,0.1,0.2024,2.5,0.994116924180999,4.64426877470356
72,0.4653,8.75,0.117,1.151e-09,90,f2,p,mu,nc,1,-1.7,2.7,-1.7,0.0,0.0,0.0,2.7,0.0,0.0,0.0,6.8,0.0,0.1,0.1817,2.5,0.991703738176747,6.49422124380848
73,0.0087,1.18,0.626,3.938e-06,120,f2,p,mu,nc,1,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.6,0.6,0.2987,2.5,0.656152198804133,3.01305657850686
74,0.0117,1.37,0.54,2.4e-06,120,f2,p,mu,nc,1,0.7,-0.2,0.0,0.7,0.0,0.0,0.0,-0.2,0.0,0.0,1.6,1.1,0.4,0.303,2.5,0.759257439007033,3.2013201320132
75,0.0129,1.7,0.604,1.41e-06,120,f2,p,mu,nc,1,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.2,0.5,0.32,2.5,0.684551877434033,2.21875
76,0.0172,1.77,0.472,1.109e-06,120,f2,p,mu,nc,1,0.7,-0.2,0.0,0.7,0.0,0.0,0.0,-0.2,0.0,0.0,1.2,0.7,0.4,0.3274,2.5,0.825696752321468,3.0543677458766
77,0.0178,2.34,0.599,6.064e-07,120,f2,p,mu,nc,1,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,0.5,0.3519,2.5,0.690783884412055,2.0460358056266
78,0.0241,1.82,0.351,8.159e-07,120,f2,p,mu,nc,1,0.9,-0.4,0.0,0.9,0.0,0.0,0.0,-0.4,0.0,0.0,0.7,0.3,0.3,0.3219,2.5,0.913226978227518,3.78999689344517
79,0.0245,2.5,0.471,4.142e-07,120,f2,p,mu,nc,1,0.7,-0.2,0.0,0.7,0.0,0.0,0.0,-0.2,0.0,0.0,0.8,0.5,0.4,0.344,2.5,0.82654130166774,1.56976744186047
80,0.026,3.36,0.59,2.17e-07,120,f2,p,mu,nc,1,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,0.5,0.3732,2.5,0.701824718588118,2.06323687031083
81,0.0348,2.51,0.332,3.497e-07,120,f2,p,mu,nc,1,0.9,-0.4,0.0,0.9,0.0,0.0,0.0,-0.4,0.0,0.0,0.4,0.2,0.3,0.3733,2.5,0.923669049122925,2.51808197160461
82,0.0348,3.48,0.458,1.686e-07,120,f2,p,mu,nc,1,0.7,-0.2,0.0,0.7,0.0,0.0,0.0,-0.2,0.0,0.0,0.6,0.7,0.4,0.3825,2.5,0.837693694789158,1.98692810457516
83,0.0354,4.41,0.568,9.558e-08,120,f2,p,mu,nc,1,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.5,0.5,0.3825,2.5,0.727893095344339,2.69281045751634
84,0.0374,5.32,0.645,6.281e-08,120,f2,p,mu,nc,1,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.6,0.4031,2.5,0.63026917968445,6.89655172413793
85,0.0497,2.54,0.237,2.342e-07,120,f2,p,mu,nc,1,1.2,-0.6,0.0,1.2,0.0,0.0,0.0,-0.6,0.0,0.0,0.2,0.1,0.2,0.3394,2.5,0.964389235146585,2.5633470830878
86,0.0494,3.49,0.327,1.288e-07,120,f2,p,mu,nc,1,0.9,-0.4,0.0,0.9,0.0,0.0,0.0,-0.4,0.0,0.0,0.2,0.3,0.3,0.3785,2.5,0.926243867868227,1.84940554821664
87,0.0495,4.47,0.416,7.061e-08,120,f2,p,mu,nc,1,0.8,-0.2,0.0,0.8,0.0,0.0,0.0,-0.2,0.0,0.0,0.3,0.7,0.3,0.3681,2.5,0.870738914505411,1.98315675088291
88,0.0504,5.43,0.493,4.448e-08,120,f2,p,mu,nc,1,0.7,-0.1,0.0,0.7,0.0,0.0,0.0,-0.1,0.0,0.0,0.5,1.0,0.4,0.3705,2.5,0.806380198438344,2.67206477732794
89,0.0524,6.61,0.576,3.014e-08,120,f2,p,mu,nc,1,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.2,0.5,0.4086,2.5,0.718446207354723,3.9647577092511
90,0.0707,2.56,0.168,1.725e-07,120,f2,p,mu,nc,1,1.5,-0.9,0.0,1.5,0.0,0.0,0.0,-0.9,0.0,0.0,0.3,0.1,0.2,0.3426,2.5,0.98321718284827,3.76532399299475
91,0.0702,3.5,0.229,9.223e-08,120,f2,p,mu,nc,1,1.2,-0.6,0.0,1.2,0.0,0.0,0.0,-0.6,0.0,0.0,0.3,0.2,0.2,0.3584,2.5,0.966960182095185,2.48325892857143
92,0.0698,4.48,0.295,5.437e-08,120,f2,p,mu,nc,1,1.0,-0.4,0.0,1.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.3,0.3,0.2,0.3659,2.5,0.941666280137634,2.43235856791473
93,0.07,5.47,0.357,3.656e-08,120,f2,p,mu,nc,1,0.9,-0.3,0.0,0.9,0.0,0.0,0.0,-0.3,0.0,0.0,0.3,0.4,0.3,0.3867,2.5,0.909574603282243,2.74114300491337
94,0.07,6.86,0.448,2.175e-08,120,f2,p,mu,nc,1,0.7,-0.1,0.0,0.7,0.0,0.0,0.0,-0.1,0.0,0.0,0.4,0.7,0.4,0.3902,2.5,0.845831953518447,3.33162480779088
95,0.0718,8.62,0.544,1.46e-08,120,f2,p,mu,nc,1,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.1,0.5,0.4555,2.5,0.754572135288826,6.76180021953897
96,0.0915,2.61,0.132,1.515e-07,120,f2,p,mu,nc,1,1.8,-1.2,0.0,1.8,0.0,0.0,0.0,-1.2,0.0,0.0,0.2,0.0,0.2,0.3948,2.5,0.989960021006358,5.11651469098278
97,0.0909,3.5,0.177,7.095e-08,120,f2,p,mu,nc,1,1.4,-0.8,0.0,1.4,0.0,0.0,0.0,-0.8,0.0,0.0,0.3,0.1,0.2,0.343,2.5,0.98117854742496,3.17784256559767
98,0.0906,4.47,0.226,4.441e-08,120,f2,p,mu,nc,1,1.2,-0.6,0.0,1.2,0.0,0.0,0.0,-0.6,0.0,0.0,0.4,0.2,0.2,0.3645,2.5,0.967868050348912,2.96296296296296
99,0.0904,5.48,0.278,2.948e-08,120,f2,p,mu,nc,1,1.0,-0.4,0.0,1.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.4,0.2,0.2,0.3807,2.5,0.948954407780731,3.15208825847124
100,0.0904,6.81,0.343,1.812e-08,120,f2,p,mu,nc,1,0.9,-0.3,0.0,0.9,0.0,0.0,0.0,-0.3,0.0,0.0,0.5,0.4,0.3,0.3814,2.5,0.917506029564537,2.93654955427373
101,0.0905,8.77,0.44,1.099e-08,120,f2,p,mu,nc,1,0.7,-0.1,0.0,0.7,0.0,0.0,0.0,-0.1,0.0,0.0,0.7,0.7,0.4,0.4158,2.5,0.852189389925287,5.31505531505532
102,0.1126,2.62,0.109,9.99e-08,120,f2,p,mu,nc,1,2.2,-1.5,0.0,2.2,0.0,0.0,0.0,-1.5,0.0,0.0,0.2,0.0,0.2,0.3174,2.5,0.993275845647957,6.17517328292375
103,0.112,3.48,0.143,6.469e-08,120,f2,p,mu,nc,1,1.7,-1.1,0.0,1.7,0.0,0.0,0.0,-1.1,0.0,0.0,0.3,0.1,0.2,0.3721,2.5,0.98807158624056,4.43429185702768
104,0.1111,4.48,0.185,3.714e-08,120,f2,p,mu,nc,1,1.4,-0.8,0.0,1.4,0.0,0.0,0.0,-0.8,0.0,0.0,0.4,0.1,0.2,0.3654,2.5,0.979249871073157,3.61247947454844
105,0.1109,5.49,0.227,2.441e-08,120,f2,p,mu,nc,1,1.2,-0.6,0.0,1.2,0.0,0.0,0.0,-0.6,0.0,0.0,0.4,0.1,0.2,0.3718,2.5,0.967509787582422,3.60408821947283
106,0.1109,6.83,0.281,1.473e-08,120,f2,p,mu,nc,1,1.0,-0.4,0.0,1.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.6,0.2,0.2,0.3646,2.5,0.947643420597276,3.20899616017554
107,0.1106,8.87,0.365,9.308e-09,120,f2,p,mu,nc,1,0.8,-0.2,0.0,0.8,0.0,0.0,0.0,-0.2,0.0,0.0,0.8,0.4,0.3,0.4145,2.5,0.904639952500801,5.04221954161641
108,0.1112,10.76,0.437,4.964e-09,120,f2,p,mu,nc,1,0.7,-0.1,0.0,0.7,0.0,0.0,0.0,-0.1,0.0,0.0,1.1,0.6,0.4,0.3462,2.5,0.854467455462843,10.3119584055459
109,0.1435,3.48,0.113,4.974e-08,120,f2,p,mu,nc,1,2.0,-1.4,0.0,2.0,0.0,0.0,0.0,-1.4,0.0,0.0,0.3,0.0,0.2,0.361,2.5,0.992718819916046,3.71191135734072
110,0.1421,4.49,0.147,2.726e-08,120,f2,p,mu,nc,1,1.6,-1.0,0.0,1.6,0.0,0.0,0.0,-1.0,0.0,0.0,0.2,0.0,0.2,0.3364,2.5,0.987312622498407,3.0321046373365
111,0.1411,5.48,0.179,1.738e-08,120,f2,p,mu,nc,1,1.4,-0.8,0.0,1.4,0.0,0.0,0.0,-0.8,0.0,0.0,0.3,0.1,0.2,0.3258,2.5,0.98063496006443,3.1000613873542
112,0.1413,6.87,0.224,1.128e-08,120,f2,p,mu,nc,1,1.2,-0.5,0.0,1.2,0.0,0.0,0.0,-0.5,0.0,0.0,0.5,0.1,0.2,0.3459,2.5,0.968389525920871,2.51517779705117
113,0.1407,8.9,0.291,6.779e-09,120,f2,p,mu,nc,1,1.0,-0.3,0.0,1.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.8,0.2,0.2,0.3682,2.5,0.943247091478257,3.99239543726236
114,0.1423,11.01,0.352,4.435e-09,120,f2,p,mu,nc,1,0.8,-0.2,0.0,0.8,0.0,0.0,0.0,-0.2,0.0,0.0,1.1,0.3,0.3,0.3925,2.5,0.912222920079694,5.47770700636943
115,0.1821,3.62,0.092,3.152e-08,120,f2,p,mu,nc,1,2.3,-1.6,0.0,2.3,0.0,0.0,0.0,-1.6,0.0,0.0,0.7,0.0,0.2,0.3116,2.5,0.995223370538911,5.77663671373556
116,0.1866,4.5,0.113,2.134e-08,120,f2,p,mu,nc,1,1.9,-1.2,0.0,1.9,0.0,0.0,0.0,-1.2,0.0,0.0,0.3,0.0,0.2,0.3403,2.5,0.992679324442922,3.70261533940641
117,0.1845,5.49,0.137,1.336e-08,120,f2,p,mu,nc,1,1.6,-0.9,0.0,1.6,0.0,0.0,0.0,-0.9,0.0,0.0,0.1,0.0,0.2,0.3198,2.5,0.989025390773721,3.72107567229518
