,exp,Elab,E',x,W2,Q2,theta,%*stat_u,%*syst_u,%*norm_c,y,value,obs,target,curent,lepton beam,units,*epsilon
18,e03103,5.766,1.5401,0.8,2.4664,6.3441,50,0.734344230011816,1.3,2.5,0.732899757197364,0.0200913129958894,sig_r,p,e,nc,1,0.376072654744039
19,e03103,5.766,1.575,0.825,2.2566,6.4882,50,0.76178107606679,1.3,2.5,0.72684703433923,0.0215307663633102,sig_r,p,e,nc,1,0.382821561823491
20,e03103,5.766,1.6095,0.85,2.0503,6.6299,50,1.00135135135135,1.3,2.5,0.720863683662851,0.0119266932919114,sig_r,p,e,nc,1,0.389388337733577
21,e03103,5.766,1.6433,0.875,1.8474,6.7694,50,1.25966303270565,1.3,2.5,0.715001734304544,0.00819739102866278,sig_r,p,e,nc,1,0.395757553438052
22,e03103,5.766,1.6766,0.9,1.6477,6.9065,50,1.67868098159509,1.3,2.5,0.70922650017343,0.00533629030959873,sig_r,p,e,nc,1,0.401944641414468
23,e03103,5.766,1.7094,0.925,1.4513,7.0415,50,2.95638885623604,1.3,2.5,0.703537981269511,0.0035049673711536,sig_r,p,e,nc,1,0.407961020458442
24,e03103,5.766,1.0631,0.325,6.8374,2.8682,40,0.478684807256236,1.3,2.5,0.81562608394034,0.249123392482187,sig_r,p,e,nc,1,0.30229552209066
25,e03103,5.766,1.1289,0.35,6.5365,3.0456,40,0.442224953902889,1.3,2.5,0.804214360041624,0.239009065788387,sig_r,p,e,nc,1,0.318923073452887
26,e03103,5.766,1.1928,0.375,6.244,3.2182,40,0.512234042553192,1.3,2.5,0.793132154006244,0.228770047088444,sig_r,p,e,nc,1,0.334809397729987
27,e03103,5.766,1.255,0.4,5.9594,3.386,40,1.47577092511013,1.3,2.5,0.782344779743323,0.213616501072904,sig_r,p,e,nc,1,0.349989043446279
28,e03103,5.766,1.1928,0.375,6.244,3.2182,40,1.00478142076503,1.3,2.5,0.793132154006244,0.222685737325453,sig_r,p,e,nc,1,0.334809397729987
29,e03103,5.766,1.255,0.4,5.9594,3.386,40,0.421627565982405,1.3,2.5,0.782344779743323,0.213930181691219,sig_r,p,e,nc,1,0.349989043446279
30,e03103,5.766,1.3156,0.425,5.6824,3.5494,40,0.406877022653722,1.3,2.5,0.771834894207423,0.199179476423429,sig_r,p,e,nc,1,0.36451216453172
31,e03103,5.766,1.3745,0.45,5.4128,3.7084,40,0.442984807864165,1.3,2.5,0.761619840443982,0.184718171106523,sig_r,p,e,nc,1,0.378387208453481
32,e03103,5.766,1.4319,0.475,5.1502,3.8632,40,0.65134328358209,1.3,2.5,0.751664932362123,0.16947032493494,sig_r,p,e,nc,1,0.39165999496479
33,e03103,5.766,1.4319,0.475,5.1502,3.8632,40,0.564051638530288,1.3,2.5,0.751664932362123,0.16980757931292,sig_r,p,e,nc,1,0.39165999496479
34,e03103,5.766,1.4878,0.5,4.8945,4.0141,40,0.399669056811914,1.3,2.5,0.741970169961845,0.155787685340465,sig_r,p,e,nc,1,0.404362471068448
35,e03103,5.766,1.5423,0.525,4.6452,4.1611,40,0.400625,1.3,2.5,0.732518210197711,0.139812431864,sig_r,p,e,nc,1,0.416519559819005
36,e03103,5.766,1.5954,0.55,4.4022,4.3044,40,0.423668973308855,1.3,2.5,0.723309053069719,0.125611186517443,sig_r,p,e,nc,1,0.428156354160075
37,e03103,5.766,1.6472,0.575,4.1652,4.4442,40,0.487104622871046,1.3,2.5,0.714325355532431,0.110818155311126,sig_r,p,e,nc,1,0.439306038426111
38,e03103,5.766,1.6978,0.6,3.934,4.5805,40,0.756157172400827,1.3,2.5,0.705549774540409,0.0967267707013913,sig_r,p,e,nc,1,0.449992245961782
39,e03103,5.766,1.6472,0.575,4.1652,4.4442,40,0.79389563505087,1.3,2.5,0.714325355532431,0.109541904049635,sig_r,p,e,nc,1,0.439306038426111
40,e03103,5.766,1.6978,0.6,3.934,4.5805,40,0.498960105880129,1.3,2.5,0.705549774540409,0.0961812164391161,sig_r,p,e,nc,1,0.449992245961782
41,e03103,5.766,1.7471,0.625,3.7085,4.7136,40,0.469463160182569,1.3,2.5,0.696999653139091,0.0845394616792277,sig_r,p,e,nc,1,0.460231801983778
42,e03103,5.766,1.7952,0.65,3.4883,4.8434,40,0.404731293391617,1.3,2.5,0.688657648283039,0.0721074767640217,sig_r,p,e,nc,1,0.470042945438139
43,e03103,5.766,1.8422,0.675,3.2734,4.9702,40,0.533841463414634,1.3,2.5,0.680506416926812,0.0612999080032933,sig_r,p,e,nc,1,0.479459685752199
44,e03103,5.766,1.8881,0.7,3.0635,5.094,40,0.557467532467533,1.3,2.5,0.672545959070413,0.0579600642516559,sig_r,p,e,nc,1,0.488493681699319
45,e03103,5.766,1.9329,0.725,2.8584,5.2149,40,0.550605844618674,1.3,2.5,0.66477627471384,0.0531202500856394,sig_r,p,e,nc,1,0.497159973306801
46,e03103,5.766,1.9767,0.75,2.6581,5.3331,40,1.33148865522966,1.3,2.5,0.657180020811655,0.0343840154774169,sig_r,p,e,nc,1,0.505485973731748
47,e03103,5.766,1.9329,0.725,2.8584,5.2149,40,0.792419411973078,1.3,2.5,0.66477627471384,0.0534420762622095,sig_r,p,e,nc,1,0.497159973306801
48,e03103,5.766,1.9767,0.75,2.6581,5.3331,40,0.757951482479784,1.3,2.5,0.657180020811655,0.0352973706201485,sig_r,p,e,nc,1,0.505485973731748
49,e03103,5.766,2.0195,0.775,2.4622,5.4486,40,0.51328437917223,1.3,2.5,0.649757197363857,0.0286283440409572,sig_r,p,e,nc,1,0.513481737000469
50,e03103,5.766,2.0614,0.8,2.2707,5.5615,40,0.504952830188679,1.3,2.5,0.642490461325009,0.0325284059949723,sig_r,p,e,nc,1,0.521169927031774
51,e03103,5.766,2.1023,0.825,2.0835,5.672,40,0.859094176851186,1.3,2.5,0.635397155740548,0.0187314808631726,sig_r,p,e,nc,1,0.528556464119065
52,e03103,5.766,2.1423,0.85,1.9003,5.78,40,0.702876771146415,1.3,2.5,0.628459937565036,0.0134733046417739,sig_r,p,e,nc,1,0.535656483489048
53,e03103,5.766,2.1815,0.875,1.7212,5.8857,40,0.849756690997567,1.3,2.5,0.621661463753035,0.00952762799979897,sig_r,p,e,nc,1,0.542493909178237
54,e03103,5.766,2.2198,0.9,1.5458,5.9891,40,1.41099476439791,1.3,2.5,0.615019077349983,0.00738920126815099,sig_r,p,e,nc,1,0.549067060952441
55,e03103,5.766,2.2574,0.925,1.3742,6.0903,40,1.4503657262278,1.3,2.5,0.608498092265002,0.00370513479307745,sig_r,p,e,nc,1,0.555405212074032
56,e03103,5.766,2.2941,0.95,1.2061,6.1894,40,3.27058823529412,1.3,2.5,0.60213319458897,0.000345686283465637,sig_r,p,e,nc,1,0.561499286761192
57,e03103,5.766,2.4192,0.675,2.9215,4.2392,32,1.11794871794872,1.3,2.5,0.580437044745057,0.0817256532439007,sig_r,p,e,nc,1,0.62540864911007
58,e03103,5.766,2.4704,0.7,2.7356,4.329,32,1.11676646706587,1.3,2.5,0.571557405480402,0.0614950909726213,sig_r,p,e,nc,1,0.634106510524052
59,e03103,5.766,2.5201,0.725,2.5554,4.416,32,1.13506295307135,1.3,2.5,0.562937911897329,0.043768590169136,sig_r,p,e,nc,1,0.64234855804521
60,e03103,5.766,2.5683,0.75,2.3805,4.5005,32,0.766804355989486,1.3,2.5,0.554578563995838,0.0443433945670658,sig_r,p,e,nc,1,0.650164529132491
61,e03103,5.766,2.6151,0.775,2.2107,4.5824,32,1.11422771729101,1.3,2.5,0.546462018730489,0.0449624338410877,sig_r,p,e,nc,1,0.657578006340747
62,e03103,5.766,2.6605,0.8,2.0459,4.6621,32,0.985368956743002,1.3,2.5,0.538588276101283,0.0259871834698401,sig_r,p,e,nc,1,0.664618592034347
63,e03103,5.766,2.7047,0.825,1.8857,4.7394,32,1.63991683991684,1.3,2.5,0.530922650017343,0.0197922639287291,sig_r,p,e,nc,1,0.671313748310211
64,e03103,5.766,2.7476,0.85,1.73,4.8146,32,1.33297002724796,1.3,2.5,0.523482483524107,0.0150310402701946,sig_r,p,e,nc,1,0.677677064050859
65,e03103,5.766,2.7893,0.875,1.5786,4.8877,32,2.133125,1.3,2.5,0.516250433576136,0.0130406085590998,sig_r,p,e,nc,1,0.683730756163518
66,e03103,5.766,2.8299,0.9,1.4313,4.9588,32,2.06029285099053,1.3,2.5,0.509209157127992,0.00941213201179044,sig_r,p,e,nc,1,0.689498921546061
67,e03103,5.766,2.8694,0.925,1.288,5.028,32,5.79370885149963,1.3,2.5,0.502358654179674,0.00220403339971095,sig_r,p,e,nc,1,0.69499522047574
68,e03103,5.766,2.9078,0.95,1.1485,5.0954,32,8.03680981595092,1.3,2.5,0.495698924731183,1.6983677280512e-05,sig_r,p,e,nc,1,0.700232511503332
69,e03103,5.766,3.4097,0.9,1.3225,3.9795,26,1.22254616132167,1.3,2.5,0.408654179673951,0.00667902908182123,sig_r,p,e,nc,1,0.796604807821129
70,e03103,5.766,3.4478,0.925,1.2066,4.0239,26,1.70488044546348,1.3,2.5,0.402046479361776,0.000979732205416092,sig_r,p,e,nc,1,0.800660778179245
71,e03103,5.766,3.6977,0.8,1.6566,3.105,22,0.635692574902301,1.3,2.5,0.358706208810267,0.0356062356065568,sig_r,p,e,nc,1,0.847688070394649
72,e03103,5.766,3.7383,0.825,1.5462,3.1391,22,0.591109154929577,1.3,2.5,0.351664932362123,0.0345880640455223,sig_r,p,e,nc,1,0.851393533975749
73,e03103,5.766,3.815,0.875,1.338,3.2035,22,0.754732706274557,1.3,2.5,0.338362816510579,0.0123996420602427,sig_r,p,e,nc,1,0.858106393689505
74,e03103,5.766,4.0331,0.7,1.8559,2.2763,18,0.583977379830349,1.3,2.5,0.300537634408602,0.0648097470614807,sig_r,p,e,nc,1,0.895769805266296
75,e03103,5.766,4.0753,0.725,1.7528,2.3002,18,0.533293281265645,1.3,2.5,0.293218869233437,0.0597281426354472,sig_r,p,e,nc,1,0.8988608411472
76,e03103,5.766,4.1539,0.775,1.561,2.3445,18,0.514075436982521,1.3,2.5,0.279587235518557,0.0623609238180015,sig_r,p,e,nc,1,0.904334232463615
77,e03103,5.766,4.2255,0.825,1.3863,2.3849,18,0.658008015437138,1.3,2.5,0.267169614984391,0.0371240924475247,sig_r,p,e,nc,1,0.909012293334295
78,e03103,5.766,4.291,0.875,1.2263,2.4219,18,1.02070393374741,1.3,2.5,0.255809920221991,0.00409560747280339,sig_r,p,e,nc,1,0.913041245053345
