,Elab,X,Y,Q2,obs,target,lepton beam,current,units,value,stat_u,syst_u,*norm_c,*nv,*E',*sin2 theta/2,*epsilon
43,27.6,0.0726,0.4327,1.627,sig_r,d,e_plus,NC,1,0.27858,0.0030644,0.0058697,0.0208935,11.9458786351595,15.6541213648405,0.000941433792233147,0.856761181871855
44,27.6,0.0885,0.3689,1.691,sig_r,d,e_plus,NC,1,0.28797,0.0031965,0.0042867,0.02159775,10.1851517232241,17.4148482767759,0.000879538468671801,0.901088232980619
45,27.6,0.1082,0.3592,2.013,sig_r,d,e_plus,NC,1,0.30353,0.0029138,0.0082767,0.02276475,9.91707688123943,17.6829231187606,0.00103114714290812,0.906679806565312
46,27.6,0.1334,0.3123,2.158,sig_r,d,e_plus,NC,1,0.30336,0.0033066,0.0066621,0.022752,8.62308717709375,18.9769128229063,0.00103004643756812,0.931862683284107
47,27.6,0.1662,0.2856,2.458,sig_r,d,e_plus,NC,1,0.31206,0.0038071,0.0032095,0.0234045,7.88348099625647,19.7165190037435,0.00112923040570173,0.943904156533492
48,27.6,0.2105,0.2615,2.851,sig_r,d,e_plus,NC,1,0.31014,0.002326,0.0075016,0.0232605,7.21958581709707,20.3804141829029,0.00126711239185623,0.953354911151936
49,27.6,0.2724,0.2466,3.479,sig_r,d,e_plus,NC,1,0.27868,0.0018671,0.0049133,0.020901,6.80792074867951,20.7920792513205,0.00151560990021808,0.958332191203299
50,27.6,0.3622,0.2732,5.125,sig_r,d,e_plus,NC,1,0.21714,0.0013463,0.0040232,0.0162855,7.542452602492,20.057547397508,0.00231444555654112,0.946843718131606
51,27.6,0.4957,0.3225,8.28,sig_r,d,e_plus,NC,1,0.12533,0.0008773,0.0028092,0.00939975,8.90386535290922,18.6961346470908,0.00401152438275098,0.921503271930975
52,27.6,0.0408,0.7643,1.615,sig_r,d,e_plus,NC,1,0.20618,0.0014021,0.006569,0.0154635,21.0998578535892,6.50014214641081,0.00225050819796045,0.444820750651095
53,27.6,0.0496,0.7501,1.927,sig_r,d,e_plus,NC,1,0.21334,0.00128,0.0063619,0.0160005,20.7093851021391,6.89061489786093,0.00253311357602441,0.468275160161886
54,27.6,0.0596,0.5426,1.675,sig_r,d,e_plus,NC,1,0.24884,0.003011,0.0049866,0.018663,14.9808245445829,12.6191754554171,0.00120230529347006,0.754729848028336
55,27.6,0.0726,0.5127,1.928,sig_r,d,e_plus,NC,1,0.26525,0.0038726,0.0057802,0.01989375,14.1559028940304,13.4440971059696,0.00129899151860392,0.785559615164728
56,27.6,0.0885,0.4538,2.08,sig_r,d,e_plus,NC,1,0.27571,0.0024539,0.003495,0.02067825,12.5281582402756,15.0718417597244,0.00125005158695943,0.839352415874945
57,27.6,0.1083,0.4439,2.49,sig_r,d,e_plus,NC,1,0.28644,0.002893,0.004419,0.021483,12.25569816135,15.34430183865,0.00146988426474223,0.847071220418523
58,27.6,0.1334,0.4045,2.795,sig_r,d,e_plus,NC,1,0.29983,0.0024886,0.008051,0.02248725,11.1684562835853,16.4315437164147,0.00154075779016527,0.876562909998068
59,27.6,0.1663,0.3709,3.195,sig_r,d,e_plus,NC,1,0.29497,0.0026547,0.0056724,0.02212275,10.2410804836739,17.3589195163261,0.00166716697799572,0.898491794401294
60,27.6,0.2106,0.34,3.709,sig_r,d,e_plus,NC,1,0.28797,0.001987,0.0052155,0.02159775,9.38783898982904,18.212161010171,0.00184470225548694,0.916150144647684
61,27.6,0.2726,0.3206,4.527,sig_r,d,e_plus,NC,1,0.26614,0.002342,0.0057158,0.0199605,8.85221205574684,18.7477879442532,0.00218721456123458,0.92569392071886
62,27.6,0.3624,0.3621,6.797,sig_r,d,e_plus,NC,1,0.20178,0.0011703,0.003299,0.0151335,9.99761128134164,17.6023887186584,0.0034976519363106,0.900698628575808
63,27.6,0.5038,0.4348,11.344,sig_r,d,e_plus,NC,1,0.10753,0.0011075,0.0017647,0.00806475,12.0025968947301,15.5974031052699,0.00658786738374983,0.846240582387358
64,27.6,0.0597,0.6164,1.906,sig_r,d,e_plus,NC,1,0.23627,0.0021264,0.0026441,0.01772025,17.0182825999221,10.5817174000779,0.00163153976815674,0.666705505447136
65,27.6,0.0726,0.6053,2.276,sig_r,d,e_plus,NC,1,0.24839,0.0022851,0.0040716,0.01862925,16.7110139973098,10.8889860026902,0.00189328391311112,0.680607822797039
66,27.6,0.0885,0.5644,2.587,sig_r,d,e_plus,NC,1,0.25867,0.001759,0.0036114,0.01940025,15.5818968113428,12.0181031886572,0.00194980610888822,0.729602566678516
67,27.6,0.1083,0.5475,3.071,sig_r,d,e_plus,NC,1,0.26607,0.0014634,0.0040564,0.01995525,15.1153610656649,12.4846389343351,0.00222810039856301,0.74809096397571
68,27.6,0.1335,0.5117,3.538,sig_r,d,e_plus,NC,1,0.27287,0.0022376,0.002578,0.02046525,14.1267977927378,13.4732022072622,0.00237858090127984,0.785087468167894
69,27.6,0.1664,0.47,4.051,sig_r,d,e_plus,NC,1,0.27724,0.0014971,0.0036999,0.020793,12.9770532639003,14.6229467360997,0.00250933284801783,0.823596484871445
70,27.6,0.2107,0.4309,4.702,sig_r,d,e_plus,NC,1,0.26953,0.0015363,0.0027853,0.02021475,11.8955699501003,15.7044300498997,0.00271201053300352,0.855347006532233
71,27.6,0.2726,0.4027,5.685,sig_r,d,e_plus,NC,1,0.24842,0.0016396,0.0050528,0.0186315,11.1165949937974,16.4834050062026,0.00312402475083359,0.875264843150863
72,27.6,0.3679,0.4804,9.154,sig_r,d,e_plus,NC,1,0.18534,0.0012789,0.0026377,0.0139005,13.2631990128958,14.3368009871042,0.00578348452637719,0.809579079918005
73,27.6,0.0603,0.7425,2.319,sig_r,d,e_plus,NC,1,0.221,0.0016133,0.006124,0.016575,20.499846184854,7.10015381514603,0.00295844784908743,0.480454651143996
74,27.6,0.0734,0.7381,2.806,sig_r,d,e_plus,NC,1,0.23009,0.0014956,0.0054918,0.01725675,20.3778693143856,7.22213068561436,0.00351927537358105,0.487241274264371
75,27.6,0.0894,0.7216,3.341,sig_r,d,e_plus,NC,1,0.2411,0.0015671,0.0044105,0.0180825,19.9207700710255,7.6792299289745,0.00394084842351655,0.513402774266222
76,27.6,0.1094,0.6964,3.946,sig_r,d,e_plus,NC,1,0.24461,0.0014187,0.0036671,0.01834575,19.2267962875619,8.37320371243807,0.00426870703863253,0.551935492239102
77,27.6,0.1347,0.6619,4.618,sig_r,d,e_plus,NC,1,0.24931,0.0013712,0.0020027,0.01869825,18.2748364445669,9.32516355543315,0.00448568112465504,0.602142613115189
78,27.6,0.1679,0.6145,5.344,sig_r,d,e_plus,NC,1,0.25311,0.0014174,0.0037585,0.01898325,16.9661350357038,10.6338649642962,0.00455204173308336,0.665880302403817
79,27.6,0.2128,0.5685,6.266,sig_r,d,e_plus,NC,1,0.2504,0.0015775,0.0051688,0.01878,15.6958895105568,11.9041104894432,0.0047678695881683,0.721347108277708
80,27.6,0.2759,0.5249,7.501,sig_r,d,e_plus,NC,1,0.23004,0.0013113,0.0020231,0.017253,14.4922104127527,13.1077895872473,0.00518347049496532,0.767929752894791
