,exp,Elab,E',theta,Q2,W2,epsilon,flux,x,sigma,dsigma,*y,*value,*%stat_u,*%syst_u,*%norm_c,obs,target,lepton beam,current,units
39,e94110,5.498,3.638,12.97,1.021,3.35,0.898,0.00309,0.292,180.0,4.104,0.338304838122954,0.289098442039695,1.6243152403397565,1.6,1.9,sig_r,p,e,NC,1
40,e94110,5.498,3.592,12.97,1.008,3.45,0.894,0.0031,0.282,177.9,4.097,0.346671516915242,0.291268013553417,1.6564157702454025,1.6,1.9,sig_r,p,e,NC,1
41,e94110,5.498,3.546,12.97,0.995,3.55,0.889,0.00307,0.271,180.9,4.123,0.35503819570753,0.301724178563514,1.6231356064382365,1.6,1.9,sig_r,p,e,NC,1
42,e94110,5.498,3.499,12.97,0.982,3.65,0.884,0.00305,0.262,181.5,4.087,0.36358675882139,0.308404541245277,1.5844750100927405,1.6,1.9,sig_r,p,e,NC,1
43,e94110,5.498,3.453,12.97,0.969,3.75,0.879,0.00303,0.252,179.7,4.021,0.371953437613678,0.310587289310466,1.5642683416097216,1.6,1.9,sig_r,p,e,NC,1
44,e94110,5.498,3.407,12.97,0.956,3.85,0.874,0.00301,0.243,176.8,3.951,0.380320116405966,0.310577614776125,1.5601318851455894,1.6,1.9,sig_r,p,e,NC,1
45,e94110,5.498,4.187,15.46,1.666,1.675,0.93,0.00102,0.677,35.01,1.325,0.238450345580211,0.0829713449220306,3.429788135896888,1.6,1.9,sig_r,p,e,NC,1
46,e94110,5.498,4.165,15.46,1.657,1.725,0.929,0.00107,0.662,34.91,1.321,0.242451800654784,0.0839821821952112,3.429107376625759,1.6,1.9,sig_r,p,e,NC,1
47,e94110,5.498,4.143,15.46,1.649,1.775,0.928,0.00112,0.648,34.75,1.329,0.246453255729356,0.0849335212960716,3.4736864558120777,1.6,1.9,sig_r,p,e,NC,1
48,e94110,5.498,4.121,15.46,1.64,1.825,0.926,0.00115,0.634,35.56,1.382,0.250454710803929,0.0881707698788313,3.5417539474628352,1.6,1.9,sig_r,p,e,NC,1
49,e94110,5.498,4.099,15.46,1.631,1.875,0.925,0.00119,0.621,39.41,1.529,0.254456165878501,0.099098636930672,3.534441046083225,1.6,1.9,sig_r,p,e,NC,1
50,e94110,5.498,4.077,15.46,1.622,1.925,0.924,0.00124,0.608,39.83,1.571,0.258457620953074,0.101544396030348,3.605164565731711,1.6,1.9,sig_r,p,e,NC,1
51,e94110,5.498,4.055,15.46,1.614,1.975,0.922,0.00126,0.596,41.55,1.658,0.262459076027647,0.107500005445695,3.65555427185387,1.6,1.9,sig_r,p,e,NC,1
52,e94110,5.498,4.033,15.46,1.605,2.025,0.921,0.0013,0.584,44.37,1.79,0.266460531102219,0.116324228956915,3.7034082433709177,1.6,1.9,sig_r,p,e,NC,1
53,e94110,5.498,4.011,15.46,1.596,2.075,0.919,0.00133,0.572,49.03,2.011,0.270461986176792,0.13022076098737,3.7766228692135586,1.6,1.9,sig_r,p,e,NC,1
54,e94110,5.498,3.989,15.46,1.587,2.125,0.918,0.00137,0.561,56.57,2.377,0.274463441251364,0.152164361476555,3.8853240923348906,1.6,1.9,sig_r,p,e,NC,1
55,e94110,5.498,3.967,15.46,1.579,2.175,0.916,0.00139,0.549,67.01,2.848,0.278464896325937,0.18274904486551,3.937442236156815,1.6,1.9,sig_r,p,e,NC,1
56,e94110,5.498,3.945,15.46,1.57,2.225,0.915,0.00142,0.539,78.89,3.556,0.282466351400509,0.217782177012286,4.214016636135779,1.6,1.9,sig_r,p,e,NC,1
57,e94110,5.498,3.923,15.46,1.561,2.275,0.913,0.00144,0.528,78.61,2.892,0.286467806475082,0.219630862031676,3.312772496567066,1.6,1.9,sig_r,p,e,NC,1
58,e94110,5.498,3.901,15.46,1.552,2.325,0.911,0.00146,0.518,75.06,2.742,0.290469261549654,0.212186185179588,3.284048644344083,1.6,1.9,sig_r,p,e,NC,1
59,e94110,5.498,3.879,15.46,1.544,2.375,0.91,0.00149,0.508,66.91,1.929,0.294470716624227,0.191587475541323,2.398240428328597,1.6,1.9,sig_r,p,e,NC,1
60,e94110,5.498,3.857,15.46,1.535,2.425,0.908,0.00151,0.498,60.99,1.742,0.2984721716988,0.176623020008182,2.3659907745825803,1.6,1.9,sig_r,p,e,NC,1
61,e94110,5.498,3.835,15.46,1.526,2.475,0.906,0.00153,0.489,57.8,1.67,0.302473626773372,0.169242984838918,2.405805588157721,1.6,1.9,sig_r,p,e,NC,1
62,e94110,5.498,3.813,15.46,1.517,2.525,0.904,0.00154,0.48,58.47,1.721,0.306475081847945,0.173070152312482,2.4705350337632157,1.6,1.9,sig_r,p,e,NC,1
63,e94110,5.498,3.791,15.46,1.509,2.575,0.903,0.00157,0.471,58.72,1.779,0.310476536922517,0.175904053071882,2.572677783943875,1.6,1.9,sig_r,p,e,NC,1
64,e94110,5.498,3.769,15.46,1.5,2.625,0.901,0.00159,0.462,62.15,1.933,0.31447799199709,0.188135237891589,2.667105384731738,1.6,1.9,sig_r,p,e,NC,1
65,e94110,5.498,3.747,15.46,1.491,2.675,0.899,0.0016,0.454,64.77,2.111,0.318479447071662,0.198074123299718,2.8394624972950684,1.6,1.9,sig_r,p,e,NC,1
66,e94110,5.498,3.725,15.46,1.482,2.725,0.897,0.00161,0.446,75.86,2.504,0.322480902146235,0.234319988111462,2.8871083829818804,1.6,1.9,sig_r,p,e,NC,1
67,e94110,5.498,3.703,15.46,1.474,2.775,0.895,0.00162,0.437,82.39,2.722,0.326482357220808,0.257371258040125,2.8905168852090486,1.6,1.9,sig_r,p,e,NC,1
68,e94110,5.498,3.681,15.46,1.465,2.825,0.893,0.00164,0.43,89.99,2.028,0.33048381229538,0.283813772365415,1.5870222540964607,1.6,1.9,sig_r,p,e,NC,1
69,e94110,5.498,3.66,15.46,1.456,2.875,0.891,0.00165,0.422,91.14,1.861,0.334303383048381,0.289893164906288,1.26862559616309,1.6,1.9,sig_r,p,e,NC,1
70,e94110,5.498,3.638,15.46,1.447,2.925,0.889,0.00166,0.414,85.76,1.708,0.338304838122954,0.275326403415165,1.1859546345640413,1.6,1.9,sig_r,p,e,NC,1
71,e94110,5.498,3.616,15.46,1.439,2.975,0.887,0.00167,0.407,82.95,1.641,0.342306293197526,0.269099077377493,1.1634739384615524,1.6,1.9,sig_r,p,e,NC,1
72,e94110,5.498,3.583,15.46,1.426,3.05,0.884,0.00168,0.397,76.12,1.55,0.348308475809385,0.25040032802373,1.2595034093864326,1.6,1.9,sig_r,p,e,NC,1
73,e94110,5.498,3.539,15.46,1.408,3.15,0.879,0.00169,0.383,75.01,1.574,0.35631138595853,0.250997855903925,1.3576551496962368,1.6,1.9,sig_r,p,e,NC,1
74,e94110,5.498,3.495,15.46,1.391,3.25,0.875,0.00171,0.37,74.91,1.602,0.364314296107676,0.255159385937917,1.4189664308806127,1.6,1.9,sig_r,p,e,NC,1
75,e94110,5.498,3.451,15.46,1.373,3.35,0.87,0.00171,0.357,75.59,1.634,0.372317206256821,0.261550245205606,1.4535407986154676,1.6,1.9,sig_r,p,e,NC,1
76,e94110,5.498,3.407,15.46,1.356,3.45,0.865,0.00171,0.345,76.66,1.664,0.380320116405966,0.269656616360261,1.4668355462561795,1.6,1.9,sig_r,p,e,NC,1
77,e94110,5.498,3.363,15.46,1.338,3.55,0.86,0.00172,0.334,76.82,1.659,0.388323026555111,0.274107001176818,1.4504639333211287,1.6,1.9,sig_r,p,e,NC,1
78,e94110,5.498,3.319,15.46,1.321,3.65,0.855,0.00172,0.323,77.76,1.657,0.396325936704256,0.281710150103907,1.407409484008347,1.6,1.9,sig_r,p,e,NC,1
79,e94110,5.498,3.275,15.46,1.303,3.75,0.85,0.00172,0.312,78.42,1.649,0.404328846853401,0.28784487474592,1.3644351654886886,1.6,1.9,sig_r,p,e,NC,1
80,e94110,5.498,3.231,15.46,1.286,3.85,0.844,0.00171,0.302,78.8,1.649,0.412331757002546,0.293307391794417,1.3487551556876707,1.6,1.9,sig_r,p,e,NC,1
81,e94110,5.498,4.136,17.94,2.212,1.225,0.916,0.000275,0.865,0.4859,0.1782,0.247726445980357,0.00214172507580687,36.63929426956996,1.6,1.9,sig_r,p,e,NC,1
82,e94110,5.498,4.116,17.94,2.2,1.275,0.915,0.000311,0.848,1.638,0.3118,0.251364132411786,0.00730759977325084,18.968046740382416,1.6,1.9,sig_r,p,e,NC,1
83,e94110,5.498,4.095,17.94,2.189,1.325,0.914,0.000347,0.831,4.927,0.5539,0.255183703164787,0.0222878209185157,11.127695325627904,1.6,1.9,sig_r,p,e,NC,1
84,e94110,5.498,4.074,17.94,2.178,1.375,0.912,0.000377,0.815,10.44,0.7866,0.259003273917788,0.047872689006716,7.36263746492739,1.6,1.9,sig_r,p,e,NC,1
85,e94110,5.498,4.053,17.94,2.167,1.425,0.911,0.00041,0.799,14.5,0.8296,0.262822844670789,0.0673847820249223,5.493103058640158,1.6,1.9,sig_r,p,e,NC,1
86,e94110,5.498,4.033,17.94,2.156,1.475,0.91,0.000443,0.784,15.98,0.748,0.266460531102219,0.0751613673091824,4.3989051685341485,1.6,1.9,sig_r,p,e,NC,1
87,e94110,5.498,4.012,17.94,2.145,1.525,0.908,0.00047,0.769,15.25,0.6358,0.27028010185522,0.0726587970601955,3.849943454946921,1.6,1.9,sig_r,p,e,NC,1
88,e94110,5.498,3.991,17.94,2.134,1.575,0.907,0.000501,0.754,13.76,0.5351,0.274099672608221,0.0663969604120817,3.5444080953119332,1.6,1.9,sig_r,p,e,NC,1
89,e94110,5.498,3.97,17.94,2.123,1.625,0.905,0.000525,0.74,12.8,0.4826,0.277919243361222,0.0625371386748689,3.413979547047148,1.6,1.9,sig_r,p,e,NC,1
90,e94110,5.498,3.95,17.94,2.112,1.675,0.904,0.000555,0.727,12.04,0.4593,0.281556929792652,0.059482548683263,3.4630300853752973,1.6,1.9,sig_r,p,e,NC,1
91,e94110,5.498,3.929,17.94,2.101,1.725,0.902,0.000578,0.713,12.05,0.4649,0.285376500545653,0.0602535275514717,3.510679189769184,1.6,1.9,sig_r,p,e,NC,1
92,e94110,5.498,3.908,17.94,2.09,1.775,0.901,0.000605,0.7,12.28,0.4798,0.289196071298654,0.0621322533909746,3.5645402394702077,1.6,1.9,sig_r,p,e,NC,1
93,e94110,5.498,3.887,17.94,2.078,1.825,0.899,0.000627,0.688,12.87,0.4203,0.293015642051655,0.0658096441540453,2.846931733356268,1.6,1.9,sig_r,p,e,NC,1
94,e94110,5.498,3.867,17.94,2.067,1.875,0.898,0.000654,0.675,13.86,0.4568,0.296653328483085,0.0716138582622932,2.881388287636719,1.6,1.9,sig_r,p,e,NC,1
95,e94110,5.498,3.846,17.94,2.056,1.925,0.896,0.000673,0.663,15.12,0.4989,0.300472899236086,0.0790032173241878,2.8857202064391734,1.6,1.9,sig_r,p,e,NC,1
96,e94110,5.498,3.825,17.94,2.045,1.975,0.894,0.000692,0.651,15.83,0.5321,0.304292469989087,0.0836290684142691,2.956112551055522,1.6,1.9,sig_r,p,e,NC,1
97,e94110,5.498,3.804,17.94,2.034,2.025,0.893,0.000717,0.64,16.73,0.5781,0.308112040742088,0.089341112388231,3.0627222383796457,1.6,1.9,sig_r,p,e,NC,1
98,e94110,5.498,3.784,17.94,2.023,2.075,0.891,0.000735,0.629,18.79,0.6588,0.311749727173518,0.101311513469175,3.1197563037820837,1.6,1.9,sig_r,p,e,NC,1
99,e94110,5.498,3.763,17.94,2.012,2.125,0.889,0.000751,0.618,22.25,0.8006,0.315569297926519,0.121226649890446,3.2228961217653977,1.6,1.9,sig_r,p,e,NC,1
100,e94110,5.498,3.742,17.94,2.001,2.175,0.888,0.000775,0.607,26.55,0.971,0.31938886867952,0.146149768362777,3.288689861668085,1.6,1.9,sig_r,p,e,NC,1
101,e94110,5.498,3.722,17.94,1.99,2.225,0.886,0.00079,0.597,31.97,1.194,0.323026555110949,0.177589966664188,3.374665537833429,1.6,1.9,sig_r,p,e,NC,1
102,e94110,5.498,3.701,17.94,1.979,2.275,0.884,0.000806,0.587,32.75,0.9334,0.326846125863951,0.183732004279762,2.3585875265359526,1.6,1.9,sig_r,p,e,NC,1
103,e94110,5.498,3.68,17.94,1.968,2.325,0.882,0.00082,0.577,29.5,0.61,0.330665696616952,0.167118955316365,1.309878933729541,1.6,1.9,sig_r,p,e,NC,1
104,e94110,5.498,3.659,17.94,1.957,2.375,0.88,0.000834,0.567,26.11,0.5373,0.334485267369953,0.149339425633942,1.294091790273293,1.6,1.9,sig_r,p,e,NC,1
105,e94110,5.498,3.639,17.94,1.945,2.425,0.878,0.000849,0.557,24.26,0.491,0.338122953801382,0.139795133878462,1.2394362606864673,1.6,1.9,sig_r,p,e,NC,1
106,e94110,5.498,3.618,17.94,1.934,2.475,0.876,0.000862,0.548,23.23,0.4832,0.341942524554383,0.135098390443809,1.329167608237529,1.6,1.9,sig_r,p,e,NC,1
107,e94110,5.498,3.597,17.94,1.923,2.525,0.875,0.000882,0.539,23.34,0.5075,0.345762095307385,0.13697382770495,1.4723868186701177,1.6,1.9,sig_r,p,e,NC,1
108,e94110,5.498,3.576,17.94,1.912,2.575,0.873,0.000894,0.53,24.08,0.5509,0.349581666060386,0.142582469387873,1.6352327896558343,1.6,1.9,sig_r,p,e,NC,1
109,e94110,5.498,3.556,17.94,1.901,2.625,0.87,0.0009,0.521,25.57,0.611,0.353219352491815,0.152596618286703,1.7747678429118097,1.6,1.9,sig_r,p,e,NC,1
110,e94110,5.498,3.535,17.94,1.89,2.675,0.868,0.000911,0.513,28.06,0.7071,0.357038923244816,0.168895135664086,1.9468396091348446,1.6,1.9,sig_r,p,e,NC,1
111,e94110,5.498,3.514,17.94,1.879,2.725,0.866,0.000922,0.505,31.72,0.8373,0.360858493997817,0.192538197021119,2.099476693318449,1.6,1.9,sig_r,p,e,NC,1
112,e94110,5.498,3.493,17.94,1.868,2.775,0.864,0.000933,0.496,34.7,0.9167,0.364678064750819,0.212395332640849,2.102150612638418,1.6,1.9,sig_r,p,e,NC,1
113,e94110,5.498,3.473,17.94,1.857,2.825,0.862,0.000944,0.488,37.98,0.8632,0.368315751182248,0.234156239476965,1.614158250878774,1.6,1.9,sig_r,p,e,NC,1
114,e94110,5.498,3.452,17.94,1.846,2.875,0.86,0.000955,0.481,39.23,0.7866,0.372135321935249,0.243786037587687,1.2084777812355045,1.6,1.9,sig_r,p,e,NC,1
115,e94110,5.498,3.431,17.94,1.835,2.925,0.858,0.000965,0.473,37.77,0.7338,0.37595489268825,0.23656892301228,1.1020515036832155,1.6,1.9,sig_r,p,e,NC,1
116,e94110,5.498,3.41,17.94,1.823,2.975,0.855,0.000968,0.465,35.75,0.6936,0.379774463441251,0.225407616575568,1.097334350552973,1.6,1.9,sig_r,p,e,NC,1
117,e94110,5.498,3.379,17.94,1.807,3.05,0.852,0.000982,0.454,33.19,0.6633,0.385412877409967,0.211660861852231,1.1974875189564296,1.6,1.9,sig_r,p,e,NC,1
118,e94110,5.498,3.338,17.94,1.785,3.15,0.847,0.000994,0.44,32.29,0.6678,0.392870134594398,0.208745660568059,1.3104091877385684,1.6,1.9,sig_r,p,e,NC,1
119,e94110,5.498,3.296,17.94,1.762,3.25,0.843,0.00101,0.427,32.71,0.6857,0.4005092761004,0.214179932448783,1.3544287174754421,1.6,1.9,sig_r,p,e,NC,1
120,e94110,5.498,3.255,17.94,1.74,3.35,0.838,0.00102,0.413,34.46,0.7233,0.407966533284831,0.228503693051861,1.358533545959341,1.6,1.9,sig_r,p,e,NC,1
121,e94110,5.498,3.213,17.94,1.718,3.45,0.832,0.00102,0.401,34.86,0.7355,0.415605674790833,0.234138212704882,1.375333836352862,1.6,1.9,sig_r,p,e,NC,1
122,e94110,5.498,3.172,17.94,1.696,3.55,0.827,0.00103,0.388,35.13,0.7396,0.423062931975264,0.238693569799976,1.3683513054418948,1.6,1.9,sig_r,p,e,NC,1
123,e94110,5.498,3.131,17.94,1.674,3.65,0.822,0.00104,0.377,36.99,0.7577,0.430520189159694,0.254077863179315,1.279026020739016,1.6,1.9,sig_r,p,e,NC,1
124,e94110,5.498,3.089,17.94,1.652,3.75,0.816,0.00104,0.365,37.86,0.7631,0.438159330665697,0.263030246361815,1.2257967901513886,1.6,1.9,sig_r,p,e,NC,1
125,e94110,5.498,3.048,17.94,1.629,3.85,0.811,0.00105,0.354,37.68,0.76,0.445616587850127,0.264063814364005,1.2280997707556205,1.6,1.9,sig_r,p,e,NC,1
126,e94110,5.498,3.881,20.45,2.69,1.225,0.886,0.000156,0.886,0.1066,0.06301,0.294106947981084,0.000913226511131282,59.087159067668026,1.6,1.9,sig_r,p,e,NC,1
127,e94110,5.498,3.862,20.45,2.676,1.275,0.885,0.000177,0.871,0.5825,0.1145,0.297562750090942,0.00503769053837161,19.591426237569863,1.6,1.9,sig_r,p,e,NC,1
128,e94110,5.498,3.842,20.45,2.663,1.325,0.883,0.000196,0.857,1.617,0.1983,0.301200436522372,0.0141393747463561,12.158627651980483,1.6,1.9,sig_r,p,e,NC,1
129,e94110,5.498,3.823,20.45,2.649,1.375,0.882,0.000217,0.843,4.031,0.2755,0.30465623863223,0.0355705317630792,6.644609301729547,1.6,1.9,sig_r,p,e,NC,1
130,e94110,5.498,3.803,20.45,2.636,1.425,0.88,0.000235,0.829,5.52,0.2805,0.30829392506366,0.0492349842216168,4.823055378622064,1.6,1.9,sig_r,p,e,NC,1
131,e94110,5.498,3.784,20.45,2.622,1.475,0.879,0.000254,0.815,6.378,0.2538,0.311749727173518,0.0573922364083309,3.643468016382532,1.6,1.9,sig_r,p,e,NC,1
132,e94110,5.498,3.765,20.45,2.609,1.525,0.877,0.000271,0.802,5.913,0.2056,0.315205529283376,0.053710292209493,3.087088572984505,1.6,1.9,sig_r,p,e,NC,1
133,e94110,5.498,3.745,20.45,2.596,1.575,0.876,0.00029,0.789,5.363,0.1627,0.318843215714805,0.0492156741158897,2.5775254893591737,1.6,1.9,sig_r,p,e,NC,1
134,e94110,5.498,3.726,20.45,2.582,1.625,0.874,0.000306,0.776,4.977,0.1459,0.322299017824664,0.0460564096564699,2.4563394125820968,1.6,1.9,sig_r,p,e,NC,1
135,e94110,5.498,3.706,20.45,2.569,1.675,0.872,0.000321,0.764,4.672,0.1455,0.325936704256093,0.0436638799040297,2.6718629627117987,1.6,1.9,sig_r,p,e,NC,1
136,e94110,5.498,3.687,20.45,2.555,1.725,0.871,0.000339,0.752,4.922,0.1192,0.329392506365951,0.0463703881398576,1.81797063422007,1.6,1.9,sig_r,p,e,NC,1
137,e94110,5.498,3.667,20.45,2.542,1.775,0.869,0.000353,0.74,4.982,0.1267,0.333030192797381,0.0473898954569126,1.9767749445758938,1.6,1.9,sig_r,p,e,NC,1
138,e94110,5.498,3.648,20.45,2.528,1.825,0.867,0.000367,0.728,5.303,0.1384,0.336485994907239,0.0508360005243314,2.0618639662346663,1.6,1.9,sig_r,p,e,NC,1
139,e94110,5.498,3.628,20.45,2.515,1.875,0.865,0.000381,0.717,5.746,0.1522,0.340123681338669,0.0555973522250957,2.1109564217618972,1.6,1.9,sig_r,p,e,NC,1
140,e94110,5.498,3.609,20.45,2.501,1.925,0.864,0.000397,0.705,6.259,0.1666,0.343579483448527,0.0610172191923829,2.127205645307151,1.6,1.9,sig_r,p,e,NC,1
141,e94110,5.498,3.589,20.45,2.488,1.975,0.862,0.00041,0.694,6.763,0.1823,0.347217169879956,0.0665300598835627,2.1693284895954488,1.6,1.9,sig_r,p,e,NC,1
142,e94110,5.498,3.57,20.45,2.474,2.025,0.86,0.000423,0.684,7.551,0.2096,0.350672971989815,0.0748110145648336,2.2682630497811975,1.6,1.9,sig_r,p,e,NC,1
143,e94110,5.498,3.551,20.45,2.461,2.075,0.858,0.000435,0.673,8.371,0.2388,0.354128774099673,0.0835913758122458,2.3617642155250476,1.6,1.9,sig_r,p,e,NC,1
144,e94110,5.498,3.531,20.45,2.447,2.125,0.856,0.000447,0.663,9.466,0.2899,0.357766460531102,0.0952644601446865,2.6113500141302177,1.6,1.9,sig_r,p,e,NC,1
145,e94110,5.498,3.512,20.45,2.434,2.175,0.854,0.000458,0.653,11.36,0.3544,0.36122226264096,0.115194036947105,2.6781789209965905,1.6,1.9,sig_r,p,e,NC,1
