,exp,Elab,E',x,W2,Q2,sig (mb/sr/GeV),theta,%*stat_u,%*syst_u,%*norm_c,*y,value,obs,target,current,lepton beam,units,*epsilon
28,e03103,5.011,2.4683,0.65,2.5504,3.1015,0.003757,29,0.451424008517434,1.3,2.5,0.507423667930553,0.0686388711887511,sig_r,d,nc,e,1,0.715661570894358
29,e03103,5.011,2.5155,0.675,2.4023,3.1609,0.003351,29,0.482244106236944,1.3,2.5,0.498004390341249,0.0607459597787469,sig_r,d,nc,e,1,0.722938937004556
30,e03103,5.011,2.5611,0.7,2.2596,3.2182,0.002941,29,0.731723903434206,1.3,2.5,0.488904410297346,0.0528718616229985,sig_r,d,nc,e,1,0.729750334488694
31,e03103,5.011,2.605,0.725,2.122,3.2733,0.002496,29,0.578125,1.3,2.5,0.48014368389543,0.0444813421035025,sig_r,d,nc,e,1,0.736155087167193
32,e03103,5.011,2.6474,0.75,1.9892,3.3266,0.002086,29,0.547459252157239,1.3,2.5,0.471682298942327,0.0368406750374207,sig_r,d,nc,e,1,0.74216941630753
33,e03103,5.011,2.6883,0.775,1.8611,3.378,0.001759,29,0.674246731097214,1.3,2.5,0.463520255438036,0.0307775205935947,sig_r,d,nc,e,1,0.747825900305782
34,e03103,5.011,2.7278,0.8,1.7373,3.4276,0.001573,29,0.775588048315321,1.3,2.5,0.455637597285971,0.02726065499043,sig_r,d,nc,e,1,0.753158053942926
35,e03103,5.011,2.766,0.825,1.6176,3.4756,0.001324,29,0.809667673716012,1.3,2.5,0.448014368389543,0.0227223870466192,sig_r,d,nc,e,1,0.75818105591978
36,e03103,5.011,2.8029,0.85,1.5019,3.522,0.001136,29,0.874295774647887,1.3,2.5,0.440650568748753,0.0193036856981359,sig_r,d,nc,e,1,0.762931234223841
37,e03103,5.011,2.8387,0.875,1.3899,3.5669,0.0009056,29,0.969964664310954,1.3,2.5,0.433506286170425,0.015233313248436,sig_r,d,nc,e,1,0.76741449661791
38,e03103,5.011,2.8733,0.9,1.2815,3.6104,0.0007147,29,1.06352315656919,1.3,2.5,0.426601476751148,0.0119003276796161,sig_r,d,nc,e,1,0.771652007947186
39,e03103,5.011,2.9068,0.925,1.1765,3.6525,0.0006766,29,1.09148684599468,1.3,2.5,0.419916184394333,0.0111506392567479,sig_r,d,nc,e,1,0.7756572960824
40,e03103,5.011,2.9392,0.95,1.0747,3.6933,0.000704,29,1.08551136363636,1.3,2.5,0.41345040909998,0.0114833004093853,sig_r,d,nc,e,1,0.779460725054381
41,e03103,5.011,2.9707,0.975,0.9761,3.7329,0.0008374,29,1.0460950561261,1.3,2.5,0.407164238674915,0.0135176745906756,sig_r,d,nc,e,1,0.783070855554958
42,e03103,5.011,3.0013,1.0,0.8804,3.7713,0.0008892,29,1.07467386414755,1.3,2.5,0.401057673119138,0.0142037509155486,sig_r,d,nc,e,1,0.786489506092545
43,e03103,5.011,3.0309,1.025,0.7875,3.8086,0.0007374,29,1.22674260916734,1.3,2.5,0.395150668529236,0.0116567152073401,sig_r,d,nc,e,1,0.78973942801716
44,e03103,5.011,3.0597,1.05,0.6973,3.8447,0.0004929,29,1.58023939947251,1.3,2.5,0.389403312712034,0.00770975400343876,sig_r,d,nc,e,1,0.792833895177945
45,e03103,5.011,3.0877,1.075,0.6097,3.8799,0.0003334,29,2.10707858428314,1.3,2.5,0.383815605667531,0.00516028602901798,sig_r,d,nc,e,1,0.795774978683315
46,e03103,5.011,3.1149,1.1,0.5245,3.914,0.000201,29,3.06119402985075,1.3,2.5,0.378387547395729,0.00307829787575437,sig_r,d,nc,e,1,0.798572761596104
47,e03103,5.011,3.1413,1.125,0.4418,3.9472,0.0001274,29,4.42150706436421,1.3,2.5,0.373119137896627,0.00193074213651806,sig_r,d,nc,e,1,0.508171912680086
48,e03103,5.011,1.6484,0.5,4.0354,3.1551,0.003102,36,0.632817537072856,1.3,2.5,0.671043703851527,0.129362213045572,sig_r,d,nc,e,1,0.520790141842467
49,e03103,5.011,1.7028,0.525,3.8292,3.2592,0.002782,36,0.562904385334292,1.3,2.5,0.660187587307923,0.116973086890288,sig_r,d,nc,e,1,0.532721995979119
50,e03103,5.011,1.7555,0.55,3.6295,3.36,0.002428,36,0.46334431630972,1.3,2.5,0.649670724406306,0.102760762423168,sig_r,d,nc,e,1,0.544006126021429
51,e03103,5.011,1.8065,0.575,3.436,3.4577,0.002138,36,0.605238540692236,1.3,2.5,0.639493115146677,0.0909598492592736,sig_r,d,nc,e,1,0.554696534316082
52,e03103,5.011,1.856,0.6,3.2486,3.5524,0.001899,36,0.534491837809373,1.3,2.5,0.629614847335861,0.0811055633475546,sig_r,d,nc,e,1,0.564805953040096
53,e03103,5.011,1.9039,0.625,3.0668,3.6441,0.001679,36,0.773079213817749,1.3,2.5,0.620055877070445,0.0719081371054894,sig_r,d,nc,e,1,0.574399671993568
54,e03103,5.011,1.9504,0.65,2.8905,3.7332,0.001509,36,0.663353214049039,1.3,2.5,0.610776292157254,0.0647444412361788,sig_r,d,nc,e,1,0.583504735884031
55,e03103,5.011,1.9956,0.675,2.7194,3.8196,0.001322,36,0.587367624810893,1.3,2.5,0.601756136499701,0.0567665993613499,sig_r,d,nc,e,1,0.592138424998401
56,e03103,5.011,2.0394,0.7,2.5533,3.9035,0.001103,36,0.585222121486854,1.3,2.5,0.593015366194372,0.0473667082208798,sig_r,d,nc,e,1,0.600341585280958
57,e03103,5.011,2.082,0.725,2.3919,3.9849,0.0009379,36,0.884635888687493,1.3,2.5,0.584514069048094,0.0402469424410416,sig_r,d,nc,e,1,0.608132339665821
58,e03103,5.011,2.1233,0.75,2.2351,4.0641,0.0007943,36,0.671786478660456,1.3,2.5,0.576272201157454,0.0340423504427398,sig_r,d,nc,e,1,0.615559318255534
59,e03103,5.011,2.1636,0.775,2.0826,4.1411,0.0006531,36,0.753330271015159,1.3,2.5,0.568229894232688,0.0279357913069709,sig_r,d,nc,e,1,0.622618645689171
60,e03103,5.011,2.2027,0.8,1.9343,4.216,0.0005343,36,0.858880778588808,1.3,2.5,0.560427060466973,0.0227994834341593,sig_r,d,nc,e,1,0.629335090401349
61,e03103,5.011,2.2407,0.825,1.7901,4.2888,0.0004187,36,1.42990207786004,1.3,2.5,0.55284374376372,0.0178154198465185,sig_r,d,nc,e,1,0.635749979038019
62,e03103,5.011,2.2778,0.85,1.6497,4.3597,0.0003507,36,0.868548617051611,1.3,2.5,0.545440031929755,0.0148717041222138,sig_r,d,nc,e,1,0.641853483077127
63,e03103,5.011,2.3138,0.875,1.513,4.4287,0.0002876,36,1.04624478442281,1.3,2.5,0.538255837158252,0.0121512192516053,sig_r,d,nc,e,1,0.647681291232345
64,e03103,5.011,2.3489,0.9,1.3799,4.4959,0.0002329,36,1.19622155431516,1.3,2.5,0.531251247256037,0.00980030133305921,sig_r,d,nc,e,1,0.653257011257983
65,e03103,5.011,2.3832,0.925,1.2502,4.5614,0.0001837,36,0.941752857920523,1.3,2.5,0.524406306126522,0.00769568034495478,sig_r,d,nc,e,1,0.658572204712367
66,e03103,5.011,2.4165,0.95,1.1238,4.6253,0.0001749,36,1.38536306460835,1.3,2.5,0.517760925962882,0.0072934819291815,sig_r,d,nc,e,1,0.663653668890514
67,e03103,5.011,2.449,0.975,1.0005,4.6875,0.0001811,36,1.39094422970734,1.3,2.5,0.511275194571942,0.00751493959185599,sig_r,d,nc,e,1,0.668515364401894
68,e03103,5.011,2.4807,1.0,0.8804,4.7482,0.0001849,36,1.440778799351,1.3,2.5,0.504949111953702,0.00763327202367423,sig_r,d,nc,e,1,0.67317496280863
69,e03103,5.011,2.5117,1.025,0.7631,4.8074,0.0001464,36,1.6181693989071,1.3,2.5,0.498762722011575,0.00601115831225379,sig_r,d,nc,e,1,0.677622421444056
70,e03103,5.011,2.5418,1.05,0.6487,4.8652,9.818e-05,36,1.95151762069668,1.3,2.5,0.492755936938735,0.00400927180143823,sig_r,d,nc,e,1,0.681894221933995
71,e03103,5.011,2.5713,1.075,0.537,4.9216,5.612e-05,36,2.55880256593015,1.3,2.5,0.48686888844542,0.00227856015373366,sig_r,d,nc,e,1,0.685986826219535
72,e03103,5.011,2.6001,1.1,0.4279,4.9766,3.639e-05,36,3.21516900247321,1.3,2.5,0.481121532628218,0.00146874818942635,sig_r,d,nc,e,1,0.689910934218106
73,e03103,5.011,2.6282,1.125,0.3214,5.0304,2.251e-05,36,3.42558862727677,1.3,2.5,0.475513869487128,0.00090308628547526,sig_r,d,nc,e,1,0.693672078590436
74,e03103,5.011,2.6556,1.15,0.2174,5.083,1.384e-05,36,8.48988439306358,1.3,2.5,0.470045899022151,0.000551888135364856,sig_r,d,nc,e,1,0.697292131544291
75,e03103,5.011,2.6825,1.175,0.1157,5.1343,9.143e-06,36,11.6701301542163,1.3,2.5,0.464677709040112,0.00036228396617682,sig_r,d,nc,e,1,0.364053430901115
76,e03103,5.011,1.2204,0.525,4.2592,3.7345,0.001186,46,0.577150084317032,1.3,2.5,0.756455797246059,0.108985017182973,sig_r,d,nc,e,1,0.374716011174093
77,e03103,5.011,1.2638,0.55,4.0446,3.8675,0.001039,46,0.527333974975938,1.3,2.5,0.74779485132708,0.0971549158952189,sig_r,d,nc,e,1,0.38496753756135
78,e03103,5.011,1.3063,0.575,3.835,3.9974,0.0008913,46,0.681813082015034,1.3,2.5,0.73931351027739,0.0846478781011918,sig_r,d,nc,e,1,0.394823184614738
79,e03103,5.011,1.3478,0.6,3.63,4.1245,0.0007763,46,0.593713770449569,1.3,2.5,0.731031730193574,0.074769593408666,sig_r,d,nc,e,1,0.40429888100396
80,e03103,5.011,1.3884,0.625,3.4296,4.2487,0.0006579,46,0.68718650250798,1.3,2.5,0.722929554979046,0.0641665099014987,sig_r,d,nc,e,1,0.413413673318161
81,e03103,5.011,1.4281,0.65,3.2336,4.3702,0.0005932,46,0.455495616992583,1.3,2.5,0.715006984633806,0.0585124342203709,sig_r,d,nc,e,1,0.422191522193214
82,e03103,5.011,1.467,0.675,3.0418,4.4891,0.0005044,46,0.578112609040444,1.3,2.5,0.707244063061265,0.0502559205102323,sig_r,d,nc,e,1,0.43063168891587
83,e03103,5.011,1.505,0.7,2.8541,4.6054,0.0004189,46,0.619957030317498,1.3,2.5,0.699660746358013,0.0421152457498264,sig_r,d,nc,e,1,0.438761098343319
84,e03103,5.011,1.5422,0.725,2.6704,4.7193,0.000354,46,0.672881355932203,1.3,2.5,0.692237078427459,0.0358782792782712,sig_r,d,nc,e,1,0.446588208453635
85,e03103,5.011,1.5786,0.75,2.4906,4.8308,0.0002879,46,0.73463007988885,1.3,2.5,0.684973059269607,0.0293889059722051,sig_r,d,nc,e,1,0.454131589818333
86,e03103,5.011,1.6143,0.775,2.3145,4.9399,0.0002405,46,0.822869022869023,1.3,2.5,0.677848732787867,0.0247042032182618,sig_r,d,nc,e,1,0.461396056433238
87,e03103,5.011,1.6492,0.8,2.1421,5.0468,0.0001927,46,0.718733783082512,1.3,2.5,0.670884055078827,0.0199047832395521,sig_r,d,nc,e,1,0.468402558605914
88,e03103,5.011,1.6834,0.825,1.9731,5.1516,0.0001527,46,0.617943680419122,1.3,2.5,0.664059070045899,0.0158503517220394,sig_r,d,nc,e,1,0.475165102803472
89,e03103,5.011,1.717,0.85,1.8076,5.2542,0.0001152,46,0.960069444444445,1.3,2.5,0.657353821592497,0.0120072301616254,sig_r,d,nc,e,1,0.481673545718229
90,e03103,5.011,1.7498,0.875,1.6453,5.3547,8.88e-05,46,0.758333333333333,1.3,2.5,0.650808221911794,0.00928922638965449,sig_r,d,nc,e,1,0.487971189812975
91,e03103,5.011,1.7821,0.9,1.4863,5.4533,6.707e-05,46,0.892351274787535,1.3,2.5,0.644362402714029,0.00703696474434196,sig_r,d,nc,e,1,0.494033552993554
92,e03103,5.011,1.8136,0.925,1.3304,5.55,5.248e-05,46,1.42759146341463,1.3,2.5,0.638076232288964,0.00552067956794866,sig_r,d,nc,e,1,0.499897000886475
93,e03103,5.011,1.8446,0.95,1.1774,5.6448,4.393e-05,46,1.08877760072843,1.3,2.5,0.631889842346837,0.00463069184565025,sig_r,d,nc,e,1,0.505557130607329
94,e03103,5.011,1.875,0.975,1.0275,5.7377,4.255e-05,46,1.59623971797885,1.3,2.5,0.625823188984235,0.00449229770139663,sig_r,d,nc,e,1,0.511024918194727
95,e03103,5.011,1.9048,1.0,0.8804,5.8289,4.033e-05,46,1.2596082320853,1.3,2.5,0.619876272201158,0.00426308176847808,sig_r,d,nc,e,1,0.516305410022865
96,e03103,5.011,1.934,1.025,0.736,5.9184,2.879e-05,46,2.39458145189302,1.3,2.5,0.614049091997605,0.00304590468017453,sig_r,d,nc,e,1,0.521413500946672
97,e03103,5.011,1.9627,1.05,0.5943,6.0062,1.747e-05,46,3.21121923297081,1.3,2.5,0.608321692276991,0.00184914256294447,sig_r,d,nc,e,1,0.842161459465936
98,e03103,5.766,3.456,0.45,3.2645,1.9506,0.0442,18,0.378506787330317,1.3,2.5,0.400624349635796,0.169184903384773,sig_r,d,nc,e,1,0.850343779060152
99,e03103,5.766,3.5305,0.475,3.0828,1.9927,0.0433,18,0.484757505773672,1.3,2.5,0.387703780783906,0.161961347828089,sig_r,d,nc,e,1,0.857650275433365
100,e03103,5.766,3.6003,0.5,2.9124,2.032,0.04115,18,0.465127582017011,1.3,2.5,0.375598335067638,0.150381035369634,sig_r,d,nc,e,1,0.864211072774767
101,e03103,5.766,3.6658,0.525,2.7524,2.0691,0.03729,18,0.331724322874765,1.3,2.5,0.364238640305238,0.133180308282783,sig_r,d,nc,e,1,0.870120448653779
102,e03103,5.766,3.7275,0.55,2.6017,2.1039,0.03376,18,0.490817535545024,1.3,2.5,0.353537981269511,0.117828241101314,sig_r,d,nc,e,1,0.875462801141913
103,e03103,5.766,3.7857,0.575,2.4597,2.1367,0.03151,18,0.364963503649635,1.3,2.5,0.343444328824142,0.107486664120743,sig_r,d,nc,e,1,0.880312326690623
104,e03103,5.766,3.8407,0.6,2.3255,2.1678,0.02958,18,0.540906017579446,1.3,2.5,0.333905653832813,0.0986492519847439,sig_r,d,nc,e,1,0.884716312220481
105,e03103,5.766,3.8927,0.625,2.1986,2.1971,0.02716,18,0.569587628865979,1.3,2.5,0.324887270204648,0.0885691291599939,sig_r,d,nc,e,1,0.888728958361328
106,e03103,5.766,3.9419,0.65,2.0784,2.2249,0.0233,18,0.451072961373391,1.3,2.5,0.316354491848769,0.0743234758706346,sig_r,d,nc,e,1,0.892405779900581
107,e03103,5.766,3.9887,0.675,1.9643,2.2513,0.02043,18,0.725893294175233,1.3,2.5,0.30823794658342,0.0637586344892551,sig_r,d,nc,e,1,0.895769805266296
108,e03103,5.766,4.0331,0.7,1.8559,2.2763,0.01822,18,0.407958287596048,1.3,2.5,0.300537634408602,0.0556472003515635,sig_r,d,nc,e,1,0.8988608411472
109,e03103,5.766,4.0753,0.725,1.7528,2.3002,0.01701,18,0.386654908877131,1.3,2.5,0.293218869233437,0.0508649096940501,sig_r,d,nc,e,1,0.904334232463615
110,e03103,5.766,4.1539,0.775,1.561,2.3445,0.01564,18,0.415601023017903,1.3,2.5,0.279587235518557,0.0448631485056828,sig_r,d,nc,e,1,0.909012293334295
111,e03103,5.766,4.2255,0.825,1.3863,2.3849,0.01167,18,0.444815766923736,1.3,2.5,0.267169614984391,0.0321536410021236,sig_r,d,nc,e,1,0.913041245053345
112,e03103,5.766,4.291,0.875,1.2263,2.4219,0.007979,18,0.483519237999749,1.3,2.5,0.255809920221991,0.0211431496024186,sig_r,d,nc,e,1,0.916537447380856
113,e03103,5.766,4.3512,0.925,1.0795,2.4559,0.009278,18,0.4943953438241,1.3,2.5,0.245369406867846,0.0236726517055768,sig_r,d,nc,e,1,0.919584132313529
114,e03103,5.766,4.4066,0.975,0.9441,2.4872,0.01469,18,0.492103471749489,1.3,2.5,0.235761359694762,0.0361341395815704,sig_r,d,nc,e,1,0.922261421354321
115,e03103,5.766,4.4579,1.025,0.819,2.5161,0.01353,18,0.521729490022173,1.3,2.5,0.226864377384669,0.0321167594581522,sig_r,d,nc,e,1,0.92462088194345
116,e03103,5.766,4.5054,1.075,0.7029,2.5429,0.006793,18,0.602973649344914,1.3,2.5,0.218626430801249,0.0155789233881804,sig_r,d,nc,e,1,0.926715315534231
117,e03103,5.766,4.5496,1.125,0.595,2.5679,0.003164,18,0.75126422250316,1.3,2.5,0.210960804717308,0.00701797475931117,sig_r,d,nc,e,1,0.927675811662289
118,e03103,5.766,4.5706,1.15,0.5439,2.5797,0.002231,18,0.991931869116988,1.3,2.5,0.207318765175165,0.00486793404895306,sig_r,d,nc,e,1,0.929438491728792
119,e03103,5.766,4.6104,1.2,0.4467,2.6022,0.001187,18,1.34877843302443,1.3,2.5,0.200416233090531,0.00250856940122227,sig_r,d,nc,e,1,0.931020582185244
120,e03103,5.766,4.6477,1.25,0.3557,2.6232,0.0007075,18,1.86572438162544,1.3,2.5,0.193947277141866,0.00144935475631482,sig_r,d,nc,e,1,0.932441665732436
121,e03103,5.766,4.6826,1.3,0.2704,2.6429,0.0004051,18,2.77956060232041,1.3,2.5,0.187894554283732,0.00080519933678879,sig_r,d,nc,e,1,0.93372602357692
122,e03103,5.766,4.7154,1.35,0.1903,2.6615,0.0002764,18,3.78075253256151,1.3,2.5,0.182206035379813,0.000533523788636181,sig_r,d,nc,e,1,0.934889846677586
123,e03103,5.766,4.7463,1.4,0.115,2.6789,0.0001723,18,5.72838073128265,1.3,2.5,0.17684703433923,0.000323194624494126,sig_r,d,nc,e,1,0.935946350908762
124,e03103,5.766,4.7754,1.45,0.0439,2.6953,0.0001307,18,0.419892884468248,1.3,2.5,0.171800208116545,0.000238430816941066,sig_r,d,nc,e,1,0.723556372588249
125,e03103,5.766,2.7215,0.4,4.3083,2.2853,0.01956,22,0.454601226993865,1.3,2.5,0.528009018383628,0.189984437095904,sig_r,d,nc,e,1,0.737582171322549
126,e03103,5.766,2.8087,0.425,4.0713,2.3585,0.01852,22,0.405345572354212,1.3,2.5,0.512885882761013,0.178114476581886,sig_r,d,nc,e,1,0.750280443841309
127,e03103,5.766,2.8911,0.45,3.8475,2.4277,0.01717,22,0.316016307513104,1.3,2.5,0.498595213319459,0.163294709185054,sig_r,d,nc,e,1,0.761792317299423
128,e03103,5.766,2.969,0.475,3.6359,2.4931,0.01578,22,0.402598225602028,1.3,2.5,0.48508498092265,0.148247354221213,sig_r,d,nc,e,1,0.772265665358793
129,e03103,5.766,3.0428,0.5,3.4354,2.5551,0.01467,22,0.430334014996592,1.3,2.5,0.472285813388831,0.13603059974378,sig_r,d,nc,e,1,0.781813571979102
130,e03103,5.766,3.1128,0.525,3.2453,2.6139,0.01369,22,0.405405405405405,1.3,2.5,0.460145681581686,0.125211138577914,sig_r,d,nc,e,1,0.790538500903338
131,e03103,5.766,3.1793,0.55,3.0647,2.6697,0.01261,22,0.324583663758921,1.3,2.5,0.448612556364898,0.11369409174206,sig_r,d,nc,e,1,0.798537360754331
132,e03103,5.766,3.2426,0.575,2.8929,2.7228,0.01169,22,0.490248075278015,1.3,2.5,0.437634408602151,0.103856675318065,sig_r,d,nc,e,1,0.805875881133646
133,e03103,5.766,3.3028,0.6,2.7293,2.7734,0.01044,22,0.472509578544061,1.3,2.5,0.427193895248006,0.0913737263245264,sig_r,d,nc,e,1,0.812627026545163
134,e03103,5.766,3.3602,0.625,2.5733,2.8216,0.009227,22,0.339980492034247,1.3,2.5,0.417238987166146,0.0795360766353871,sig_r,d,nc,e,1,0.818852602113755
135,e03103,5.766,3.415,0.65,2.4245,2.8676,0.008277,22,0.501751842454996,1.3,2.5,0.407734998265695,0.0702553620283421,sig_r,d,nc,e,1,0.824608623997281
136,e03103,5.766,3.4674,0.675,2.2822,2.9116,0.007532,22,0.519251194901752,1.3,2.5,0.398647242455775,0.0629463181612084,sig_r,d,nc,e,1,0.829927041845464
137,e03103,5.766,3.5174,0.7,2.1462,2.9537,0.006478,22,0.388700216116085,1.3,2.5,0.389975719736386,0.0533055821832821,sig_r,d,nc,e,1,0.83486539974127
138,e03103,5.766,3.5654,0.725,2.016,2.9939,0.005508,22,0.593681917211329,1.3,2.5,0.381651057925772,0.0446171947676752,sig_r,d,nc,e,1,0.839446970079988
139,e03103,5.766,3.6113,0.75,1.8912,3.0325,0.004776,22,0.641331658291457,1.3,2.5,0.373690600069372,0.0380899324356645,sig_r,d,nc,e,1,0.84371445503266
140,e03103,5.766,3.6554,0.775,1.7715,3.0695,0.004172,22,0.516538830297219,1.3,2.5,0.366042317030871,0.0327569601060869,sig_r,d,nc,e,1,0.847688070394649
141,e03103,5.766,3.6977,0.8,1.6566,3.105,0.003698,22,0.432125473228772,1.3,2.5,0.358706208810267,0.0285870298030931,sig_r,d,nc,e,1,0.851393533975749
142,e03103,5.766,3.7383,0.825,1.5462,3.1391,0.003291,22,0.410513521725919,1.3,2.5,0.351664932362123,0.0250504662794485,sig_r,d,nc,e,1,0.858106393689505
143,e03103,5.766,3.815,0.875,1.338,3.2035,0.002252,22,0.438809946714032,1.3,2.5,0.338362816510579,0.0166234039288406,sig_r,d,nc,e,1,0.864000742088291
144,e03103,5.766,3.8861,0.925,1.1449,3.2632,0.001891,22,0.449603384452671,1.3,2.5,0.326031911203607,0.0135423248065713,sig_r,d,nc,e,1,0.866678233511596
145,e03103,5.766,3.9197,0.95,1.0536,3.2914,0.002173,22,0.455729406350667,1.3,2.5,0.320204647936178,0.015330924564417,sig_r,d,nc,e,1,0.871576343394993
146,e03103,5.766,3.9835,1.0,0.8804,3.345,0.002738,22,0.460555149744339,1.3,2.5,0.309139784946237,0.0187553112092191,sig_r,d,nc,e,1,0.87381115746483
147,e03103,5.766,4.0137,1.025,0.7982,3.3704,0.002272,22,0.5,1.3,2.5,0.303902185223725,0.0153390720111539,sig_r,d,nc,e,1,0.877924072891295
148,e03103,5.766,4.0713,1.075,0.6418,3.4187,0.001037,22,0.581870781099325,1.3,2.5,0.293912591050989,0.00680263984776886,sig_r,d,nc,e,1,0.881602166180839
149,e03103,5.766,4.1252,1.125,0.4955,3.464,0.0004492,22,0.723953695458593,1.3,2.5,0.284564689559487,0.00286501707528415,sig_r,d,nc,e,1,0.883296987648848
150,e03103,5.766,4.1509,1.15,0.4257,3.4855,0.0003129,22,0.930648769574944,1.3,2.5,0.28010752688172,0.00196811973147091,sig_r,d,nc,e,1,0.886429488748025
151,e03103,5.766,4.1999,1.2,0.2926,3.5267,0.0001596,22,1.21992481203008,1.3,2.5,0.271609434616719,0.000976898220042154,sig_r,d,nc,e,1,0.887879234898206
