,exp,Q2,x,value,stat_u,sys,eff_c,ee_c,phe_c,rdc_c,mom_c,rlt_c,tot,obs,target,curent,lepton beam,units,*%norm_c
16,clas6,0.225,0.2755,0.4366,0.002634,0.009806,0.0065075,0.0,0.00074602,0.006549,0.00083033,0.0031103,0.009806,F2,p,e,nc,1,1
17,clas6,0.225,0.2845,0.3924,0.002525,0.01473,0.005627,0.0,0.00066433,0.010837,0.0077523,0.0027165,0.014731,F2,p,e,nc,1,1
18,clas6,0.225,0.2935,0.3307,0.00231,0.01746,0.0044502,0.0,0.00055521,0.012747,0.010833,0.0022297,0.017462,F2,p,e,nc,1,1
19,clas6,0.225,0.3025,0.2666,0.002108,0.01779,0.0034858,0.0,0.00044418,0.013642,0.010713,0.0017544,0.017785,F2,p,e,nc,1,1
20,clas6,0.225,0.3115,0.2094,0.001921,0.01858,0.0025947,0.0,0.00034649,0.015902,0.0091458,0.0013473,0.018579,F2,p,e,nc,1,1
21,clas6,0.225,0.3205,0.1627,0.001731,0.01664,0.001879,0.0,0.00026753,0.014774,0.0073376,0.0010254,0.016636,F2,p,e,nc,1,1
22,clas6,0.225,0.3295,0.1314,0.001588,0.01456,0.0015211,0.0,0.00021483,0.01314,0.0060142,0.00081237,0.014555,F2,p,e,nc,1,1
23,clas6,0.225,0.3385,0.1086,0.001483,0.01206,0.0011744,0.0,0.00017662,0.01086,0.0050472,0.00065958,0.012052,F2,p,e,nc,1,1
24,clas6,0.225,0.3475,0.08573,0.001361,0.009559,0.00093883,0.0,0.00013876,0.008573,0.0040869,0.00051219,0.009558,F2,p,e,nc,1,1
25,clas6,0.225,0.3565,0.07021,0.001242,0.007885,0.00072464,0.0,0.00011314,0.007021,0.0034869,0.00041311,0.0078839,F2,p,e,nc,1,1
26,clas6,0.225,0.3655,0.06022,0.0012,0.006846,0.00062797,0.0,9.6659e-05,0.006022,0.0031743,0.00034934,0.0068458,F2,p,e,nc,1,1
27,clas6,0.225,0.3745,0.04947,0.001107,0.005729,0.00052671,0.0,7.9112e-05,0.004947,0.0028259,0.00028323,0.0057291,F2,p,e,nc,1,1
28,clas6,0.225,0.3835,0.04178,0.0009795,0.00497,0.0004196,0.0,6.6589e-05,0.004178,0.0026465,0.00023629,0.0049693,F2,p,e,nc,1,1
29,clas6,0.225,0.3925,0.03158,0.0008371,0.003911,0.00031972,0.0,5.0177e-05,0.003158,0.0022767,0.00017658,0.0039106,F2,p,e,nc,1,1
30,clas6,0.225,0.4015,0.02401,0.0007294,0.003157,0.0002312,0.0,3.8039e-05,0.002401,0.0020318,0.00013283,0.0031568,F2,p,e,nc,1,1
31,clas6,0.225,0.4105,0.0182,0.0005855,0.002625,0.00017546,0.0,2.876e-05,0.00182,0.0018801,9.9696e-05,0.0026246,F2,p,e,nc,1,1
32,clas6,0.225,0.4195,0.01394,0.0004567,0.0002446,0.00012501,0.0,2.1974e-05,0.0002091,0.0,0.0,0.00024461,F2,p,e,nc,1,1
33,clas6,0.225,0.4285,0.009111,0.0003274,0.0001601,8.2086e-05,0.0,1.433e-05,0.00013667,0.0,0.0,0.00016006,F2,p,e,nc,1,1
34,clas6,0.225,0.4375,0.0051,0.0001969,8.887e-05,4.4503e-05,0.0,8.005e-06,7.65e-05,0.0,0.0,8.8862e-05,F2,p,e,nc,1,1
35,clas6,0.275,0.1495,0.2671,0.0005785,0.01693,0.013538,0.0,0.00072381,0.0040065,0.0052408,0.0077061,0.016933,F2,p,e,nc,1,1
36,clas6,0.275,0.1585,0.2989,0.0006506,0.01778,0.012756,0.0,0.00076982,0.0053945,0.0080165,0.0077062,0.017778,F2,p,e,nc,1,1
37,clas6,0.275,0.1675,0.3124,0.0007372,0.0149,0.012114,0.0,0.00076757,0.004686,9.9912e-05,0.0072677,0.014904,F2,p,e,nc,1,1
38,clas6,0.275,0.1765,0.2466,0.0006528,0.01095,0.0086954,0.0,0.00058035,0.003699,0.0017579,0.0052222,0.010954,F2,p,e,nc,1,1
39,clas6,0.275,0.1855,0.2091,0.0006134,0.009663,0.0068963,0.0,0.00047324,0.0053958,3.3843e-05,0.0040628,0.0096646,F2,p,e,nc,1,1
40,clas6,0.275,0.1945,0.1866,0.0005909,0.00804,0.00577,0.0,0.00040763,0.0043754,0.0009007,0.00335,0.0080397,F2,p,e,nc,1,1
41,clas6,0.275,0.2035,0.1754,0.0005857,0.006597,0.0051129,0.0,0.00037109,0.002631,0.0013207,0.0029283,0.006597,F2,p,e,nc,1,1
42,clas6,0.275,0.2125,0.1699,0.0005897,0.006205,0.0047157,0.0,0.00034923,0.0025485,0.0016166,0.0026528,0.0062053,F2,p,e,nc,1,1
43,clas6,0.275,0.2215,0.1798,0.0009046,0.01105,0.0047631,0.0,0.00036009,0.0092978,0.0020526,0.0026395,0.010975,F2,p,e,nc,1,1
44,clas6,0.275,0.2305,0.1825,0.0009676,0.01439,0.0046742,0.0,0.00035699,0.01311,0.0024771,0.0025307,0.014366,F2,p,e,nc,1,1
45,clas6,0.275,0.2395,0.1898,0.001056,0.009907,0.0047,0.0,0.00036345,0.0077066,0.0030744,0.0024968,0.0098639,F2,p,e,nc,1,1
46,clas6,0.275,0.2485,0.1994,0.0007086,0.009994,0.0048408,0.0,0.00037453,0.0074225,0.003869,0.0024981,0.0099939,F2,p,e,nc,1,1
47,clas6,0.275,0.2575,0.223,0.0007751,0.009784,0.0053056,0.0,0.00041164,0.0057933,0.0051676,0.0026702,0.0097835,F2,p,e,nc,1,1
48,clas6,0.275,0.2665,0.2579,0.001564,0.01075,0.0060467,0.0,0.00046858,0.0045261,0.0070252,0.0029612,0.010742,F2,p,e,nc,1,1
49,clas6,0.275,0.2755,0.2917,0.000969,0.0163,0.0066729,0.0,0.00052241,0.011366,0.0090144,0.003221,0.016298,F2,p,e,nc,1,1
50,clas6,0.275,0.2845,0.3383,0.0011,0.01954,0.0076283,0.0,0.00059801,0.013693,0.01109,0.0036022,0.019545,F2,p,e,nc,1,1
51,clas6,0.275,0.2935,0.383,0.001227,0.01614,0.0085294,0.0,0.0006691,0.005745,0.011783,0.0039426,0.016143,F2,p,e,nc,1,1
52,clas6,0.275,0.3025,0.4224,0.001362,0.01536,0.0092383,0.0,0.00072999,0.006336,0.0095995,0.004213,0.01536,F2,p,e,nc,1,1
53,clas6,0.275,0.3115,0.4273,0.001406,0.01234,0.0089793,0.0,0.0007312,0.0064095,0.0035989,0.0041381,0.012342,F2,p,e,nc,1,1
54,clas6,0.275,0.3205,0.4028,0.001393,0.01317,0.0081631,0.0,0.00068307,0.0088842,0.003614,0.0037948,0.013172,F2,p,e,nc,1,1
55,clas6,0.275,0.3295,0.3557,0.001312,0.01966,0.0070269,0.0,0.00059822,0.015786,0.0087588,0.0032658,0.019655,F2,p,e,nc,1,1
56,clas6,0.275,0.3385,0.2951,0.001185,0.01923,0.0055626,0.0,0.00049252,0.014865,0.01051,0.0026448,0.019225,F2,p,e,nc,1,1
57,clas6,0.275,0.3475,0.24,0.00106,0.01988,0.0043241,0.0,0.00039778,0.016449,0.010064,0.0021028,0.019878,F2,p,e,nc,1,1
58,clas6,0.275,0.3565,0.1936,0.0009485,0.02117,0.0034168,0.0,0.00031882,0.018919,0.0087112,0.0016606,0.021174,F2,p,e,nc,1,1
59,clas6,0.275,0.3655,0.1581,0.000854,0.01551,0.0027286,0.0,0.00025883,0.013324,0.0073173,0.0013294,0.015504,F2,p,e,nc,1,1
60,clas6,0.275,0.3745,0.1267,0.0007642,0.00774,0.0021411,0.0,0.00020629,0.0043551,0.0059363,0.0010455,0.0077411,F2,p,e,nc,1,1
61,clas6,0.275,0.3835,0.1055,0.0006979,0.007099,0.0017847,0.0,0.00017091,0.0046292,0.0049976,0.00085534,0.0070959,F2,p,e,nc,1,1
62,clas6,0.275,0.3925,0.08593,0.0006194,0.008069,0.0014207,0.0,0.00013856,0.0067381,0.0041467,0.00068518,0.0080687,F2,p,e,nc,1,1
63,clas6,0.275,0.4015,0.07009,0.0005533,0.003987,0.0011118,0.0,0.00011254,0.0014745,0.0034888,0.00055017,0.0039871,F2,p,e,nc,1,1
64,clas6,0.275,0.4105,0.05922,0.0005047,0.006099,0.00094835,0.0,9.4711e-05,0.005152,0.003089,0.00045801,0.0060997,F2,p,e,nc,1,1
65,clas6,0.275,0.4195,0.04934,0.000448,0.005715,0.0007885,0.0,7.8618e-05,0.004934,0.0027471,0.00037629,0.0057151,F2,p,e,nc,1,1
66,clas6,0.275,0.4285,0.03952,0.0003934,0.004675,0.00062481,0.0,6.2758e-05,0.003952,0.0023979,0.00029743,0.0046744,F2,p,e,nc,1,1
67,clas6,0.275,0.4375,0.0313,0.0003272,0.003447,0.00047125,0.0,4.9548e-05,0.0026659,0.0021193,0.00023263,0.0034464,F2,p,e,nc,1,1
68,clas6,0.275,0.4465,0.02616,0.0002867,0.003341,0.00038583,0.0,4.1291e-05,0.002616,0.0020326,0.00019213,0.0033409,F2,p,e,nc,1,1
69,clas6,0.275,0.4555,0.02094,0.0002396,0.00287,0.00031004,0.0,3.2964e-05,0.002094,0.0019325,0.00015206,0.0028705,F2,p,e,nc,1,1
70,clas6,0.275,0.4645,0.01557,0.0001903,0.002384,0.00023585,0.0,2.4448e-05,0.001557,0.0017865,0.00011186,0.0023842,F2,p,e,nc,1,1
71,clas6,0.275,0.4735,0.01102,0.0001415,0.0002304,0.0001596,0.0,1.7263e-05,0.0001653,0.0,0.0,0.00023043,F2,p,e,nc,1,1
72,clas6,0.275,0.4825,0.007099,9.318e-05,0.000148,0.00010218,0.0,1.1097e-05,0.00010649,0.0,0.0,0.00014799,F2,p,e,nc,1,1
73,clas6,0.275,0.4915,0.003491,4.758e-05,7.15e-05,4.8389e-05,0.0,5.446e-06,5.2365e-05,0.0,0.0,7.1506e-05,F2,p,e,nc,1,1
74,clas6,0.325,0.1675,0.2677,0.0006312,0.02072,0.017642,0.0,0.00072544,0.0040155,0.0041435,0.00918,0.020721,F2,p,e,nc,1,1
75,clas6,0.325,0.1765,0.2774,0.0005607,0.01968,0.01576,0.0,0.00072077,0.004161,0.0068432,0.0086144,0.019679,F2,p,e,nc,1,1
76,clas6,0.325,0.1855,0.3328,0.0007284,0.02148,0.016919,0.0,0.00083004,0.004992,0.0072454,0.0094299,0.02129,F2,p,e,nc,1,1
77,clas6,0.325,0.1945,0.3061,0.000706,0.01693,0.014224,0.0,0.00073443,0.0045915,0.0017296,0.0079687,0.017042,F2,p,e,nc,1,1
78,clas6,0.325,0.2035,0.2449,0.0006278,0.01264,0.010503,0.0,0.0005667,0.0036735,0.0016436,0.0058945,0.012711,F2,p,e,nc,1,1
79,clas6,0.325,0.2125,0.2104,0.0005991,0.01099,0.0085025,0.0,0.00047081,0.0051956,1.7607e-05,0.0047094,0.011031,F2,p,e,nc,1,1
80,clas6,0.325,0.2215,0.1947,0.0005941,0.009598,0.0075768,0.0,0.00042244,0.0042727,0.00081529,0.0040739,0.0096489,F2,p,e,nc,1,1
81,clas6,0.325,0.2305,0.1832,0.0005918,0.008462,0.0069814,0.0,0.00038637,0.003186,0.0012413,0.0036008,0.008576,F2,p,e,nc,1,1
82,clas6,0.325,0.2395,0.1761,0.0005962,0.007713,0.0063584,0.0,0.00036183,0.0026415,0.0015266,0.0032656,0.0077803,F2,p,e,nc,1,1
83,clas6,0.325,0.2485,0.1745,0.0006097,0.007482,0.0061497,0.0,0.00035008,0.0026175,0.001816,0.0030654,0.0075822,F2,p,e,nc,1,1
84,clas6,0.325,0.2575,0.1779,0.0006306,0.01664,0.0059974,0.0,0.00034918,0.015121,0.0021871,0.0029715,0.016684,F2,p,e,nc,1,1
85,clas6,0.325,0.2665,0.1838,0.0006586,0.009538,0.0060134,0.0,0.00035359,0.006349,0.0026695,0.0029289,0.0096072,F2,p,e,nc,1,1
86,clas6,0.325,0.2755,0.1956,0.000696,0.01031,0.0062647,0.0,0.00036945,0.0069254,0.0033678,0.0029829,0.010372,F2,p,e,nc,1,1
87,clas6,0.325,0.2845,0.2128,0.000747,0.01057,0.006686,0.0,0.00039521,0.0063325,0.0043464,0.0031145,0.010656,F2,p,e,nc,1,1
88,clas6,0.325,0.2935,0.2372,0.0008109,0.01084,0.0073088,0.0,0.00043377,0.0047298,0.0057089,0.0033407,0.010942,F2,p,e,nc,1,1
89,clas6,0.325,0.3025,0.266,0.000888,0.01248,0.0081215,0.0,0.00047957,0.0049529,0.0074049,0.0036139,0.012594,F2,p,e,nc,1,1
90,clas6,0.325,0.3115,0.3016,0.0009841,0.01811,0.0089593,0.0,0.0005367,0.012075,0.0093644,0.0039612,0.018159,F2,p,e,nc,1,1
91,clas6,0.325,0.3205,0.3411,0.001088,0.01922,0.010022,0.0,0.00059972,0.011421,0.011069,0.0043405,0.019303,F2,p,e,nc,1,1
92,clas6,0.325,0.3295,0.3837,0.001202,0.01759,0.011046,0.0,0.00066722,0.0057555,0.011606,0.0047391,0.017685,F2,p,e,nc,1,1
93,clas6,0.325,0.3385,0.4156,0.0013,0.01699,0.01187,0.0,0.00071541,0.006234,0.0094154,0.0049914,0.017142,F2,p,e,nc,1,1
94,clas6,0.325,0.3475,0.4213,0.001342,0.0145,0.011544,0.0,0.00071849,0.0063195,0.003958,0.0049279,0.014618,F2,p,e,nc,1,1
95,clas6,0.325,0.3565,0.4007,0.00133,0.01424,0.01073,0.0,0.0006775,0.0078846,0.0028273,0.004572,0.014376,F2,p,e,nc,1,1
96,clas6,0.325,0.3655,0.3556,0.001248,0.01768,0.0090898,0.0,0.00059645,0.012317,0.0080202,0.0039635,0.017741,F2,p,e,nc,1,1
97,clas6,0.325,0.3745,0.3006,0.001141,0.01936,0.0074765,0.0,0.0005005,0.014288,0.010259,0.0032771,0.019398,F2,p,e,nc,1,1
98,clas6,0.325,0.3835,0.2498,0.001032,0.01924,0.0060192,0.0,0.00041309,0.014894,0.010306,0.0026671,0.019276,F2,p,e,nc,1,1
99,clas6,0.325,0.3925,0.1998,0.0009159,0.01969,0.0046629,0.0,0.00032831,0.016764,0.0089844,0.0020915,0.019697,F2,p,e,nc,1,1
100,clas6,0.325,0.4015,0.1617,0.0008124,0.01736,0.0036303,0.0,0.00026415,0.015136,0.0075351,0.0016613,0.017375,F2,p,e,nc,1,1
101,clas6,0.325,0.4105,0.1328,0.0007316,0.01092,0.0029804,0.0,0.00021576,0.0083457,0.0062699,0.0013404,0.01094,F2,p,e,nc,1,1
102,clas6,0.325,0.4195,0.1104,0.0006594,0.007761,0.0024018,0.0,0.00017846,0.0050971,0.0052484,0.0010957,0.0077799,F2,p,e,nc,1,1
103,clas6,0.325,0.4285,0.0896,0.0005898,0.008538,0.0019423,0.0,0.00014416,0.0070737,0.0043029,0.00087518,0.0085504,F2,p,e,nc,1,1
104,clas6,0.325,0.4375,0.07374,0.0005308,0.007482,0.0015557,0.0,0.00011812,0.0063314,0.0036107,0.00070942,0.0074876,F2,p,e,nc,1,1
105,clas6,0.325,0.4465,0.06189,0.0004727,0.00355,0.0012952,0.0,9.8733e-05,0.00092835,0.0031313,0.00058689,0.0035635,F2,p,e,nc,1,1
106,clas6,0.325,0.4555,0.05165,0.0004221,0.005076,0.0010755,0.0,8.2087e-05,0.0041102,0.0027446,0.00048311,0.0050817,F2,p,e,nc,1,1
107,clas6,0.325,0.4645,0.04195,0.0003637,0.00491,0.00083678,0.0,6.6436e-05,0.004195,0.0023863,0.00038728,0.004914,F2,p,e,nc,1,1
108,clas6,0.325,0.4735,0.03451,0.0003203,0.003512,0.00068123,0.0,5.4474e-05,0.002678,0.002148,0.00031465,0.0035145,F2,p,e,nc,1,1
109,clas6,0.325,0.4825,0.02811,0.0002786,0.002097,0.00056167,0.0,4.4234e-05,0.00042165,0.0019641,0.00025326,0.0021017,F2,p,e,nc,1,1
110,clas6,0.325,0.4915,0.02305,0.0002352,0.001956,0.0004424,0.0,3.6168e-05,0.00034575,0.0018645,0.00020533,0.0019584,F2,p,e,nc,1,1
111,clas6,0.325,0.5005,0.01744,0.0001879,0.001754,0.00033258,0.0,2.7292e-05,0.0002616,0.0016982,0.00015367,0.0017571,F2,p,e,nc,1,1
112,clas6,0.325,0.5095,0.0132,0.0001445,0.000308,0.00024292,0.0,2.0605e-05,0.000198,0.0,0.0,0.00031407,F2,p,e,nc,1,1
113,clas6,0.325,0.5185,0.009079,0.0001055,0.0002129,0.00017023,0.0,1.414e-05,0.00013619,0.0,0.0,0.00021846,F2,p,e,nc,1,1
114,clas6,0.325,0.5275,0.005396,6.49e-05,0.0001227,9.5563e-05,0.0,8.3854e-06,8.094e-05,0.0,0.0,0.00012552,F2,p,e,nc,1,1
115,clas6,0.375,0.1855,0.2899,0.0009834,0.02785,0.024868,0.0,0.00077424,0.0043485,0.0039763,0.011049,0.027854,F2,p,e,nc,1,1
116,clas6,0.375,0.1945,0.271,0.0007085,0.02241,0.019038,0.0,0.00069951,0.004065,0.0057674,0.0094574,0.022409,F2,p,e,nc,1,1
117,clas6,0.375,0.2035,0.3188,0.0006721,0.02525,0.020354,0.0,0.00079483,0.004782,0.0087759,0.010249,0.024897,F2,p,e,nc,1,1
118,clas6,0.375,0.2125,0.3318,0.0006955,0.02221,0.019331,0.0,0.00080007,0.004977,0.0028412,0.0098827,0.022469,F2,p,e,nc,1,1
119,clas6,0.375,0.2215,0.2792,0.0006402,0.01754,0.014914,0.0,0.00065185,0.0049829,0.0025716,0.007745,0.017728,F2,p,e,nc,1,1
120,clas6,0.375,0.2305,0.23,0.0005966,0.01354,0.011413,0.0,0.00052079,0.00431,0.0011682,0.0059706,0.013643,F2,p,e,nc,1,1
121,clas6,0.375,0.2395,0.2044,0.0005975,0.01186,0.0097617,0.0,0.00044966,0.0047703,0.00013769,0.0049876,0.011964,F2,p,e,nc,1,1
122,clas6,0.375,0.2485,0.191,0.0006122,0.0108,0.0088294,0.0,0.00040901,0.0045586,0.00081989,0.0043989,0.010906,F2,p,e,nc,1,1
123,clas6,0.375,0.2575,0.1805,0.000621,0.009577,0.0080205,0.0,0.00037692,0.0034423,0.001193,0.0039385,0.0096569,F2,p,e,nc,1,1
124,clas6,0.375,0.2665,0.1749,0.000639,0.008815,0.0075424,0.0,0.0003568,0.0026235,0.0014641,0.0036281,0.0088998,F2,p,e,nc,1,1
125,clas6,0.375,0.2755,0.1734,0.0006587,0.008547,0.0072372,0.0,0.00034614,0.002601,0.0017345,0.0034307,0.0086046,F2,p,e,nc,1,1
126,clas6,0.375,0.2845,0.1765,0.0006934,0.01514,0.0071562,0.0,0.0003453,0.012773,0.0020751,0.0033406,0.015164,F2,p,e,nc,1,1
127,clas6,0.375,0.2935,0.1807,0.0007163,0.009987,0.007183,0.0,0.000347,0.0056763,0.0024929,0.0032806,0.010046,F2,p,e,nc,1,1
128,clas6,0.375,0.3025,0.19,0.0007485,0.01046,0.0074174,0.0,0.00035861,0.0059426,0.0030845,0.0033172,0.010535,F2,p,e,nc,1,1
129,clas6,0.375,0.3115,0.205,0.0007942,0.01116,0.0079751,0.0,0.00038077,0.0060301,0.003921,0.0034499,0.011286,F2,p,e,nc,1,1
130,clas6,0.375,0.3205,0.2259,0.0008555,0.01159,0.0085347,0.0,0.00041342,0.0048437,0.005071,0.0036727,0.011648,F2,p,e,nc,1,1
131,clas6,0.375,0.3295,0.2529,0.0009262,0.01298,0.0096094,0.0,0.00045651,0.0045661,0.0065797,0.0039799,0.013135,F2,p,e,nc,1,1
132,clas6,0.375,0.3385,0.282,0.001011,0.01617,0.01047,0.0,0.00050261,0.0082152,0.0082891,0.0043039,0.016266,F2,p,e,nc,1,1
133,clas6,0.375,0.3475,0.318,0.001109,0.02083,0.011851,0.0,0.00056013,0.013236,0.010093,0.0047147,0.020977,F2,p,e,nc,1,1
134,clas6,0.375,0.3565,0.3577,0.00122,0.01941,0.013184,0.0,0.00062318,0.0074563,0.01134,0.0051605,0.019622,F2,p,e,nc,1,1
135,clas6,0.375,0.3655,0.394,0.001324,0.01952,0.014391,0.0,0.00067945,0.00591,0.010871,0.0055392,0.019782,F2,p,e,nc,1,1
136,clas6,0.375,0.3745,0.4155,0.001394,0.01828,0.014793,0.0,0.0007098,0.0062325,0.0075442,0.0057007,0.018644,F2,p,e,nc,1,1
137,clas6,0.375,0.3835,0.4177,0.00143,0.01652,0.014508,0.0,0.00070733,0.0062655,0.0016526,0.0056001,0.016862,F2,p,e,nc,1,1
138,clas6,0.375,0.3925,0.3913,0.00139,0.01692,0.013341,0.0,0.00065731,0.0085303,0.0047285,0.0051323,0.017317,F2,p,e,nc,1,1
139,clas6,0.375,0.4015,0.3423,0.001299,0.01937,0.011147,0.0,0.00057065,0.012611,0.008996,0.0043975,0.019593,F2,p,e,nc,1,1
140,clas6,0.375,0.4105,0.2912,0.00119,0.01998,0.009151,0.0,0.00048208,0.013923,0.010623,0.003668,0.020103,F2,p,e,nc,1,1
141,clas6,0.375,0.4195,0.2398,0.001065,0.01924,0.0073,0.0,0.0003944,0.014405,0.010217,0.0029646,0.019343,F2,p,e,nc,1,1
142,clas6,0.375,0.4285,0.1964,0.0009574,0.01897,0.005814,0.0,0.00032104,0.015551,0.008978,0.0023853,0.019027,F2,p,e,nc,1,1
143,clas6,0.375,0.4375,0.1606,0.000856,0.01603,0.0046568,0.0,0.00026102,0.013272,0.0075484,0.0019177,0.016079,F2,p,e,nc,1,1
144,clas6,0.375,0.4465,0.1296,0.0007614,0.01077,0.003656,0.0,0.00020952,0.0079477,0.0061434,0.0015228,0.0108,F2,p,e,nc,1,1
145,clas6,0.375,0.4555,0.109,0.0006918,0.008836,0.0030803,0.0,0.00017535,0.0063821,0.0051844,0.0012612,0.0088723,F2,p,e,nc,1,1
146,clas6,0.375,0.4645,0.08955,0.0006179,0.009146,0.0024538,0.0,0.00014339,0.0076572,0.0042888,0.001021,0.0091708,F2,p,e,nc,1,1
147,clas6,0.375,0.4735,0.07492,0.0005521,0.007587,0.0020602,0.0,0.00011944,0.0062949,0.0036461,0.0008424,0.0076081,F2,p,e,nc,1,1
148,clas6,0.375,0.4825,0.06016,0.0004831,0.003568,0.0015947,0.0,9.5522e-05,0.0009024,0.0030152,0.00066742,0.0035921,F2,p,e,nc,1,1
149,clas6,0.375,0.4915,0.05082,0.000435,0.004029,0.0013627,0.0,8.0382e-05,0.0026681,0.0026665,0.00055663,0.00405,F2,p,e,nc,1,1
150,clas6,0.375,0.5005,0.04219,0.0003778,0.004042,0.00109,0.0,6.6496e-05,0.0030757,0.0023634,0.0004565,0.0040554,F2,p,e,nc,1,1
151,clas6,0.375,0.5095,0.03438,0.0003319,0.00266,0.00086438,0.0,5.4004e-05,0.0013489,0.0021034,0.00036766,0.00267,F2,p,e,nc,1,1
152,clas6,0.375,0.5185,0.0287,0.0002839,0.002324,0.00069454,0.0,4.4941e-05,0.00098679,0.0019698,0.00030347,0.0023304,F2,p,e,nc,1,1
153,clas6,0.375,0.5275,0.02265,0.0002371,0.001945,0.00055139,0.0,3.5363e-05,0.00044489,0.0018014,0.00023692,0.0019505,F2,p,e,nc,1,1
154,clas6,0.375,0.5365,0.01805,0.0001943,0.001821,0.00041555,0.0,2.8104e-05,0.00033143,0.0017334,0.00018685,0.0018229,F2,p,e,nc,1,1
155,clas6,0.375,0.5455,0.01302,0.0001476,0.0003496,0.00030012,0.0,2.022e-05,0.0001953,0.0,0.0,0.00035865,F2,p,e,nc,1,1
156,clas6,0.375,0.5545,0.008736,0.0001051,0.0002319,0.00019999,0.0,1.3535e-05,0.00013104,0.0,0.0,0.00023948,F2,p,e,nc,1,1
157,clas6,0.375,0.5635,0.00543,6.415e-05,0.0001384,0.0001174,0.0,8.3937e-06,8.145e-05,0.0,0.0,0.00014313,F2,p,e,nc,1,1
158,clas6,0.425,0.2035,0.2719,0.005669,0.0293,0.026352,0.0,0.00070602,0.0050617,0.0035926,0.011182,0.0293,F2,p,e,nc,1,1
159,clas6,0.425,0.2125,0.2698,0.001422,0.02592,0.022856,0.0,0.00068375,0.004047,0.0052805,0.010254,0.025928,F2,p,e,nc,1,1
160,clas6,0.425,0.2215,0.3122,0.0008332,0.02879,0.023933,0.0,0.00076976,0.004683,0.00849,0.011021,0.028087,F2,p,e,nc,1,1
161,clas6,0.425,0.2305,0.3427,0.0007837,0.02796,0.024211,0.0,0.00082125,0.0051405,0.0067382,0.01129,0.028038,F2,p,e,nc,1,1
162,clas6,0.425,0.2395,0.3111,0.0007051,0.02243,0.020009,0.0,0.00072471,0.0046665,0.0016498,0.0096071,0.022752,F2,p,e,nc,1,1
163,clas6,0.425,0.2485,0.2538,0.0006181,0.01797,0.015326,0.0,0.00057524,0.0061851,0.002169,0.0073772,0.018238,F2,p,e,nc,1,1
164,clas6,0.425,0.2575,0.2169,0.0005823,0.01445,0.012376,0.0,0.00047896,0.0050182,0.00057873,0.0059567,0.014642,F2,p,e,nc,1,1
165,clas6,0.425,0.2665,0.198,0.0005733,0.01258,0.010889,0.0,0.00042649,0.0040481,0.00038513,0.0051559,0.012722,F2,p,e,nc,1,1
