,exp,Q2,x,value,stat_u,sys_u,obs,target,curent,lepton beam,units,*%norm_c
50,clas6,0.425,0.4645,0.20838,0.012986,0.0089385,F2,d,e,nc,1,1
51,clas6,0.425,0.4735,0.19848,0.013643,0.0084517,F2,d,e,nc,1,1
52,clas6,0.425,0.4825,0.1413,0.010124,0.0058749,F2,d,e,nc,1,1
53,clas6,0.425,0.4915,0.13596,0.010359,0.0055974,F2,d,e,nc,1,1
54,clas6,0.425,0.5005,0.1625,0.013986,0.0068011,F2,d,e,nc,1,1
55,clas6,0.425,0.5095,0.14958,0.015628,0.0062697,F2,d,e,nc,1,1
56,clas6,0.425,0.5185,0.11232,0.012639,0.004779,F2,d,e,nc,1,1
57,clas6,0.425,0.5275,0.10725,0.013778,0.0045021,F2,d,e,nc,1,1
58,clas6,0.425,0.5365,0.11577,0.01643,0.0051855,F2,d,e,nc,1,1
59,clas6,0.475,0.1315,0.28618,0.00066216,0.013573,F2,d,e,nc,1,1
60,clas6,0.475,0.1405,0.2846,0.00072631,0.012768,F2,d,e,nc,1,1
61,clas6,0.475,0.1495,0.27367,0.00077056,0.012129,F2,d,e,nc,1,1
62,clas6,0.475,0.1585,0.26302,0.00084509,0.01161,F2,d,e,nc,1,1
63,clas6,0.475,0.1675,0.25938,0.00092283,0.0114,F2,d,e,nc,1,1
64,clas6,0.475,0.1765,0.26605,0.0010331,0.011653,F2,d,e,nc,1,1
65,clas6,0.475,0.1855,0.2793,0.0011815,0.012282,F2,d,e,nc,1,1
66,clas6,0.475,0.1945,0.28929,0.0012914,0.01271,F2,d,e,nc,1,1
67,clas6,0.475,0.2035,0.27187,0.0013069,0.011896,F2,d,e,nc,1,1
68,clas6,0.475,0.2125,0.26017,0.0013531,0.011418,F2,d,e,nc,1,1
69,clas6,0.475,0.2215,0.25501,0.0014265,0.011194,F2,d,e,nc,1,1
70,clas6,0.475,0.2305,0.25695,0.0015042,0.011287,F2,d,e,nc,1,1
71,clas6,0.475,0.2395,0.26525,0.001617,0.011673,F2,d,e,nc,1,1
72,clas6,0.475,0.2485,0.28152,0.0017846,0.012439,F2,d,e,nc,1,1
73,clas6,0.475,0.2575,0.26548,0.0017733,0.011687,F2,d,e,nc,1,1
74,clas6,0.475,0.2665,0.24252,0.0017066,0.010632,F2,d,e,nc,1,1
75,clas6,0.475,0.2755,0.22268,0.0016483,0.0098273,F2,d,e,nc,1,1
76,clas6,0.475,0.2845,0.2067,0.001554,0.0090969,F2,d,e,nc,1,1
77,clas6,0.475,0.2935,0.19733,0.0014937,0.0087396,F2,d,e,nc,1,1
78,clas6,0.475,0.3025,0.18728,0.0014116,0.0082273,F2,d,e,nc,1,1
79,clas6,0.475,0.3115,0.18241,0.0014221,0.0080072,F2,d,e,nc,1,1
80,clas6,0.475,0.3205,0.18681,0.0015216,0.0082436,F2,d,e,nc,1,1
81,clas6,0.475,0.3295,0.19838,0.0016582,0.008805,F2,d,e,nc,1,1
82,clas6,0.475,0.3385,0.20088,0.001716,0.0089021,F2,d,e,nc,1,1
83,clas6,0.475,0.3475,0.19945,0.0017757,0.0088183,F2,d,e,nc,1,1
84,clas6,0.475,0.3565,0.21098,0.0019142,0.0093156,F2,d,e,nc,1,1
85,clas6,0.475,0.3655,0.22788,0.0021006,0.010157,F2,d,e,nc,1,1
86,clas6,0.475,0.3745,0.23639,0.0022672,0.010472,F2,d,e,nc,1,1
87,clas6,0.475,0.3835,0.25339,0.0024974,0.011229,F2,d,e,nc,1,1
88,clas6,0.475,0.3925,0.27075,0.002742,0.011984,F2,d,e,nc,1,1
89,clas6,0.475,0.4015,0.28801,0.0030639,0.012737,F2,d,e,nc,1,1
90,clas6,0.475,0.4105,0.30871,0.0034047,0.013742,F2,d,e,nc,1,1
91,clas6,0.475,0.4195,0.31646,0.0036626,0.014143,F2,d,e,nc,1,1
92,clas6,0.475,0.4285,0.32226,0.0039201,0.014343,F2,d,e,nc,1,1
93,clas6,0.475,0.4375,0.31672,0.00398,0.013966,F2,d,e,nc,1,1
94,clas6,0.475,0.4465,0.30897,0.0040779,0.013702,F2,d,e,nc,1,1
95,clas6,0.475,0.4555,0.29286,0.0039499,0.012973,F2,d,e,nc,1,1
96,clas6,0.475,0.4645,0.26872,0.0037634,0.011811,F2,d,e,nc,1,1
97,clas6,0.475,0.4735,0.25367,0.0036837,0.011152,F2,d,e,nc,1,1
98,clas6,0.475,0.4825,0.22119,0.0033171,0.0097255,F2,d,e,nc,1,1
99,clas6,0.475,0.4915,0.20795,0.003217,0.0090924,F2,d,e,nc,1,1
100,clas6,0.475,0.5005,0.17019,0.0026808,0.007327,F2,d,e,nc,1,1
101,clas6,0.475,0.5095,0.16051,0.0026878,0.0069352,F2,d,e,nc,1,1
102,clas6,0.475,0.5185,0.14513,0.0024983,0.0063048,F2,d,e,nc,1,1
103,clas6,0.475,0.5275,0.12731,0.0022633,0.0055819,F2,d,e,nc,1,1
104,clas6,0.475,0.5365,0.11695,0.0021479,0.0051356,F2,d,e,nc,1,1
105,clas6,0.475,0.5455,0.099186,0.0019898,0.0043347,F2,d,e,nc,1,1
106,clas6,0.475,0.5545,0.093012,0.0018554,0.0040555,F2,d,e,nc,1,1
107,clas6,0.475,0.5635,0.078993,0.0016808,0.0034059,F2,d,e,nc,1,1
108,clas6,0.475,0.5725,0.075822,0.0016952,0.0033033,F2,d,e,nc,1,1
109,clas6,0.475,0.5815,0.075137,0.0016927,0.0032579,F2,d,e,nc,1,1
110,clas6,0.475,0.5905,0.065744,0.0015709,0.0028372,F2,d,e,nc,1,1
111,clas6,0.475,0.5995,0.057744,0.0014554,0.0024785,F2,d,e,nc,1,1
112,clas6,0.475,0.6085,0.060158,0.0014966,0.0026149,F2,d,e,nc,1,1
113,clas6,0.475,0.6175,0.057919,0.0014805,0.0025077,F2,d,e,nc,1,1
114,clas6,0.475,0.6265,0.056368,0.001511,0.0024232,F2,d,e,nc,1,1
115,clas6,0.475,0.6355,0.053393,0.0015064,0.0022987,F2,d,e,nc,1,1
116,clas6,0.475,0.6445,0.055944,0.0016031,0.0023892,F2,d,e,nc,1,1
117,clas6,0.475,0.6535,0.052542,0.0015565,0.0022017,F2,d,e,nc,1,1
118,clas6,0.475,0.6625,0.061784,0.0018537,0.0026343,F2,d,e,nc,1,1
119,clas6,0.475,0.6715,0.062204,0.0017207,0.0026875,F2,d,e,nc,1,1
120,clas6,0.475,0.6805,0.060671,0.0017492,0.0026093,F2,d,e,nc,1,1
121,clas6,0.475,0.6895,0.058191,0.0018694,0.0025534,F2,d,e,nc,1,1
122,clas6,0.475,0.6985,0.057396,0.0017863,0.002451,F2,d,e,nc,1,1
123,clas6,0.475,0.7075,0.062488,0.0019167,0.002695,F2,d,e,nc,1,1
124,clas6,0.475,0.7165,0.066421,0.0020605,0.0029021,F2,d,e,nc,1,1
125,clas6,0.475,0.7255,0.068248,0.0020842,0.0029717,F2,d,e,nc,1,1
126,clas6,0.475,0.7345,0.073765,0.0022731,0.0031754,F2,d,e,nc,1,1
127,clas6,0.475,0.7435,0.084377,0.0026368,0.0037185,F2,d,e,nc,1,1
128,clas6,0.475,0.7525,0.086907,0.0026749,0.0037805,F2,d,e,nc,1,1
129,clas6,0.475,0.7615,0.08461,0.0026032,0.0037219,F2,d,e,nc,1,1
130,clas6,0.475,0.7705,0.091301,0.0028752,0.0039514,F2,d,e,nc,1,1
131,clas6,0.475,0.7795,0.11015,0.0035782,0.0048295,F2,d,e,nc,1,1
132,clas6,0.475,0.7885,0.11498,0.0037138,0.0049848,F2,d,e,nc,1,1
133,clas6,0.475,0.7975,0.11816,0.0039885,0.0051541,F2,d,e,nc,1,1
134,clas6,0.475,0.8065,0.13455,0.004802,0.0059508,F2,d,e,nc,1,1
135,clas6,0.475,0.8155,0.14049,0.0051184,0.0061696,F2,d,e,nc,1,1
136,clas6,0.475,0.8245,0.16078,0.0060551,0.0070707,F2,d,e,nc,1,1
137,clas6,0.475,0.8335,0.18326,0.0075222,0.0081625,F2,d,e,nc,1,1
138,clas6,0.475,0.8425,0.18126,0.0076375,0.008056,F2,d,e,nc,1,1
139,clas6,0.475,0.8515,0.19096,0.0083301,0.0084161,F2,d,e,nc,1,1
140,clas6,0.475,0.8605,0.22338,0.010133,0.0098265,F2,d,e,nc,1,1
141,clas6,0.475,0.8695,0.22816,0.011623,0.010234,F2,d,e,nc,1,1
142,clas6,0.475,0.8785,0.23634,0.012183,0.010411,F2,d,e,nc,1,1
143,clas6,0.475,0.8875,0.2772,0.015376,0.012355,F2,d,e,nc,1,1
144,clas6,0.475,0.8965,0.29258,0.018015,0.013227,F2,d,e,nc,1,1
145,clas6,0.475,0.9055,0.32454,0.020978,0.014724,F2,d,e,nc,1,1
146,clas6,0.475,0.9145,0.348,0.023855,0.015809,F2,d,e,nc,1,1
147,clas6,0.475,0.9235,0.37492,0.027548,0.016938,F2,d,e,nc,1,1
148,clas6,0.475,0.9325,0.40366,0.031571,0.018582,F2,d,e,nc,1,1
149,clas6,0.475,0.9415,0.40195,0.032318,0.018454,F2,d,e,nc,1,1
150,clas6,0.475,0.9505,0.3992,0.033971,0.018436,F2,d,e,nc,1,1
151,clas6,0.475,0.9595,0.41543,0.036271,0.018963,F2,d,e,nc,1,1
152,clas6,0.475,0.9685,0.42414,0.038946,0.019563,F2,d,e,nc,1,1
153,clas6,0.475,0.9775,0.46479,0.044556,0.021487,F2,d,e,nc,1,1
154,clas6,0.475,0.9865,0.46341,0.045855,0.021461,F2,d,e,nc,1,1
155,clas6,0.475,0.9955,0.47303,0.047437,0.021718,F2,d,e,nc,1,1
156,clas6,0.475,1.0045,0.42797,0.042655,0.019583,F2,d,e,nc,1,1
157,clas6,0.475,1.0135,0.45321,0.045724,0.021066,F2,d,e,nc,1,1
158,clas6,0.475,1.0225,0.43908,0.044896,0.020122,F2,d,e,nc,1,1
159,clas6,0.475,1.0315,0.38102,0.037648,0.017086,F2,d,e,nc,1,1
160,clas6,0.475,1.0405,0.33911,0.032521,0.015286,F2,d,e,nc,1,1
161,clas6,0.475,1.0495,0.38326,0.037751,0.01747,F2,d,e,nc,1,1
162,clas6,0.475,1.0585,0.32286,0.030323,0.014279,F2,d,e,nc,1,1
163,clas6,0.475,1.0675,0.30904,0.028704,0.013761,F2,d,e,nc,1,1
164,clas6,0.475,1.0765,0.27002,0.023437,0.011772,F2,d,e,nc,1,1
165,clas6,0.475,1.0855,0.25875,0.022498,0.011291,F2,d,e,nc,1,1
166,clas6,0.475,1.0945,0.22891,0.019578,0.0099799,F2,d,e,nc,1,1
167,clas6,0.475,1.1035,0.22534,0.01886,0.0098076,F2,d,e,nc,1,1
168,clas6,0.475,1.1125,0.24182,0.020371,0.010423,F2,d,e,nc,1,1
169,clas6,0.475,1.1215,0.19616,0.015556,0.0084472,F2,d,e,nc,1,1
170,clas6,0.475,1.1305,0.17262,0.013094,0.0073545,F2,d,e,nc,1,1
171,clas6,0.475,1.1395,0.15137,0.011452,0.0064573,F2,d,e,nc,1,1
172,clas6,0.475,1.1485,0.15268,0.011311,0.0065008,F2,d,e,nc,1,1
173,clas6,0.475,1.1575,0.11652,0.0085643,0.004907,F2,d,e,nc,1,1
174,clas6,0.475,1.1665,0.13218,0.0098315,0.0055795,F2,d,e,nc,1,1
175,clas6,0.475,1.1755,0.11619,0.0078639,0.0048461,F2,d,e,nc,1,1
176,clas6,0.475,1.1845,0.098205,0.0068669,0.0041148,F2,d,e,nc,1,1
177,clas6,0.475,1.1935,0.10217,0.0073046,0.0043278,F2,d,e,nc,1,1
178,clas6,0.475,1.2025,0.093774,0.0067435,0.0040407,F2,d,e,nc,1,1
179,clas6,0.475,1.2115,0.076718,0.0053296,0.0031675,F2,d,e,nc,1,1
180,clas6,0.475,1.2205,0.082765,0.0060347,0.0034334,F2,d,e,nc,1,1
181,clas6,0.475,1.2295,0.071651,0.0051276,0.0030585,F2,d,e,nc,1,1
182,clas6,0.475,1.2385,0.088765,0.0065478,0.0038731,F2,d,e,nc,1,1
183,clas6,0.475,1.2475,0.058173,0.0041558,0.0024175,F2,d,e,nc,1,1
184,clas6,0.475,1.2565,0.052889,0.0040426,0.0021689,F2,d,e,nc,1,1
185,clas6,0.475,1.2655,0.04927,0.0035365,0.0020128,F2,d,e,nc,1,1
186,clas6,0.475,1.2745,0.055331,0.0041133,0.0023099,F2,d,e,nc,1,1
187,clas6,0.475,1.2835,0.044478,0.0035375,0.0018146,F2,d,e,nc,1,1
188,clas6,0.475,1.2925,0.045606,0.0033471,0.0018629,F2,d,e,nc,1,1
189,clas6,0.475,1.3015,0.048556,0.0037317,0.0020356,F2,d,e,nc,1,1
190,clas6,0.475,1.3105,0.041099,0.003107,0.0016809,F2,d,e,nc,1,1
191,clas6,0.475,1.3195,0.045109,0.003784,0.00192,F2,d,e,nc,1,1
192,clas6,0.475,1.3285,0.032241,0.0029379,0.0013281,F2,d,e,nc,1,1
193,clas6,0.475,1.3375,0.025534,0.0025027,0.0010561,F2,d,e,nc,1,1
194,clas6,0.475,1.3465,0.025561,0.0023884,0.0010456,F2,d,e,nc,1,1
195,clas6,0.475,1.3555,0.025312,0.0027396,0.0010305,F2,d,e,nc,1,1
196,clas6,0.475,1.3645,0.029593,0.0028266,0.0012067,F2,d,e,nc,1,1
197,clas6,0.475,1.3735,0.032491,0.0029555,0.0013429,F2,d,e,nc,1,1
198,clas6,0.475,1.3825,0.02682,0.002358,0.0010904,F2,d,e,nc,1,1
199,clas6,0.475,1.3915,0.02878,0.0028505,0.0011953,F2,d,e,nc,1,1
200,clas6,0.475,1.4005,0.02335,0.0027251,0.0009758,F2,d,e,nc,1,1
201,clas6,0.475,1.4095,0.019728,0.0024206,0.00081086,F2,d,e,nc,1,1
202,clas6,0.475,1.4185,0.024143,0.0026399,0.00098884,F2,d,e,nc,1,1
203,clas6,0.475,1.4275,0.025107,0.0029847,0.0010727,F2,d,e,nc,1,1
204,clas6,0.475,1.4365,0.022189,0.0021516,0.00090295,F2,d,e,nc,1,1
205,clas6,0.475,1.4455,0.012494,0.0017541,0.00050749,F2,d,e,nc,1,1
206,clas6,0.475,1.4545,0.013028,0.0016852,0.00052903,F2,d,e,nc,1,1
207,clas6,0.475,1.4635,0.015324,0.0018634,0.00061892,F2,d,e,nc,1,1
208,clas6,0.475,1.4725,0.014884,0.0020815,0.00063185,F2,d,e,nc,1,1
209,clas6,0.475,1.4815,0.017805,0.0020284,0.00073893,F2,d,e,nc,1,1
210,clas6,0.475,1.4995,0.013207,0.0020726,0.00055265,F2,d,e,nc,1,1
211,clas6,0.525,0.1585,0.28328,0.00080599,0.012922,F2,d,e,nc,1,1
212,clas6,0.525,0.1675,0.27455,0.00084445,0.012464,F2,d,e,nc,1,1
213,clas6,0.525,0.1765,0.2706,0.00091336,0.012283,F2,d,e,nc,1,1
214,clas6,0.525,0.1855,0.26804,0.00096938,0.012122,F2,d,e,nc,1,1
215,clas6,0.525,0.1945,0.274,0.0010626,0.012371,F2,d,e,nc,1,1
216,clas6,0.525,0.2035,0.28184,0.0011748,0.012718,F2,d,e,nc,1,1
217,clas6,0.525,0.2125,0.28605,0.001279,0.012918,F2,d,e,nc,1,1
218,clas6,0.525,0.2215,0.26926,0.0013104,0.01211,F2,d,e,nc,1,1
219,clas6,0.525,0.2305,0.25556,0.0013321,0.011456,F2,d,e,nc,1,1
220,clas6,0.525,0.2395,0.2484,0.0013464,0.011136,F2,d,e,nc,1,1
221,clas6,0.525,0.2485,0.25397,0.0014302,0.011384,F2,d,e,nc,1,1
222,clas6,0.525,0.2575,0.26736,0.0015492,0.012078,F2,d,e,nc,1,1
223,clas6,0.525,0.2665,0.26594,0.0016146,0.011972,F2,d,e,nc,1,1
224,clas6,0.525,0.2755,0.26389,0.0016658,0.011865,F2,d,e,nc,1,1
225,clas6,0.525,0.2845,0.24706,0.0016361,0.011082,F2,d,e,nc,1,1
226,clas6,0.525,0.2935,0.22826,0.0015855,0.010257,F2,d,e,nc,1,1
227,clas6,0.525,0.3025,0.21007,0.0015307,0.0093978,F2,d,e,nc,1,1
228,clas6,0.525,0.3115,0.19745,0.0014719,0.008862,F2,d,e,nc,1,1
229,clas6,0.525,0.3205,0.18878,0.0014109,0.0084733,F2,d,e,nc,1,1
230,clas6,0.525,0.3295,0.18889,0.0013846,0.0085299,F2,d,e,nc,1,1
231,clas6,0.525,0.3385,0.18662,0.001381,0.0084067,F2,d,e,nc,1,1
232,clas6,0.525,0.3475,0.18408,0.0013975,0.0082915,F2,d,e,nc,1,1
233,clas6,0.525,0.3565,0.18416,0.001436,0.0083338,F2,d,e,nc,1,1
234,clas6,0.525,0.3655,0.19338,0.001518,0.0087767,F2,d,e,nc,1,1
235,clas6,0.525,0.3745,0.19601,0.0015416,0.0088155,F2,d,e,nc,1,1
236,clas6,0.525,0.3835,0.20799,0.0016675,0.0094183,F2,d,e,nc,1,1
237,clas6,0.525,0.3925,0.21645,0.0017432,0.0097974,F2,d,e,nc,1,1
238,clas6,0.525,0.4015,0.23236,0.0018937,0.010581,F2,d,e,nc,1,1
239,clas6,0.525,0.4105,0.24966,0.0020568,0.011327,F2,d,e,nc,1,1
240,clas6,0.525,0.4195,0.2637,0.0022237,0.012017,F2,d,e,nc,1,1
241,clas6,0.525,0.4285,0.27099,0.0023237,0.012292,F2,d,e,nc,1,1
242,clas6,0.525,0.4375,0.28555,0.0025071,0.012998,F2,d,e,nc,1,1
243,clas6,0.525,0.4465,0.29339,0.0026664,0.013298,F2,d,e,nc,1,1
244,clas6,0.525,0.4555,0.28611,0.0027104,0.012945,F2,d,e,nc,1,1
245,clas6,0.525,0.4645,0.28867,0.0028171,0.013143,F2,d,e,nc,1,1
246,clas6,0.525,0.4735,0.271,0.0027248,0.012263,F2,d,e,nc,1,1
247,clas6,0.525,0.4825,0.25237,0.0026464,0.011387,F2,d,e,nc,1,1
248,clas6,0.525,0.4915,0.23813,0.0025661,0.010719,F2,d,e,nc,1,1
249,clas6,0.525,0.5005,0.21933,0.0024748,0.0098514,F2,d,e,nc,1,1
250,clas6,0.525,0.5095,0.19879,0.0023152,0.008892,F2,d,e,nc,1,1
251,clas6,0.525,0.5185,0.18392,0.0022414,0.00825,F2,d,e,nc,1,1
252,clas6,0.525,0.5275,0.161,0.0020328,0.0071544,F2,d,e,nc,1,1
253,clas6,0.525,0.5365,0.14136,0.0018922,0.006346,F2,d,e,nc,1,1
254,clas6,0.525,0.5455,0.13039,0.0018071,0.0058633,F2,d,e,nc,1,1
255,clas6,0.525,0.5545,0.11451,0.0016712,0.0051292,F2,d,e,nc,1,1
256,clas6,0.525,0.5635,0.10299,0.0015633,0.0045795,F2,d,e,nc,1,1
257,clas6,0.525,0.5725,0.093982,0.0015107,0.0042132,F2,d,e,nc,1,1
258,clas6,0.525,0.5815,0.08095,0.0013834,0.0035993,F2,d,e,nc,1,1
259,clas6,0.525,0.5905,0.079567,0.0013792,0.0035427,F2,d,e,nc,1,1
260,clas6,0.525,0.5995,0.068312,0.0012591,0.0030416,F2,d,e,nc,1,1
261,clas6,0.525,0.6085,0.066452,0.0012555,0.0029493,F2,d,e,nc,1,1
262,clas6,0.525,0.6175,0.066051,0.0012608,0.0029495,F2,d,e,nc,1,1
263,clas6,0.525,0.6265,0.065246,0.0012493,0.0029398,F2,d,e,nc,1,1
264,clas6,0.525,0.6355,0.057015,0.0011754,0.0025322,F2,d,e,nc,1,1
265,clas6,0.525,0.6445,0.059766,0.001197,0.002641,F2,d,e,nc,1,1
266,clas6,0.525,0.6535,0.057695,0.0011939,0.0025612,F2,d,e,nc,1,1
267,clas6,0.525,0.6625,0.057498,0.001212,0.0025426,F2,d,e,nc,1,1
268,clas6,0.525,0.6715,0.058149,0.0011975,0.0025229,F2,d,e,nc,1,1
269,clas6,0.525,0.6805,0.05966,0.0012358,0.0026414,F2,d,e,nc,1,1
270,clas6,0.525,0.6895,0.057505,0.0012337,0.0025297,F2,d,e,nc,1,1
271,clas6,0.525,0.6985,0.055961,0.0011968,0.0024569,F2,d,e,nc,1,1
272,clas6,0.525,0.7075,0.061243,0.0013044,0.0027466,F2,d,e,nc,1,1
273,clas6,0.525,0.7165,0.062766,0.0013068,0.0027996,F2,d,e,nc,1,1
274,clas6,0.525,0.7255,0.067463,0.0013543,0.0030023,F2,d,e,nc,1,1
275,clas6,0.525,0.7345,0.06896,0.0014351,0.0030603,F2,d,e,nc,1,1
276,clas6,0.525,0.7435,0.072611,0.0015113,0.0032487,F2,d,e,nc,1,1
277,clas6,0.525,0.7525,0.078362,0.001624,0.0035239,F2,d,e,nc,1,1
278,clas6,0.525,0.7615,0.078218,0.0016388,0.0035021,F2,d,e,nc,1,1
279,clas6,0.525,0.7705,0.090832,0.001827,0.0040695,F2,d,e,nc,1,1
280,clas6,0.525,0.7795,0.094948,0.0019253,0.0042685,F2,d,e,nc,1,1
281,clas6,0.525,0.7885,0.098481,0.0019854,0.0044242,F2,d,e,nc,1,1
282,clas6,0.525,0.7975,0.11125,0.0022115,0.0050305,F2,d,e,nc,1,1
283,clas6,0.525,0.8065,0.11148,0.0022904,0.0050144,F2,d,e,nc,1,1
284,clas6,0.525,0.8155,0.12853,0.0026284,0.005807,F2,d,e,nc,1,1
285,clas6,0.525,0.8245,0.1535,0.003157,0.0069716,F2,d,e,nc,1,1
286,clas6,0.525,0.8335,0.15348,0.0032519,0.0069695,F2,d,e,nc,1,1
287,clas6,0.525,0.8425,0.16309,0.003518,0.0073693,F2,d,e,nc,1,1
288,clas6,0.525,0.8515,0.18115,0.0039914,0.0082137,F2,d,e,nc,1,1
289,clas6,0.525,0.8605,0.19716,0.0045659,0.0089993,F2,d,e,nc,1,1
290,clas6,0.525,0.8695,0.21681,0.0053157,0.0099628,F2,d,e,nc,1,1
291,clas6,0.525,0.8785,0.2456,0.0062782,0.011372,F2,d,e,nc,1,1
292,clas6,0.525,0.8875,0.27346,0.0073299,0.012683,F2,d,e,nc,1,1
293,clas6,0.525,0.8965,0.28489,0.0080548,0.013144,F2,d,e,nc,1,1
294,clas6,0.525,0.9055,0.3305,0.010099,0.015582,F2,d,e,nc,1,1
295,clas6,0.525,0.9145,0.33329,0.010333,0.015435,F2,d,e,nc,1,1
296,clas6,0.525,0.9235,0.34601,0.011481,0.016243,F2,d,e,nc,1,1
297,clas6,0.525,0.9325,0.37433,0.013004,0.017422,F2,d,e,nc,1,1
298,clas6,0.525,0.9415,0.40963,0.015097,0.019257,F2,d,e,nc,1,1
299,clas6,0.525,0.9505,0.42758,0.016594,0.020294,F2,d,e,nc,1,1
300,clas6,0.525,0.9595,0.43544,0.017507,0.020678,F2,d,e,nc,1,1
301,clas6,0.525,0.9685,0.46243,0.019526,0.022167,F2,d,e,nc,1,1
302,clas6,0.525,0.9775,0.43064,0.018203,0.020236,F2,d,e,nc,1,1
303,clas6,0.525,0.9865,0.43956,0.019053,0.020634,F2,d,e,nc,1,1
304,clas6,0.525,0.9955,0.44543,0.019656,0.021132,F2,d,e,nc,1,1
305,clas6,0.525,1.0045,0.45034,0.020299,0.021381,F2,d,e,nc,1,1
306,clas6,0.525,1.0135,0.43231,0.019429,0.020539,F2,d,e,nc,1,1
