,X,Q2,obs,target,lepton beam,current,units,value,stat_u,syst_u,*norm_c
100,0.28,7.73,F2,p,e,NC,1,0.2902,0.0041,0.0064,0.0060942
101,0.28,8.22,F2,p,e,NC,1,0.2832,0.0156,0.0068,0.0059472
102,0.35,1.1,F2,p,e,NC,1,0.2677,0.004,0.0027,0.0056217
103,0.35,1.17,F2,p,e,NC,1,0.27,0.003,0.0016,0.00567
104,0.35,1.39,F2,p,e,NC,1,0.2766,0.0036,0.003,0.0058086
105,0.35,1.65,F2,p,e,NC,1,0.2808,0.002,0.0017,0.0058968
106,0.35,1.83,F2,p,e,NC,1,0.2773,0.0067,0.0025,0.0058233
107,0.35,1.98,F2,p,e,NC,1,0.2693,0.003,0.0016,0.0056553
108,0.35,2.18,F2,p,e,NC,1,0.2695,0.0024,0.0014,0.0056595
109,0.35,2.49,F2,p,e,NC,1,0.2683,0.0072,0.0024,0.0056343
110,0.35,2.79,F2,p,e,NC,1,0.2682,0.0056,0.003,0.0056322
111,0.35,3.12,F2,p,e,NC,1,0.2655,0.0021,0.0016,0.0055755
112,0.35,3.36,F2,p,e,NC,1,0.2698,0.0081,0.0024,0.0056658
113,0.35,3.74,F2,p,e,NC,1,0.2631,0.0029,0.0024,0.0055251
114,0.35,4.15,F2,p,e,NC,1,0.2655,0.0021,0.0024,0.0055755
115,0.35,5.11,F2,p,e,NC,1,0.2583,0.0031,0.0026,0.0054243
116,0.35,5.66,F2,p,e,NC,1,0.2611,0.0042,0.0034,0.0054831
117,0.35,6.06,F2,p,e,NC,1,0.2496,0.002,0.0023,0.0052416
118,0.35,6.58,F2,p,e,NC,1,0.2548,0.0038,0.0036,0.0053508
119,0.35,7.37,F2,p,e,NC,1,0.2481,0.0022,0.0037,0.0052101
120,0.35,8.15,F2,p,e,NC,1,0.2406,0.0031,0.0036,0.0050526
121,0.35,9.34,F2,p,e,NC,1,0.2351,0.0045,0.0045,0.0049371
122,0.35,9.99,F2,p,e,NC,1,0.2374,0.004,0.005,0.0049854
123,0.35,10.95,F2,p,e,NC,1,0.2474,0.0097,0.0059,0.0051954
124,0.45,1.7,F2,p,e,NC,1,0.2227,0.0022,0.0016,0.0046767
125,0.45,1.87,F2,p,e,NC,1,0.2226,0.0071,0.0025,0.0046746
126,0.45,2.01,F2,p,e,NC,1,0.2091,0.005,0.0019,0.0043911
127,0.45,2.29,F2,p,e,NC,1,0.212,0.0019,0.0013,0.004452
128,0.45,2.44,F2,p,e,NC,1,0.2062,0.0025,0.0014,0.0043302
129,0.45,2.65,F2,p,e,NC,1,0.2052,0.0031,0.0019,0.0043092
130,0.45,3.39,F2,p,e,NC,1,0.2016,0.0016,0.0012,0.0042336
131,0.45,3.75,F2,p,e,NC,1,0.1987,0.0026,0.0016,0.0041727
132,0.45,4.72,F2,p,e,NC,1,0.1936,0.0014,0.0017,0.0040656
133,0.45,5.28,F2,p,e,NC,1,0.1881,0.0023,0.0021,0.0039501
134,0.45,5.68,F2,p,e,NC,1,0.1867,0.0022,0.0017,0.0039207
135,0.45,6.07,F2,p,e,NC,1,0.183,0.0053,0.0024,0.003843
136,0.45,6.55,F2,p,e,NC,1,0.1801,0.0016,0.0016,0.0037821
137,0.45,7.09,F2,p,e,NC,1,0.1783,0.0014,0.002,0.0037443
138,0.45,7.84,F2,p,e,NC,1,0.1804,0.0051,0.0029,0.0037884
139,0.45,8.44,F2,p,e,NC,1,0.1717,0.0021,0.0024,0.0036057
140,0.45,9.44,F2,p,e,NC,1,0.1711,0.0014,0.0024,0.0035931
141,0.45,10.8,F2,p,e,NC,1,0.1679,0.0015,0.003,0.0035259
142,0.45,11.6,F2,p,e,NC,1,0.166,0.0027,0.0035,0.003486
143,0.45,12.58,F2,p,e,NC,1,0.1634,0.0021,0.0036,0.0034314
144,0.45,15.01,F2,p,e,NC,1,0.1568,0.0105,0.0105,0.0032928
145,0.45,16.36,F2,p,e,NC,1,0.1638,0.007,0.0098,0.0034398
146,0.55,2.47,F2,p,e,NC,1,0.1525,0.0012,0.0011,0.0032025
147,0.55,2.77,F2,p,e,NC,1,0.1477,0.0025,0.0012,0.0031017
148,0.55,3.47,F2,p,e,NC,1,0.1389,0.0015,0.0017,0.0029169
149,0.55,3.74,F2,p,e,NC,1,0.1396,0.0042,0.0013,0.0029316
150,0.55,4.04,F2,p,e,NC,1,0.1321,0.0011,0.0011,0.0027741
151,0.55,4.8,F2,p,e,NC,1,0.1287,0.0035,0.0013,0.0027027
152,0.55,5.32,F2,p,e,NC,1,0.1245,0.0022,0.0014,0.0026145
153,0.55,5.73,F2,p,e,NC,1,0.1217,0.0016,0.0013,0.0025557
154,0.55,6.24,F2,p,e,NC,1,0.1196,0.0013,0.0012,0.0025116
155,0.55,7.45,F2,p,e,NC,1,0.1139,0.0008,0.001,0.0023919
156,0.55,8.37,F2,p,e,NC,1,0.112,0.0013,0.0015,0.002352
157,0.55,9.39,F2,p,e,NC,1,0.1084,0.0011,0.0016,0.0022764
158,0.55,10.6,F2,p,e,NC,1,0.1042,0.0009,0.0015,0.0021882
159,0.55,11.87,F2,p,e,NC,1,0.1022,0.0009,0.0017,0.0021462
160,0.55,12.84,F2,p,e,NC,1,0.1007,0.0011,0.0019,0.0021147
161,0.55,13.69,F2,p,e,NC,1,0.0978,0.0012,0.0021,0.0020538
162,0.55,14.65,F2,p,e,NC,1,0.0973,0.0012,0.002,0.0020433
163,0.55,15.57,F2,p,e,NC,1,0.0978,0.0032,0.003,0.0020538
164,0.55,16.71,F2,p,e,NC,1,0.1109,0.0169,0.0082,0.0023289
165,0.55,17.89,F2,p,e,NC,1,0.0856,0.0033,0.0047,0.0017976
166,0.55,19.47,F2,p,e,NC,1,0.0889,0.0028,0.0045,0.0018669
167,0.65,4.29,F2,p,e,NC,1,0.0828,0.0008,0.0008,0.0017388
168,0.65,5.05,F2,p,e,NC,1,0.0806,0.0023,0.0011,0.0016926
169,0.65,5.71,F2,p,e,NC,1,0.071,0.0013,0.0008,0.001491
170,0.65,6.29,F2,p,e,NC,1,0.0695,0.0007,0.0008,0.0014595
171,0.65,6.81,F2,p,e,NC,1,0.0673,0.0007,0.0008,0.0014133
172,0.65,7.24,F2,p,e,NC,1,0.0589,0.0045,0.002,0.0012369
173,0.65,7.89,F2,p,e,NC,1,0.0635,0.0005,0.0006,0.0013335
174,0.65,8.63,F2,p,e,NC,1,0.0613,0.0006,0.0006,0.0012873
175,0.65,9.52,F2,p,e,NC,1,0.0577,0.0008,0.0008,0.0012117
176,0.65,10.6,F2,p,e,NC,1,0.0566,0.0005,0.0008,0.0011886
177,0.65,11.49,F2,p,e,NC,1,0.0541,0.0007,0.001,0.0011361
178,0.65,13.15,F2,p,e,NC,1,0.0526,0.0005,0.0008,0.0011046
179,0.65,14.46,F2,p,e,NC,1,0.0507,0.0008,0.0012,0.0010647
180,0.65,15.56,F2,p,e,NC,1,0.0493,0.0005,0.0011,0.0010353
181,0.65,16.64,F2,p,e,NC,1,0.0465,0.0007,0.0011,0.0009765
182,0.65,18.32,F2,p,e,NC,1,0.0449,0.0013,0.0022,0.0009429
183,0.65,20.62,F2,p,e,NC,1,0.0422,0.0016,0.0022,0.0008862
184,0.65,22.21,F2,p,e,NC,1,0.0445,0.0009,0.0022,0.0009345
185,0.75,6.05,F2,p,e,NC,1,0.035,0.0008,0.0006,0.000735
186,0.75,6.66,F2,p,e,NC,1,0.0338,0.0005,0.0004,0.0007098
187,0.75,7.29,F2,p,e,NC,1,0.0317,0.0003,0.0005,0.0006657
188,0.75,8.04,F2,p,e,NC,1,0.0285,0.0005,0.0005,0.0005985
189,0.75,8.88,F2,p,e,NC,1,0.028,0.0003,0.0004,0.000588
190,0.75,10.24,F2,p,e,NC,1,0.0261,0.0003,0.0004,0.0005481
191,0.75,11.59,F2,p,e,NC,1,0.024,0.0003,0.0003,0.000504
192,0.75,13.08,F2,p,e,NC,1,0.0223,0.0003,0.0004,0.0004683
193,0.75,14.46,F2,p,e,NC,1,0.0207,0.0003,0.0004,0.0004347
194,0.75,15.71,F2,p,e,NC,1,0.0203,0.0006,0.0005,0.0004263
195,0.75,17.03,F2,p,e,NC,1,0.0186,0.0002,0.0005,0.0003906
196,0.75,18.42,F2,p,e,NC,1,0.0187,0.0004,0.0005,0.0003927
197,0.75,19.92,F2,p,e,NC,1,0.0159,0.0006,0.0008,0.0003339
198,0.75,21.58,F2,p,e,NC,1,0.0164,0.0006,0.001,0.0003444
199,0.75,24.46,F2,p,e,NC,1,0.0155,0.0005,0.0009,0.0003255
200,0.75,26.69,F2,p,e,NC,1,0.0144,0.0005,0.001,0.0003024
201,0.85,10.11,F2,p,e,NC,1,0.0085,0.0002,0.0005,0.0001785
202,0.85,11.07,F2,p,e,NC,1,0.0074,0.0003,0.0003,0.0001554
203,0.85,12.18,F2,p,e,NC,1,0.0068,0.0002,0.0002,0.0001428
204,0.85,13.97,F2,p,e,NC,1,0.0062,0.0001,0.0002,0.0001302
205,0.85,15.45,F2,p,e,NC,1,0.0058,0.0001,0.0002,0.0001218
206,0.85,16.61,F2,p,e,NC,1,0.0054,0.0002,0.0002,0.0001134
207,0.85,18.48,F2,p,e,NC,1,0.0048,0.0001,0.0002,0.0001008
208,0.85,19.95,F2,p,e,NC,1,0.0047,0.0001,0.0002,9.87e-05
209,0.85,23.39,F2,p,e,NC,1,0.0038,0.0001,0.0003,7.98e-05
210,0.85,29.17,F2,p,e,NC,1,0.0028,0.0001,0.0002,5.88e-05
