,E,theta,E',x,Q2,epsilon,W2,Gamma_v,sigma(ub/nucleon),%stat_u,%syst_u,%rad1_c,%rad2_c,y,value,obs,target,curent,lepton beam,units
43,2.301,13.896,0.454,0.01766,0.0612,0.373,4.285,0.003449,0.4398,2.61482492041837,3.29695316052751,5.84356525693497,7.34424738517508,0.802694480660582,0.0570134305556278,sig_r,d,e,NC,1
44,2.301,13.896,0.459,0.01788,0.0618,0.376,4.275,0.003458,0.4624,2.48702422145329,3.17906574394464,5.38494809688581,6.83391003460208,0.800521512385919,0.0577583535332555,sig_r,d,e,NC,1
45,2.301,13.896,0.463,0.01809,0.0624,0.379,4.267,0.003467,0.4382,2.57873117298037,3.24052943861251,4.83797352806938,7.00593336376084,0.798783137766189,0.058672423979026,sig_r,d,e,NC,1
46,2.301,13.896,0.468,0.01831,0.063,0.382,4.257,0.003477,0.4529,2.51711194524177,3.15742989622433,5.32126297195849,6.64605873261205,0.796610169491525,0.0594203190127808,sig_r,d,e,NC,1
47,2.301,13.896,0.472,0.01852,0.0636,0.386,4.25,0.003486,0.435,2.59770114942529,3.2183908045977,5.05747126436782,6.73563218390805,0.794871794871795,0.0604965488919658,sig_r,d,e,NC,1
48,2.301,14.686,0.632,0.0302,0.0946,0.499,3.917,0.003467,0.403,1.49379652605459,2.42679900744417,18.6848635235732,2.72952853598015,0.725336810082573,0.11397129578352,sig_r,d,e,NC,1
49,2.301,14.686,0.639,0.03065,0.0956,0.503,3.903,0.003484,0.3969,1.51171579743008,2.42630385487528,4.68631897203326,2.69589317208365,0.722294654498044,0.115365673088755,sig_r,d,e,NC,1
50,2.301,14.686,0.646,0.0311,0.0966,0.508,3.89,0.0035,0.4129,1.46282392831194,2.36861225478324,4.40784693630419,2.49455073867765,0.719252498913516,0.116984964047714,sig_r,d,e,NC,1
51,2.301,14.686,0.653,0.03156,0.0976,0.512,3.876,0.003516,0.4149,1.45577247529525,2.34996384671005,4.41070137382502,2.41021932995903,0.716210343328987,0.11836860123959,sig_r,d,e,NC,1
52,2.301,14.686,0.66,0.03203,0.0986,0.517,3.861,0.003533,0.4271,1.40950597049871,2.30625146335753,4.23788339967221,2.27815499882931,0.713168187744459,0.119977729354018,sig_r,d,e,NC,1
53,2.301,14.686,0.667,0.03249,0.0997,0.521,3.848,0.003549,0.4447,1.35821902406116,2.24420957949179,3.50798290982685,2.10928715988307,0.71012603215993,0.121594926457885,sig_r,d,e,NC,1
54,2.301,14.686,0.673,0.03297,0.1007,0.526,3.834,0.003566,0.4273,1.3877837584835,2.27942897261877,4.18909431312895,2.14369295576878,0.707518470230335,0.123480259227004,sig_r,d,e,NC,1
55,2.301,14.686,0.68,0.03344,0.1017,0.53,3.82,0.003583,0.4322,1.36742248958815,2.25590004627487,4.1184636742249,2.05460434983804,0.704476314645806,0.124841627129963,sig_r,d,e,NC,1
56,2.301,14.686,0.687,0.03392,0.1027,0.535,3.806,0.0036,0.42,1.39047619047619,2.27619047619048,4.21428571428571,2.05952380952381,0.701434159061278,0.126431608182157,sig_r,d,e,NC,1
57,2.301,14.686,0.694,0.0344,0.1038,0.539,3.793,0.003617,0.4508,1.31987577639752,2.1960958296362,3.90417036379769,1.86335403726708,0.698392003476749,0.128026360229481,sig_r,d,e,NC,1
58,2.301,14.686,0.701,0.03489,0.1048,0.543,3.779,0.003634,0.4455,1.31537598204265,2.19753086419753,3.90572390572391,1.8294051627385,0.695349847892221,0.129365421959286,sig_r,d,e,NC,1
59,2.301,14.686,0.708,0.03538,0.1058,0.548,3.765,0.003651,0.4494,1.30618602581219,2.18068535825545,4.51713395638629,1.7601246105919,0.692307692307692,0.130935562031838,sig_r,d,e,NC,1
60,2.301,14.686,0.714,0.03588,0.1068,0.552,3.751,0.003669,0.4465,1.30795072788354,2.17021276595745,3.76259798432251,1.70660694288914,0.689700130378097,0.132558216212105,sig_r,d,e,NC,1
61,2.301,14.686,0.721,0.03638,0.1078,0.556,3.737,0.003687,0.4593,1.28456346614413,2.14239059438276,3.72305682560418,1.6263879817113,0.686657974793568,0.133874724071454,sig_r,d,e,NC,1
62,2.301,14.686,0.728,0.03688,0.1089,0.561,3.723,0.003705,0.4428,1.31662149954833,2.16576332429991,3.81662149954833,1.63504968383017,0.68361581920904,0.135674223798506,sig_r,d,e,NC,1
63,2.301,14.686,0.735,0.03739,0.1099,0.565,3.709,0.003723,0.4581,1.29229425889544,2.12617332460162,3.62366295568653,1.53459943243833,0.680573663624511,0.136973281742276,sig_r,d,e,NC,1
64,2.301,17.386,0.406,0.02402,0.0854,0.332,4.35,0.002115,0.2206,2.52946509519492,3.30009066183137,6.21033544877607,7.84224841341795,0.823554976097349,0.113969488564568,sig_r,d,e,NC,1
65,2.301,17.386,0.411,0.02433,0.0863,0.335,4.342,0.00212,0.2153,2.5545750116117,3.31630283325592,6.36321411983279,7.84951230840687,0.821382007822686,0.115606493158791,sig_r,d,e,NC,1
66,2.301,17.386,0.415,0.02465,0.0872,0.339,4.332,0.002126,0.2363,2.34870926787981,3.09352517985611,5.16292848074482,6.94033008887008,0.819643633202955,0.117956595046813,sig_r,d,e,NC,1
67,2.301,17.386,0.419,0.02497,0.0882,0.342,4.323,0.00213,0.2422,2.30388109000826,3.01816680429397,4.95458298926507,6.56482246077622,0.817905258583225,0.120244982473971,sig_r,d,e,NC,1
68,2.301,17.386,0.424,0.02529,0.0891,0.345,4.314,0.002136,0.2421,2.26765799256506,2.99876084262701,5.41098719537381,6.44361833952912,0.815732290308562,0.121900177575827,sig_r,d,e,NC,1
69,2.301,17.386,0.428,0.02561,0.09,0.349,4.305,0.002141,0.2461,2.20642015440878,2.94595692807802,5.24177163754571,6.17635107679805,0.813993915688831,0.124288132316204,sig_r,d,e,NC,1
70,2.301,17.386,0.433,0.02594,0.0909,0.352,4.295,0.002146,0.2334,2.29220222793488,3.01199657240788,5.52699228791774,6.34104541559554,0.811820947414168,0.125953308703902,sig_r,d,e,NC,1
71,2.301,17.386,0.437,0.02626,0.0919,0.355,4.287,0.002151,0.2449,2.17231523070641,2.90730910575745,5.06329113924051,5.92078399346672,0.810082572794437,0.12828248585875,sig_r,d,e,NC,1
72,2.301,17.386,0.441,0.02659,0.0928,0.358,4.277,0.002156,0.2432,2.15871710526316,2.89473684210526,5.01644736842105,5.79769736842105,0.808344198174707,0.130341173112982,sig_r,d,e,NC,1
73,2.301,17.386,0.446,0.02691,0.0937,0.362,4.269,0.002161,0.2508,2.09728867623604,2.81897926634769,4.78468899521531,5.46251993620415,0.806171229900044,0.132386839363506,sig_r,d,e,NC,1
74,2.301,17.386,0.45,0.02724,0.0946,0.365,4.26,0.002167,0.2525,2.05940594059406,2.78415841584158,4.71287128712871,5.30693069306931,0.804432855280313,0.134461360729827,sig_r,d,e,NC,1
75,2.301,17.386,0.454,0.02758,0.0956,0.368,4.249,0.002172,0.2518,2.06115965051628,2.76806989674345,4.80540111199365,5.16282764098491,0.802694480660582,0.136830488248783,sig_r,d,e,NC,1
76,2.301,17.386,0.459,0.02791,0.0965,0.372,4.241,0.002177,0.2555,2.01956947162427,2.72407045009785,5.12720156555773,4.9706457925636,0.800521512385919,0.138896663109698,sig_r,d,e,NC,1
77,2.301,17.386,0.463,0.02824,0.0974,0.375,4.232,0.002183,0.2396,2.11602671118531,2.80050083472454,5.05008347245409,5.17529215358932,0.798783137766189,0.140995516096925,sig_r,d,e,NC,1
78,2.301,17.386,0.468,0.02858,0.0983,0.378,4.222,0.002188,0.2516,2.0389507154213,2.7027027027027,4.68998410174881,4.80922098569157,0.796610169491525,0.142694744455781,sig_r,d,e,NC,1
79,2.301,17.386,0.472,0.02892,0.0992,0.381,4.213,0.002194,0.2543,2.01730239874164,2.67400707825403,4.71883602044829,4.64018875344082,0.794871794871795,0.144803790730009,sig_r,d,e,NC,1
80,2.301,20.886,0.406,0.03454,0.1228,0.327,4.313,0.001445,0.141,2.0709219858156,2.82978723404255,5.43262411347518,5.78723404255319,0.823554976097349,0.231316081525009,sig_r,d,e,NC,1
81,2.301,20.886,0.411,0.035,0.1242,0.331,4.303,0.001448,0.1435,2.02787456445993,2.77351916376307,5.33797909407666,5.53310104529617,0.821382007822686,0.23577642876324,sig_r,d,e,NC,1
82,2.301,20.886,0.415,0.03545,0.1255,0.334,4.295,0.001451,0.148,1.96621621621622,2.7027027027027,5.18243243243243,5.2027027027027,0.819643633202955,0.239896408149214,sig_r,d,e,NC,1
83,2.301,20.886,0.419,0.03591,0.1268,0.337,4.285,0.001454,0.1515,1.93399339933993,2.64686468646865,5.06930693069307,4.94389438943894,0.817905258583225,0.244035343920995,sig_r,d,e,NC,1
84,2.301,20.886,0.424,0.03637,0.1281,0.341,4.275,0.001457,0.1522,1.89224704336399,2.6149802890933,5.02628120893561,4.78318002628121,0.815732290308562,0.248170103402765,sig_r,d,e,NC,1
85,2.301,20.886,0.428,0.03684,0.1295,0.344,4.265,0.001461,0.1531,1.8680600914435,2.58654474199869,4.97060744611365,4.63096015676029,0.813993915688831,0.252737721267035,sig_r,d,e,NC,1
86,2.301,20.886,0.433,0.0373,0.1308,0.347,4.256,0.001464,0.1564,1.82225063938619,2.54475703324808,5.04475703324808,4.42455242966752,0.811820947414168,0.256168988632212,sig_r,d,e,NC,1
87,2.301,20.886,0.437,0.03777,0.1321,0.35,4.246,0.001467,0.151,1.85430463576159,2.56291390728477,4.98013245033113,4.45033112582781,0.810082572794437,0.260376977849372,sig_r,d,e,NC,1
88,2.301,20.886,0.441,0.03824,0.1334,0.354,4.236,0.00147,0.1535,1.81107491856678,2.52117263843648,4.71009771986971,4.26058631921824,0.808344198174707,0.265352887987565,sig_r,d,e,NC,1
89,2.301,20.886,0.446,0.03871,0.1348,0.357,4.227,0.001473,0.1525,1.81639344262295,2.51803278688525,5.02295081967213,4.18360655737705,0.806171229900044,0.269215460002434,sig_r,d,e,NC,1
90,2.301,20.886,0.45,0.03918,0.1361,0.36,4.218,0.001476,0.1554,1.76962676962677,2.47104247104247,4.74903474903475,3.996138996139,0.804432855280313,0.273477630325181,sig_r,d,e,NC,1
91,2.301,20.886,0.454,0.03966,0.1374,0.363,4.208,0.001479,0.1596,1.72932330827068,2.42481203007519,4.56140350877193,3.80325814536341,0.802694480660582,0.277755140046918,sig_r,d,e,NC,1
92,2.301,20.886,0.459,0.04014,0.1388,0.366,4.198,0.001483,0.1576,1.73857868020305,2.4238578680203,4.58121827411168,3.75,0.800521512385919,0.281647820538676,sig_r,d,e,NC,1
93,2.301,20.886,0.463,0.04062,0.1401,0.37,4.189,0.001486,0.1486,1.81022880215343,2.48317631224764,4.83849259757739,3.88290713324361,0.798783137766189,0.286727884694861,sig_r,d,e,NC,1
94,2.301,20.886,0.468,0.0411,0.1414,0.373,4.18,0.001489,0.1573,1.73553719008264,2.39669421487603,4.40559440559441,3.56643356643357,0.796610169491525,0.290229316178739,sig_r,d,e,NC,1
95,2.301,20.886,0.472,0.04159,0.1427,0.376,4.17,0.001492,0.1538,1.76853055916775,2.40572171651495,4.62938881664499,3.55656697009103,0.794871794871795,0.294561522808029,sig_r,d,e,NC,1
96,2.301,21.586,0.632,0.06518,0.2041,0.484,3.807,0.001506,0.152,1.51973684210526,1.94736842105263,3.07894736842105,1.26973684210526,0.725336810082573,0.509706711205932,sig_r,d,e,NC,1
97,2.301,21.586,0.639,0.06615,0.2063,0.489,3.793,0.001511,0.1488,1.53897849462366,1.9489247311828,3.07123655913979,1.25672043010753,0.722294654498044,0.517298401931811,sig_r,d,e,NC,1
98,2.301,21.586,0.646,0.06714,0.2085,0.493,3.777,0.001517,0.1489,1.54466084620551,1.94089993284083,3.29751511081263,1.20886501007387,0.719252498913516,0.523809467888534,sig_r,d,e,NC,1
99,2.301,21.586,0.653,0.06813,0.2107,0.498,3.762,0.001522,0.1535,1.5114006514658,1.90879478827362,3.08794788273616,1.12703583061889,0.716210343328987,0.531364301645998,sig_r,d,e,NC,1
100,2.301,21.586,0.66,0.06913,0.2129,0.502,3.747,0.001527,0.1532,1.49477806788512,1.90600522193211,3.02872062663185,1.08355091383812,0.713168187744459,0.537829231957815,sig_r,d,e,NC,1
101,2.301,21.586,0.667,0.07014,0.2151,0.506,3.732,0.001532,0.1567,1.47415443522655,1.88257817485641,2.87172941927249,1.02105934907467,0.71012603215993,0.544265489758596,sig_r,d,e,NC,1
102,2.301,21.586,0.673,0.07115,0.2173,0.511,3.718,0.001538,0.1536,1.47786458333333,1.88802083333333,2.85807291666667,0.99609375,0.707518470230335,0.553028498003503,sig_r,d,e,NC,1
103,2.301,21.586,0.68,0.07218,0.2195,0.515,3.702,0.001543,0.1579,1.44395186827106,1.86193793540215,2.4572514249525,0.937302089930335,0.704476314645806,0.55941630515552,sig_r,d,e,NC,1
104,2.301,21.586,0.687,0.07321,0.2217,0.519,3.687,0.001548,0.1561,1.44778987828315,1.86418962203716,2.37668161434978,0.909673286354901,0.701434159061278,0.565774490381414,sig_r,d,e,NC,1
105,2.301,21.586,0.694,0.07426,0.2239,0.523,3.672,0.001554,0.1599,1.42589118198874,1.83864915572233,2.28893058161351,0.850531582238899,0.698392003476749,0.572096031069185,sig_r,d,e,NC,1
106,2.301,21.586,0.701,0.07531,0.2262,0.527,3.657,0.001559,0.1594,1.41154328732748,1.83186951066499,2.21455457967378,0.821831869510665,0.695349847892221,0.578902210002379,sig_r,d,e,NC,1
107,2.301,21.586,0.708,0.07637,0.2284,0.532,3.642,0.001564,0.1601,1.41161773891318,1.82386008744535,2.14241099312929,0.787008119925047,0.692307692307692,0.586258240444259,sig_r,d,e,NC,1
108,2.301,21.586,0.714,0.07744,0.2306,0.536,3.627,0.00157,0.156,1.43589743589744,1.83333333333333,2.10897435897436,0.775641025641026,0.689700130378097,0.593811003396632,sig_r,d,e,NC,1
109,2.301,21.586,0.721,0.07852,0.2328,0.54,3.612,0.001575,0.1617,1.40383426097712,1.79962894248608,1.9604205318491,0.711193568336425,0.686657974793568,0.600000943967427,sig_r,d,e,NC,1
110,2.301,21.586,0.728,0.07961,0.235,0.544,3.597,0.001581,0.1615,1.40557275541796,1.79566563467492,1.85758513931889,0.681114551083591,0.68361581920904,0.606151130390166,sig_r,d,e,NC,1
111,2.301,21.586,0.735,0.0807,0.2372,0.548,3.582,0.001586,0.1636,1.39975550122249,1.77872860635697,1.76039119804401,0.641809290953545,0.680573663624511,0.6122634574834,sig_r,d,e,NC,1
112,2.301,24.386,0.406,0.0469,0.1668,0.322,4.269,0.001043,0.09628,2.09804736186124,2.51350228500208,5.17241379310345,4.38304943913585,0.823554976097349,0.418588040410741,sig_r,d,e,NC,1
113,2.301,24.386,0.411,0.04752,0.1686,0.325,4.259,0.001045,0.09824,2.0663680781759,2.46335504885993,4.90635179153094,4.17345276872964,0.821382007822686,0.424900258690481,sig_r,d,e,NC,1
114,2.301,24.386,0.415,0.04814,0.1704,0.329,4.249,0.001046,0.09824,2.05618892508143,2.44299674267101,4.72312703583062,4.06148208469055,0.819643633202955,0.433875678489126,sig_r,d,e,NC,1
115,2.301,24.386,0.419,0.04876,0.1722,0.332,4.239,0.001048,0.1005,2.00995024875622,2.39800995024876,4.6865671641791,3.86069651741294,0.817905258583225,0.441583880617752,sig_r,d,e,NC,1
116,2.301,24.386,0.424,0.04938,0.174,0.335,4.229,0.00105,0.1003,1.99401794616152,2.38285144566301,4.61615154536391,3.75872382851446,0.815732290308562,0.44797226315951,sig_r,d,e,NC,1
117,2.301,24.386,0.428,0.05001,0.1758,0.338,4.219,0.001052,0.1017,1.95673549655851,2.35004916420846,4.4346116027532,3.6086529006883,0.813993915688831,0.455741103090273,sig_r,d,e,NC,1
118,2.301,24.386,0.433,0.05065,0.1776,0.341,4.209,0.001054,0.1025,1.9219512195122,2.3219512195122,4.40975609756098,3.47317073170732,0.811820947414168,0.46216293208447,sig_r,d,e,NC,1
119,2.301,24.386,0.437,0.05128,0.1794,0.345,4.199,0.001056,0.1024,1.9140625,2.314453125,4.169921875,3.37890625,0.810082572794437,0.471358303328038,sig_r,d,e,NC,1
120,2.301,24.386,0.441,0.05192,0.1812,0.348,4.189,0.001058,0.09909,1.93763245534363,2.3312140478353,4.37985669593299,3.40094863255626,0.808344198174707,0.47923153690802,sig_r,d,e,NC,1
121,2.301,24.386,0.446,0.05256,0.183,0.351,4.179,0.00106,0.1046,1.8546845124283,2.25621414913958,4.02485659655832,3.1357552581262,0.806171229900044,0.485717054232464,sig_r,d,e,NC,1
122,2.301,24.386,0.45,0.0532,0.1848,0.354,4.169,0.001062,0.1017,1.87807276302852,2.27138643067847,4.06096361848574,3.13667649950836,0.804432855280313,0.493645730110433,sig_r,d,e,NC,1
123,2.301,24.386,0.454,0.05385,0.1866,0.357,4.159,0.001064,0.1041,1.83477425552354,2.23823246878002,3.78482228626321,2.97790585975024,0.802694480660582,0.501605117426803,sig_r,d,e,NC,1
124,2.301,24.386,0.459,0.0545,0.1884,0.36,4.149,0.001066,0.1005,1.88059701492537,2.25870646766169,3.83084577114428,3.00497512437811,0.800521512385919,0.508137399321028,sig_r,d,e,NC,1
125,2.301,24.386,0.463,0.05515,0.1902,0.363,4.139,0.001067,0.1071,1.80205415499533,2.18487394957983,3.61344537815126,2.74509803921569,0.798783137766189,0.516147566674861,sig_r,d,e,NC,1
126,2.301,24.386,0.468,0.05581,0.192,0.367,4.129,0.001069,0.1031,1.83317167798254,2.20174587778855,3.62754607177498,2.77400581959263,0.796610169491525,0.524131506205751,sig_r,d,e,NC,1
127,2.301,24.386,0.472,0.05647,0.1938,0.37,4.118,0.001071,0.1057,1.80700094607379,2.16650898770104,3.62346263008515,2.63008514664144,0.794871794871795,0.532196405655045,sig_r,d,e,NC,1
128,2.301,29.886,0.406,0.06991,0.2486,0.312,4.187,0.000673,0.05453,1.42490372272144,2.23730056849441,4.47460113698881,3.15422703099211,0.823554976097349,0.894340151840846,sig_r,d,e,NC,1
129,2.301,29.886,0.411,0.07083,0.2512,0.316,4.176,0.0006738,0.05514,1.42002176278564,2.21254987305042,4.3525571273123,3.01051867972434,0.821382007822686,0.910311263135978,sig_r,d,e,NC,1
130,2.301,29.886,0.415,0.07175,0.2539,0.319,4.166,0.0006746,0.05431,1.42883446879028,2.20953783833548,4.38225004603204,2.96446326643344,0.819643633202955,0.927021788443082,sig_r,d,e,NC,1
131,2.301,29.886,0.419,0.07268,0.2566,0.322,4.155,0.0006754,0.0569,1.37609841827768,2.16168717047452,4.14762741652021,2.74165202108963,0.817905258583225,0.943817171997793,sig_r,d,e,NC,1
