,Elab,exp,theta,E',x,Q2,sigma (ub/srGeV),epsilon,W2,Gamma_v,%stat_u,%syst_u,%rad1_c,%rad2_c,y,*value,obs,target,curent,lepton beam,units
345,5.648,e99118,18.566,1.111,0.07669,0.6529,0.03675,0.365,8.742,0.0007348,3.26530612244898,2.19047619047619,1.1047619047619,2.63945578231293,0.803293201133145,0.260395320604381,sig_r,p,e,NC,1
346,5.648,e99118,14.566,1.794,0.09006,0.6513,0.07721,0.563,7.461,0.001445,2.18883564305142,1.82618831757544,0.813366144281829,0.679963735267452,0.682365439093484,0.270361405061667,sig_r,p,e,NC,1
347,5.648,e99118,22.566,0.751,0.07066,0.6493,0.02174,0.249,9.421,0.0004585,3.88684452621895,2.70009199632015,1.52713891444342,6.02575896964121,0.867032577903683,0.248245158809759,sig_r,p,e,NC,1
348,5.648,e99118,18.566,1.1,0.07578,0.6468,0.03539,0.362,8.768,0.0007336,3.36253178864086,2.24357163040407,1.18112461147217,2.85391353489686,0.805240793201133,0.249363331904926,sig_r,p,e,NC,1
349,5.648,e99118,14.566,1.777,0.08881,0.6451,0.07505,0.558,7.499,0.001439,2.22518321119254,1.85209860093271,0.831445702864757,0.739506995336442,0.685375354107649,0.261904425677068,sig_r,p,e,NC,1
350,5.648,e99118,22.566,0.743,0.06986,0.643,0.0232,0.246,9.441,0.0004582,3.70258620689655,2.63793103448276,1.32758620689655,5.86206896551724,0.868449008498584,0.263148254954644,sig_r,p,e,NC,1
351,5.648,e99118,18.566,1.09,0.07489,0.6406,0.03673,0.359,8.793,0.0007323,3.26708412741628,2.22433977674925,1.15164715491424,2.83147291042744,0.807011331444759,0.256951749229242,sig_r,p,e,NC,1
352,5.648,e99118,14.566,1.76,0.08758,0.639,0.07814,0.554,7.537,0.001434,2.17558228820067,1.83004863066291,0.810084463782954,0.74225748656258,0.688385269121813,0.271811439304299,sig_r,p,e,NC,1
353,5.648,e99118,22.566,0.736,0.06907,0.6367,0.02027,0.244,9.461,0.0004578,4.17365564874198,2.86630488406512,1.56388751850025,6.90675875678342,0.869688385269122,0.227994387490442,sig_r,p,e,NC,1
354,5.648,e99118,18.566,1.079,0.07399,0.6344,0.03576,0.356,8.82,0.0007311,3.35570469798658,2.27069351230425,1.1996644295302,3.02013422818792,0.808958923512748,0.248646714986319,sig_r,p,e,NC,1
355,5.648,e99118,14.566,1.743,0.08635,0.6328,0.07839,0.549,7.576,0.001428,2.1558872305141,1.83696900114811,0.908279117234341,0.773057787983161,0.691395184135977,0.271686214192658,sig_r,p,e,NC,1
356,5.648,e99118,10.566,3.301,0.14353,0.6322,0.3136,0.858,4.653,0.004823,1.0140306122449,1.51785714285714,0.430484693877551,0.111926020408163,0.415545325779037,0.281521240199856,sig_r,p,e,NC,1
357,5.648,e99118,22.566,0.729,0.06828,0.6303,0.02194,0.242,9.482,0.0004575,3.9334548769371,2.77575205104831,1.43573381950775,6.56335460346399,0.87092776203966,0.244612632258385,sig_r,p,e,NC,1
358,5.648,e99118,18.566,1.069,0.0731,0.6282,0.03564,0.352,8.846,0.0007298,3.36700336700337,2.29236812570146,1.2037037037037,3.11447811447811,0.810729461756374,0.24598368558004,sig_r,p,e,NC,1
359,5.648,e99118,14.566,1.726,0.08514,0.6266,0.077,0.545,7.614,0.001422,2.19480519480519,1.85714285714286,0.985714285714286,0.815584415584416,0.694405099150142,0.265860225451147,sig_r,p,e,NC,1
360,5.648,e99118,10.566,3.27,0.14036,0.6263,0.3129,0.854,4.716,0.004772,1.01310322786833,1.52125279642058,0.428251837647811,0.108021732182806,0.421033994334278,0.283320954879279,sig_r,p,e,NC,1
361,5.648,e99118,22.566,0.722,0.0675,0.624,0.02129,0.239,9.501,0.0004572,4.06763738844528,2.85580084546736,1.55472052606858,6.99859088774072,0.872167138810198,0.235329878618776,sig_r,p,e,NC,1
362,5.648,e99118,18.566,1.058,0.07222,0.622,0.03382,0.349,8.871,0.0007286,3.51862803075104,2.36842105263158,1.29509166173862,3.37078651685393,0.812677053824363,0.231955467243335,sig_r,p,e,NC,1
363,5.648,e99118,14.566,1.709,0.08394,0.6205,0.07506,0.541,7.651,0.001416,2.25153210764722,1.89181987743139,0.740740740740741,0.885957900346389,0.697415014164306,0.258232378223062,sig_r,p,e,NC,1
364,5.648,e99118,10.566,3.239,0.13727,0.6204,0.3057,0.85,4.78,0.004722,1.03696434412823,1.53418384036637,0.444880601897285,0.104677788681714,0.426522662889518,0.279116376512892,sig_r,p,e,NC,1
365,5.648,e99118,22.566,0.714,0.06671,0.6177,0.01975,0.237,9.522,0.0004568,4.33417721518987,2.9873417721519,1.60506329113924,7.64556962025316,0.873583569405099,0.216766669464064,sig_r,p,e,NC,1
366,5.648,e99118,18.566,1.048,0.07133,0.6158,0.0383,0.346,8.898,0.0007274,3.21148825065274,2.25848563968668,1.14882506527415,3.10704960835509,0.814447592067989,0.260684057383424,sig_r,p,e,NC,1
367,5.648,e99118,10.566,3.209,0.13426,0.6146,0.3048,0.846,4.843,0.004672,1.02690288713911,1.53871391076115,0.452755905511811,0.100721784776903,0.431834277620397,0.280392646374454,sig_r,p,e,NC,1
368,5.648,e99118,14.566,1.692,0.08274,0.6143,0.07704,0.536,7.69,0.001411,2.2196261682243,1.88213914849429,1.01375908618899,0.90472481827622,0.70042492917847,0.263974488135266,sig_r,p,e,NC,1
369,5.648,e99118,22.566,0.707,0.06593,0.6113,0.02008,0.235,9.541,0.0004565,4.33764940239044,3.02290836653386,1.63844621513944,7.86852589641434,0.874822946175637,0.21837913613056,sig_r,p,e,NC,1
370,5.648,e99118,18.566,1.037,0.07045,0.6096,0.0341,0.343,8.924,0.0007262,3.54838709677419,2.39882697947214,1.27565982404692,3.60703812316716,0.816395184135977,0.230589368522581,sig_r,p,e,NC,1
371,5.648,e99118,10.566,3.178,0.13132,0.6087,0.2977,0.841,4.907,0.004623,1.04131676184078,1.55189788377561,0.463553913335573,0.0967416862613369,0.437322946175637,0.276000679700911,sig_r,p,e,NC,1
372,5.648,e99118,14.566,1.675,0.08156,0.6081,0.07576,0.532,7.728,0.001405,2.2571277719113,1.90073917634636,1.02428722280887,0.95960929250264,0.703434844192635,0.258505494458512,sig_r,p,e,NC,1
