,exp,Elab,X,Y,Q2,obs,target,lepton beam,current,units,value,stat_u,syst_u,*norm_c,*nv,*E',*sin2 theta/2,*epsilon
55,hermes,27.6,0.0726,0.5127,1.928,sig_r,p,e_plus,NC,1,0.33278,0.0047255,0.0073402,0.02529128,14.1559028940304,13.4440971059696,0.00129899151860392,0.785559615164728
56,hermes,27.6,0.0885,0.4538,2.08,sig_r,p,e_plus,NC,1,0.33918,0.0030865,0.0044373,0.02577768,12.5281582402756,15.0718417597244,0.00125005158695943,0.839352415874945
57,hermes,27.6,0.1083,0.4439,2.49,sig_r,p,e_plus,NC,1,0.35111,0.0034759,0.0054454,0.02668436,12.25569816135,15.34430183865,0.00146988426474223,0.847071220418523
58,hermes,27.6,0.1334,0.4045,2.795,sig_r,p,e_plus,NC,1,0.36209,0.0029691,0.0097405,0.02751884,11.1684562835853,16.4315437164147,0.00154075779016527,0.876562909998068
59,hermes,27.6,0.1663,0.3709,3.195,sig_r,p,e_plus,NC,1,0.35143,0.0030926,0.0067864,0.02670868,10.2410804836739,17.3589195163261,0.00166716697799572,0.898491794401294
60,hermes,27.6,0.2106,0.34,3.709,sig_r,p,e_plus,NC,1,0.33867,0.002303,0.0061513,0.02573892,9.38783898982904,18.212161010171,0.00184470225548694,0.916150144647684
61,hermes,27.6,0.2726,0.3206,4.527,sig_r,p,e_plus,NC,1,0.31037,0.0026071,0.0066701,0.02358812,8.85221205574684,18.7477879442532,0.00218721456123458,0.92569392071886
62,hermes,27.6,0.3624,0.3621,6.797,sig_r,p,e_plus,NC,1,0.23948,0.001365,0.0039171,0.01820048,9.99761128134164,17.6023887186584,0.0034976519363106,0.900698628575808
63,hermes,27.6,0.5038,0.4348,11.344,sig_r,p,e_plus,NC,1,0.13126,0.0012863,0.0021566,0.00997576,12.0025968947301,15.5974031052699,0.00658786738374983,0.846240582387358
64,hermes,27.6,0.0597,0.6164,1.906,sig_r,p,e_plus,NC,1,0.30442,0.0028311,0.0037087,0.02313592,17.0182825999221,10.5817174000779,0.00163153976815674,0.666705505447136
65,hermes,27.6,0.0726,0.6053,2.276,sig_r,p,e_plus,NC,1,0.31928,0.0029693,0.0053418,0.02426528,16.7110139973098,10.8889860026902,0.00189328391311112,0.680607822797039
66,hermes,27.6,0.0885,0.5644,2.587,sig_r,p,e_plus,NC,1,0.3293,0.0023051,0.0046556,0.0250268,15.5818968113428,12.0181031886572,0.00194980610888822,0.729602566678516
67,hermes,27.6,0.1083,0.5475,3.071,sig_r,p,e_plus,NC,1,0.33717,0.0019556,0.0051775,0.02562492,15.1153610656649,12.4846389343351,0.00222810039856301,0.74809096397571
68,hermes,27.6,0.1335,0.5117,3.538,sig_r,p,e_plus,NC,1,0.34218,0.0028059,0.003269,0.02600568,14.1267977927378,13.4732022072622,0.00237858090127984,0.785087468167894
69,hermes,27.6,0.1664,0.47,4.051,sig_r,p,e_plus,NC,1,0.34294,0.0019204,0.0045991,0.02606344,12.9770532639003,14.6229467360997,0.00250933284801783,0.823596484871445
70,hermes,27.6,0.2107,0.4309,4.702,sig_r,p,e_plus,NC,1,0.32873,0.0019066,0.0034128,0.02498348,11.8955699501003,15.7044300498997,0.00271201053300352,0.855347006532233
71,hermes,27.6,0.2726,0.4027,5.685,sig_r,p,e_plus,NC,1,0.29971,0.0019781,0.0061005,0.02277796,11.1165949937974,16.4834050062026,0.00312402475083359,0.875264843150863
72,hermes,27.6,0.3679,0.4804,9.154,sig_r,p,e_plus,NC,1,0.22996,0.0015637,0.0032808,0.01747696,13.2631990128958,14.3368009871042,0.00578348452637719,0.809579079918005
73,hermes,27.6,0.0603,0.7425,2.319,sig_r,p,e_plus,NC,1,0.28904,0.0021967,0.008273,0.02196704,20.499846184854,7.10015381514603,0.00295844784908743,0.480454651143996
74,hermes,27.6,0.0734,0.7381,2.806,sig_r,p,e_plus,NC,1,0.30086,0.0020759,0.0073585,0.02286536,20.3778693143856,7.22213068561436,0.00351927537358105,0.487241274264371
75,hermes,27.6,0.0894,0.7216,3.341,sig_r,p,e_plus,NC,1,0.31498,0.0021418,0.0059237,0.02393848,19.9207700710255,7.6792299289745,0.00394084842351655,0.513402774266222
76,hermes,27.6,0.1094,0.6964,3.946,sig_r,p,e_plus,NC,1,0.31889,0.0019771,0.0048874,0.02423564,19.2267962875619,8.37320371243807,0.00426870703863253,0.551935492239102
77,hermes,27.6,0.1347,0.6619,4.618,sig_r,p,e_plus,NC,1,0.32364,0.0018771,0.0026965,0.02459664,18.2748364445669,9.32516355543315,0.00448568112465504,0.602142613115189
78,hermes,27.6,0.1679,0.6145,5.344,sig_r,p,e_plus,NC,1,0.32585,0.0018899,0.0048679,0.0247646,16.9661350357038,10.6338649642962,0.00455204173308336,0.665880302403817
79,hermes,27.6,0.2128,0.5685,6.266,sig_r,p,e_plus,NC,1,0.31896,0.0020095,0.0065958,0.02424096,15.6958895105568,11.9041104894432,0.0047678695881683,0.721347108277708
80,hermes,27.6,0.2759,0.5249,7.501,sig_r,p,e_plus,NC,1,0.2895,0.0016502,0.0025598,0.022002,14.4922104127527,13.1077895872473,0.00518347049496532,0.767929752894791
