,exp,x*,q2,elab*,w2,obs,target,lepton beam,current,units,value,f2nstat_u,f2nsys_u,*%norm_c
118,bonus,0.321,0.846,4.223,2.656,F2,n,e,nc,1,0.198,0.014,0.013,3
119,bonus,0.313,0.845,4.223,2.724,F2,n,e,nc,1,0.218,0.014,0.016,3
120,bonus,0.304,0.845,4.223,2.788,F2,n,e,nc,1,0.236,0.015,0.015,3
121,bonus,0.298,0.845,4.223,2.855,F2,n,e,nc,1,0.229,0.015,0.013,3
122,bonus,0.293,0.845,4.223,2.923,F2,n,e,nc,1,0.251,0.015,0.014,3
123,bonus,0.284,0.845,4.223,2.991,F2,n,e,nc,1,0.223,0.014,0.012,3
124,bonus,0.277,0.845,4.223,3.061,F2,n,e,nc,1,0.2,0.013,0.013,3
125,bonus,0.272,0.845,4.223,3.132,F2,n,e,nc,1,0.219,0.014,0.012,3
126,bonus,0.266,0.845,4.223,3.204,F2,n,e,nc,1,0.195,0.013,0.013,3
127,bonus,0.259,0.845,4.223,3.275,F2,n,e,nc,1,0.202,0.013,0.012,3
128,bonus,0.254,0.845,4.223,3.349,F2,n,e,nc,1,0.208,0.014,0.011,3
129,bonus,0.248,0.845,4.223,3.424,F2,n,e,nc,1,0.218,0.014,0.011,3
130,bonus,0.243,0.845,4.223,3.497,F2,n,e,nc,1,0.242,0.015,0.015,3
131,bonus,0.237,0.845,4.223,3.572,F2,n,e,nc,1,0.218,0.014,0.012,3
132,bonus,0.232,0.844,4.223,3.647,F2,n,e,nc,1,0.237,0.015,0.013,3
133,bonus,0.227,0.844,4.223,3.727,F2,n,e,nc,1,0.256,0.015,0.017,3
134,bonus,0.223,0.843,4.223,3.805,F2,n,e,nc,1,0.242,0.015,0.012,3
135,bonus,0.218,0.843,4.223,3.881,F2,n,e,nc,1,0.248,0.015,0.013,3
136,bonus,0.214,0.842,4.223,3.959,F2,n,e,nc,1,0.239,0.015,0.012,3
137,bonus,0.21,0.842,4.223,4.04,F2,n,e,nc,1,0.247,0.015,0.012,3
138,bonus,0.205,0.842,4.223,4.122,F2,n,e,nc,1,0.248,0.015,0.013,3
139,bonus,0.202,0.842,4.223,4.202,F2,n,e,nc,1,0.215,0.014,0.023,3
140,bonus,0.198,0.842,4.223,4.285,F2,n,e,nc,1,0.237,0.014,0.016,3
141,bonus,0.193,0.842,4.223,4.369,F2,n,e,nc,1,0.27,0.015,0.015,3
142,bonus,0.19,0.843,4.223,4.453,F2,n,e,nc,1,0.254,0.015,0.013,3
143,bonus,0.187,0.842,4.223,4.538,F2,n,e,nc,1,0.228,0.014,0.02,3
144,bonus,0.183,0.843,4.223,4.623,F2,n,e,nc,1,0.234,0.015,0.018,3
145,bonus,0.18,0.843,4.223,4.707,F2,n,e,nc,1,0.25,0.015,0.014,3
146,bonus,0.177,0.843,4.223,4.798,F2,n,e,nc,1,0.268,0.015,0.014,3
147,bonus,0.174,0.843,4.223,4.886,F2,n,e,nc,1,0.242,0.015,0.015,3
148,bonus,0.17,0.842,4.223,4.973,F2,n,e,nc,1,0.25,0.015,0.014,3
149,bonus,0.167,0.842,4.223,5.064,F2,n,e,nc,1,0.253,0.015,0.013,3
150,bonus,0.734,1.007,4.223,1.234,F2,n,e,nc,1,0.014,0.003,0.001,3
151,bonus,0.71,1.007,4.223,1.276,F2,n,e,nc,1,0.033,0.005,0.003,3
152,bonus,0.687,1.006,4.223,1.324,F2,n,e,nc,1,0.087,0.009,0.015,3
153,bonus,0.668,1.006,4.223,1.369,F2,n,e,nc,1,0.138,0.011,0.021,3
154,bonus,0.645,1.006,4.223,1.417,F2,n,e,nc,1,0.193,0.013,0.023,3
155,bonus,0.628,1.005,4.223,1.464,F2,n,e,nc,1,0.213,0.014,0.019,3
156,bonus,0.609,1.006,4.223,1.513,F2,n,e,nc,1,0.236,0.014,0.03,3
157,bonus,0.591,1.006,4.223,1.562,F2,n,e,nc,1,0.177,0.011,0.014,3
158,bonus,0.575,1.006,4.223,1.612,F2,n,e,nc,1,0.158,0.01,0.015,3
159,bonus,0.558,1.006,4.223,1.662,F2,n,e,nc,1,0.126,0.009,0.008,3
160,bonus,0.543,1.007,4.223,1.715,F2,n,e,nc,1,0.124,0.009,0.01,3
161,bonus,0.527,1.006,4.223,1.77,F2,n,e,nc,1,0.114,0.009,0.007,3
162,bonus,0.513,1.006,4.223,1.821,F2,n,e,nc,1,0.105,0.009,0.006,3
163,bonus,0.498,1.006,4.223,1.877,F2,n,e,nc,1,0.106,0.009,0.006,3
164,bonus,0.485,1.006,4.223,1.932,F2,n,e,nc,1,0.119,0.009,0.007,3
165,bonus,0.47,1.006,4.223,1.991,F2,n,e,nc,1,0.101,0.009,0.01,3
166,bonus,0.459,1.005,4.223,2.048,F2,n,e,nc,1,0.125,0.01,0.007,3
167,bonus,0.447,1.005,4.223,2.101,F2,n,e,nc,1,0.121,0.01,0.009,3
168,bonus,0.436,1.005,4.223,2.162,F2,n,e,nc,1,0.156,0.012,0.009,3
169,bonus,0.425,1.004,4.223,2.221,F2,n,e,nc,1,0.168,0.012,0.009,3
170,bonus,0.415,1.003,4.223,2.279,F2,n,e,nc,1,0.166,0.012,0.009,3
171,bonus,0.406,1.003,4.223,2.341,F2,n,e,nc,1,0.175,0.012,0.011,3
172,bonus,0.395,1.002,4.223,2.402,F2,n,e,nc,1,0.19,0.012,0.018,3
173,bonus,0.386,1.003,4.223,2.467,F2,n,e,nc,1,0.147,0.011,0.009,3
174,bonus,0.377,1.003,4.223,2.527,F2,n,e,nc,1,0.18,0.012,0.014,3
175,bonus,0.368,1.003,4.223,2.592,F2,n,e,nc,1,0.181,0.012,0.013,3
176,bonus,0.36,1.003,4.223,2.657,F2,n,e,nc,1,0.186,0.012,0.013,3
177,bonus,0.351,1.004,4.223,2.724,F2,n,e,nc,1,0.224,0.014,0.023,3
178,bonus,0.344,1.003,4.223,2.789,F2,n,e,nc,1,0.191,0.013,0.013,3
179,bonus,0.336,1.004,4.223,2.857,F2,n,e,nc,1,0.22,0.014,0.012,3
180,bonus,0.327,1.005,4.223,2.925,F2,n,e,nc,1,0.213,0.014,0.013,3
181,bonus,0.322,1.006,4.223,2.991,F2,n,e,nc,1,0.187,0.013,0.017,3
182,bonus,0.315,1.006,4.223,3.063,F2,n,e,nc,1,0.197,0.013,0.011,3
183,bonus,0.307,1.006,4.223,3.134,F2,n,e,nc,1,0.188,0.013,0.012,3
184,bonus,0.301,1.007,4.223,3.204,F2,n,e,nc,1,0.202,0.013,0.01,3
185,bonus,0.294,1.007,4.223,3.277,F2,n,e,nc,1,0.159,0.012,0.023,3
186,bonus,0.289,1.007,4.223,3.35,F2,n,e,nc,1,0.213,0.013,0.012,3
187,bonus,0.283,1.007,4.223,3.422,F2,n,e,nc,1,0.199,0.013,0.011,3
188,bonus,0.276,1.007,4.223,3.497,F2,n,e,nc,1,0.201,0.013,0.012,3
189,bonus,0.271,1.007,4.223,3.572,F2,n,e,nc,1,0.221,0.014,0.011,3
190,bonus,0.266,1.007,4.223,3.647,F2,n,e,nc,1,0.239,0.014,0.015,3
191,bonus,0.26,1.007,4.223,3.725,F2,n,e,nc,1,0.256,0.015,0.02,3
192,bonus,0.255,1.006,4.223,3.804,F2,n,e,nc,1,0.257,0.015,0.019,3
193,bonus,0.249,1.005,4.223,3.88,F2,n,e,nc,1,0.238,0.015,0.012,3
194,bonus,0.244,1.005,4.223,3.963,F2,n,e,nc,1,0.219,0.014,0.014,3
195,bonus,0.24,1.004,4.223,4.039,F2,n,e,nc,1,0.227,0.014,0.013,3
196,bonus,0.236,1.004,4.223,4.122,F2,n,e,nc,1,0.267,0.015,0.018,3
197,bonus,0.231,1.003,4.223,4.201,F2,n,e,nc,1,0.209,0.014,0.021,3
198,bonus,0.227,1.003,4.223,4.285,F2,n,e,nc,1,0.239,0.015,0.013,3
199,bonus,0.223,1.003,4.223,4.364,F2,n,e,nc,1,0.233,0.015,0.015,3
200,bonus,0.219,1.003,4.223,4.452,F2,n,e,nc,1,0.254,0.015,0.013,3
201,bonus,0.215,1.004,4.223,4.536,F2,n,e,nc,1,0.244,0.015,0.013,3
202,bonus,0.212,1.004,4.223,4.623,F2,n,e,nc,1,0.24,0.015,0.014,3
203,bonus,0.208,1.005,4.223,4.709,F2,n,e,nc,1,0.237,0.015,0.015,3
204,bonus,0.204,1.006,4.223,4.798,F2,n,e,nc,1,0.255,0.015,0.013,3
205,bonus,0.765,1.198,4.223,1.237,F2,n,e,nc,1,0.011,0.002,0.001,3
206,bonus,0.745,1.199,4.223,1.279,F2,n,e,nc,1,0.039,0.005,0.007,3
207,bonus,0.724,1.199,4.223,1.323,F2,n,e,nc,1,0.049,0.007,0.005,3
208,bonus,0.704,1.198,4.223,1.371,F2,n,e,nc,1,0.101,0.01,0.012,3
209,bonus,0.686,1.198,4.223,1.417,F2,n,e,nc,1,0.155,0.013,0.019,3
210,bonus,0.668,1.198,4.223,1.464,F2,n,e,nc,1,0.158,0.012,0.013,3
211,bonus,0.651,1.198,4.223,1.514,F2,n,e,nc,1,0.149,0.012,0.011,3
212,bonus,0.633,1.199,4.223,1.563,F2,n,e,nc,1,0.166,0.012,0.021,3
213,bonus,0.616,1.199,4.223,1.613,F2,n,e,nc,1,0.115,0.01,0.008,3
214,bonus,0.601,1.2,4.223,1.662,F2,n,e,nc,1,0.096,0.009,0.006,3
215,bonus,0.585,1.2,4.223,1.717,F2,n,e,nc,1,0.101,0.009,0.008,3
216,bonus,0.57,1.2,4.223,1.769,F2,n,e,nc,1,0.089,0.009,0.006,3
217,bonus,0.556,1.2,4.223,1.821,F2,n,e,nc,1,0.087,0.008,0.006,3
218,bonus,0.542,1.2,4.223,1.877,F2,n,e,nc,1,0.102,0.009,0.007,3
219,bonus,0.528,1.199,4.223,1.93,F2,n,e,nc,1,0.102,0.009,0.007,3
220,bonus,0.517,1.199,4.223,1.988,F2,n,e,nc,1,0.116,0.01,0.01,3
221,bonus,0.505,1.199,4.223,2.045,F2,n,e,nc,1,0.127,0.01,0.012,3
222,bonus,0.491,1.198,4.223,2.102,F2,n,e,nc,1,0.124,0.011,0.008,3
223,bonus,0.48,1.198,4.223,2.162,F2,n,e,nc,1,0.129,0.011,0.008,3
224,bonus,0.47,1.198,4.223,2.219,F2,n,e,nc,1,0.154,0.012,0.009,3
225,bonus,0.458,1.198,4.223,2.281,F2,n,e,nc,1,0.166,0.012,0.012,3
226,bonus,0.448,1.197,4.223,2.343,F2,n,e,nc,1,0.155,0.012,0.009,3
227,bonus,0.439,1.197,4.223,2.402,F2,n,e,nc,1,0.153,0.011,0.01,3
228,bonus,0.429,1.198,4.223,2.466,F2,n,e,nc,1,0.151,0.011,0.01,3
229,bonus,0.418,1.198,4.223,2.527,F2,n,e,nc,1,0.159,0.012,0.012,3
230,bonus,0.409,1.198,4.223,2.594,F2,n,e,nc,1,0.143,0.012,0.008,3
231,bonus,0.4,1.198,4.223,2.658,F2,n,e,nc,1,0.172,0.012,0.013,3
232,bonus,0.392,1.198,4.223,2.723,F2,n,e,nc,1,0.174,0.013,0.01,3
233,bonus,0.384,1.198,4.223,2.787,F2,n,e,nc,1,0.186,0.013,0.01,3
234,bonus,0.376,1.199,4.223,2.858,F2,n,e,nc,1,0.196,0.014,0.013,3
235,bonus,0.368,1.198,4.223,2.924,F2,n,e,nc,1,0.207,0.014,0.011,3
236,bonus,0.36,1.199,4.223,2.993,F2,n,e,nc,1,0.194,0.014,0.01,3
237,bonus,0.353,1.198,4.223,3.064,F2,n,e,nc,1,0.184,0.013,0.01,3
238,bonus,0.347,1.198,4.223,3.132,F2,n,e,nc,1,0.186,0.013,0.01,3
239,bonus,0.338,1.198,4.223,3.201,F2,n,e,nc,1,0.187,0.013,0.01,3
240,bonus,0.331,1.198,4.223,3.276,F2,n,e,nc,1,0.204,0.014,0.013,3
241,bonus,0.325,1.198,4.223,3.348,F2,n,e,nc,1,0.221,0.014,0.02,3
242,bonus,0.319,1.198,4.223,3.424,F2,n,e,nc,1,0.209,0.014,0.013,3
243,bonus,0.312,1.198,4.223,3.497,F2,n,e,nc,1,0.193,0.014,0.01,3
244,bonus,0.307,1.197,4.223,3.571,F2,n,e,nc,1,0.228,0.015,0.017,3
245,bonus,0.301,1.197,4.223,3.649,F2,n,e,nc,1,0.233,0.015,0.018,3
246,bonus,0.295,1.198,4.223,3.725,F2,n,e,nc,1,0.255,0.016,0.026,3
247,bonus,0.29,1.198,4.223,3.802,F2,n,e,nc,1,0.234,0.016,0.015,3
248,bonus,0.285,1.199,4.223,3.88,F2,n,e,nc,1,0.245,0.016,0.018,3
249,bonus,0.28,1.2,4.223,3.959,F2,n,e,nc,1,0.226,0.015,0.012,3
250,bonus,0.275,1.201,4.223,4.042,F2,n,e,nc,1,0.209,0.015,0.013,3
251,bonus,0.27,1.202,4.223,4.122,F2,n,e,nc,1,0.233,0.015,0.012,3
252,bonus,0.265,1.203,4.223,4.202,F2,n,e,nc,1,0.211,0.014,0.015,3
253,bonus,0.261,1.203,4.223,4.284,F2,n,e,nc,1,0.23,0.015,0.012,3
254,bonus,0.255,1.202,4.223,4.368,F2,n,e,nc,1,0.237,0.015,0.012,3
255,bonus,0.251,1.203,4.223,4.454,F2,n,e,nc,1,0.227,0.014,0.013,3
256,bonus,0.247,1.203,4.223,4.537,F2,n,e,nc,1,0.22,0.014,0.016,3
257,bonus,0.796,1.425,4.223,1.238,F2,n,e,nc,1,0.008,0.002,0.001,3
258,bonus,0.776,1.424,4.223,1.279,F2,n,e,nc,1,0.031,0.005,0.006,3
259,bonus,0.759,1.424,4.223,1.324,F2,n,e,nc,1,0.043,0.007,0.005,3
260,bonus,0.739,1.423,4.223,1.37,F2,n,e,nc,1,0.075,0.009,0.008,3
261,bonus,0.722,1.423,4.223,1.417,F2,n,e,nc,1,0.129,0.012,0.019,3
262,bonus,0.703,1.423,4.223,1.464,F2,n,e,nc,1,0.125,0.012,0.011,3
263,bonus,0.688,1.422,4.223,1.514,F2,n,e,nc,1,0.122,0.011,0.01,3
264,bonus,0.672,1.423,4.223,1.562,F2,n,e,nc,1,0.111,0.01,0.009,3
265,bonus,0.656,1.423,4.223,1.61,F2,n,e,nc,1,0.099,0.009,0.008,3
266,bonus,0.641,1.425,4.223,1.666,F2,n,e,nc,1,0.089,0.009,0.008,3
267,bonus,0.626,1.424,4.223,1.716,F2,n,e,nc,1,0.103,0.009,0.015,3
268,bonus,0.612,1.423,4.223,1.769,F2,n,e,nc,1,0.08,0.008,0.006,3
269,bonus,0.597,1.424,4.223,1.822,F2,n,e,nc,1,0.081,0.009,0.006,3
270,bonus,0.584,1.424,4.223,1.878,F2,n,e,nc,1,0.08,0.009,0.005,3
271,bonus,0.572,1.424,4.223,1.935,F2,n,e,nc,1,0.084,0.009,0.006,3
272,bonus,0.558,1.424,4.223,1.99,F2,n,e,nc,1,0.084,0.009,0.005,3
273,bonus,0.548,1.424,4.223,2.043,F2,n,e,nc,1,0.091,0.01,0.006,3
274,bonus,0.535,1.424,4.223,2.103,F2,n,e,nc,1,0.108,0.011,0.008,3
275,bonus,0.524,1.424,4.223,2.16,F2,n,e,nc,1,0.118,0.011,0.007,3
276,bonus,0.513,1.424,4.223,2.222,F2,n,e,nc,1,0.136,0.012,0.008,3
277,bonus,0.502,1.425,4.223,2.28,F2,n,e,nc,1,0.153,0.012,0.014,3
278,bonus,0.491,1.425,4.223,2.34,F2,n,e,nc,1,0.148,0.012,0.013,3
279,bonus,0.481,1.426,4.223,2.401,F2,n,e,nc,1,0.141,0.012,0.012,3
280,bonus,0.473,1.425,4.223,2.462,F2,n,e,nc,1,0.148,0.012,0.016,3
281,bonus,0.462,1.425,4.223,2.526,F2,n,e,nc,1,0.135,0.012,0.01,3
282,bonus,0.452,1.425,4.223,2.592,F2,n,e,nc,1,0.127,0.012,0.007,3
283,bonus,0.443,1.425,4.223,2.656,F2,n,e,nc,1,0.138,0.012,0.008,3
284,bonus,0.434,1.425,4.223,2.723,F2,n,e,nc,1,0.156,0.013,0.009,3
285,bonus,0.426,1.424,4.223,2.788,F2,n,e,nc,1,0.173,0.014,0.009,3
286,bonus,0.416,1.425,4.223,2.857,F2,n,e,nc,1,0.161,0.014,0.018,3
287,bonus,0.409,1.425,4.223,2.924,F2,n,e,nc,1,0.175,0.014,0.013,3
288,bonus,0.402,1.426,4.223,2.995,F2,n,e,nc,1,0.152,0.013,0.016,3
