,exp,target,current,lepton beam,units,obs,x,Q2,w2,value,%stat_u,%*syst_u,%*norm_c
44,jlcee96,p,e,nc,1,f2,0.1840703,0.45,2.874718,0.3337765,1.51290069852132,2.83,1.26
45,jlcee96,p,e,nc,1,f2,0.1857181,0.45,2.853026,0.3311777,1.50791463314106,2.83,1.26
46,jlcee96,p,e,nc,1,f2,0.1873957,0.45,2.831336,0.3328261,1.51980148191503,2.83,1.26
47,jlcee96,p,e,nc,1,f2,0.1891039,0.45,2.809644,0.3402449,1.53435540106553,2.83,1.26
48,jlcee96,p,e,nc,1,f2,0.1908435,0.45,2.787953,0.3197932,1.54207562887516,2.83,1.26
49,jlcee96,p,e,nc,1,f2,0.1926154,0.45,2.766262,0.3136542,1.5364429999662,2.83,1.26
50,jlcee96,p,e,nc,1,f2,0.1944205,0.45,2.744571,0.3007357,1.55846080129496,2.83,1.26
51,jlcee96,p,e,nc,1,f2,0.1962598,0.45,2.722879,0.2903223,1.56888292769794,2.83,1.26
52,jlcee96,p,e,nc,1,f2,0.2000448,0.45,2.679497,0.2801124,0.947427532661888,2.83,1.26
53,jlcee96,p,e,nc,1,f2,0.2019925,0.45,2.657805,0.2789578,1.07979128025816,2.83,1.26
54,jlcee96,p,e,nc,1,f2,0.2039785,0.45,2.636115,0.2525868,1.20092736437534,2.83,1.26
55,jlcee96,p,e,nc,1,f2,0.2060041,0.45,2.614423,0.2532291,1.21205935652735,2.83,1.26
56,jlcee96,p,e,nc,1,f2,0.2080702,0.45,2.592731,0.2479292,1.21274783284906,2.83,1.26
57,jlcee96,p,e,nc,1,f2,0.2101782,0.45,2.571041,0.2433564,1.20734363263099,2.83,1.26
58,jlcee96,p,e,nc,1,f2,0.2123293,0.45,2.549349,0.2477024,1.20379657201545,2.83,1.26
59,jlcee96,p,e,nc,1,f2,0.2145249,0.45,2.527658,0.2406345,1.19878238573438,2.83,1.26
60,jlcee96,p,e,nc,1,f2,0.2167665,0.45,2.505967,0.2426754,1.20112710229385,2.83,1.26
61,jlcee96,p,e,nc,1,f2,0.2190553,0.45,2.484276,0.2537364,1.19541106439596,2.83,1.26
62,jlcee96,p,e,nc,1,f2,0.221393,0.45,2.462584,0.2517568,1.1936011261662,2.83,1.26
63,jlcee96,p,e,nc,1,f2,0.2237811,0.45,2.440893,0.2553859,1.17269395060573,2.83,1.26
64,jlcee96,p,e,nc,1,f2,0.2262214,0.45,2.419202,0.26465,1.17124768562252,2.83,1.26
65,jlcee96,p,e,nc,1,f2,0.2287154,0.45,2.397511,0.2750145,1.25810893607428,2.83,1.26
66,jlcee96,p,e,nc,1,f2,0.231265,0.45,2.37582,0.2813912,0.980479133675822,2.83,1.26
67,jlcee96,p,e,nc,1,f2,0.2338721,0.45,2.354128,0.2900333,0.979411329664559,2.83,1.26
68,jlcee96,p,e,nc,1,f2,0.2365387,0.45,2.332437,0.2986472,0.97863063842554,2.83,1.26
69,jlcee96,p,e,nc,1,f2,0.2392668,0.45,2.310746,0.3176193,0.980609805512448,2.83,1.26
70,jlcee96,p,e,nc,1,f2,0.2420585,0.45,2.289055,0.3317779,0.981718493003904,2.83,1.26
71,jlcee96,p,e,nc,1,f2,0.2449161,0.45,2.267364,0.3466572,0.991757851849031,2.83,1.26
72,jlcee96,p,e,nc,1,f2,0.2478421,0.45,2.245672,0.3418744,0.996527672150942,2.83,1.26
73,jlcee96,p,e,nc,1,f2,0.2508388,0.45,2.223981,0.3430248,1.01715415328571,2.83,1.26
74,jlcee96,p,e,nc,1,f2,0.2570549,0.45,2.180599,0.2757886,1.89538146246799,2.83,1.26
75,jlcee96,p,e,nc,1,f2,0.26028,0.45,2.158907,0.26421,1.91385715907801,2.83,1.26
76,jlcee96,p,e,nc,1,f2,0.263587,0.45,2.137216,0.251895,1.91077194862939,2.83,1.26
77,jlcee96,p,e,nc,1,f2,0.2669792,0.45,2.115525,0.2272289,1.93155932189964,2.83,1.26
78,jlcee96,p,e,nc,1,f2,0.2704597,0.45,2.093834,0.2177593,1.95053345597639,2.83,1.26
79,jlcee96,p,e,nc,1,f2,0.2740323,0.45,2.072142,0.2148214,1.95828069270566,2.83,1.26
80,jlcee96,p,e,nc,1,f2,0.2777005,0.45,2.050451,0.2061525,1.59428772389372,2.83,1.26
81,jlcee96,p,e,nc,1,f2,0.2814682,0.45,2.02876,0.1934305,1.43707791687454,2.83,1.26
82,jlcee96,p,e,nc,1,f2,0.2853395,0.45,2.007069,0.1831944,1.45107055674191,2.83,1.26
83,jlcee96,p,e,nc,1,f2,0.2893188,0.45,1.985377,0.1793362,1.45334461196345,2.83,1.26
84,jlcee96,p,e,nc,1,f2,0.2934107,0.45,1.963686,0.1732831,1.46894013322707,2.83,1.26
85,jlcee96,p,e,nc,1,f2,0.2976201,0.45,1.941995,0.1709646,1.47564583545366,2.83,1.26
86,jlcee96,p,e,nc,1,f2,0.3019519,0.45,1.920304,0.1688286,1.48119453694457,2.83,1.26
87,jlcee96,p,e,nc,1,f2,0.3064117,0.45,1.898612,0.1656011,1.47785793693399,2.83,1.26
88,jlcee96,p,e,nc,1,f2,0.3110051,0.45,1.876921,0.1709938,1.48092153048824,2.83,1.26
89,jlcee96,p,e,nc,1,f2,0.3206181,0.45,1.833539,0.1664796,2.07229474362024,2.83,1.26
90,jlcee96,p,e,nc,1,f2,0.325651,0.45,1.811848,0.1565693,2.13472117458531,2.83,1.26
91,jlcee96,p,e,nc,1,f2,0.3308443,0.45,1.790156,0.1701245,2.07691602326531,2.83,1.26
92,jlcee96,p,e,nc,1,f2,0.336206,0.45,1.768465,0.1787125,2.04072854444988,2.83,1.26
93,jlcee96,p,e,nc,1,f2,0.3417444,0.45,1.746774,0.1705195,2.04362609554919,2.83,1.26
94,jlcee96,p,e,nc,1,f2,0.3474682,0.45,1.725083,0.1794568,2.02197854859777,2.83,1.26
95,jlcee96,p,e,nc,1,f2,0.3533871,0.45,1.703391,0.1904916,1.9740471495856,2.83,1.26
96,jlcee96,p,e,nc,1,f2,0.365851,0.45,1.660009,0.2167619,1.37493258732277,2.83,1.26
97,jlcee96,p,e,nc,1,f2,0.3724186,0.45,1.638318,0.2319594,1.35635546565477,2.83,1.26
98,jlcee96,p,e,nc,1,f2,0.3792262,0.45,1.616627,0.241399,1.34462031739982,2.83,1.26
99,jlcee96,p,e,nc,1,f2,0.3862875,0.45,1.594935,0.2642611,1.3272710209713,2.83,1.26
100,jlcee96,p,e,nc,1,f2,0.3936166,0.45,1.573244,0.2896988,1.31608726028551,2.83,1.26
101,jlcee96,p,e,nc,1,f2,0.4012294,0.45,1.551553,0.3151048,1.31294572472396,2.83,1.26
102,jlcee96,p,e,nc,1,f2,0.4091426,0.45,1.529861,0.3443974,1.30622182397428,2.83,1.26
103,jlcee96,p,e,nc,1,f2,0.4173738,0.45,1.50817,0.3688858,1.30057622169246,2.83,1.26
104,jlcee96,p,e,nc,1,f2,0.4259433,0.45,1.486479,0.3930245,1.3223681984202,2.83,1.26
105,jlcee96,p,e,nc,1,f2,0.4348717,0.45,1.464788,0.4102053,1.48724358266458,2.83,1.26
106,jlcee96,p,e,nc,1,f2,0.4441827,0.45,1.443097,0.3657997,1.8902675425923,2.83,1.26
107,jlcee96,p,e,nc,1,f2,0.4539011,0.45,1.421405,0.3241817,1.9628982758743,2.83,1.26
108,jlcee96,p,e,nc,1,f2,0.4640543,0.45,1.399714,0.2696309,2.03556491485212,2.83,1.26
109,jlcee96,p,e,nc,1,f2,0.474672,0.45,1.378023,0.2029946,2.1031283590795,2.83,1.26
110,jlcee96,p,e,nc,1,f2,0.4857871,0.45,1.356332,0.1523399,2.18202650782887,2.83,1.26
111,jlcee96,p,e,nc,1,f2,0.4974351,0.45,1.334641,0.09225494,2.31989094567727,2.83,1.26
112,jlcee96,p,e,nc,1,f2,0.5096555,0.45,1.312949,0.05898017,2.4301659354322,2.83,1.26
113,jlcee96,p,e,nc,1,f2,0.5224914,0.45,1.291258,0.03396727,2.54972389597398,2.83,1.26
114,jlcee96,p,e,nc,1,f2,0.3122129,1.4,3.96412,0.2892714,1.32077211919326,2.83,1.26
115,jlcee96,p,e,nc,1,f2,0.3140183,1.4,3.938339,0.2878875,1.33949824150059,2.83,1.26
116,jlcee96,p,e,nc,1,f2,0.3158447,1.4,3.912557,0.2855676,1.34618703242245,2.83,1.26
117,jlcee96,p,e,nc,1,f2,0.3176925,1.4,3.886776,0.2907457,1.34197307131283,2.83,1.26
118,jlcee96,p,e,nc,1,f2,0.3195621,1.4,3.860995,0.2837839,1.34600342020812,2.83,1.26
119,jlcee96,p,e,nc,1,f2,0.3214538,1.4,3.835214,0.2808132,1.35581696302026,2.83,1.26
120,jlcee96,p,e,nc,1,f2,0.323368,1.4,3.809433,0.2835737,1.34790391351525,2.83,1.26
121,jlcee96,p,e,nc,1,f2,0.3253052,1.4,3.783651,0.2808225,1.35339297955114,2.83,1.26
122,jlcee96,p,e,nc,1,f2,0.3272656,1.4,3.757871,0.2927762,1.34905432886963,2.83,1.26
123,jlcee96,p,e,nc,1,f2,0.3292499,1.4,3.732089,0.285505,1.35945815309714,2.83,1.26
124,jlcee96,p,e,nc,1,f2,0.3312584,1.4,3.706308,0.2823866,1.36114319872119,2.83,1.26
125,jlcee96,p,e,nc,1,f2,0.3332915,1.4,3.680527,0.2815277,1.35922184566563,2.83,1.26
126,jlcee96,p,e,nc,1,f2,0.3353497,1.4,3.654746,0.2875088,1.37277502462533,2.83,1.26
127,jlcee96,p,e,nc,1,f2,0.3374335,1.4,3.628965,0.2743493,1.38619963674046,2.83,1.26
128,jlcee96,p,e,nc,1,f2,0.3395434,1.4,3.603184,0.2710735,1.39064054582982,2.83,1.26
129,jlcee96,p,e,nc,1,f2,0.3416799,1.4,3.577403,0.2782965,1.40633784470879,2.83,1.26
130,jlcee96,p,e,nc,1,f2,0.3438433,1.4,3.551621,0.2757025,1.40499124962596,2.83,1.26
131,jlcee96,p,e,nc,1,f2,0.3460344,1.4,3.52584,0.2781772,1.28430619044264,2.83,1.26
132,jlcee96,p,e,nc,1,f2,0.3482535,1.4,3.500059,0.2728563,1.09001551366049,2.83,1.26
133,jlcee96,p,e,nc,1,f2,0.3505014,1.4,3.474278,0.2634629,1.10566990646501,2.83,1.26
134,jlcee96,p,e,nc,1,f2,0.3550852,1.4,3.422716,0.2517672,1.67297924431777,2.83,1.26
135,jlcee96,p,e,nc,1,f2,0.3574223,1.4,3.396935,0.2480058,1.66892830732184,2.83,1.26
136,jlcee96,p,e,nc,1,f2,0.3597904,1.4,3.371154,0.2460903,1.67478726304938,2.83,1.26
137,jlcee96,p,e,nc,1,f2,0.3621902,1.4,3.345373,0.2457996,1.67540305191709,2.83,1.26
138,jlcee96,p,e,nc,1,f2,0.3646221,1.4,3.319592,0.2434112,1.66310383417033,2.83,1.26
139,jlcee96,p,e,nc,1,f2,0.3670869,1.4,3.293811,0.2504285,1.68045210509187,2.83,1.26
140,jlcee96,p,e,nc,1,f2,0.3695853,1.4,3.268029,0.245602,1.68564588236252,2.83,1.26
141,jlcee96,p,e,nc,1,f2,0.372118,1.4,3.242248,0.2451468,1.68679705384692,2.83,1.26
142,jlcee96,p,e,nc,1,f2,0.3746855,1.4,3.216467,0.2487051,1.68138530331706,2.83,1.26
143,jlcee96,p,e,nc,1,f2,0.3772888,1.4,3.190686,0.2416125,1.67440922965492,2.83,1.26
144,jlcee96,p,e,nc,1,f2,0.3799284,1.4,3.164905,0.2533934,1.69107364280206,2.83,1.26
145,jlcee96,p,e,nc,1,f2,0.3826053,1.4,3.139124,0.2411332,1.69355111614659,2.83,1.26
146,jlcee96,p,e,nc,1,f2,0.3853202,1.4,3.113342,0.2495157,1.69185426007261,2.83,1.26
147,jlcee96,p,e,nc,1,f2,0.3880738,1.4,3.087562,0.244352,1.68972015780513,2.83,1.26
148,jlcee96,p,e,nc,1,f2,0.3908671,1.4,3.06178,0.2644747,1.70341548737932,2.83,1.26
149,jlcee96,p,e,nc,1,f2,0.3937008,1.4,3.035999,0.2625748,1.69891817493529,2.83,1.26
150,jlcee96,p,e,nc,1,f2,0.3965761,1.4,3.010218,0.2736259,1.72729884122811,2.83,1.26
151,jlcee96,p,e,nc,1,f2,0.3994935,1.4,2.984437,0.2707292,1.19945576613088,2.83,1.26
152,jlcee96,p,e,nc,1,f2,0.4024543,1.4,2.958656,0.2812485,1.2159062181665,2.83,1.26
153,jlcee96,p,e,nc,1,f2,0.4054593,1.4,2.932874,0.284414,1.39689572243279,2.83,1.26
154,jlcee96,p,e,nc,1,f2,0.4085094,1.4,2.907094,0.2851608,1.71649960303099,2.83,1.26
155,jlcee96,p,e,nc,1,f2,0.4116058,1.4,2.881312,0.2931243,1.72873726265615,2.83,1.26
156,jlcee96,p,e,nc,1,f2,0.4147495,1.4,2.855531,0.2894922,1.72876574912899,2.83,1.26
157,jlcee96,p,e,nc,1,f2,0.4179416,1.4,2.82975,0.2762476,1.73198572584884,2.83,1.26
158,jlcee96,p,e,nc,1,f2,0.4211832,1.4,2.803969,0.2693064,1.75622487991373,2.83,1.26
159,jlcee96,p,e,nc,1,f2,0.4244755,1.4,2.778188,0.2522967,1.75046918964854,2.83,1.26
160,jlcee96,p,e,nc,1,f2,0.4278196,1.4,2.752407,0.2426288,1.75936822009588,2.83,1.26
161,jlcee96,p,e,nc,1,f2,0.4312169,1.4,2.726626,0.2276082,1.79151146575563,2.83,1.26
162,jlcee96,p,e,nc,1,f2,0.4346686,1.4,2.700845,0.2259079,1.79748649781615,2.83,1.26
163,jlcee96,p,e,nc,1,f2,0.4381759,1.4,2.675064,0.2119787,1.80773492808476,2.83,1.26
164,jlcee96,p,e,nc,1,f2,0.4417404,1.4,2.649282,0.2066699,1.82365259769323,2.83,1.26
165,jlcee96,p,e,nc,1,f2,0.4453632,1.4,2.623502,0.1989333,1.82077661206042,2.83,1.26
166,jlcee96,p,e,nc,1,f2,0.4490461,1.4,2.59772,0.1975775,1.84121015803925,2.83,1.26
167,jlcee96,p,e,nc,1,f2,0.4527903,1.4,2.571939,0.1948203,1.85015627221599,2.83,1.26
168,jlcee96,p,e,nc,1,f2,0.4565975,1.4,2.546158,0.1911903,1.84290311799291,2.83,1.26
169,jlcee96,p,e,nc,1,f2,0.4604692,1.4,2.520377,0.1903779,1.86037087287968,2.83,1.26
170,jlcee96,p,e,nc,1,f2,0.4644073,1.4,2.494596,0.1837493,1.85820952787303,2.83,1.26
171,jlcee96,p,e,nc,1,f2,0.4684132,1.4,2.468814,0.1951008,1.88622086634191,2.83,1.26
172,jlcee96,p,e,nc,1,f2,0.4724887,1.4,2.443034,0.1933063,1.86654754656211,2.83,1.26
173,jlcee96,p,e,nc,1,f2,0.4766359,1.4,2.417252,0.1958645,1.7996022760633,2.83,1.26
174,jlcee96,p,e,nc,1,f2,0.4808565,1.4,2.391471,0.1949986,1.22840522957601,2.83,1.26
175,jlcee96,p,e,nc,1,f2,0.4851526,1.4,2.36569,0.2033492,1.23647253099594,2.83,1.26
176,jlcee96,p,e,nc,1,f2,0.4895261,1.4,2.339909,0.2130614,1.24794824402731,2.83,1.26
177,jlcee96,p,e,nc,1,f2,0.4939791,1.4,2.314128,0.2269745,1.64516410433771,2.83,1.26
178,jlcee96,p,e,nc,1,f2,0.498514,1.4,2.288347,0.2365812,1.65989774335408,2.83,1.26
179,jlcee96,p,e,nc,1,f2,0.5031329,1.4,2.262565,0.253668,1.68226500780548,2.83,1.26
180,jlcee96,p,e,nc,1,f2,0.5078381,1.4,2.236784,0.2547949,1.6769499703487,2.83,1.26
181,jlcee96,p,e,nc,1,f2,0.5126321,1.4,2.211003,0.2350033,1.69471067002038,2.83,1.26
182,jlcee96,p,e,nc,1,f2,0.5175176,1.4,2.185222,0.2232017,1.71356804182047,2.83,1.26
183,jlcee96,p,e,nc,1,f2,0.5224971,1.4,2.159441,0.1961997,1.73422742236609,2.83,1.26
184,jlcee96,p,e,nc,1,f2,0.5275732,1.4,2.13366,0.1703263,1.74954601843638,2.83,1.26
185,jlcee96,p,e,nc,1,f2,0.5327491,1.4,2.107879,0.1592072,1.79221542744298,2.83,1.26
186,jlcee96,p,e,nc,1,f2,0.5380273,1.4,2.082098,0.1518102,1.79173665537625,2.83,1.26
187,jlcee96,p,e,nc,1,f2,0.5434115,1.4,2.056317,0.1395048,1.83883923707285,2.83,1.26
188,jlcee96,p,e,nc,1,f2,0.5489042,1.4,2.030536,0.1327094,1.84557160231302,2.83,1.26
189,jlcee96,p,e,nc,1,f2,0.5545093,1.4,2.004755,0.1276467,1.87117332449644,2.83,1.26
190,jlcee96,p,e,nc,1,f2,0.56023,1.4,1.978974,0.1237112,1.85294621667238,2.83,1.26
191,jlcee96,p,e,nc,1,f2,0.5660701,1.4,1.953192,0.114132,1.88690113202257,2.83,1.26
192,jlcee96,p,e,nc,1,f2,0.572033,1.4,1.927411,0.1186671,1.9127121165007,2.83,1.26
193,jlcee96,p,e,nc,1,f2,0.5781232,1.4,1.90163,0.1127447,1.9234048252379,2.83,1.26
194,jlcee96,p,e,nc,1,f2,0.584344,1.4,1.875849,0.1089698,1.92700546389917,2.83,1.26
195,jlcee96,p,e,nc,1,f2,0.5907004,1.4,1.850067,0.1050214,1.94685083230656,2.83,1.26
196,jlcee96,p,e,nc,1,f2,0.5971966,1.4,1.824287,0.1068214,1.92829339439476,2.83,1.26
197,jlcee96,p,e,nc,1,f2,0.6038373,1.4,1.798505,0.1087455,1.97176894676102,2.83,1.26
198,jlcee96,p,e,nc,1,f2,0.6106275,1.4,1.772724,0.1058381,1.94576433250408,2.83,1.26
199,jlcee96,p,e,nc,1,f2,0.6175718,1.4,1.746943,0.1039865,1.63296100936179,2.83,1.26
200,jlcee96,p,e,nc,1,f2,0.6246759,1.4,1.721162,0.1039261,1.34367882562706,2.83,1.26
201,jlcee96,p,e,nc,1,f2,0.6319454,1.4,1.695381,0.104062,1.3582835232842,2.83,1.26
202,jlcee96,p,e,nc,1,f2,0.6393863,1.4,1.6696,0.1071894,1.35660522402402,2.83,1.26
203,jlcee96,p,e,nc,1,f2,0.6470043,1.4,1.643819,0.1101274,1.3607721602435,2.83,1.26
204,jlcee96,p,e,nc,1,f2,0.6627983,1.4,1.592257,0.1219147,1.84708160705805,2.83,1.26
205,jlcee96,p,e,nc,1,f2,0.6709881,1.4,1.566475,0.1349628,1.86164335653973,2.83,1.26
206,jlcee96,p,e,nc,1,f2,0.6793828,1.4,1.540694,0.1469823,1.85985115214553,2.83,1.26
207,jlcee96,p,e,nc,1,f2,0.68799,1.4,1.514913,0.1683264,1.84899397836584,2.83,1.26
208,jlcee96,p,e,nc,1,f2,0.6968184,1.4,1.489132,0.1739568,1.90133412433432,2.83,1.26
209,jlcee96,p,e,nc,1,f2,0.7058761,1.4,1.463351,0.1636112,1.92127800541772,2.83,1.26
210,jlcee96,p,e,nc,1,f2,0.7151726,1.4,1.43757,0.1410982,1.94723603844698,2.83,1.26
211,jlcee96,p,e,nc,1,f2,0.724717,1.4,1.411789,0.1142952,1.97683892236944,2.83,1.26
212,jlcee96,p,e,nc,1,f2,0.7345196,1.4,1.386007,0.07989334,2.04725575373366,2.83,1.26
213,jlcee96,p,e,nc,1,f2,0.744591,1.4,1.360227,0.05188641,2.13882980148366,2.83,1.26
214,jlcee96,p,e,nc,1,f2,0.7549427,1.4,1.334445,0.03093031,2.20934449088936,2.83,1.26
215,jlcee96,p,e,nc,1,f2,0.7655861,1.4,1.308664,0.01970148,2.344159423556,2.83,1.26
216,jlcee96,p,e,nc,1,f2,0.7765338,1.4,1.282883,0.01025314,2.50770008017056,2.83,1.26
217,jlcee96,p,e,nc,1,f2,0.7877994,1.4,1.257102,0.004937206,2.67036254918268,2.83,1.26
218,jlcee96,p,e,nc,1,f2,0.7993966,1.4,1.231321,0.00217915,2.93529908450543,2.83,1.26
219,jlcee96,p,e,nc,1,f2,0.8113402,1.4,1.20554,0.000763576,3.28544899263466,2.83,1.26
220,jlcee96,p,e,nc,1,f2,0.8236463,1.4,1.179759,0.0001541019,3.63955927863316,2.83,1.26
221,jlcee96,p,e,nc,1,f2,0.3979682,1.2,2.695316,0.2337861,2.42861359165494,2.83,1.26
222,jlcee96,p,e,nc,1,f2,0.401877,1.2,2.665988,0.2152643,1.38145433311515,2.83,1.26
223,jlcee96,p,e,nc,1,f2,0.4058633,1.2,2.63666,0.2057768,1.40065012187963,2.83,1.26
224,jlcee96,p,e,nc,1,f2,0.4099296,1.2,2.607332,0.2051843,1.41153343603775,2.83,1.26
225,jlcee96,p,e,nc,1,f2,0.4140782,1.2,2.578004,0.1968409,1.41342881484488,2.83,1.26
226,jlcee96,p,e,nc,1,f2,0.4183115,1.2,2.548676,0.1964361,1.42064009619413,2.83,1.26
227,jlcee96,p,e,nc,1,f2,0.4226322,1.2,2.519348,0.200704,1.41680982940051,2.83,1.26
228,jlcee96,p,e,nc,1,f2,0.4270433,1.2,2.490019,0.1941402,1.4323308619235,2.83,1.26
229,jlcee96,p,e,nc,1,f2,0.4315473,1.2,2.460691,0.2017718,1.42321474061291,2.83,1.26
230,jlcee96,p,e,nc,1,f2,0.4361475,1.2,2.431363,0.2064937,1.40858776805297,2.83,1.26
231,jlcee96,p,e,nc,1,f2,0.4456482,1.2,2.372707,0.2207501,0.981265693650875,2.83,1.26
232,jlcee96,p,e,nc,1,f2,0.4505555,1.2,2.343379,0.2275224,0.983784453750488,2.83,1.26
233,jlcee96,p,e,nc,1,f2,0.4555721,1.2,2.314051,0.2463612,0.991995898704828,2.83,1.26
234,jlcee96,p,e,nc,1,f2,0.4607016,1.2,2.284723,0.253433,0.831886928695158,2.83,1.26
235,jlcee96,p,e,nc,1,f2,0.4659479,1.2,2.255395,0.2660862,0.815330144892896,2.83,1.26
236,jlcee96,p,e,nc,1,f2,0.4713152,1.2,2.226067,0.2524558,0.828239636403679,2.83,1.26
237,jlcee96,p,e,nc,1,f2,0.4824294,1.2,2.16741,0.1936858,1.00080852597351,2.83,1.26
238,jlcee96,p,e,nc,1,f2,0.4881854,1.2,2.138083,0.1775034,1.011838646471,2.83,1.26
239,jlcee96,p,e,nc,1,f2,0.4940803,1.2,2.108755,0.1552349,1.02292847806775,2.83,1.26
240,jlcee96,p,e,nc,1,f2,0.5001195,1.2,2.079426,0.1420254,1.04321058064262,2.83,1.26
241,jlcee96,p,e,nc,1,f2,0.5126518,1.2,2.02077,0.1324843,0.869037312345689,2.83,1.26
242,jlcee96,p,e,nc,1,f2,0.5191564,1.2,1.991442,0.1254258,0.883201063895945,2.83,1.26
243,jlcee96,p,e,nc,1,f2,0.5258282,1.2,1.962114,0.1241655,0.891374818286883,2.83,1.26
