,W2,Q2,x,nu,value,*stat_u,obs,target,lepton beam,current,units,exp
36,2.15,2,0.61169,1.7424,0.279869920095794,0.0290595620385456,r,d,e,NC,1,e06009
37,2.19,2,0.60429,1.7637,0.234985496614847,0.0273197199603031,r,d,e,NC,1,e06009
38,2.23,2,0.59708,1.785,0.273016405341362,0.0269357197424177,r,d,e,NC,1,e06009
39,2.27,2,0.59003,1.8063,0.29873142755738,0.0266464102751183,r,d,e,NC,1,e06009
40,2.31,2,0.58315,1.8276,0.23906373629127,0.0203972216982301,r,d,e,NC,1,e06009
41,2.35,2,0.57643,1.849,0.252224164390514,0.0235232274495704,r,d,e,NC,1,e06009
42,2.39,2,0.56986,1.8703,0.2633599971644,0.0233562621937412,r,d,e,NC,1,e06009
43,2.43,2,0.56344,1.8916,0.210879086502717,0.0226534874717955,r,d,e,NC,1,e06009
44,2.47,2,0.55716,1.9129,0.237447285425372,0.0210803658050426,r,d,e,NC,1,e06009
45,2.51,2,0.55102,1.9342,0.258862296249065,0.0399139543077173,r,d,e,NC,1,e06009
46,2.55,2,0.54501,1.9555,0.281505157822308,0.0230012099644481,r,d,e,NC,1,e06009
47,2.59,2,0.53914,1.9768,0.265753199424922,0.0367768002888128,r,d,e,NC,1,e06009
48,2.63,2,0.53338,1.9982,0.313755854579322,0.0653641222792486,r,d,e,NC,1,e06009
49,2.67,2,0.52775,2.0195,0.28449147527675,0.0363016086528439,r,d,e,NC,1,e06009
50,2.71,2,0.52224,2.0408,0.283324158204396,0.0426301289497591,r,d,e,NC,1,e06009
51,2.75,2,0.51684,2.0621,0.312684510855751,0.0836476740583444,r,d,e,NC,1,e06009
52,2.79,2,0.51156,2.0834,0.274957443552225,0.0407131882639286,r,d,e,NC,1,e06009
53,2.83,2,0.50637,2.1047,0.310500434607603,0.0797095286242783,r,d,e,NC,1,e06009
54,2.87,2,0.5013,2.1261,0.262478832736587,0.0397486521418236,r,d,e,NC,1,e06009
55,2.91,2,0.49632,2.1474,0.313912107734843,0.040224131980605,r,d,e,NC,1,e06009
56,2.95,2,0.49144,2.1687,0.333050431305068,0.0324865927001819,r,d,e,NC,1,e06009
57,2.99,2,0.48666,2.19,0.25741334757401,0.0450688167436274,r,d,e,NC,1,e06009
58,3.03,2,0.48197,2.2113,0.278807570085003,0.0341106519510347,r,d,e,NC,1,e06009
59,3.07,2,0.47737,2.2326,0.258847207559897,0.0381160263744575,r,d,e,NC,1,e06009
60,3.11,2,0.47285,2.254,0.269883127054075,0.0381844296019328,r,d,e,NC,1,e06009
61,3.15,2,0.46842,2.2753,0.303645417457796,0.0297752115810967,r,d,e,NC,1,e06009
62,3.19,2,0.46408,2.2966,0.246284879863964,0.0298443852991125,r,d,e,NC,1,e06009
63,3.23,2,0.45981,2.3179,0.290702992099043,0.031228871667317,r,d,e,NC,1,e06009
64,3.27,2,0.45562,2.3392,0.294156023508707,0.0309277614378449,r,d,e,NC,1,e06009
65,3.31,2,0.4515,2.3605,0.285413318972874,0.0306024373363539,r,d,e,NC,1,e06009
66,3.35,2,0.44746,2.3818,0.304489378311228,0.047659778452717,r,d,e,NC,1,e06009
67,3.39,2,0.44349,2.4032,0.330111859602356,0.028582322735364,r,d,e,NC,1,e06009
68,3.43,2,0.43959,2.4245,0.278768633124347,0.0297041603460539,r,d,e,NC,1,e06009
69,3.47,2,0.43576,2.4458,0.338379990048938,0.0273530655151016,r,d,e,NC,1,e06009
70,3.51,2,0.432,2.4671,0.3048630169905,0.0247077060351287,r,d,e,NC,1,e06009
71,3.55,2,0.4283,2.4884,0.335631502257076,0.0254099816292068,r,d,e,NC,1,e06009
72,3.59,2,0.42466,2.5097,0.291495087712494,0.0249109509677183,r,d,e,NC,1,e06009
73,3.63,2,0.42108,2.5311,0.32130174552,0.0238906871684017,r,d,e,NC,1,e06009
74,3.67,2,0.41757,2.5524,0.310946848336391,0.0224421523553965,r,d,e,NC,1,e06009
75,3.71,2,0.41411,2.5737,0.271858684722796,0.0273204736844598,r,d,e,NC,1,e06009
76,3.75,2,0.41071,2.595,0.357096343298642,0.0326665662909843,r,d,e,NC,1,e06009
77,3.79,2,0.40736,2.6163,0.37330299411038,0.0326592024126793,r,d,e,NC,1,e06009
78,3.83,2,0.40407,2.6376,0.278571528814628,0.0400132539520649,r,d,e,NC,1,e06009
79,3.87,2,0.40083,2.659,0.291445851139535,0.0398588639076171,r,d,e,NC,1,e06009
80,3.91,2,0.39764,2.6803,0.261335704923319,0.0700962267049456,r,d,e,NC,1,e06009
81,3.95,2,0.3945,2.7016,0.178249608180988,0.0661413879421751,r,d,e,NC,1,e06009
82,3.99,2,0.39142,2.7229,0.368519368363324,0.0714144296274987,r,d,e,NC,1,e06009
83,4.07,2,0.38538,2.7655,0.180946495982567,0.0711015542205219,r,d,e,NC,1,e06009
84,4.11,2,0.38244,2.7868,0.134784865263467,0.0687518574641291,r,d,e,NC,1,e06009
85,4.19,2,0.37667,2.8295,0.296227986769501,0.0598220879222613,r,d,e,NC,1,e06009
86,4.23,2,0.37386,2.8508,0.296829034545377,0.0497688752186001,r,d,e,NC,1,e06009
87,4.27,2,0.37108,2.8721,0.274699181810885,0.048837206100584,r,d,e,NC,1,e06009
88,0.47,3,1.1585,1.38,0.372500025648447,0.140567983992327,r,d,e,NC,1,e06009
89,0.51,3,1.1408,1.4013,0.335998946824316,0.122418072758898,r,d,e,NC,1,e06009
90,0.55,3,1.1237,1.4226,0.277406723526116,0.125209120910017,r,d,e,NC,1,e06009
91,0.59,3,1.1072,1.444,0.178890061680711,0.0890386859855436,r,d,e,NC,1,e06009
92,0.63,3,1.0911,1.4653,0.138238096997618,0.0675059106162622,r,d,e,NC,1,e06009
93,0.67,3,1.0754,1.4866,0.132301291655589,0.0519916746614375,r,d,e,NC,1,e06009
94,0.71,3,1.0602,1.5079,0.125238027788831,0.043529000099971,r,d,e,NC,1,e06009
95,0.75,3,1.0454,1.5292,0.260658405546688,0.0890550721184127,r,d,e,NC,1,e06009
96,0.79,3,1.0311,1.5505,0.098489638486898,0.0357095938331966,r,d,e,NC,1,e06009
97,0.83,3,1.0171,1.5718,0.0843222388410667,0.0311770702088046,r,d,e,NC,1,e06009
98,0.87,3,1.0035,1.5932,0.115428754923594,0.0423916936808657,r,d,e,NC,1,e06009
99,0.91,3,0.99022,1.6145,0.114151466896716,0.0333015952952651,r,d,e,NC,1,e06009
100,0.95,3,0.97731,1.6358,0.0896513491941433,0.0879473189942405,r,d,e,NC,1,e06009
101,0.99,3,0.96474,1.6571,0.08279629761603,0.0334497939524564,r,d,e,NC,1,e06009
102,1.03,3,0.95249,1.6784,0.100488422307028,0.0344434249875294,r,d,e,NC,1,e06009
103,1.07,3,0.94054,1.6997,0.102042373569374,0.034888872707185,r,d,e,NC,1,e06009
104,1.11,3,0.92889,1.7211,0.132146506620628,0.0375970259426816,r,d,e,NC,1,e06009
105,1.15,3,0.91753,1.7424,0.103566921112472,0.0749554852480899,r,d,e,NC,1,e06009
106,1.19,3,0.90644,1.7637,0.107022084900025,0.0394542398269809,r,d,e,NC,1,e06009
107,1.23,3,0.89562,1.785,0.0686485795281079,0.0394678888837514,r,d,e,NC,1,e06009
108,1.27,3,0.88505,1.8063,0.086247375486205,0.0377601288559012,r,d,e,NC,1,e06009
109,1.31,3,0.87473,1.8276,0.0637500348801785,0.0391553695297168,r,d,e,NC,1,e06009
110,1.35,3,0.86464,1.849,0.224302753822988,0.0806045818931809,r,d,e,NC,1,e06009
111,1.39,3,0.85479,1.8703,0.170991267638162,0.0424830380684927,r,d,e,NC,1,e06009
112,1.43,3,0.84516,1.8916,0.239567201015486,0.0834723872887067,r,d,e,NC,1,e06009
113,1.47,3,0.83574,1.9129,0.271466368515825,0.0794440040452123,r,d,e,NC,1,e06009
114,1.51,3,0.82653,1.9342,0.117191646724111,0.0661468871238591,r,d,e,NC,1,e06009
115,1.55,3,0.81752,1.9555,0.141164548611361,0.0634357080519781,r,d,e,NC,1,e06009
116,1.59,3,0.8087,1.9768,0.172216979466197,0.0615331606951674,r,d,e,NC,1,e06009
117,1.63,3,0.80008,1.9982,0.158534858715948,0.0325889458228335,r,d,e,NC,1,e06009
118,1.67,3,0.79163,2.0195,0.165190795547442,0.0331692509359212,r,d,e,NC,1,e06009
119,1.71,3,0.78336,2.0408,0.226283438726249,0.0665336101230183,r,d,e,NC,1,e06009
120,1.75,3,0.77527,2.0621,0.207774224937082,0.0331701793287882,r,d,e,NC,1,e06009
121,1.79,3,0.76733,2.0834,0.181675794411239,0.0323056546958299,r,d,e,NC,1,e06009
122,1.83,3,0.75956,2.1047,0.231487533265053,0.0333014747669176,r,d,e,NC,1,e06009
123,1.87,3,0.75195,2.1261,0.1896411044089,0.0367032196405987,r,d,e,NC,1,e06009
124,1.91,3,0.74448,2.1474,0.200981712969646,0.0460970339393205,r,d,e,NC,1,e06009
125,1.95,3,0.73717,2.1687,0.308755725591693,0.053606723072506,r,d,e,NC,1,e06009
126,1.99,3,0.72999,2.19,0.278059242515121,0.0359286440585967,r,d,e,NC,1,e06009
127,2.03,3,0.72295,2.2113,0.307049742016468,0.0371401019645359,r,d,e,NC,1,e06009
128,2.07,3,0.71605,2.2326,0.261602369373326,0.048804240948996,r,d,e,NC,1,e06009
129,2.11,3,0.70928,2.254,0.292871519812088,0.0321868365214265,r,d,e,NC,1,e06009
130,2.15,3,0.70263,2.2753,0.25432372456439,0.0308228357766399,r,d,e,NC,1,e06009
131,2.19,3,0.69611,2.2966,0.226262362624284,0.0355917019978982,r,d,e,NC,1,e06009
132,2.23,3,0.68971,2.3179,0.25809321315029,0.02966054552325,r,d,e,NC,1,e06009
133,2.27,3,0.68343,2.3392,0.289907905825999,0.0346579946207042,r,d,e,NC,1,e06009
134,2.31,3,0.67726,2.3605,0.220144187988592,0.0281719813249051,r,d,e,NC,1,e06009
135,2.35,3,0.67119,2.3818,0.246078217312669,0.0315667765240706,r,d,e,NC,1,e06009
136,2.39,3,0.66524,2.4032,0.261958354456812,0.0318095703523145,r,d,e,NC,1,e06009
137,2.43,3,0.65939,2.4245,0.21069723036006,0.0274554361323131,r,d,e,NC,1,e06009
138,2.47,3,0.65365,2.4458,0.248306782924054,0.0275540314138495,r,d,e,NC,1,e06009
139,2.51,3,0.648,2.4671,0.312459554609541,0.0280951079426086,r,d,e,NC,1,e06009
140,2.55,3,0.64245,2.4884,0.320278959017147,0.065376775589325,r,d,e,NC,1,e06009
141,2.59,3,0.63699,2.5097,0.261150085740424,0.0278634759935271,r,d,e,NC,1,e06009
142,2.63,3,0.63163,2.5311,0.229623782146918,0.0198672032867977,r,d,e,NC,1,e06009
143,2.67,3,0.62635,2.5524,0.30247329981638,0.0252927136464068,r,d,e,NC,1,e06009
144,2.71,3,0.62116,2.5737,0.235522045890081,0.027472948087752,r,d,e,NC,1,e06009
145,2.75,3,0.61606,2.595,0.232868297525394,0.0203504219665762,r,d,e,NC,1,e06009
146,2.79,3,0.61104,2.6163,0.250483800016401,0.0251710373023286,r,d,e,NC,1,e06009
147,2.83,3,0.6061,2.6376,0.215855479600203,0.0264607643565228,r,d,e,NC,1,e06009
148,2.91,3,0.59646,2.6803,0.234791178026878,0.0258585579394057,r,d,e,NC,1,e06009
149,2.99,3,0.58713,2.7229,0.259861941979566,0.0225453468116665,r,d,e,NC,1,e06009
150,3.03,3,0.58256,2.7442,0.187314786215587,0.113749041926966,r,d,e,NC,1,e06009
151,3.07,3,0.57807,2.7655,0.215585734199161,0.0308231537017338,r,d,e,NC,1,e06009
152,3.11,3,0.57365,2.7868,0.259627453949606,0.0293490265591071,r,d,e,NC,1,e06009
153,3.15,3,0.5693,2.8082,0.250632090398408,0.0308558027033326,r,d,e,NC,1,e06009
154,3.19,3,0.56501,2.8295,0.286218316577605,0.0297745412313591,r,d,e,NC,1,e06009
155,3.23,3,0.56078,2.8508,0.26258031901906,0.0290939047458956,r,d,e,NC,1,e06009
156,3.27,3,0.55662,2.8721,0.260846135353267,0.030498293574409,r,d,e,NC,1,e06009
157,3.31,3,0.55252,2.8934,0.251398899468659,0.0284702756017998,r,d,e,NC,1,e06009
158,3.35,3,0.54848,2.9147,0.294558182635292,0.0350785576449425,r,d,e,NC,1,e06009
159,3.39,3,0.5445,2.9361,0.260928292830066,0.0314700036841083,r,d,e,NC,1,e06009
160,3.43,3,0.54058,2.9574,0.287525634903148,0.0280764086802673,r,d,e,NC,1,e06009
161,3.47,3,0.53671,2.9787,0.320385058531659,0.0719059900699543,r,d,e,NC,1,e06009
162,3.51,3,0.53289,3.0,0.289095061428632,0.0705153061732108,r,d,e,NC,1,e06009
163,3.55,3,0.52913,3.0213,0.262837638987422,0.105942892558641,r,d,e,NC,1,e06009
164,3.59,3,0.52543,3.0426,0.255573940130999,0.0351583572787551,r,d,e,NC,1,e06009
165,3.63,3,0.52177,3.064,0.277446066459652,0.0794445904287815,r,d,e,NC,1,e06009
166,3.67,3,0.51817,3.0853,0.228156253332039,0.0312354185771358,r,d,e,NC,1,e06009
167,3.71,3,0.51461,3.1066,0.189777428377426,0.0434212815683217,r,d,e,NC,1,e06009
168,3.75,3,0.5111,3.1279,0.28515791601465,0.0426516764821533,r,d,e,NC,1,e06009
169,3.79,3,0.50764,3.1492,0.204672754151954,0.0566096115997129,r,d,e,NC,1,e06009
170,3.83,3,0.50423,3.1705,0.307482049968633,0.0453331494080509,r,d,e,NC,1,e06009
171,3.87,3,0.50086,3.1918,0.277844669685702,0.0494918094775538,r,d,e,NC,1,e06009
172,3.91,3,0.49754,3.2132,0.189503405627744,0.0500641902662345,r,d,e,NC,1,e06009
173,3.95,3,0.49426,3.2345,0.16575683335368,0.0472975607627051,r,d,e,NC,1,e06009
174,3.99,3,0.49103,3.2558,0.208418632417867,0.0633980631267058,r,d,e,NC,1,e06009
175,4.03,3,0.48783,3.2771,0.196009533080274,0.0404357062665229,r,d,e,NC,1,e06009
176,4.07,3,0.48468,3.2984,0.273578081047558,0.064607280108763,r,d,e,NC,1,e06009
177,4.11,3,0.48157,3.3197,0.22548341277549,0.0499121837840289,r,d,e,NC,1,e06009
178,4.15,3,0.4785,3.3411,0.272334647031329,0.0535635567531575,r,d,e,NC,1,e06009
179,4.19,3,0.47546,3.3624,0.219941377386005,0.0486832531796932,r,d,e,NC,1,e06009
180,4.31,3,0.46659,3.4263,0.261606880155465,0.0683106469758036,r,d,e,NC,1,e06009
181,4.35,3,0.4637,3.4476,0.263367803466578,0.0680447247344569,r,d,e,NC,1,e06009
182,4.39,3,0.46085,3.469,0.27754406509236,0.0675561275088617,r,d,e,NC,1,e06009
183,4.43,3,0.45804,3.4903,0.255531021431411,0.066715644847784,r,d,e,NC,1,e06009
184,0.43,4,1.1269,1.8916,-0.133081710346565,-0.352552683294818,r,d,e,NC,1,e06009
185,0.47,4,1.1143,1.9129,-0.358705786105406,-0.206793584798748,r,d,e,NC,1,e06009
186,0.51,4,1.102,1.9342,-0.120604347399918,-0.164246174647995,r,d,e,NC,1,e06009
187,0.59,4,1.0783,1.9768,-0.0364794101141426,-0.119546129574711,r,d,e,NC,1,e06009
188,0.63,4,1.0668,1.9982,-0.0450792200488759,-0.0952237027870007,r,d,e,NC,1,e06009
189,0.67,4,1.0555,2.0195,0.118015344862486,0.0883885697464657,r,d,e,NC,1,e06009
190,0.71,4,1.0445,2.0408,0.073100322466263,0.0665529382422081,r,d,e,NC,1,e06009
191,0.79,4,1.0231,2.0834,0.0161629144509283,0.0613107605933724,r,d,e,NC,1,e06009
192,0.83,4,1.0127,2.1047,0.00810825510666936,0.0524677387598808,r,d,e,NC,1,e06009
193,0.87,4,1.0026,2.1261,0.0412703826440249,0.0635126035918507,r,d,e,NC,1,e06009
194,0.91,4,0.99264,2.1474,0.0732116176445352,0.0517425503469804,r,d,e,NC,1,e06009
195,0.99,4,0.97332,2.19,0.0919053761309212,0.0533103290968195,r,d,e,NC,1,e06009
196,1.03,4,0.96394,2.2113,0.0855942024354782,0.0504449951451251,r,d,e,NC,1,e06009
197,1.07,4,0.95473,2.2326,0.104676112971259,0.0535907843665687,r,d,e,NC,1,e06009
198,1.11,4,0.94571,2.254,0.157904123087132,0.0574696408987278,r,d,e,NC,1,e06009
199,1.19,4,0.92815,2.2966,0.1731740764012,0.0626596655304704,r,d,e,NC,1,e06009
200,1.23,4,0.91962,2.3179,0.122475050522579,0.0443439161040087,r,d,e,NC,1,e06009
201,1.27,4,0.91124,2.3392,0.203710229352239,0.0457959444089225,r,d,e,NC,1,e06009
202,1.31,4,0.90301,2.3605,0.221166460877834,0.0658498363355796,r,d,e,NC,1,e06009
203,1.35,4,0.89493,2.3818,0.247816027117411,0.0666251028776934,r,d,e,NC,1,e06009
204,1.39,4,0.88699,2.4032,0.244706648437645,0.0644565116363136,r,d,e,NC,1,e06009
205,1.43,4,0.87919,2.4245,0.118684286490201,0.0428612605108939,r,d,e,NC,1,e06009
206,1.47,4,0.87153,2.4458,0.161379047126529,0.0428649191083182,r,d,e,NC,1,e06009
207,1.51,4,0.864,2.4671,0.246341233268519,0.0557229314257265,r,d,e,NC,1,e06009
208,1.55,4,0.8566,2.4884,0.1430346161074,0.049690169261354,r,d,e,NC,1,e06009
209,1.59,4,0.84932,2.5097,0.204481655443197,0.0386890097517593,r,d,e,NC,1,e06009
210,1.67,4,0.83514,2.5524,0.342181584200164,0.0716112271524331,r,d,e,NC,1,e06009
211,1.71,4,0.82822,2.5737,0.157624658706152,0.0305660390474444,r,d,e,NC,1,e06009
212,1.75,4,0.82142,2.595,0.407822588918361,0.0803186601018356,r,d,e,NC,1,e06009
213,1.79,4,0.81472,2.6163,0.304559787773664,0.0734310461840115,r,d,e,NC,1,e06009
214,1.83,4,0.80814,2.6376,0.210520337903441,0.0619519206170067,r,d,e,NC,1,e06009
215,1.87,4,0.80166,2.659,0.186297998336353,0.0475635325633761,r,d,e,NC,1,e06009
216,1.91,4,0.79528,2.6803,0.226258282623272,0.0474127834007548,r,d,e,NC,1,e06009
217,1.95,4,0.78901,2.7016,0.204737483871478,0.043307630216652,r,d,e,NC,1,e06009
218,1.99,4,0.78283,2.7229,0.256112420492884,0.0567787762574984,r,d,e,NC,1,e06009
219,2.03,4,0.77675,2.7442,0.505310588992597,0.153646136939877,r,d,e,NC,1,e06009
220,2.07,4,0.77077,2.7655,0.261368848570991,0.0397007525872933,r,d,e,NC,1,e06009
221,2.11,4,0.76487,2.7868,0.231693842348919,0.105768417767994,r,d,e,NC,1,e06009
222,2.15,4,0.75906,2.8082,0.31366350310366,0.106935232651722,r,d,e,NC,1,e06009
223,2.19,4,0.75335,2.8295,0.259941765420654,0.037859279524051,r,d,e,NC,1,e06009
224,2.27,4,0.74216,2.8721,0.263699076524937,0.0357408009813408,r,d,e,NC,1,e06009
225,2.31,4,0.7367,2.8934,0.270337417630146,0.0913004594184087,r,d,e,NC,1,e06009
226,2.35,4,0.73131,2.9147,0.167054556597848,0.0370219773402232,r,d,e,NC,1,e06009
227,2.39,4,0.726,2.9361,0.227386840225756,0.0508961820387176,r,d,e,NC,1,e06009
228,2.43,4,0.72077,2.9574,0.214484805855598,0.0719833026565702,r,d,e,NC,1,e06009
229,2.47,4,0.71561,2.9787,0.2150957678004,0.0711802904227857,r,d,e,NC,1,e06009
230,2.51,4,0.71052,3.0,0.295118274940884,0.0712715424260569,r,d,e,NC,1,e06009
231,2.55,4,0.70551,3.0213,0.210102781045959,0.0619665220939951,r,d,e,NC,1,e06009
232,2.59,4,0.70057,3.0426,0.280488058943422,0.0657543090006981,r,d,e,NC,1,e06009
233,2.63,4,0.6957,3.064,0.253085660289449,0.0634788875856052,r,d,e,NC,1,e06009
234,2.67,4,0.69089,3.0853,0.269665116838556,0.0626894285210567,r,d,e,NC,1,e06009
235,2.71,4,0.68615,3.1066,0.19134410630014,0.0588244020403062,r,d,e,NC,1,e06009
236,2.75,4,0.68147,3.1279,0.266483952551607,0.0588391960366806,r,d,e,NC,1,e06009
237,2.79,4,0.67686,3.1492,0.21740422223085,0.0571714233546268,r,d,e,NC,1,e06009
238,2.83,4,0.67231,3.1705,0.317416752041699,0.0589069739106857,r,d,e,NC,1,e06009
239,2.87,4,0.66782,3.1918,0.344402028831004,0.0851103915578112,r,d,e,NC,1,e06009
240,2.91,4,0.66339,3.2132,0.284764958223823,0.0763395295669758,r,d,e,NC,1,e06009
241,2.95,4,0.65902,3.2345,0.197941042993269,0.0646878494110626,r,d,e,NC,1,e06009
242,2.99,4,0.6547,3.2558,0.259598811793106,0.0732287995111635,r,d,e,NC,1,e06009
243,3.03,4,0.65044,3.2771,0.352118503229182,0.0737779819162872,r,d,e,NC,1,e06009
244,3.07,4,0.64624,3.2984,0.171470593899855,0.0678385558953291,r,d,e,NC,1,e06009
245,3.15,4,0.63799,3.3411,0.203821049822872,0.044050745210121,r,d,e,NC,1,e06009
246,3.19,4,0.63395,3.3624,0.196050435984007,0.0574841786147308,r,d,e,NC,1,e06009
247,3.23,4,0.62996,3.3837,0.232640521124173,0.0579059739871953,r,d,e,NC,1,e06009
248,3.27,4,0.62601,3.405,0.187292134633472,0.055638451247189,r,d,e,NC,1,e06009
249,3.31,4,0.62212,3.4263,0.371115032758907,0.0595914289571579,r,d,e,NC,1,e06009
250,3.35,4,0.61827,3.4476,0.334085062655034,0.064617784996122,r,d,e,NC,1,e06009
251,3.39,4,0.61447,3.469,0.328175518701675,0.0578504574324048,r,d,e,NC,1,e06009
252,3.43,4,0.61072,3.4903,0.210887477628329,0.0710673388212184,r,d,e,NC,1,e06009
253,3.47,4,0.60701,3.5116,0.225124624549516,0.0589625921701426,r,d,e,NC,1,e06009
254,3.51,4,0.60335,3.5329,0.243424757734609,0.0705218162637023,r,d,e,NC,1,e06009
255,3.55,4,0.59973,3.5542,0.282485879562834,0.0713271507547725,r,d,e,NC,1,e06009
256,3.59,4,0.59616,3.5755,0.270456450738365,0.0559057520762319,r,d,e,NC,1,e06009
257,3.63,4,0.59262,3.5968,0.329738884690174,0.0561816597515893,r,d,e,NC,1,e06009
