,Elab,x,Q2,y,obs,target,lepton beam,current,units,value,stat_u,sys_u,*norm_c
139,8.614,0.346,3.163,0.5648,sig_r,p,e,NC,1,0.25586,0.0038379,0.0015352,0.00537306
140,8.614,0.298,2.899,0.6012,sig_r,p,e,NC,1,0.2855,0.003997,0.0014275,0.0059955
141,8.614,0.267,2.712,0.6275,sig_r,p,e,NC,1,0.29035,0.0052264,0.0011614,0.00609735
142,8.614,0.236,2.499,0.6564,sig_r,p,e,NC,1,0.31056,0.0046584,0.0012422,0.00652176
143,8.614,0.209,2.308,0.6825,sig_r,p,e,NC,1,0.31365,0.0047048,0.0012546,0.00658665
144,8.614,0.189,2.149,0.7046,sig_r,p,e,NC,1,0.31513,0.0050421,0.0015757,0.00661773
145,8.614,0.167,1.966,0.7299,sig_r,p,e,NC,1,0.30298,0.0072715,0.0015149,0.00636258
146,8.614,0.15,1.823,0.7496,sig_r,p,e,NC,1,0.31032,0.0071374,0.0018619,0.00651672
147,8.614,0.136,1.69,0.7678,sig_r,p,e,NC,1,0.29733,0.0068385,0.001784,0.00624393
148,8.614,0.095,1.268,0.8257,sig_r,p,e,NC,1,0.27374,0.010676,0.0021899,0.00574854
149,10.392,0.742,6.115,0.4228,sig_r,p,e,NC,1,0.036929,0.0016249,0.00073859,0.000775509
150,10.392,0.673,5.862,0.4467,sig_r,p,e,NC,1,0.057669,0.0024221,0.00092271,0.001211049
151,10.392,0.61,5.605,0.4709,sig_r,p,e,NC,1,0.087167,0.0032252,0.0012203,0.001830507
152,10.392,0.555,5.352,0.4948,sig_r,p,e,NC,1,0.12044,0.0038541,0.0014453,0.00252924
153,10.392,0.46,4.857,0.5413,sig_r,p,e,NC,1,0.17945,0.0019739,0.0017945,0.00376845
154,10.392,0.405,4.522,0.5727,sig_r,p,e,NC,1,0.2167,0.0030338,0.0017336,0.0045507
155,10.392,0.343,4.098,0.6126,sig_r,p,e,NC,1,0.25541,0.0040866,0.0015325,0.00536361
