,spec(HMS=0),exp,obs,target,Lepton beam,current,Units,Elab,ep,angle,x,Q2,w2,value,%*ptp_u,ptp_total_frac,stat,gerr,%*norm_c,density,    cer   ,kin,%csb_c,csb,    %acc_c   ,acc,rad,%*live_c,live,%*pion_c,pion
35,0,e1210002,F2,d/p,e,NC,1,10.602,5.85428,21.035,0.92499,8.24105,1.54861,0.98758,2.101,0.02101,0.02061,0.01375,1.13,0.0113,0.001,0.00195,0.002,2e-05,0.3,0.003,0.00613,0.061,0.00061,0.14,0.0014
36,0,e1210002,F2,d/p,e,NC,1,10.602,5.82389,21.035,0.91434,8.19828,1.64841,0.97115,1.893,0.01893,0.0185,0.01371,1.13,0.0113,0.001,0.00195,0.002,2e-05,0.3,0.003,0.00571,0.061,0.00061,0.14,0.0014
37,0,e1210002,F2,d/p,e,NC,1,10.602,5.7935,21.035,0.90382,8.1555,1.74821,0.91556,1.734,0.01734,0.01686,0.01418,1.13,0.0113,0.001,0.00195,0.002,2e-05,0.3,0.003,0.00543,0.061,0.00061,0.14,0.0014
38,0,e1210002,F2,d/p,e,NC,1,10.602,5.76311,21.035,0.89343,8.11272,1.84802,0.88183,1.622,0.01622,0.01567,0.01483,1.13,0.0113,0.001,0.00195,0.002,2e-05,0.3,0.003,0.00526,0.061,0.00061,0.14,0.0014
39,0,e1210002,F2,d/p,e,NC,1,10.602,5.73272,21.035,0.88318,8.06994,1.94783,0.85889,1.521,0.01521,0.01462,0.01596,1.13,0.0113,0.001,0.00195,0.002,2e-05,0.3,0.003,0.00516,0.061,0.00061,0.14,0.0014
40,0,e1210002,F2,d/p,e,NC,1,10.602,5.70233,21.035,0.87304,8.02716,2.04764,0.82917,1.425,0.01425,0.01359,0.01586,1.13,0.0113,0.001,0.00195,0.002,2e-05,0.3,0.003,0.00511,0.061,0.00061,0.14,0.0014
41,0,e1210002,F2,d/p,e,NC,1,10.602,5.67194,21.035,0.86304,7.98438,2.14745,0.69771,1.295,0.01295,0.01224,0.01498,1.13,0.0113,0.001,0.00195,0.002,2e-05,0.3,0.003,0.00507,0.061,0.00061,0.14,0.0014
42,0,e1210002,F2,d/p,e,NC,1,10.602,5.64155,21.035,0.85316,7.9416,2.24726,0.6007,1.218,0.01218,0.01141,0.0131,1.13,0.0113,0.001,0.00195,0.002,2e-05,0.3,0.003,0.00504,0.061,0.00061,0.14,0.0014
43,0,e1210002,F2,d/p,e,NC,1,10.602,5.61116,21.035,0.84339,7.89881,2.34708,0.69012,1.19,0.0119,0.01114,0.01314,1.13,0.0113,0.001,0.00195,0.002,2e-05,0.3,0.003,0.00503,0.061,0.00061,0.14,0.0014
44,0,e1210002,F2,d/p,e,NC,1,10.602,5.58077,21.035,0.83375,7.85603,2.4469,0.81345,1.216,0.01216,0.01137,0.01311,1.13,0.0113,0.001,0.00195,0.002,2e-05,0.3,0.003,0.00503,0.061,0.00061,0.14,0.0014
45,0,e1210002,F2,d/p,e,NC,1,10.602,5.55037,21.035,0.82422,7.81325,2.54672,0.86834,1.23,0.0123,0.01148,0.01362,1.13,0.0113,0.001,0.00195,0.002,2e-05,0.3,0.003,0.00502,0.061,0.00061,0.14,0.0014
46,0,e1210002,F2,d/p,e,NC,1,10.602,5.51998,21.035,0.8148,7.77046,2.64654,0.82577,1.199,0.01199,0.01115,0.01458,1.13,0.0113,0.001,0.00195,0.002,2e-05,0.3,0.003,0.00502,0.061,0.00061,0.14,0.0014
47,0,e1210002,F2,d/p,e,NC,1,10.602,5.48958,21.035,0.8055,7.72767,2.74636,0.72884,1.151,0.01151,0.01062,0.0145,1.13,0.0113,0.001,0.00195,0.002,2e-05,0.3,0.003,0.00501,0.061,0.00061,0.14,0.0014
48,1,e1210002,F2,d/p,e,NC,1,10.602,3.19967,21.035,0.32548,4.52115,10.25,0.83085,1.505,0.01505,0.01385,0.01663,1.13,0.0113,0.001,0.00085,0.011,0.00011,0.015,0.00015,0.00502,1.011,0.01011,0.14,0.0014
49,1,e1210002,F2,d/p,e,NC,1,10.602,3.10847,21.035,0.31235,4.39229,10.55,0.83411,1.249,0.01249,0.01112,0.01677,1.13,0.0113,0.001,0.00085,0.015,0.00015,0.014,0.00014,0.00503,1.011,0.01011,0.14,0.0014
50,1,e1210002,F2,d/p,e,NC,1,10.602,3.01728,21.035,0.29954,4.26343,10.85,0.83911,1.167,0.01167,0.01019,0.01683,1.13,0.0113,0.001,0.00085,0.019,0.00019,0.014,0.00014,0.00503,1.011,0.01011,0.14,0.0014
51,1,e1210002,F2,d/p,e,NC,1,10.602,2.92608,21.035,0.28704,4.13457,11.15,0.86182,1.111,0.01111,0.00959,0.01645,1.13,0.0113,0.001,0.00085,0.026,0.00026,0.013,0.00013,0.00504,1.011,0.01011,0.14,0.0014
52,1,e1210002,F2,d/p,e,NC,1,10.602,2.83488,21.035,0.27483,4.0057,11.45,0.86882,1.064,0.01064,0.00906,0.01631,1.13,0.0113,0.001,0.00085,0.034,0.00034,0.013,0.00013,0.00506,1.011,0.01011,0.14,0.0014
53,1,e1210002,F2,d/p,e,NC,1,10.602,2.74368,21.035,0.2629,3.87684,11.75,0.87363,1.024,0.01024,0.00858,0.01623,1.13,0.0113,0.001,0.00085,0.046,0.00046,0.012,0.00012,0.00507,1.011,0.01011,0.14,0.0014
54,1,e1210002,F2,d/p,e,NC,1,10.602,2.65248,21.035,0.25124,3.74798,12.05,0.86999,0.991,0.00991,0.00816,0.01624,1.13,0.0113,0.001,0.00085,0.061,0.00061,0.012,0.00012,0.00509,1.011,0.01011,0.14,0.0014
55,1,e1210002,F2,d/p,e,NC,1,10.602,2.56129,21.035,0.23985,3.61911,12.35,0.87499,0.955,0.00955,0.00776,0.01634,1.13,0.0113,0.001,0.00085,0.081,0.00081,0.012,0.00012,0.00512,1.011,0.01011,0.14,0.0014
56,1,e1210002,F2,d/p,e,NC,1,10.602,2.47009,21.035,0.22872,3.49025,12.65,0.87178,0.951,0.00951,0.00782,0.01645,1.13,0.0113,0.001,0.00085,0.108,0.00108,0.011,0.00011,0.00516,1.011,0.01011,0.14,0.0014
57,1,e1210002,F2,d/p,e,NC,1,10.602,3.92925,21.035,0.44339,5.55206,7.85,0.78686,1.296,0.01296,0.012,0.01334,1.13,0.0113,0.001,0.00106,0.001,1e-05,0.021,0.00021,0.005,0.386,0.00386,0.14,0.0014
58,1,e1210002,F2,d/p,e,NC,1,10.602,3.83806,21.035,0.42726,5.4232,8.15,0.78722,1.092,0.01092,0.00979,0.01351,1.13,0.0113,0.001,0.00106,0.002,2e-05,0.02,0.0002,0.00501,0.386,0.00386,0.14,0.0014
59,1,e1210002,F2,d/p,e,NC,1,10.602,3.74686,21.035,0.41156,5.29433,8.45,0.80601,0.977,0.00977,0.00856,0.01348,1.13,0.0113,0.001,0.00106,0.002,2e-05,0.019,0.00019,0.00501,0.386,0.00386,0.14,0.0014
60,1,e1210002,F2,d/p,e,NC,1,10.602,3.65566,21.035,0.39627,5.16547,8.75,0.79612,0.927,0.00927,0.00801,0.0135,1.13,0.0113,0.001,0.00106,0.003,3e-05,0.018,0.00018,0.00501,0.386,0.00386,0.14,0.0014
61,1,e1210002,F2,d/p,e,NC,1,10.602,3.56446,21.035,0.38138,5.03661,9.05,0.8183,0.896,0.00896,0.00763,0.01332,1.13,0.0113,0.001,0.00106,0.004,4e-05,0.017,0.00017,0.00501,0.386,0.00386,0.14,0.0014
62,1,e1210002,F2,d/p,e,NC,1,10.602,3.47326,21.035,0.36687,4.90774,9.35,0.8301,0.863,0.00863,0.00725,0.0132,1.13,0.0113,0.001,0.00106,0.005,5e-05,0.017,0.00017,0.00501,0.386,0.00386,0.14,0.0014
63,1,e1210002,F2,d/p,e,NC,1,10.602,3.38207,21.035,0.35272,4.77888,9.65,0.8226,0.831,0.00831,0.00686,0.01315,1.13,0.0113,0.001,0.00106,0.006,6e-05,0.016,0.00016,0.00501,0.386,0.00386,0.14,0.0014
64,1,e1210002,F2,d/p,e,NC,1,10.602,3.29087,21.035,0.33893,4.65002,9.95,0.83161,0.804,0.00804,0.00653,0.0132,1.13,0.0113,0.001,0.00106,0.008,8e-05,0.015,0.00015,0.00502,0.386,0.00386,0.14,0.0014
65,1,e1210002,F2,d/p,e,NC,1,10.602,3.19967,21.035,0.32548,4.52115,10.25,0.84119,0.781,0.00781,0.00625,0.01377,1.13,0.0113,0.001,0.00106,0.011,0.00011,0.015,0.00015,0.00502,0.386,0.00386,0.14,0.0014
66,1,e1210002,F2,d/p,e,NC,1,10.602,3.10847,21.035,0.31235,4.39229,10.55,0.85026,0.761,0.00761,0.00603,0.01394,1.13,0.0113,0.001,0.00106,0.015,0.00015,0.014,0.00014,0.00503,0.386,0.00386,0.14,0.0014
67,1,e1210002,F2,d/p,e,NC,1,10.602,3.01728,21.035,0.29954,4.26343,10.85,0.86644,0.758,0.00758,0.00609,0.01402,1.13,0.0113,0.001,0.00106,0.019,0.00019,0.014,0.00014,0.00503,0.386,0.00386,0.14,0.0014
68,1,e1210002,F2,d/p,e,NC,1,10.602,4.76523,21.035,0.61475,6.73331,5.1,0.75829,1.579,0.01579,0.01503,0.01301,1.13,0.0113,0.001,0.00068,0.0,0.0,0.038,0.00038,0.005,0.287,0.00287,0.14,0.0014
69,1,e1210002,F2,d/p,e,NC,1,10.602,4.70444,21.035,0.60065,6.6474,5.3,0.74333,1.389,0.01389,0.01302,0.01294,1.13,0.0113,0.001,0.00068,0.0,0.0,0.036,0.00036,0.005,0.287,0.00287,0.14,0.0014
70,1,e1210002,F2,d/p,e,NC,1,10.602,4.64364,21.035,0.58684,6.56149,5.5,0.74604,1.238,0.01238,0.01142,0.01292,1.13,0.0113,0.001,0.00068,0.0,0.0,0.034,0.00034,0.005,0.287,0.00287,0.14,0.0014
71,1,e1210002,F2,d/p,e,NC,1,10.602,4.58284,21.035,0.5733,6.47558,5.7,0.7469,1.126,0.01126,0.01023,0.01292,1.13,0.0113,0.001,0.00068,0.0,0.0,0.032,0.00032,0.005,0.287,0.00287,0.14,0.0014
72,1,e1210002,F2,d/p,e,NC,1,10.602,4.52204,21.035,0.56004,6.38967,5.9,0.74795,1.063,0.01063,0.00955,0.013,1.13,0.0113,0.001,0.00068,0.0,0.0,0.031,0.00031,0.005,0.287,0.00287,0.14,0.0014
73,1,e1210002,F2,d/p,e,NC,1,10.602,4.46124,21.035,0.54704,6.30376,6.1,0.75513,1.02,0.0102,0.00908,0.01296,1.13,0.0113,0.001,0.00068,0.0,0.0,0.029,0.00029,0.005,0.287,0.00287,0.14,0.0014
74,1,e1210002,F2,d/p,e,NC,1,10.602,4.40044,21.035,0.53429,6.21785,6.3,0.75906,0.984,0.00984,0.00867,0.01291,1.13,0.0113,0.001,0.00068,0.0,0.0,0.028,0.00028,0.005,0.287,0.00287,0.14,0.0014
75,1,e1210002,F2,d/p,e,NC,1,10.602,4.33964,21.035,0.5218,6.13194,6.5,0.76616,0.95,0.0095,0.00829,0.01288,1.13,0.0113,0.001,0.00068,0.0,0.0,0.027,0.00027,0.005,0.287,0.00287,0.14,0.0014
