,exp,Elab,EP,Theta,target,current,lepton beam,units,obs,x,Q2,W2,Epsilon,Sigma(nb/Ser*Gev),%*stat_u,%*syst,*y,*value
44,jlcee96,2.445,1.175,20.0,d,e,nc,1,sig_r,0.145,0.346,2.916,0.74,440.0,1.51,3.1,0.519427403,0.223
45,jlcee96,2.445,1.185,20.0,d,e,nc,1,sig_r,0.148,0.349,2.894,0.744,456.0,1.52,3.1,0.515337423,0.23
46,jlcee96,2.445,1.195,20.0,d,e,nc,1,sig_r,0.15,0.352,2.873,0.747,456.0,1.51,3.1,0.511247444,0.229
47,jlcee96,2.445,1.205,20.0,d,e,nc,1,sig_r,0.153,0.355,2.851,0.751,452.0,1.51,3.1,0.507157464,0.227
48,jlcee96,2.445,1.215,20.0,d,e,nc,1,sig_r,0.155,0.358,2.829,0.755,476.0,1.52,3.1,0.503067485,0.238
49,jlcee96,2.445,1.225,20.0,d,e,nc,1,sig_r,0.158,0.361,2.808,0.758,474.0,1.53,3.1,0.498977505,0.236
50,jlcee96,2.445,1.235,20.0,d,e,nc,1,sig_r,0.16,0.364,2.786,0.762,478.0,1.52,3.1,0.494887526,0.238
51,jlcee96,2.445,1.245,20.0,d,e,nc,1,sig_r,0.163,0.367,2.764,0.766,457.0,1.52,3.1,0.490797546,0.227
52,jlcee96,2.445,1.255,20.0,d,e,nc,1,sig_r,0.166,0.37,2.742,0.769,470.0,1.53,3.1,0.486707566,0.232
53,jlcee96,2.445,1.265,20.0,d,e,nc,1,sig_r,0.168,0.373,2.721,0.773,472.0,1.55,3.1,0.482617587,0.233
54,jlcee96,2.445,1.285,20.0,d,e,nc,1,sig_r,0.174,0.379,2.677,0.779,481.0,1.14,3.1,0.474437628,0.235
55,jlcee96,2.445,1.295,20.0,d,e,nc,1,sig_r,0.177,0.382,2.656,0.783,490.0,1.36,3.1,0.470347648,0.238
56,jlcee96,2.445,1.305,20.0,d,e,nc,1,sig_r,0.18,0.385,2.634,0.786,475.0,1.7,3.1,0.466257669,0.23
57,jlcee96,2.445,1.315,20.0,d,e,nc,1,sig_r,0.183,0.388,2.612,0.789,452.0,1.73,3.1,0.462167689,0.218
58,jlcee96,2.445,1.325,20.0,d,e,nc,1,sig_r,0.186,0.391,2.591,0.792,460.0,1.71,3.1,0.45807771,0.221
59,jlcee96,2.445,1.335,20.0,d,e,nc,1,sig_r,0.189,0.394,2.569,0.796,452.0,1.71,3.1,0.45398773,0.216
60,jlcee96,2.445,1.345,20.0,d,e,nc,1,sig_r,0.192,0.397,2.547,0.799,464.0,1.71,3.1,0.449897751,0.22
61,jlcee96,2.445,1.355,20.0,d,e,nc,1,sig_r,0.195,0.399,2.525,0.802,461.0,1.69,3.1,0.445807771,0.217
62,jlcee96,2.445,1.365,20.0,d,e,nc,1,sig_r,0.199,0.402,2.504,0.805,457.0,1.72,3.1,0.441717791,0.214
63,jlcee96,2.445,1.375,20.0,d,e,nc,1,sig_r,0.202,0.405,2.482,0.808,490.0,1.69,3.1,0.437627812,0.228
64,jlcee96,2.445,1.385,20.0,d,e,nc,1,sig_r,0.205,0.408,2.46,0.811,474.0,1.7,3.1,0.433537832,0.22
65,jlcee96,2.445,1.395,20.0,d,e,nc,1,sig_r,0.209,0.411,2.439,0.814,489.0,1.68,3.1,0.429447853,0.225
66,jlcee96,2.445,1.405,20.0,d,e,nc,1,sig_r,0.212,0.414,2.417,0.817,512.0,1.69,3.1,0.425357873,0.234
67,jlcee96,2.445,1.415,20.0,d,e,nc,1,sig_r,0.216,0.417,2.395,0.819,532.0,1.77,3.1,0.421267894,0.242
68,jlcee96,2.445,1.425,20.0,d,e,nc,1,sig_r,0.219,0.42,2.373,0.822,531.0,1.21,3.1,0.417177914,0.24
69,jlcee96,2.445,1.435,20.0,d,e,nc,1,sig_r,0.223,0.423,2.352,0.825,536.0,1.22,3.1,0.413087935,0.241
70,jlcee96,2.445,1.445,20.0,d,e,nc,1,sig_r,0.227,0.426,2.33,0.828,548.0,1.21,3.1,0.408997955,0.245
71,jlcee96,2.445,1.455,20.0,d,e,nc,1,sig_r,0.231,0.429,2.308,0.83,551.0,1.23,3.1,0.404907975,0.244
72,jlcee96,2.445,1.465,20.0,d,e,nc,1,sig_r,0.235,0.432,2.287,0.833,549.0,1.24,3.1,0.400817996,0.242
73,jlcee96,2.445,1.475,20.0,d,e,nc,1,sig_r,0.239,0.435,2.265,0.836,554.0,1.24,3.1,0.396728016,0.243
74,jlcee96,2.445,1.485,20.0,d,e,nc,1,sig_r,0.243,0.438,2.243,0.838,556.0,1.23,3.1,0.392638037,0.242
75,jlcee96,2.445,1.495,20.0,d,e,nc,1,sig_r,0.247,0.441,2.221,0.841,559.0,1.25,3.1,0.388548057,0.242
76,jlcee96,2.445,1.515,20.0,d,e,nc,1,sig_r,0.256,0.447,2.178,0.846,503.0,1.81,3.1,0.380368098,0.214
77,jlcee96,2.445,1.525,20.0,d,e,nc,1,sig_r,0.26,0.45,2.156,0.848,524.0,1.79,3.1,0.376278119,0.221
78,jlcee96,2.445,1.535,20.0,d,e,nc,1,sig_r,0.265,0.453,2.135,0.85,490.0,1.8,3.1,0.372188139,0.205
79,jlcee96,2.445,1.545,20.0,d,e,nc,1,sig_r,0.27,0.456,2.113,0.853,483.0,1.79,3.1,0.36809816,0.2
80,jlcee96,2.445,1.555,20.0,d,e,nc,1,sig_r,0.274,0.458,2.091,0.855,472.0,1.82,3.1,0.36400818,0.194
81,jlcee96,2.445,1.565,20.0,d,e,nc,1,sig_r,0.279,0.461,2.07,0.857,464.0,1.83,3.1,0.3599182,0.189
82,jlcee96,2.445,1.575,20.0,d,e,nc,1,sig_r,0.284,0.464,2.048,0.859,467.0,1.37,3.1,0.355828221,0.188
83,jlcee96,2.445,1.585,20.0,d,e,nc,1,sig_r,0.289,0.467,2.026,0.862,440.0,1.26,3.1,0.351738241,0.176
84,jlcee96,2.445,1.595,20.0,d,e,nc,1,sig_r,0.295,0.47,2.004,0.864,436.0,1.26,3.1,0.347648262,0.172
85,jlcee96,2.445,1.605,20.0,d,e,nc,1,sig_r,0.3,0.473,1.983,0.866,413.0,1.28,3.1,0.343558282,0.162
86,jlcee96,2.445,1.615,20.0,d,e,nc,1,sig_r,0.306,0.476,1.961,0.868,423.0,1.28,3.1,0.339468303,0.164
87,jlcee96,2.445,1.625,20.0,d,e,nc,1,sig_r,0.311,0.479,1.939,0.87,417.0,1.29,3.1,0.335378323,0.161
88,jlcee96,2.445,1.635,20.0,d,e,nc,1,sig_r,0.317,0.482,1.918,0.872,414.0,1.29,3.1,0.331288344,0.158
89,jlcee96,2.445,1.645,20.0,d,e,nc,1,sig_r,0.323,0.485,1.896,0.874,423.0,1.29,3.1,0.327198364,0.16
90,jlcee96,2.445,1.655,20.0,d,e,nc,1,sig_r,0.329,0.488,1.874,0.876,426.0,1.3,3.1,0.323108384,0.159
91,jlcee96,2.445,1.675,20.0,d,e,nc,1,sig_r,0.342,0.494,1.831,0.88,438.0,1.71,3.1,0.314928425,0.16
92,jlcee96,2.445,1.685,20.0,d,e,nc,1,sig_r,0.348,0.497,1.809,0.881,450.0,1.71,3.1,0.310838446,0.163
93,jlcee96,2.445,1.695,20.0,d,e,nc,1,sig_r,0.355,0.5,1.787,0.883,474.0,1.69,3.1,0.306748466,0.17
94,jlcee96,2.445,1.705,20.0,d,e,nc,1,sig_r,0.362,0.503,1.766,0.885,481.0,1.68,3.1,0.302658487,0.17
95,jlcee96,2.445,1.715,20.0,d,e,nc,1,sig_r,0.369,0.506,1.744,0.887,494.0,1.66,3.1,0.298568507,0.173
96,jlcee96,2.445,1.725,20.0,d,e,nc,1,sig_r,0.376,0.508,1.722,0.888,536.0,1.63,3.1,0.294478528,0.185
97,jlcee96,2.445,1.735,20.0,d,e,nc,1,sig_r,0.384,0.511,1.7,0.89,557.0,1.63,3.1,0.290388548,0.19
98,jlcee96,2.445,1.755,20.0,d,e,nc,1,sig_r,0.4,0.517,1.657,0.893,628.0,1.22,3.1,0.282208589,0.209
99,jlcee96,2.445,1.765,20.0,d,e,nc,1,sig_r,0.408,0.52,1.635,0.895,651.0,1.22,3.1,0.278118609,0.214
100,jlcee96,2.445,1.775,20.0,d,e,nc,1,sig_r,0.416,0.523,1.614,0.896,678.0,1.22,3.1,0.27402863,0.22
101,jlcee96,2.445,1.785,20.0,d,e,nc,1,sig_r,0.425,0.526,1.592,0.898,724.0,1.2,3.1,0.26993865,0.231
102,jlcee96,2.445,1.795,20.0,d,e,nc,1,sig_r,0.434,0.529,1.57,0.899,754.0,1.21,3.1,0.265848671,0.238
103,jlcee96,2.445,1.805,20.0,d,e,nc,1,sig_r,0.443,0.532,1.549,0.901,804.0,1.2,3.1,0.261758691,0.25
104,jlcee96,2.445,1.815,20.0,d,e,nc,1,sig_r,0.453,0.535,1.527,0.902,834.0,1.21,3.1,0.257668712,0.256
105,jlcee96,2.445,1.825,20.0,d,e,nc,1,sig_r,0.462,0.538,1.505,0.904,833.0,1.2,3.1,0.253578732,0.252
106,jlcee96,2.445,1.835,20.0,d,e,nc,1,sig_r,0.473,0.541,1.483,0.905,856.0,1.22,3.1,0.249488753,0.255
107,jlcee96,2.445,1.845,20.0,d,e,nc,1,sig_r,0.483,0.544,1.462,0.906,873.0,1.35,3.1,0.245398773,0.256
108,jlcee96,2.445,1.855,20.0,d,e,nc,1,sig_r,0.494,0.547,1.44,0.908,781.0,1.87,3.1,0.241308793,0.226
109,jlcee96,2.445,1.865,20.0,d,e,nc,1,sig_r,0.505,0.55,1.418,0.909,731.0,1.94,3.1,0.237218814,0.208
110,jlcee96,2.445,1.875,20.0,d,e,nc,1,sig_r,0.517,0.553,1.397,0.91,725.0,5.06,3.1,0.233128834,0.203
111,jlcee96,2.445,1.885,20.0,d,e,nc,1,sig_r,0.529,0.556,1.375,0.911,629.0,5.07,3.1,0.229038855,0.174
112,jlcee96,2.445,1.895,20.0,d,e,nc,1,sig_r,0.541,0.559,1.353,0.913,570.0,5.09,3.1,0.224948875,0.155
113,jlcee96,2.445,1.905,20.0,d,e,nc,1,sig_r,0.554,0.562,1.331,0.914,507.0,5.11,3.1,0.220858896,0.135
114,jlcee96,2.445,1.915,20.0,d,e,nc,1,sig_r,0.568,0.565,1.31,0.915,432.0,5.14,3.1,0.216768916,0.113
115,jlcee96,2.445,1.925,20.0,d,e,nc,1,sig_r,0.582,0.568,1.288,0.916,339.0,5.19,3.1,0.212678937,0.0873
116,jlcee96,2.445,1.935,20.0,d,e,nc,1,sig_r,0.596,0.57,1.266,0.917,259.0,5.24,3.1,0.208588957,0.0652
117,jlcee96,2.445,1.945,20.0,d,e,nc,1,sig_r,0.611,0.573,1.245,0.918,191.0,5.02,3.1,0.204498978,0.0472
118,jlcee96,2.445,1.955,20.0,d,e,nc,1,sig_r,0.627,0.576,1.223,0.919,119.0,5.06,3.1,0.200408998,0.0289
119,jlcee96,2.445,1.965,20.0,d,e,nc,1,sig_r,0.643,0.579,1.201,0.92,68.7,5.14,3.1,0.196319018,0.0164
120,jlcee96,2.445,1.975,20.0,d,e,nc,1,sig_r,0.66,0.582,1.18,0.921,34.4,5.29,3.1,0.192229039,0.00802
121,jlcee96,2.445,0.585,30.0,d,e,nc,1,sig_r,0.11,0.383,3.986,0.41,105.0,2.01,3.1,0.760736196,0.221
122,jlcee96,2.445,0.595,30.0,d,e,nc,1,sig_r,0.112,0.39,3.961,0.416,102.0,1.99,3.1,0.756646217,0.219
123,jlcee96,2.445,0.605,30.0,d,e,nc,1,sig_r,0.115,0.396,3.936,0.422,104.0,1.94,3.1,0.752556237,0.224
124,jlcee96,2.445,0.615,30.0,d,e,nc,1,sig_r,0.117,0.403,3.91,0.428,102.0,1.93,3.1,0.748466258,0.222
125,jlcee96,2.445,0.625,30.0,d,e,nc,1,sig_r,0.12,0.409,3.885,0.434,103.0,1.93,3.1,0.744376278,0.225
126,jlcee96,2.445,0.635,30.0,d,e,nc,1,sig_r,0.122,0.416,3.86,0.44,101.0,1.92,3.1,0.740286299,0.223
127,jlcee96,2.445,0.645,30.0,d,e,nc,1,sig_r,0.125,0.422,3.834,0.445,103.0,1.92,3.1,0.736196319,0.229
128,jlcee96,2.445,0.655,30.0,d,e,nc,1,sig_r,0.128,0.429,3.809,0.451,97.8,1.97,3.1,0.732106339,0.219
129,jlcee96,2.445,0.665,30.0,d,e,nc,1,sig_r,0.13,0.436,3.784,0.457,101.0,1.97,3.1,0.72801636,0.227
130,jlcee96,2.445,0.675,30.0,d,e,nc,1,sig_r,0.133,0.442,3.758,0.463,102.0,1.97,3.1,0.72392638,0.23
131,jlcee96,2.445,0.685,30.0,d,e,nc,1,sig_r,0.136,0.449,3.733,0.468,102.0,2.0,3.1,0.719836401,0.232
132,jlcee96,2.445,0.695,30.0,d,e,nc,1,sig_r,0.139,0.455,3.708,0.474,102.0,2.01,3.1,0.715746421,0.234
133,jlcee96,2.445,0.705,30.0,d,e,nc,1,sig_r,0.141,0.462,3.683,0.48,102.0,2.03,3.1,0.711656442,0.236
134,jlcee96,2.445,0.715,30.0,d,e,nc,1,sig_r,0.144,0.468,3.657,0.485,104.0,1.73,3.1,0.707566462,0.241
135,jlcee96,2.445,0.725,30.0,d,e,nc,1,sig_r,0.147,0.475,3.632,0.491,102.0,1.44,3.1,0.703476483,0.239
136,jlcee96,2.445,0.735,30.0,d,e,nc,1,sig_r,0.15,0.481,3.607,0.496,100.0,1.44,3.1,0.699386503,0.235
137,jlcee96,2.445,0.745,30.0,d,e,nc,1,sig_r,0.153,0.488,3.581,0.501,96.7,1.46,3.1,0.695296524,0.228
138,jlcee96,2.445,0.755,30.0,d,e,nc,1,sig_r,0.156,0.494,3.556,0.507,98.7,1.45,3.1,0.691206544,0.234
139,jlcee96,2.445,0.765,30.0,d,e,nc,1,sig_r,0.159,0.501,3.531,0.512,99.5,1.45,3.1,0.687116564,0.237
140,jlcee96,2.445,0.785,30.0,d,e,nc,1,sig_r,0.165,0.514,3.48,0.523,95.3,1.97,3.1,0.678936605,0.229
141,jlcee96,2.445,0.795,30.0,d,e,nc,1,sig_r,0.168,0.521,3.455,0.528,97.5,1.97,3.1,0.674846626,0.235
142,jlcee96,2.445,0.805,30.0,d,e,nc,1,sig_r,0.171,0.527,3.429,0.533,98.3,1.97,3.1,0.670756646,0.238
143,jlcee96,2.445,0.815,30.0,d,e,nc,1,sig_r,0.174,0.534,3.404,0.538,96.3,2.01,3.1,0.666666667,0.234
144,jlcee96,2.445,0.825,30.0,d,e,nc,1,sig_r,0.178,0.54,3.379,0.543,101.0,1.99,3.1,0.662576687,0.245
145,jlcee96,2.445,0.835,30.0,d,e,nc,1,sig_r,0.181,0.547,3.354,0.548,94.2,2.07,3.1,0.658486708,0.23
146,jlcee96,2.445,0.845,30.0,d,e,nc,1,sig_r,0.184,0.553,3.328,0.553,95.3,2.08,3.1,0.654396728,0.233
147,jlcee96,2.445,0.855,30.0,d,e,nc,1,sig_r,0.188,0.56,3.303,0.558,93.8,2.09,3.1,0.650306748,0.23
148,jlcee96,2.445,0.865,30.0,d,e,nc,1,sig_r,0.191,0.567,3.278,0.563,99.2,2.08,3.1,0.646216769,0.245
149,jlcee96,2.445,0.875,30.0,d,e,nc,1,sig_r,0.194,0.573,3.252,0.568,101.0,2.07,3.1,0.642126789,0.25
150,jlcee96,2.445,0.885,30.0,d,e,nc,1,sig_r,0.198,0.58,3.227,0.573,103.0,1.6,3.1,0.63803681,0.254
151,jlcee96,2.445,0.895,30.0,d,e,nc,1,sig_r,0.201,0.586,3.202,0.577,101.0,1.45,3.1,0.63394683,0.249
152,jlcee96,2.445,0.905,30.0,d,e,nc,1,sig_r,0.205,0.593,3.176,0.582,99.7,1.46,3.1,0.629856851,0.248
153,jlcee96,2.445,0.915,30.0,d,e,nc,1,sig_r,0.209,0.599,3.151,0.587,102.0,1.44,3.1,0.625766871,0.252
154,jlcee96,2.445,0.925,30.0,d,e,nc,1,sig_r,0.212,0.606,3.126,0.591,100.0,1.44,3.1,0.621676892,0.25
155,jlcee96,2.445,0.935,30.0,d,e,nc,1,sig_r,0.216,0.612,3.1,0.596,98.3,1.45,3.1,0.617586912,0.245
156,jlcee96,2.445,0.945,30.0,d,e,nc,1,sig_r,0.22,0.619,3.075,0.6,102.0,1.44,3.1,0.613496933,0.254
157,jlcee96,2.445,0.965,30.0,d,e,nc,1,sig_r,0.228,0.632,3.025,0.609,96.6,1.92,3.1,0.605316973,0.241
158,jlcee96,2.445,0.975,30.0,d,e,nc,1,sig_r,0.231,0.638,2.999,0.614,102.0,1.89,3.1,0.601226994,0.254
159,jlcee96,2.445,0.985,30.0,d,e,nc,1,sig_r,0.235,0.645,2.974,0.618,105.0,1.9,3.1,0.597137014,0.262
160,jlcee96,2.445,0.995,30.0,d,e,nc,1,sig_r,0.239,0.652,2.949,0.622,100.0,1.94,3.1,0.593047035,0.251
161,jlcee96,2.445,1.005,30.0,d,e,nc,1,sig_r,0.244,0.658,2.923,0.627,103.0,1.93,3.1,0.588957055,0.258
162,jlcee96,2.445,1.015,30.0,d,e,nc,1,sig_r,0.248,0.665,2.898,0.631,103.0,1.95,3.1,0.584867076,0.257
163,jlcee96,2.445,1.025,30.0,d,e,nc,1,sig_r,0.252,0.671,2.873,0.635,104.0,1.96,3.1,0.580777096,0.26
164,jlcee96,2.445,1.035,30.0,d,e,nc,1,sig_r,0.256,0.678,2.847,0.639,102.0,1.51,3.1,0.576687117,0.255
165,jlcee96,2.445,1.045,30.0,d,e,nc,1,sig_r,0.261,0.684,2.822,0.643,103.0,1.49,3.1,0.572597137,0.256
166,jlcee96,2.445,1.055,30.0,d,e,nc,1,sig_r,0.265,0.691,2.797,0.647,102.0,1.49,3.1,0.568507157,0.253
167,jlcee96,2.445,1.065,30.0,d,e,nc,1,sig_r,0.269,0.698,2.771,0.651,102.0,1.48,3.1,0.564417178,0.255
168,jlcee96,2.445,1.075,30.0,d,e,nc,1,sig_r,0.274,0.704,2.746,0.655,101.0,1.47,3.1,0.560327198,0.251
169,jlcee96,2.445,1.085,30.0,d,e,nc,1,sig_r,0.278,0.711,2.721,0.659,101.0,1.48,3.1,0.556237219,0.25
170,jlcee96,2.445,1.095,30.0,d,e,nc,1,sig_r,0.283,0.717,2.695,0.663,95.7,1.48,3.1,0.552147239,0.237
171,jlcee96,2.445,1.105,30.0,d,e,nc,1,sig_r,0.288,0.724,2.67,0.667,100.0,1.48,3.1,0.54805726,0.248
172,jlcee96,2.445,1.115,30.0,d,e,nc,1,sig_r,0.293,0.73,2.645,0.67,98.1,1.48,3.1,0.54396728,0.242
173,jlcee96,2.445,1.125,30.0,d,e,nc,1,sig_r,0.297,0.737,2.62,0.674,92.2,1.5,3.1,0.539877301,0.227
174,jlcee96,2.445,1.135,30.0,d,e,nc,1,sig_r,0.302,0.743,2.594,0.678,94.1,1.5,3.1,0.535787321,0.231
175,jlcee96,2.445,1.145,30.0,d,e,nc,1,sig_r,0.307,0.75,2.569,0.682,92.0,1.52,3.1,0.531697342,0.226
176,jlcee96,2.445,1.155,30.0,d,e,nc,1,sig_r,0.312,0.756,2.544,0.685,90.1,1.53,3.1,0.527607362,0.22
177,jlcee96,2.445,1.165,30.0,d,e,nc,1,sig_r,0.318,0.763,2.518,0.689,92.6,1.54,3.1,0.523517382,0.226
178,jlcee96,2.445,1.175,30.0,d,e,nc,1,sig_r,0.323,0.769,2.493,0.692,94.8,1.72,3.1,0.519427403,0.231
179,jlcee96,2.445,1.185,30.0,d,e,nc,1,sig_r,0.328,0.776,2.468,0.696,94.8,2.15,3.1,0.515337423,0.23
180,jlcee96,2.445,1.195,30.0,d,e,nc,1,sig_r,0.334,0.783,2.442,0.699,91.3,1.81,3.1,0.511247444,0.221
181,jlcee96,2.445,1.205,30.0,d,e,nc,1,sig_r,0.339,0.789,2.417,0.703,94.9,1.59,3.1,0.507157464,0.229
182,jlcee96,2.445,1.215,30.0,d,e,nc,1,sig_r,0.345,0.796,2.392,0.706,95.7,1.58,3.1,0.503067485,0.23
183,jlcee96,2.445,1.225,30.0,d,e,nc,1,sig_r,0.35,0.802,2.366,0.709,95.4,1.59,3.1,0.498977505,0.229
184,jlcee96,2.445,1.235,30.0,d,e,nc,1,sig_r,0.356,0.809,2.341,0.712,94.2,1.59,3.1,0.494887526,0.225
185,jlcee96,2.445,1.245,30.0,d,e,nc,1,sig_r,0.362,0.815,2.316,0.716,95.2,1.59,3.1,0.490797546,0.226
186,jlcee96,2.445,1.255,30.0,d,e,nc,1,sig_r,0.368,0.822,2.291,0.719,97.4,1.58,3.1,0.486707566,0.231
187,jlcee96,2.445,1.265,30.0,d,e,nc,1,sig_r,0.374,0.828,2.265,0.722,94.5,1.59,3.1,0.482617587,0.223
188,jlcee96,2.445,1.275,30.0,d,e,nc,1,sig_r,0.38,0.835,2.24,0.725,92.3,1.59,3.1,0.478527607,0.217
189,jlcee96,2.445,1.285,30.0,d,e,nc,1,sig_r,0.387,0.842,2.215,0.728,92.1,1.59,3.1,0.474437628,0.216
190,jlcee96,2.445,1.295,30.0,d,e,nc,1,sig_r,0.393,0.848,2.189,0.731,86.9,1.63,3.1,0.470347648,0.202
191,jlcee96,2.445,1.305,30.0,d,e,nc,1,sig_r,0.399,0.855,2.164,0.734,86.0,1.61,3.1,0.466257669,0.2
