,I,J,x,Q2,obs,target,curent,lepton beam,units,value,*%dST_u,*%dSR_u,*%1dN1_c,*%2dN1_c,*%3dN1_c,*%4dN1_c,*%5dN1_c,*%6dN1_c,*%7dN1_c,*%8dN1_c,*%1dN2_c,*%2dN2_c,*%3dN2_c,*%4dN2_c,*%5dN2_c,*%6dN2_c,*%7dN2_c,*%8dN2_c,%*norm_c
95,96,1,0.208,4.003,sig,d/p,e,nc,1,0.905,3.2,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
96,97,1,0.178,3.649,sig,d/p,e,nc,1,0.902,3.3,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
97,98,1,0.15,3.265,sig,d/p,e,nc,1,0.9255,3.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
98,99,1,0.122,2.851,sig,d/p,e,nc,1,0.941,3.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
99,100,1,0.099,2.438,sig,d/p,e,nc,1,0.856,3.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
100,101,1,0.077,2.009,sig,d/p,e,nc,1,0.8965,4.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
101,102,1,0.769,8.082,sig,d/p,e,nc,1,0.719,5.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
102,103,1,0.714,7.906,sig,d/p,e,nc,1,0.7565,4.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
103,104,1,0.645,7.656,sig,d/p,e,nc,1,0.726,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
104,105,1,0.571,7.348,sig,d/p,e,nc,1,0.729,2.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
105,106,1,0.508,7.037,sig,d/p,e,nc,1,0.743,2.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
106,107,1,0.447,6.691,sig,d/p,e,nc,1,0.7705,2.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
107,108,1,0.393,6.328,sig,d/p,e,nc,1,0.793,2.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
108,109,1,0.341,5.931,sig,d/p,e,nc,1,0.814,2.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
109,110,1,0.293,5.498,sig,d/p,e,nc,1,0.8315,2.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
110,111,1,0.248,5.032,sig,d/p,e,nc,1,0.8565,2.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
111,112,1,0.215,4.634,sig,d/p,e,nc,1,0.919,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
112,113,1,0.185,4.219,sig,d/p,e,nc,1,0.961,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
113,114,1,0.157,3.804,sig,d/p,e,nc,1,0.8955,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
114,115,1,0.131,3.355,sig,d/p,e,nc,1,0.995,3.2,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
115,116,1,0.107,2.888,sig,d/p,e,nc,1,0.923,2.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
116,117,1,0.083,2.386,sig,d/p,e,nc,1,0.9505,3.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
117,118,2,0.338,1.173,sig,d/p,e,nc,1,0.8645,0.7,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
118,119,2,0.292,1.102,sig,d/p,e,nc,1,0.861,0.6,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
119,120,2,0.26,1.043,sig,d/p,e,nc,1,0.8645,0.8,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
120,121,2,0.235,0.994,sig,d/p,e,nc,1,0.8915,1.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
121,122,2,0.188,0.884,sig,d/p,e,nc,1,0.889,1.6,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
122,123,2,0.15,0.773,sig,d/p,e,nc,1,0.919,1.6,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
123,124,2,0.118,0.663,sig,d/p,e,nc,1,0.906,1.7,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
124,125,2,0.523,2.517,sig,d/p,e,nc,1,0.804,1.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
125,126,2,0.486,2.444,sig,d/p,e,nc,1,0.7845,1.9,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
126,127,2,0.41,2.269,sig,d/p,e,nc,1,0.806,1.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
127,128,2,0.355,2.121,sig,d/p,e,nc,1,0.8205,1.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
128,129,2,0.299,1.945,sig,d/p,e,nc,1,0.851,1.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
129,130,2,0.246,1.744,sig,d/p,e,nc,1,0.8705,1.7,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
130,131,2,0.203,1.55,sig,d/p,e,nc,1,0.89,1.6,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
131,132,2,0.179,1.433,sig,d/p,e,nc,1,0.919,1.6,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
132,133,2,0.157,1.309,sig,d/p,e,nc,1,0.8855,1.6,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
133,134,2,0.102,0.958,sig,d/p,e,nc,1,0.9525,2.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
134,135,2,0.742,6.115,sig,d/p,e,nc,1,0.797,4.9,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
135,136,2,0.673,5.862,sig,d/p,e,nc,1,0.764,4.9,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
136,137,2,0.61,5.605,sig,d/p,e,nc,1,0.7445,4.4,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
137,138,2,0.555,5.352,sig,d/p,e,nc,1,0.739,3.7,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
138,139,2,0.471,4.919,sig,d/p,e,nc,1,0.764,1.6,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
139,140,2,0.403,4.507,sig,d/p,e,nc,1,0.7905,1.4,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
140,141,2,0.344,4.102,sig,d/p,e,nc,1,0.7995,1.6,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
141,142,2,0.3,3.771,sig,d/p,e,nc,1,0.838,1.3,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
142,143,2,0.267,3.486,sig,d/p,e,nc,1,0.8495,1.7,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
143,144,2,0.241,3.254,sig,d/p,e,nc,1,0.823,2.5,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
144,145,2,0.211,2.961,sig,d/p,e,nc,1,0.8565,1.6,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
145,146,2,0.19,2.74,sig,d/p,e,nc,1,0.881,2.2,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
146,147,2,0.172,2.546,sig,d/p,e,nc,1,0.892,2.7,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
