,exp,Elab,E',x,W2,Q2,sig (mb/sr/GeV),theta,%*syst_u,%*norm_c,*y,obs,target,lepton beam,current,units,*epsilon,value,%*stat_u,R1990
12,e03103,5.011,3.2129,0.825,1.4709,2.7838,0.004226,24,1.3,2.5,0.358830572739972,f2,d,nc,e,1,0.840133559931001,0.03082,0.604964308890331,0.1736
13,e03103,5.011,3.2471,0.85,1.3769,2.8135,0.003455,24,1.3,2.5,0.352005587707044,f2,d,nc,e,1,0.843444352221861,0.0248,0.662096774193549,0.1722
14,e03103,5.011,3.2801,0.875,1.2864,2.8421,0.002756,24,1.3,2.5,0.345420075833167,f2,d,nc,e,1,0.849458751720568,0.019475,0.72400513478819,0.1708
15,e03103,5.011,3.3425,0.925,1.1152,2.8961,0.002512,24,1.3,2.5,0.332967471562562,f2,d,nc,e,1,0.852201522794427,0.01721,0.752760023242301,0.1683
16,e03103,5.011,3.3721,0.95,1.0341,2.9217,0.003035,24,1.3,2.5,0.32706046697266,f2,d,nc,e,1,0.854777599142509,0.020485,0.73126678057115,0.1672
17,e03103,5.011,3.4006,0.975,0.9559,2.9464,0.003776,24,1.3,2.5,0.321372979445221,f2,d,nc,e,1,0.857203949233519,0.02511,0.704101951413779,0.1661
18,e03103,5.011,3.4281,1.0,0.8804,2.9703,0.004159,24,1.3,2.5,0.315885052883656,f2,d,nc,e,1,0.859501390658148,0.027245,0.710222059093412,0.1651
19,e03103,5.011,3.4548,1.025,0.8073,2.9934,0.003541,24,1.3,2.5,0.310556775094791,f2,d,nc,e,1,0.863705750840949,0.022855,0.808357033471888,0.1641
20,e03103,5.011,3.5054,1.075,0.6685,3.0372,0.00176,24,1.3,2.5,0.300458990221513,f2,d,nc,e,1,0.865640724973741,0.011035,1.01178069777979,0.1622
21,e03103,5.011,3.5295,1.1,0.6023,3.0581,0.00111,24,1.3,2.5,0.295649570943923,f2,d,nc,e,1,0.867470092232661,0.00686,1.39795918367347,0.1614
22,e03103,5.011,3.5528,1.125,0.5383,3.0783,0.0007592,24,1.3,2.5,0.290999800439034,f2,d,nc,e,1,0.869212535140442,0.0046275,1.96218260399784,0.1605
23,e03103,5.011,3.5755,1.15,0.4763,3.0979,0.0005203,24,1.3,2.5,0.28646976651367,f2,d,nc,e,1,0.670988193934122,0.0031275,2.84572342126299,0.1597
24,e03103,5.011,2.2598,0.55,3.2036,2.8395,0.005888,29,1.3,2.5,0.549032129315506,f2,d,nc,e,1,0.681201885560266,0.1161,0.693367786391042,0.1758
25,e03103,5.011,2.315,0.575,3.0305,2.909,0.005518,29,1.3,2.5,0.538016363999202,f2,d,nc,e,1,0.690723179184307,0.10795,0.434414080592867,0.1722
26,e03103,5.011,2.3681,0.6,2.8641,2.9757,0.004942,29,1.3,2.5,0.527419676711235,f2,d,nc,e,1,0.699610946589496,0.0959,0.58237747653806,0.1689
27,e03103,5.011,2.4192,0.625,2.7042,3.0398,0.004276,29,1.3,2.5,0.517222111355019,f2,d,nc,e,1,0.707908370512037,0.08225,0.42224924012158,0.1658
28,e03103,5.011,2.4683,0.65,2.5504,3.1015,0.003757,29,1.3,2.5,0.507423667930553,f2,d,nc,e,1,0.715661570894358,0.0716,0.451466480446927,0.163
29,e03103,5.011,2.5155,0.675,2.4023,3.1609,0.003351,29,1.3,2.5,0.498004390341249,f2,d,nc,e,1,0.722938937004556,0.06325,0.482292490118577,0.1605
30,e03103,5.011,2.5611,0.7,2.2596,3.2182,0.002941,29,1.3,2.5,0.488904410297346,f2,d,nc,e,1,0.729750334488694,0.05495,0.732029117379436,0.1581
31,e03103,5.011,2.605,0.725,2.122,3.2733,0.002496,29,1.3,2.5,0.48014368389543,f2,d,nc,e,1,0.736155087167193,0.04619,0.578155444901494,0.1558
32,e03103,5.011,2.6474,0.75,1.9892,3.3266,0.002086,29,1.3,2.5,0.471682298942327,f2,d,nc,e,1,0.74216941630753,0.03821,0.547500654278984,0.1537
33,e03103,5.011,2.6883,0.775,1.8611,3.378,0.001759,29,1.3,2.5,0.463520255438036,f2,d,nc,e,1,0.747825900305782,0.031885,0.674141445820919,0.1518
34,e03103,5.011,2.7278,0.8,1.7373,3.4276,0.001573,29,1.3,2.5,0.455637597285971,f2,d,nc,e,1,0.753158053942926,0.0282,0.775886524822695,0.15
35,e03103,5.011,2.766,0.825,1.6176,3.4756,0.001324,29,1.3,2.5,0.448014368389543,f2,d,nc,e,1,0.75818105591978,0.023485,0.809665744091974,0.1482
36,e03103,5.011,2.8029,0.85,1.5019,3.522,0.001136,29,1.3,2.5,0.440650568748753,f2,d,nc,e,1,0.762931234223841,0.01993,0.874310085298545,0.1466
37,e03103,5.011,2.8387,0.875,1.3899,3.5669,0.0009056,29,1.3,2.5,0.433506286170425,f2,d,nc,e,1,0.76741449661791,0.015715,0.969774101177219,0.1451
38,e03103,5.011,2.8733,0.9,1.2815,3.6104,0.0007147,29,1.3,2.5,0.426601476751148,f2,d,nc,e,1,0.771652007947186,0.012265,1.06359559722788,0.1436
39,e03103,5.011,2.9068,0.925,1.1765,3.6525,0.0006766,29,1.3,2.5,0.419916184394333,f2,d,nc,e,1,0.7756572960824,0.011485,1.09142359599478,0.1422
40,e03103,5.011,2.9392,0.95,1.0747,3.6933,0.000704,29,1.3,2.5,0.41345040909998,f2,d,nc,e,1,0.779460725054381,0.011815,1.08548455353364,0.1409
41,e03103,5.011,2.9707,0.975,0.9761,3.7329,0.0008374,29,1.3,2.5,0.407164238674915,f2,d,nc,e,1,0.783070855554958,0.0139,1.04604316546763,0.1397
42,e03103,5.011,3.0013,1.0,0.8804,3.7713,0.0008892,29,1.3,2.5,0.401057673119138,f2,d,nc,e,1,0.786489506092545,0.014595,1.07468311065433,0.1385
43,e03103,5.011,3.0309,1.025,0.7875,3.8086,0.0007374,29,1.3,2.5,0.395150668529236,f2,d,nc,e,1,0.78973942801716,0.01197,1.22681704260652,0.1374
44,e03103,5.011,3.0597,1.05,0.6973,3.8447,0.0004929,29,1.3,2.5,0.389403312712034,f2,d,nc,e,1,0.792833895177945,0.007915,1.57991156032849,0.1363
45,e03103,5.011,3.0877,1.075,0.6097,3.8799,0.0003334,29,1.3,2.5,0.383815605667531,f2,d,nc,e,1,0.795774978683315,0.005295,2.1067044381492,0.1352
46,e03103,5.011,3.1149,1.1,0.5245,3.914,0.000201,29,1.3,2.5,0.378387547395729,f2,d,nc,e,1,0.798572761596104,0.0031565,3.06035165531443,0.1343
47,e03103,5.011,3.1413,1.125,0.4418,3.9472,0.0001274,29,1.3,2.5,0.373119137896627,f2,d,nc,e,1,0.508171912680086,0.0019785,4.42254233004802,0.1333
48,e03103,5.011,1.6484,0.5,4.0354,3.1551,0.003102,36,1.3,2.5,0.671043703851527,f2,d,nc,e,1,0.520790141842467,0.13915,0.632770391663672,0.1655
49,e03103,5.011,1.7028,0.525,3.8292,3.2592,0.002782,36,1.3,2.5,0.660187587307923,f2,d,nc,e,1,0.532721995979119,0.12535,0.562824092540885,0.1607
50,e03103,5.011,1.7555,0.55,3.6295,3.36,0.002428,36,1.3,2.5,0.649670724406306,f2,d,nc,e,1,0.544006126021429,0.10975,0.463325740318907,0.1564
51,e03103,5.011,1.8065,0.575,3.436,3.4577,0.002138,36,1.3,2.5,0.639493115146677,f2,d,nc,e,1,0.554696534316082,0.09685,0.605059370160041,0.1524
52,e03103,5.011,1.856,0.6,3.2486,3.5524,0.001899,36,1.3,2.5,0.629614847335861,f2,d,nc,e,1,0.564805953040096,0.0861,0.534610917537747,0.1488
53,e03103,5.011,1.9039,0.625,3.0668,3.6441,0.001679,36,1.3,2.5,0.620055877070445,f2,d,nc,e,1,0.574399671993568,0.07615,0.772816808929744,0.1455
54,e03103,5.011,1.9504,0.65,2.8905,3.7332,0.001509,36,1.3,2.5,0.610776292157254,f2,d,nc,e,1,0.583504735884031,0.0684,0.663450292397661,0.1425
55,e03103,5.011,1.9956,0.675,2.7194,3.8196,0.001322,36,1.3,2.5,0.601756136499701,f2,d,nc,e,1,0.592138424998401,0.05985,0.587385129490393,0.1396
56,e03103,5.011,2.0394,0.7,2.5533,3.9035,0.001103,36,1.3,2.5,0.593015366194372,f2,d,nc,e,1,0.600341585280958,0.04985,0.58505516549649,0.137
57,e03103,5.011,2.082,0.725,2.3919,3.9849,0.0009379,36,1.3,2.5,0.584514069048094,f2,d,nc,e,1,0.608132339665821,0.04227,0.884669978708304,0.1346
58,e03103,5.011,2.1233,0.75,2.2351,4.0641,0.0007943,36,1.3,2.5,0.576272201157454,f2,d,nc,e,1,0.615559318255534,0.035695,0.671802773497689,0.1323
59,e03103,5.011,2.1636,0.775,2.0826,4.1411,0.0006531,36,1.3,2.5,0.568229894232688,f2,d,nc,e,1,0.622618645689171,0.029245,0.753291160882202,0.1302
60,e03103,5.011,2.2027,0.8,1.9343,4.216,0.0005343,36,1.3,2.5,0.560427060466973,f2,d,nc,e,1,0.629335090401349,0.023835,0.858821061464233,0.1282
61,e03103,5.011,2.2407,0.825,1.7901,4.2888,0.0004187,36,1.3,2.5,0.55284374376372,f2,d,nc,e,1,0.635749979038019,0.018595,1.42995428878731,0.1263
62,e03103,5.011,2.2778,0.85,1.6497,4.3597,0.0003507,36,1.3,2.5,0.545440031929755,f2,d,nc,e,1,0.641853483077127,0.015505,0.868429538858433,0.1245
63,e03103,5.011,2.3138,0.875,1.513,4.4287,0.0002876,36,1.3,2.5,0.538255837158252,f2,d,nc,e,1,0.647681291232345,0.012655,1.0462267878309,0.1229
64,e03103,5.011,2.3489,0.9,1.3799,4.4959,0.0002329,36,1.3,2.5,0.531251247256037,f2,d,nc,e,1,0.653257011257983,0.010195,1.1961745953899,0.1213
65,e03103,5.011,2.3832,0.925,1.2502,4.5614,0.0001837,36,1.3,2.5,0.524406306126522,f2,d,nc,e,1,0.658572204712367,0.008,0.94125,0.1198
66,e03103,5.011,2.4165,0.95,1.1238,4.6253,0.0001749,36,1.3,2.5,0.517760925962882,f2,d,nc,e,1,0.663653668890514,0.00757,1.38507265521797,0.1184
67,e03103,5.011,2.449,0.975,1.0005,4.6875,0.0001811,36,1.3,2.5,0.511275194571942,f2,d,nc,e,1,0.668515364401894,0.007795,1.39063502245029,0.117
68,e03103,5.011,2.4807,1.0,0.8804,4.7482,0.0001849,36,1.3,2.5,0.504949111953702,f2,d,nc,e,1,0.67317496280863,0.00791,1.44058154235145,0.1157
69,e03103,5.011,2.5117,1.025,0.7631,4.8074,0.0001464,36,1.3,2.5,0.498762722011575,f2,d,nc,e,1,0.677622421444056,0.00622,1.61897106109325,0.1145
70,e03103,5.011,2.5418,1.05,0.6487,4.8652,9.818e-05,36,1.3,2.5,0.492755936938735,f2,d,nc,e,1,0.681894221933995,0.004147,1.95080781287678,0.1133
71,e03103,5.011,2.5713,1.075,0.537,4.9216,5.612e-05,36,1.3,2.5,0.48686888844542,f2,d,nc,e,1,0.685986826219535,0.002355,2.5583864118896,0.1122
72,e03103,5.011,2.6001,1.1,0.4279,4.9766,3.639e-05,36,1.3,2.5,0.481121532628218,f2,d,nc,e,1,0.689910934218106,0.001517,3.21423862887278,0.1111
73,e03103,5.011,2.6282,1.125,0.3214,5.0304,2.251e-05,36,1.3,2.5,0.475513869487128,f2,d,nc,e,1,0.693672078590436,0.000932,3.42650214592275,0.1101
74,e03103,5.011,2.6556,1.15,0.2174,5.083,1.384e-05,36,1.3,2.5,0.470045899022151,f2,d,nc,e,1,0.697292131544291,0.000569,8.49384885764499,0.1091
75,e03103,5.011,2.6825,1.175,0.1157,5.1343,9.143e-06,36,1.3,2.5,0.464677709040112,f2,d,nc,e,1,0.364053430901115,0.0003735,11.6706827309237,0.1082
76,e03103,5.011,1.2204,0.525,4.2592,3.7345,0.001186,46,1.3,2.5,0.756455797246059,f2,d,nc,e,1,0.374716011174093,0.11865,0.576906868942267,0.1456
77,e03103,5.011,1.2638,0.55,4.0446,3.8675,0.001039,46,1.3,2.5,0.74779485132708,f2,d,nc,e,1,0.38496753756135,0.10535,0.527289985761747,0.141
78,e03103,5.011,1.3063,0.575,3.835,3.9974,0.0008913,46,1.3,2.5,0.73931351027739,f2,d,nc,e,1,0.394823184614738,0.09145,0.681793329688354,0.1369
79,e03103,5.011,1.3478,0.6,3.63,4.1245,0.0007763,46,1.3,2.5,0.731031730193574,f2,d,nc,e,1,0.40429888100396,0.08055,0.593544382371198,0.1331
80,e03103,5.011,1.3884,0.625,3.4296,4.2487,0.0006579,46,1.3,2.5,0.722929554979046,f2,d,nc,e,1,0.413413673318161,0.0689,0.68722786647315,0.1296
81,e03103,5.011,1.4281,0.65,3.2336,4.3702,0.0005932,46,1.3,2.5,0.715006984633806,f2,d,nc,e,1,0.422191522193214,0.06265,0.455546687948923,0.1264
82,e03103,5.011,1.467,0.675,3.0418,4.4891,0.0005044,46,1.3,2.5,0.707244063061265,f2,d,nc,e,1,0.43063168891587,0.0537,0.578026070763501,0.1234
83,e03103,5.011,1.505,0.7,2.8541,4.6054,0.0004189,46,1.3,2.5,0.699660746358013,f2,d,nc,e,1,0.438761098343319,0.044885,0.619917567115963,0.1207
84,e03103,5.011,1.5422,0.725,2.6704,4.7193,0.000354,46,1.3,2.5,0.692237078427459,f2,d,nc,e,1,0.446588208453635,0.038155,0.672913117546848,0.1181
85,e03103,5.011,1.5786,0.75,2.4906,4.8308,0.0002879,46,1.3,2.5,0.684973059269607,f2,d,nc,e,1,0.454131589818333,0.031195,0.734572848212855,0.1157
86,e03103,5.011,1.6143,0.775,2.3145,4.9399,0.0002405,46,1.3,2.5,0.677848732787867,f2,d,nc,e,1,0.461396056433238,0.02617,0.823079862437906,0.1134
87,e03103,5.011,1.6492,0.8,2.1421,5.0468,0.0001927,46,1.3,2.5,0.670884055078827,f2,d,nc,e,1,0.468402558605914,0.02105,0.718764845605701,0.1113
88,e03103,5.011,1.6834,0.825,1.9731,5.1516,0.0001527,46,1.3,2.5,0.664059070045899,f2,d,nc,e,1,0.475165102803472,0.01673,0.618051404662283,0.1094
89,e03103,5.011,1.717,0.85,1.8076,5.2542,0.0001152,46,1.3,2.5,0.657353821592497,f2,d,nc,e,1,0.481673545718229,0.01266,0.960110584518168,0.1075
90,e03103,5.011,1.7498,0.875,1.6453,5.3547,8.88e-05,46,1.3,2.5,0.650808221911794,f2,d,nc,e,1,0.487971189812975,0.00978,0.758179959100205,0.1057
91,e03103,5.011,1.7821,0.9,1.4863,5.4533,6.707e-05,46,1.3,2.5,0.644362402714029,f2,d,nc,e,1,0.494033552993554,0.007395,0.892494929006085,0.104
92,e03103,5.011,1.8136,0.925,1.3304,5.55,5.248e-05,46,1.3,2.5,0.638076232288964,f2,d,nc,e,1,0.499897000886475,0.005795,1.42795513373598,0.1025
93,e03103,5.011,1.8446,0.95,1.1774,5.6448,4.393e-05,46,1.3,2.5,0.631889842346837,f2,d,nc,e,1,0.505557130607329,0.004856,1.08834431630972,0.101
94,e03103,5.011,1.875,0.975,1.0275,5.7377,4.255e-05,46,1.3,2.5,0.625823188984235,f2,d,nc,e,1,0.511024918194727,0.0047055,1.59600467537987,0.09953
95,e03103,5.011,1.9048,1.0,0.8804,5.8289,4.033e-05,46,1.3,2.5,0.619876272201158,f2,d,nc,e,1,0.516305410022865,0.0044605,1.25994843627396,0.09817
96,e03103,5.011,1.934,1.025,0.736,5.9184,2.879e-05,46,1.3,2.5,0.614049091997605,f2,d,nc,e,1,0.521413500946672,0.003184,2.3947864321608,0.09688
97,e03103,5.011,1.9627,1.05,0.5943,6.0062,1.747e-05,46,1.3,2.5,0.608321692276991,f2,d,nc,e,1,0.842161459465936,0.001931,3.2107716209218,0.09564
98,e03103,5.766,3.456,0.45,3.2645,1.9506,0.0442,18,1.3,2.5,0.400624349635796,f2,d,nc,e,1,0.850343779060152,0.1743,0.378370625358577,0.2243
99,e03103,5.766,3.5305,0.475,3.0828,1.9927,0.0433,18,1.3,2.5,0.387703780783906,f2,d,nc,e,1,0.857650275433365,0.16655,0.4848393875713,0.2203
100,e03103,5.766,3.6003,0.5,2.9124,2.032,0.04115,18,1.3,2.5,0.375598335067638,f2,d,nc,e,1,0.864211072774767,0.1544,0.465025906735751,0.2168
101,e03103,5.766,3.6658,0.525,2.7524,2.0691,0.03729,18,1.3,2.5,0.364238640305238,f2,d,nc,e,1,0.870120448653779,0.1365,0.331831501831502,0.2136
102,e03103,5.766,3.7275,0.55,2.6017,2.1039,0.03376,18,1.3,2.5,0.353537981269511,f2,d,nc,e,1,0.875462801141913,0.1206,0.490878938640133,0.2108
103,e03103,5.766,3.7857,0.575,2.4597,2.1367,0.03151,18,1.3,2.5,0.343444328824142,f2,d,nc,e,1,0.880312326690623,0.1099,0.364968152866242,0.2082
104,e03103,5.766,3.8407,0.6,2.3255,2.1678,0.02958,18,1.3,2.5,0.333905653832813,f2,d,nc,e,1,0.884716312220481,0.10075,0.540942928039702,0.2059
105,e03103,5.766,3.8927,0.625,2.1986,2.1971,0.02716,18,1.3,2.5,0.324887270204648,f2,d,nc,e,1,0.888728958361328,0.09035,0.56945213060321,0.2038
106,e03103,5.766,3.9419,0.65,2.0784,2.2249,0.0233,18,1.3,2.5,0.316354491848769,f2,d,nc,e,1,0.892405779900581,0.07575,0.451155115511551,0.2018
107,e03103,5.766,3.9887,0.675,1.9643,2.2513,0.02043,18,1.3,2.5,0.30823794658342,f2,d,nc,e,1,0.895769805266296,0.06495,0.725789068514242,0.2
108,e03103,5.766,4.0331,0.7,1.8559,2.2763,0.01822,18,1.3,2.5,0.300537634408602,f2,d,nc,e,1,0.8988608411472,0.0567,0.407671957671958,0.1984
109,e03103,5.766,4.0753,0.725,1.7528,2.3002,0.01701,18,1.3,2.5,0.293218869233437,f2,d,nc,e,1,0.904334232463615,0.05175,0.386666666666667,0.1969
110,e03103,5.766,4.1539,0.775,1.561,2.3445,0.01564,18,1.3,2.5,0.279587235518557,f2,d,nc,e,1,0.909012293334295,0.04559,0.415661329238868,0.1941
111,e03103,5.766,4.2255,0.825,1.3863,2.3849,0.01167,18,1.3,2.5,0.267169614984391,f2,d,nc,e,1,0.913041245053345,0.03265,0.444869831546708,0.1917
112,e03103,5.766,4.291,0.875,1.2263,2.4219,0.007979,18,1.3,2.5,0.255809920221991,f2,d,nc,e,1,0.916537447380856,0.02145,0.483449883449883,0.1896
113,e03103,5.766,4.3512,0.925,1.0795,2.4559,0.009278,18,1.3,2.5,0.245369406867846,f2,d,nc,e,1,0.919584132313529,0.024,0.494375,0.1877
114,e03103,5.766,4.4066,0.975,0.9441,2.4872,0.01469,18,1.3,2.5,0.235761359694762,f2,d,nc,e,1,0.922261421354321,0.0366,0.492213114754098,0.186
115,e03103,5.766,4.4579,1.025,0.819,2.5161,0.01353,18,1.3,2.5,0.226864377384669,f2,d,nc,e,1,0.92462088194345,0.03252,0.521832718327183,0.1844
116,e03103,5.766,4.5054,1.075,0.7029,2.5429,0.006793,18,1.3,2.5,0.218626430801249,f2,d,nc,e,1,0.926715315534231,0.01577,0.603043753963221,0.183
117,e03103,5.766,4.5496,1.125,0.595,2.5679,0.003164,18,1.3,2.5,0.210960804717308,f2,d,nc,e,1,0.927675811662289,0.0071,0.751408450704225,0.1817
118,e03103,5.766,4.5706,1.15,0.5439,2.5797,0.002231,18,1.3,2.5,0.207318765175165,f2,d,nc,e,1,0.929438491728792,0.004925,0.992081218274112,0.1811
119,e03103,5.766,4.6104,1.2,0.4467,2.6022,0.001187,18,1.3,2.5,0.200416233090531,f2,d,nc,e,1,0.931020582185244,0.0025365,1.34949733885275,0.1799
120,e03103,5.766,4.6477,1.25,0.3557,2.6232,0.0007075,18,1.3,2.5,0.193947277141866,f2,d,nc,e,1,0.932441665732436,0.0014655,1.8662572500853,0.1788
121,e03103,5.766,4.6826,1.3,0.2704,2.6429,0.0004051,18,1.3,2.5,0.187894554283732,f2,d,nc,e,1,0.93372602357692,0.000814,2.77825552825553,0.1778
122,e03103,5.766,4.7154,1.35,0.1903,2.6615,0.0002764,18,1.3,2.5,0.182206035379813,f2,d,nc,e,1,0.934889846677586,0.000539,3.78200371057514,0.1767
123,e03103,5.766,4.7463,1.4,0.115,2.6789,0.0001723,18,1.3,2.5,0.17684703433923,f2,d,nc,e,1,0.935946350908762,0.0003266,5.72718922229026,0.1756
124,e03103,5.766,4.7754,1.45,0.0439,2.6953,0.0001307,18,1.3,2.5,0.171800208116545,f2,d,nc,e,1,0.723556372588249,0.00024075,0.41993769470405,0.1743
125,e03103,5.766,2.7215,0.4,4.3083,2.2853,0.01956,22,1.3,2.5,0.528009018383628,f2,d,nc,e,1,0.737582171322549,0.1997,0.454682023034552,0.2107
126,e03103,5.766,2.8087,0.425,4.0713,2.3585,0.01852,22,1.3,2.5,0.512885882761013,f2,d,nc,e,1,0.750280443841309,0.18655,0.405253283302064,0.2047
127,e03103,5.766,2.8911,0.45,3.8475,2.4277,0.01717,22,1.3,2.5,0.498595213319459,f2,d,nc,e,1,0.761792317299423,0.1704,0.316021126760563,0.1993
128,e03103,5.766,2.969,0.475,3.6359,2.4931,0.01578,22,1.3,2.5,0.48508498092265,f2,d,nc,e,1,0.772265665358793,0.1543,0.402786779001944,0.1946
129,e03103,5.766,3.0428,0.5,3.4354,2.5551,0.01467,22,1.3,2.5,0.472285813388831,f2,d,nc,e,1,0.781813571979102,0.1412,0.430594900849858,0.1903
130,e03103,5.766,3.1128,0.525,3.2453,2.6139,0.01369,22,1.3,2.5,0.460145681581686,f2,d,nc,e,1,0.790538500903338,0.12975,0.405394990366089,0.1865
131,e03103,5.766,3.1793,0.55,3.0647,2.6697,0.01261,22,1.3,2.5,0.448612556364898,f2,d,nc,e,1,0.798537360754331,0.1175,0.324765957446809,0.1831
132,e03103,5.766,3.2426,0.575,2.8929,2.7228,0.01169,22,1.3,2.5,0.437634408602151,f2,d,nc,e,1,0.805875881133646,0.1072,0.490205223880597,0.18
133,e03103,5.766,3.3028,0.6,2.7293,2.7734,0.01044,22,1.3,2.5,0.427193895248006,f2,d,nc,e,1,0.812627026545163,0.09415,0.472650026553372,0.1771
134,e03103,5.766,3.3602,0.625,2.5733,2.8216,0.009227,22,1.3,2.5,0.417238987166146,f2,d,nc,e,1,0.818852602113755,0.08185,0.340012217470983,0.1745
135,e03103,5.766,3.415,0.65,2.4245,2.8676,0.008277,22,1.3,2.5,0.407734998265695,f2,d,nc,e,1,0.824608623997281,0.0722,0.501869806094183,0.1721
136,e03103,5.766,3.4674,0.675,2.2822,2.9116,0.007532,22,1.3,2.5,0.398647242455775,f2,d,nc,e,1,0.829927041845464,0.06465,0.519025522041763,0.1699
137,e03103,5.766,3.5174,0.7,2.1462,2.9537,0.006478,22,1.3,2.5,0.389975719736386,f2,d,nc,e,1,0.83486539974127,0.05465,0.388838060384263,0.1679
138,e03103,5.766,3.5654,0.725,2.016,2.9939,0.005508,22,1.3,2.5,0.381651057925772,f2,d,nc,e,1,0.839446970079988,0.04572,0.593613298337708,0.166
139,e03103,5.766,3.6113,0.75,1.8912,3.0325,0.004776,22,1.3,2.5,0.373690600069372,f2,d,nc,e,1,0.84371445503266,0.038995,0.641364277471471,0.1643
140,e03103,5.766,3.6554,0.775,1.7715,3.0695,0.004172,22,1.3,2.5,0.366042317030871,f2,d,nc,e,1,0.847688070394649,0.033505,0.516490076108044,0.1626
141,e03103,5.766,3.6977,0.8,1.6566,3.105,0.003698,22,1.3,2.5,0.358706208810267,f2,d,nc,e,1,0.851393533975749,0.02922,0.432067077344285,0.1611
142,e03103,5.766,3.7383,0.825,1.5462,3.1391,0.003291,22,1.3,2.5,0.351664932362123,f2,d,nc,e,1,0.858106393689505,0.02558,0.410476935105551,0.1597
143,e03103,5.766,3.815,0.875,1.338,3.2035,0.002252,22,1.3,2.5,0.338362816510579,f2,d,nc,e,1,0.864000742088291,0.01696,0.438679245283019,0.157
144,e03103,5.766,3.8861,0.925,1.1449,3.2632,0.001891,22,1.3,2.5,0.326031911203607,f2,d,nc,e,1,0.866678233511596,0.0138,0.44963768115942,0.1546
145,e03103,5.766,3.9197,0.95,1.0536,3.2914,0.002173,22,1.3,2.5,0.320204647936178,f2,d,nc,e,1,0.871576343394993,0.015615,0.455651617034902,0.1536
146,e03103,5.766,3.9835,1.0,0.8804,3.345,0.002738,22,1.3,2.5,0.309139784946237,f2,d,nc,e,1,0.87381115746483,0.01909,0.460450497642745,0.1515
147,e03103,5.766,4.0137,1.025,0.7982,3.3704,0.002272,22,1.3,2.5,0.303902185223725,f2,d,nc,e,1,0.877924072891295,0.0156,0.5,0.1506
148,e03103,5.766,4.0713,1.075,0.6418,3.4187,0.001037,22,1.3,2.5,0.293912591050989,f2,d,nc,e,1,0.881602166180839,0.00692,0.58150289017341,0.1488
149,e03103,5.766,4.1252,1.125,0.4955,3.464,0.0004492,22,1.3,2.5,0.284564689559487,f2,d,nc,e,1,0.883296987648848,0.0029105,0.724102387905858,0.1472
150,e03103,5.766,4.1509,1.15,0.4257,3.4855,0.0003129,22,1.3,2.5,0.28010752688172,f2,d,nc,e,1,0.886429488748025,0.001999,0.930465232616309,0.1465
151,e03103,5.766,4.1999,1.2,0.2926,3.5267,0.0001596,22,1.3,2.5,0.271609434616719,f2,d,nc,e,1,0.887879234898206,0.000992,1.21925403225806,0.1451
152,e03103,5.766,4.2233,1.225,0.229,3.5464,0.0001148,22,1.3,2.5,0.267551161984044,f2,d,nc,e,1,0.890570962830495,0.000704,1.63849431818182,0.1444
