,exp,x,Q2,value,stat_u,sys_u,obs,target,lepton beam,current,units,*%norm_c
50,e665,0.01225,7.161,0.421,0.04463,0.016,F2,p,mu,nc,1,1.8
51,e665,0.0173,1.496,0.336,0.0168,0.01075,F2,p,mu,nc,1,1.8
52,e665,0.0173,2.046,0.34,0.01938,0.00952,F2,p,mu,nc,1,1.8
53,e665,0.0173,2.799,0.361,0.02563,0.01841,F2,p,mu,nc,1,1.8
54,e665,0.0173,3.828,0.398,0.02667,0.00876,F2,p,mu,nc,1,1.8
55,e665,0.0173,5.236,0.437,0.02928,0.00743,F2,p,mu,nc,1,1.8
56,e665,0.0173,7.161,0.435,0.03523,0.01435,F2,p,mu,nc,1,1.8
57,e665,0.0173,9.795,0.499,0.04591,0.02245,F2,p,mu,nc,1,1.8
58,e665,0.02449,2.799,0.347,0.01978,0.01423,F2,p,mu,nc,1,1.8
59,e665,0.02449,3.828,0.32,0.02336,0.0064,F2,p,mu,nc,1,1.8
60,e665,0.02449,5.236,0.394,0.0264,0.0067,F2,p,mu,nc,1,1.8
61,e665,0.02449,7.161,0.45,0.02475,0.01395,F2,p,mu,nc,1,1.8
62,e665,0.02449,9.795,0.409,0.03517,0.01431,F2,p,mu,nc,1,1.8
63,e665,0.02449,13.397,0.521,0.05002,0.03074,F2,p,mu,nc,1,1.8
64,e665,0.03459,3.828,0.336,0.02554,0.01982,F2,p,mu,nc,1,1.8
65,e665,0.03459,5.236,0.434,0.02778,0.01996,F2,p,mu,nc,1,1.8
66,e665,0.03459,7.161,0.411,0.03041,0.00945,F2,p,mu,nc,1,1.8
67,e665,0.03459,9.795,0.456,0.03785,0.01094,F2,p,mu,nc,1,1.8
68,e665,0.03459,13.397,0.464,0.04594,0.01114,F2,p,mu,nc,1,1.8
69,e665,0.04898,5.236,0.383,0.02298,0.00843,F2,p,mu,nc,1,1.8
70,e665,0.04898,7.161,0.35,0.02275,0.007,F2,p,mu,nc,1,1.8
71,e665,0.04898,9.795,0.43,0.02838,0.01462,F2,p,mu,nc,1,1.8
72,e665,0.04898,13.397,0.415,0.02988,0.00913,F2,p,mu,nc,1,1.8
73,e665,0.04898,18.323,0.47,0.04653,0.01457,F2,p,mu,nc,1,1.8
74,e665,0.04898,25.061,0.448,0.08333,0.02778,F2,p,mu,nc,1,1.8
75,e665,0.06918,9.795,0.362,0.03837,0.00615,F2,p,mu,nc,1,1.8
76,e665,0.06918,13.397,0.39,0.03432,0.01209,F2,p,mu,nc,1,1.8
77,e665,0.06918,18.323,0.378,0.04536,0.01512,F2,p,mu,nc,1,1.8
78,e665,0.06918,25.061,0.451,0.05953,0.01218,F2,p,mu,nc,1,1.8
79,e665,0.06918,34.277,0.183,0.14054,0.01189,F2,p,mu,nc,1,1.8
80,e665,0.09795,9.795,0.367,0.02606,0.01688,F2,p,mu,nc,1,1.8
81,e665,0.09795,13.397,0.454,0.02906,0.00953,F2,p,mu,nc,1,1.8
82,e665,0.09795,18.323,0.307,0.0393,0.01228,F2,p,mu,nc,1,1.8
83,e665,0.09795,25.061,0.394,0.04295,0.01694,F2,p,mu,nc,1,1.8
84,e665,0.09795,34.277,0.265,0.08056,0.00954,F2,p,mu,nc,1,1.8
85,e665,0.17298,18.323,0.302,0.02476,0.01087,F2,p,mu,nc,1,1.8
86,e665,0.17298,25.061,0.271,0.029,0.00759,F2,p,mu,nc,1,1.8
87,e665,0.17298,34.277,0.304,0.04043,0.00882,F2,p,mu,nc,1,1.8
88,e665,0.17298,46.881,0.313,0.06729,0.01972,F2,p,mu,nc,1,1.8
89,e665,0.38726,46.881,0.205,0.04858,0.0082,F2,p,mu,nc,1,1.8
90,e665,0.38726,64.269,0.191,0.06494,0.02196,F2,p,mu,nc,1,1.8
