,x,exp,Q2,y,sigma_d measured (b/GeV2),Elab,*W2,*nu,*E',*epsilon,obs,target,lepton beam,current,units,%dE,%dE1_c,%dE2_c,%dE3_c,%dE4_c,%dEp,%dEp1_c,%dEp2_c,%dEp3_c,%dEp4_c,%dAC_c,%dRC_c,%dRE_c,R,F2d,dFstat,dFsyst,%*norm_c,*epsilon.1,value,%*dST_u
10,0.0254,nmc,2.36,0.566,4.123e-07,90,91.43322982677167,49.52739116565654,40.47260883434346,0.730208746283791,sig_r,d,mu,nc,1,0.6,0.6,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.9,0.9,0.3,0.099,0.3409,0.0034,0.0049,2.5,0.730208746283791,0.332614625926981,0.997359929598123
11,0.0276,nmc,3.24,0.707,1.833e-07,90,115.0311483478261,62.575322147028835,27.424677852971165,0.539386344446761,sig_r,d,mu,nc,1,0.5,0.5,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.9,1.7,0.5,0.099,0.3324,0.0133,0.0068,2.5,0.539386344446761,0.318607454919268,4.00120336943442
12,0.0348,nmc,1.3,0.231,1.163e-06,90,36.936165839080466,19.91275151336912,70.08724848663088,0.966369167614017,sig_r,d,mu,nc,1,1.2,1.2,0.0,0.0,0.0,-0.7,-0.7,0.0,0.0,0.0,2.2,0.4,0.1,0.108,0.3057,0.0077,0.0082,2.5,0.966369167614017,0.304697620132051,2.51880929015375
13,0.0348,nmc,1.76,0.309,6.129e-07,90,49.69455664367816,26.958802048868957,63.04119795113104,0.935233517322987,sig_r,d,mu,nc,1,1.0,1.0,0.0,0.0,0.0,-0.4,-0.4,0.0,0.0,0.0,1.3,0.3,0.1,0.108,0.3155,0.0049,0.0053,2.5,0.935233517322987,0.313507974610924,1.55309033280507
14,0.0349,nmc,2.45,0.428,3.062e-07,90,68.63041706590259,37.420348116152766,52.579651883847234,0.861763280023628,sig_r,d,mu,nc,1,0.8,0.8,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,0.7,0.4,0.2,0.108,0.3405,0.0036,0.0039,2.5,0.861763280023628,0.33591156827972,1.05726872246696
15,0.0354,nmc,3.34,0.571,1.55e-07,90,91.8901264858757,50.29332755110645,39.70667244889355,0.724336816530977,sig_r,d,mu,nc,1,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1,0.3,0.108,0.3624,0.0066,0.0051,2.5,0.724336816530977,0.35266195445339,1.82119205298013
16,0.0364,nmc,4.27,0.705,8.467e-08,90,113.9175363076923,62.53075282926029,27.469247170739713,0.542391808823385,sig_r,d,mu,nc,1,0.5,0.5,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.7,2.4,0.4,0.108,0.3541,0.0205,0.0089,2.5,0.542391808823385,0.338305196716169,5.78932504942107
17,0.0495,nmc,1.33,0.168,8.657e-07,90,26.418530868686865,14.322327755163577,75.67767224483643,0.983225140208657,sig_r,d,mu,nc,1,1.6,1.6,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,2.6,0.4,0.1,0.117,0.3233,0.0089,0.0103,2.5,0.983225140208657,0.322731562945237,2.75286111970306
18,0.0493,nmc,1.76,0.221,4.663e-07,90,34.819641160243414,19.029742622731032,70.97025737726896,0.969471175281982,sig_r,d,mu,nc,1,1.2,1.2,0.0,0.0,0.0,-0.7,-0.7,0.0,0.0,0.0,1.3,0.4,0.1,0.117,0.3189,0.005,0.0063,2.5,0.969471175281982,0.317879830387147,1.56788962057071
19,0.0494,nmc,2.48,0.309,2.305e-07,90,48.602273149797576,26.760356689657556,63.239643310342444,0.93517530915144,sig_r,d,mu,nc,1,1.0,1.0,0.0,0.0,0.0,-0.4,-0.4,0.0,0.0,0.0,0.5,0.3,0.1,0.117,0.3375,0.0033,0.0041,2.5,0.93517530915144,0.335207790323209,0.977777777777778
20,0.0501,nmc,3.41,0.416,1.157e-07,90,65.53371625548904,36.281381799301194,53.718618200698806,0.870661804754835,sig_r,d,mu,nc,1,0.8,0.8,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,0.2,0.6,0.2,0.117,0.3574,0.0042,0.0036,2.5,0.870661804754835,0.352557406740675,1.17515388919978
21,0.0509,nmc,4.39,0.526,6.336e-08,90,82.7373882043222,45.97417068460672,44.02582931539328,0.77368981833281,sig_r,d,mu,nc,1,0.6,0.6,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.3,1.2,0.3,0.117,0.3589,0.0082,0.005,2.5,0.77368981833281,0.350391448291542,2.28475898578991
22,0.0526,nmc,5.31,0.609,4.373e-08,90,96.52041434220531,53.81160466002416,36.18839533997584,0.677823684041377,sig_r,d,mu,nc,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.6,0.3,0.117,0.3957,0.0198,0.0069,2.5,0.677823684041377,0.382345844635245,5.00379075056861
23,0.07,nmc,1.35,0.12,6.029e-07,90,18.815558285714282,10.280231495583308,79.71976850441669,0.991791037766853,sig_r,d,mu,nc,1,2.0,2.0,0.0,0.0,0.0,-1.4,-1.4,0.0,0.0,0.0,3.5,0.5,0.1,0.113,0.3154,0.0132,0.0136,2.5,0.991791037766853,0.315136824184021,4.1851616994293
24,0.0699,nmc,1.77,0.156,3.485e-07,90,24.431732412017166,13.497808321970773,76.50219167802922,0.985661136678224,sig_r,d,mu,nc,1,1.6,1.6,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.8,0.4,0.1,0.113,0.3229,0.0073,0.0088,2.5,0.985661136678224,0.322429585826425,2.26076184577268
25,0.0694,nmc,2.48,0.219,1.747e-07,90,34.13471431700288,19.048438335289383,70.95156166471062,0.970022513779224,sig_r,d,mu,nc,1,1.2,1.2,0.0,0.0,0.0,-0.6,-0.6,0.0,0.0,0.0,0.5,0.4,0.1,0.113,0.3348,0.0044,0.0051,2.5,0.970022513779224,0.333780574114862,1.3142174432497
26,0.0696,nmc,3.45,0.303,8.975e-08,90,46.998809517241384,26.42268950812441,63.57731049187559,0.937931653619736,sig_r,d,mu,nc,1,1.0,1.0,0.0,0.0,0.0,-0.4,-0.4,0.0,0.0,0.0,0.2,0.3,0.1,0.113,0.3608,0.005,0.0039,2.5,0.937931653619736,0.358525706065764,1.38580931263858
27,0.0702,nmc,4.42,0.382,5.027e-08,90,59.42280696296296,33.562346995182814,56.437653004817186,0.894031244446528,sig_r,d,mu,nc,1,0.8,0.8,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,0.4,0.5,0.1,0.113,0.3579,0.007,0.0039,2.5,0.894031244446528,0.3540487796116,1.95585359038838
28,0.0703,nmc,5.38,0.463,3.236e-08,90,72.02900473968707,40.793795703457924,49.206204296542076,0.833139587033076,sig_r,d,mu,nc,1,0.7,0.7,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.5,0.8,0.2,0.113,0.3654,0.0122,0.0043,2.5,0.833139587033076,0.359209032591599,3.33880678708265
29,0.0711,nmc,6.38,0.536,2.146e-08,90,84.23261474542899,47.831967348309696,42.168032651690304,0.763028654279462,sig_r,d,mu,nc,1,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1,0.3,0.113,0.3641,0.0253,0.0049,2.5,0.763028654279462,0.355339725258571,6.94864048338369
30,0.0902,nmc,1.38,0.095,4.694e-07,90,14.79917881152993,8.155295741753696,81.84470425824631,0.994945127323657,sig_r,d,mu,nc,1,2.5,2.5,0.0,0.0,0.0,-1.8,-1.8,0.0,0.0,0.0,4.4,0.4,0.1,0.096,0.3267,0.0195,0.0176,2.5,0.994945127323657,0.326555084441167,5.96877869605142
31,0.0899,nmc,1.76,0.121,2.777e-07,90,18.69715212013348,10.435665309239598,79.5643346907604,0.991618509687549,sig_r,d,mu,nc,1,2.0,2.0,0.0,0.0,0.0,-1.4,-1.4,0.0,0.0,0.0,2.6,0.4,0.1,0.096,0.3222,0.0096,0.0116,2.5,0.991618509687549,0.32196315197362,2.97951582867784
32,0.0897,nmc,2.47,0.169,1.414e-07,90,25.946075884057972,14.67816198510553,75.32183801489447,0.982926770976509,sig_r,d,mu,nc,1,1.5,1.5,0.0,0.0,0.0,-0.9,-0.9,0.0,0.0,0.0,0.9,0.4,0.1,0.096,0.3358,0.0057,0.0065,2.5,0.982926770976509,0.335297434692777,1.697438951757
33,0.0897,nmc,3.46,0.236,6.915e-08,90,35.99286518171683,20.561311930552684,69.43868806944732,0.964566689163479,sig_r,d,mu,nc,1,1.1,1.1,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.2,0.3,0.1,0.096,0.3416,0.0056,0.0043,2.5,0.964566689163479,0.340539262057093,1.63934426229508
34,0.09,nmc,4.44,0.299,4.154e-08,90,45.773177333333344,26.29708599857854,63.70291400142146,0.939699234966443,sig_r,d,mu,nc,1,0.9,0.9,0.0,0.0,0.0,-0.3,-0.3,0.0,0.0,0.0,0.5,0.3,0.1,0.096,0.3577,0.0075,0.004,2.5,0.939699234966443,0.355810166830731,2.09672910259994
35,0.0903,nmc,5.44,0.366,2.77e-08,90,55.683476336655595,32.11281041399552,57.88718958600448,0.903994586076049,sig_r,d,mu,nc,1,0.8,0.8,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,0.7,0.4,0.1,0.096,0.3801,0.0117,0.0046,2.5,0.903994586076049,0.376902858311022,3.07813733228098
36,0.0897,nmc,6.5,0.436,1.708e-08,90,66.84361211594204,38.62674206606718,51.37325793393282,0.855215116019295,sig_r,d,mu,nc,1,0.7,0.7,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.8,0.6,0.2,0.096,0.3527,0.0173,0.0045,2.5,0.855215116019295,0.348226540020798,4.90501842925999
37,0.109,nmc,1.78,0.101,2.283e-07,90,15.430119229357798,8.704837542301599,81.2951624576984,0.994237300001019,sig_r,d,mu,nc,1,2.3,2.3,0.0,0.0,0.0,-1.7,-1.7,0.0,0.0,0.0,3.2,0.4,0.1,0.043,0.322,0.0117,0.0141,2.5,0.994237300001019,0.321923353690617,3.63354037267081
38,0.1096,nmc,2.49,0.14,1.162e-07,90,21.108822102189784,12.110329478779203,77.8896705212208,0.988557341556426,sig_r,d,mu,nc,1,1.7,1.7,0.0,0.0,0.0,-1.1,-1.1,0.0,0.0,0.0,1.4,0.4,0.1,0.043,0.3346,0.0069,0.0083,2.5,0.988557341556426,0.334441952804821,2.06216377764495
39,0.1098,nmc,3.48,0.193,5.685e-08,90,29.09383307103825,16.894450464306107,73.1055495356939,0.977184707717106,sig_r,d,mu,nc,1,1.3,1.3,0.0,0.0,0.0,-0.7,-0.7,0.0,0.0,0.0,0.3,0.3,0.1,0.043,0.3353,0.0065,0.0054,2.5,0.977184707717106,0.334984410077828,1.93856248135998
40,0.11,nmc,4.45,0.246,3.308e-08,90,36.88438945454545,21.564256638883506,68.4357433611165,0.961074869291072,sig_r,d,mu,nc,1,1.1,1.1,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.4,0.3,0.1,0.043,0.336,0.0077,0.0042,2.5,0.961074869291072,0.335460538123404,2.29166666666667
41,0.1105,nmc,5.44,0.299,2.084e-08,90,44.670613230769234,26.242414302115797,63.7575856978842,0.939618969787968,sig_r,d,mu,nc,1,0.9,0.9,0.0,0.0,0.0,-0.3,-0.3,0.0,0.0,0.0,0.7,0.2,0.1,0.043,0.3314,0.0105,0.0042,2.5,0.939618969787968,0.33057472450226,3.16837658418829
42,0.1096,nmc,6.6,0.363,1.38e-08,90,54.49882210218977,32.09966849796896,57.90033150203104,0.905713241868964,sig_r,d,mu,nc,1,0.8,0.8,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,0.9,0.3,0.1,0.043,0.3379,0.0144,0.0043,2.5,0.905713241868964,0.336586245527496,4.26161586268127
43,0.1282,nmc,1.86,0.09,1.926e-07,90,13.528424343213729,7.733784831137382,82.26621516886262,0.995443845240654,sig_r,d,mu,nc,1,2.7,2.7,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,3.5,0.4,0.1,0.296,0.3479,0.0198,0.0168,2.5,0.995443845240654,0.347537008778398,5.69129060074734
44,0.1383,nmc,2.49,0.112,9.229e-08,90,16.394182394793923,9.59719530639335,80.40280469360665,0.992815215572313,sig_r,d,mu,nc,1,2.0,2.0,0.0,0.0,0.0,-1.4,-1.4,0.0,0.0,0.0,2.0,0.4,0.1,0.271,0.3298,0.006,0.0105,2.5,0.992815215572313,0.329293529132868,1.81928441479685
45,0.1396,nmc,3.48,0.154,4.525e-08,90,22.328210762177648,13.288041984103225,76.71195801589677,0.985928552933968,sig_r,d,mu,nc,1,1.5,1.5,0.0,0.0,0.0,-0.9,-0.9,0.0,0.0,0.0,0.7,0.3,0.1,0.233,0.3328,0.0057,0.0064,2.5,0.985928552933968,0.331913682835441,1.71274038461538
46,0.1394,nmc,4.45,0.196,2.633e-08,90,28.352369107604023,17.016271379319843,72.98372862068015,0.976337157354124,sig_r,d,mu,nc,1,1.2,1.2,0.0,0.0,0.0,-0.6,-0.6,0.0,0.0,0.0,0.3,0.3,0.1,0.201,0.3272,0.0062,0.0047,2.5,0.976337157354124,0.325902866335248,1.89486552567237
47,0.1398,nmc,5.46,0.239,1.749e-08,90,34.475637991416306,20.81865351354814,69.18134648645186,0.96340828770451,sig_r,d,mu,nc,1,1.1,1.1,0.0,0.0,0.0,-0.4,-0.4,0.0,0.0,0.0,0.5,0.3,0.1,0.176,0.3411,0.0085,0.0043,2.5,0.96340828770451,0.339230586363585,2.49193784813838
48,0.1407,nmc,6.69,0.289,1.092e-08,90,41.73781841364606,25.34540213947018,64.65459786052982,0.943990289082813,sig_r,d,mu,nc,1,0.9,0.9,0.0,0.0,0.0,-0.3,-0.3,0.0,0.0,0.0,0.8,0.2,0.1,0.154,0.3363,0.0097,0.0042,2.5,0.943990289082813,0.333785077135628,2.88432946773714
49,0.1737,nmc,2.67,0.095,6.374e-08,90,13.581173879101899,8.19367264344451,81.80632735655549,0.994857804527359,sig_r,d,mu,nc,1,2.2,2.2,0.0,0.0,0.0,-1.5,-1.5,0.0,0.0,0.0,1.7,0.4,0.1,0.247,0.3277,0.0091,0.0103,2.5,0.994857804527359,0.327365181178899,2.77693011901129
50,0.1803,nmc,3.46,0.119,3.339e-08,90,16.610082491403215,10.2293382150337,79.77066178496631,0.991787677747674,sig_r,d,mu,nc,1,1.7,1.7,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.1,0.3,0.1,0.211,0.3069,0.0066,0.0071,2.5,0.991787677747674,0.306459630127927,2.1505376344086
51,0.1799,nmc,4.46,0.152,2.048e-08,90,21.21139486158977,13.21511239956811,76.78488760043189,0.986242350850071,sig_r,d,mu,nc,1,1.4,1.4,0.0,0.0,0.0,-0.7,-0.7,0.0,0.0,0.0,0.6,0.3,0.1,0.179,0.3197,0.0076,0.0054,2.5,0.986242350850071,0.319031126059086,2.37722865186112
52,0.1806,nmc,5.46,0.185,1.276e-08,90,25.65240213953488,16.115436108494073,73.88456389150593,0.979034080258019,sig_r,d,mu,nc,1,1.2,1.2,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.4,0.3,0.1,0.156,0.3088,0.0088,0.0045,2.5,0.979034080258019,0.30792518261187,2.84974093264249
53,0.1801,nmc,6.77,0.229,8.304e-09,90,31.700071651304828,20.037434782145432,69.96256521785457,0.96659466086443,sig_r,d,mu,nc,1,1.0,1.0,0.0,0.0,0.0,-0.4,-0.4,0.0,0.0,0.0,0.5,0.2,0.1,0.135,0.3203,0.0097,0.0039,2.5,0.96659466086443,0.319026206911429,3.02841086481424
54,0.1769,nmc,8.5,0.289,4.918e-09,90,40.42958961899378,25.6128707990372,64.3871292009628,0.943846071071206,sig_r,d,mu,nc,1,0.9,0.9,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,0.8,0.2,0.1,0.118,0.3092,0.0232,0.0037,2.5,0.943846071071206,0.307366742451123,7.50323415265201
55,0.2048,nmc,2.9,0.087,4.151e-08,90,12.140000249999998,7.548057702558635,82.45194229744136,0.995677146130229,sig_r,d,mu,nc,1,2.1,2.1,0.0,0.0,0.0,-1.4,-1.4,0.0,0.0,0.0,0.9,0.3,0.1,0.223,0.297,0.0263,0.0081,2.5,0.995677146130229,0.296765094954845,8.85521885521886
56,0.2203,nmc,3.51,0.099,2.567e-08,90,13.302662883340899,8.492973818411993,81.507026181588,0.994351968238722,sig_r,d,mu,nc,1,1.8,1.8,0.0,0.0,0.0,-1.1,-1.1,0.0,0.0,0.0,0.8,0.3,0.1,0.193,0.2924,0.007,0.0065,2.5,0.994351968238722,0.29213169276147,2.39398084815321
57,0.2255,nmc,4.47,0.123,1.458e-08,90,16.23246040798226,10.566426656706962,79.43357334329303,0.991137782187623,sig_r,d,mu,nc,1,1.4,1.4,0.0,0.0,0.0,-0.7,-0.7,0.0,0.0,0.0,0.7,0.3,0.1,0.162,0.282,0.007,0.005,2.5,0.991137782187623,0.281650390866181,2.4822695035461
58,0.2259,nmc,5.47,0.149,9.905e-09,90,19.624098094732183,12.907384911904149,77.09261508809585,0.986734824073299,sig_r,d,mu,nc,1,1.2,1.2,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.6,0.3,0.1,0.14,0.2937,0.009,0.0043,2.5,0.986734824073299,0.293220432110378,3.06435137895812
59,0.2273,nmc,6.81,0.184,5.838e-09,90,24.030248751429827,15.97036500609266,74.02963499390734,0.97917707929025,sig_r,d,mu,nc,1,1.0,1.0,0.0,0.0,0.0,-0.3,-0.3,0.0,0.0,0.0,0.6,0.3,0.1,0.12,0.2789,0.0086,0.0034,2.5,0.97917707929025,0.278276644449593,3.08354248834708
60,0.2211,nmc,8.64,0.236,3.68e-09,90,31.317184569877888,20.830138896523398,69.1698611034766,0.964170170648704,sig_r,d,mu,nc,1,0.9,0.9,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,0.6,0.2,0.1,0.104,0.2874,0.0182,0.0032,2.5,0.964170170648704,0.286429234887168,6.33263743910926
61,0.2643,nmc,3.75,0.088,1.722e-08,90,11.318266247446086,7.563124865376379,82.43687513462362,0.995520156767426,sig_r,d,mu,nc,1,1.4,1.4,0.0,0.0,0.0,-0.7,-0.7,0.0,0.0,0.0,1.7,0.3,0.1,0.172,0.269,0.0118,0.0062,2.5,0.995520156767426,0.268822184022238,4.38661710037175
62,0.2723,nmc,4.47,0.102,1.153e-08,90,12.825561958134411,8.750382706894676,81.24961729310533,0.99393591986348,sig_r,d,mu,nc,1,1.3,1.3,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,1.3,0.3,0.1,0.15,0.2672,0.0079,0.0052,2.5,0.99393591986348,0.266987585890872,2.95658682634731
63,0.2746,nmc,5.44,0.123,7.263e-09,90,15.250477648943917,10.560039258498891,79.43996074150111,0.991070404499584,sig_r,d,mu,nc,1,1.1,1.1,0.0,0.0,0.0,-0.3,-0.3,0.0,0.0,0.0,1.0,0.3,0.1,0.13,0.2562,0.0091,0.0039,2.5,0.991070404499584,0.255935704490433,3.55191256830601
64,0.2792,nmc,6.84,0.151,4.327e-09,90,18.538411335243552,13.058937811963515,76.94106218803648,0.98626241841315,sig_r,d,mu,nc,1,0.9,0.9,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,0.7,0.3,0.1,0.109,0.2512,0.009,0.003,2.5,0.98626241841315,0.250859825901467,3.5828025477707
65,0.2729,nmc,8.7,0.194,2.684e-09,90,24.05965345401246,16.99350184115803,73.00649815884196,0.976541809128342,sig_r,d,mu,nc,1,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.1,0.094,0.255,0.0167,0.0028,2.5,0.976541809128342,0.25448523676799,6.54901960784314
66,0.3145,nmc,4.61,0.091,8.036e-09,90,10.928031599364072,7.813532835481915,82.18646716451809,0.995154766980174,sig_r,d,mu,nc,1,0.4,0.4,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,4.4,0.3,0.1,0.14,0.2286,0.0088,0.01,2.5,0.995154766980174,0.228463115329597,3.84951881014873
67,0.3373,nmc,5.46,0.101,5.253e-09,90,11.607214293507262,8.628662203362081,81.37133779663792,0.993986814846377,sig_r,d,mu,nc,1,0.4,0.4,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,3.3,0.2,0.1,0.121,0.2267,0.0071,0.0077,2.5,0.993986814846377,0.226551859978973,3.1318923687693
68,0.3485,nmc,6.87,0.123,3.044e-09,90,13.722899954088952,10.508025561881107,79.49197443811889,0.990971082821853,sig_r,d,mu,nc,1,0.4,0.4,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,2.1,0.2,0.1,0.101,0.2195,0.0068,0.0047,2.5,0.990971082821853,0.219317140576954,3.09794988610478
69,0.3432,nmc,8.73,0.157,1.758e-09,90,17.586906937062935,13.559201992037814,76.44079800796219,0.984965544727826,sig_r,d,mu,nc,1,0.4,0.4,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.2,0.2,0.1,0.085,0.2074,0.0108,0.0028,2.5,0.984965544727826,0.207154848176604,5.20732883317261
70,0.3931,nmc,5.72,0.091,3.036e-09,90,9.710848833375731,7.756399164912437,82.24360083508756,0.995079927114947,sig_r,d,mu,nc,1,-2.9,-2.9,0.0,0.0,0.0,3.7,3.7,0.0,0.0,0.0,9.4,0.2,0.1,0.112,0.168,0.0147,0.0177,2.5,0.995079927114947,0.167915998164484,8.75
71,0.4379,nmc,6.96,0.1,1.731e-09,90,9.813883735099335,8.472302630649967,81.52769736935004,0.994001833000556,sig_r,d,mu,nc,1,-2.5,-2.5,0.0,0.0,0.0,3.4,3.4,0.0,0.0,0.0,7.0,0.2,0.1,0.094,0.1603,0.0061,0.0132,2.5,0.994001833000556,0.160216547150389,3.80536494073612
72,0.4603,nmc,8.74,0.118,8.371e-10,90,11.12746077167065,10.121330901743418,79.87866909825658,0.991564059485275,sig_r,d,mu,nc,1,-1.9,-1.9,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.4,0.2,0.1,0.078,0.131,0.007,0.0074,2.5,0.991564059485275,0.130919460385568,5.34351145038168
73,0.0087,nmc,1.19,0.626,3.651e-06,120,136.4714531954023,72.91130554125922,47.088694458740775,0.656151694335348,sig_r,d,mu,nc,1,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,0.6,0.337,0.2894,0.007,0.0058,2.5,0.656151694335348,0.264316664730985,2.41879751209399
74,0.0117,nmc,1.37,0.539,2.248e-06,120,116.6038610940171,62.41685346162959,57.58314653837041,0.760330140321921,sig_r,d,mu,nc,1,0.6,0.0,0.6,0.0,0.0,-0.2,0.0,-0.2,0.0,0.0,1.7,1.1,0.4,0.246,0.2907,0.0077,0.0061,2.5,0.760330140321921,0.276943655196414,2.64877880976952
75,0.0129,nmc,1.7,0.605,1.392e-06,120,130.9627897364341,70.2467727806152,49.7532272193848,0.683290274099613,sig_r,d,mu,nc,1,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,0.5,0.246,0.3247,0.0056,0.0057,2.5,0.683290274099613,0.304395492136137,1.72466892516169
76,0.0172,nmc,1.77,0.472,1.095e-06,120,102.01682074418606,54.85446521545099,65.145534784549,0.825696752321468,sig_r,d,mu,nc,1,0.7,0.0,0.7,0.0,0.0,-0.2,0.0,-0.2,0.0,0.0,1.3,0.7,0.4,0.19,0.3279,0.0082,0.0056,2.5,0.825696752321468,0.318773794351035,2.50076242756938
