,exp,x,Q2,value,stat_u,sys_u,Ebeam,%*norm_c,target,lepton beam,current,obs
86,bcdms,0.65,65.5,0.0298,0.00186,0.00027,100,3,p,mu,NC,sig_r
87,bcdms,0.65,75.0,0.03194,0.00217,0.00026,100,3,p,mu,NC,sig_r
88,bcdms,0.75,24.5,0.01357,0.00064,0.00096,100,3,p,mu,NC,sig_r
89,bcdms,0.75,28.0,0.01365,0.00068,0.0009,100,3,p,mu,NC,sig_r
90,bcdms,0.75,32.5,0.01307,0.00065,0.00069,100,3,p,mu,NC,sig_r
91,bcdms,0.75,37.5,0.01169,0.00074,0.00051,100,3,p,mu,NC,sig_r
92,bcdms,0.75,43.0,0.01105,0.00079,0.00043,100,3,p,mu,NC,sig_r
93,bcdms,0.75,49.5,0.01082,0.00084,0.00035,100,3,p,mu,NC,sig_r
94,bcdms,0.75,57.0,0.01148,0.001,0.0003,100,3,p,mu,NC,sig_r
95,bcdms,0.75,65.5,0.00966,0.00102,0.00022,100,3,p,mu,NC,sig_r
96,bcdms,0.75,75.0,0.01031,0.00119,0.0002,100,3,p,mu,NC,sig_r
97,bcdms,0.07,8.75,0.37824,0.00583,0.00405,120,3,p,mu,NC,sig_r
98,bcdms,0.07,10.25,0.37381,0.00596,0.00431,120,3,p,mu,NC,sig_r
99,bcdms,0.1,10.25,0.38707,0.00456,0.00285,120,3,p,mu,NC,sig_r
100,bcdms,0.1,11.75,0.38341,0.00476,0.00292,120,3,p,mu,NC,sig_r
101,bcdms,0.1,13.25,0.38291,0.00516,0.00272,120,3,p,mu,NC,sig_r
102,bcdms,0.14,11.75,0.38246,0.00571,0.00251,120,3,p,mu,NC,sig_r
103,bcdms,0.14,13.25,0.37607,0.00583,0.00253,120,3,p,mu,NC,sig_r
104,bcdms,0.14,15.0,0.37557,0.00564,0.00246,120,3,p,mu,NC,sig_r
105,bcdms,0.14,17.0,0.37197,0.00627,0.00229,120,3,p,mu,NC,sig_r
106,bcdms,0.14,19.0,0.36233,0.00684,0.00219,120,3,p,mu,NC,sig_r
107,bcdms,0.18,11.75,0.36009,0.00686,0.00244,120,3,p,mu,NC,sig_r
108,bcdms,0.18,13.25,0.35608,0.00688,0.0023,120,3,p,mu,NC,sig_r
109,bcdms,0.18,15.0,0.34792,0.00643,0.00224,120,3,p,mu,NC,sig_r
110,bcdms,0.18,17.0,0.35021,0.00693,0.00223,120,3,p,mu,NC,sig_r
111,bcdms,0.18,19.0,0.34539,0.00745,0.00218,120,3,p,mu,NC,sig_r
112,bcdms,0.18,21.5,0.3567,0.00694,0.0022,120,3,p,mu,NC,sig_r
113,bcdms,0.18,24.5,0.33272,0.00798,0.00201,120,3,p,mu,NC,sig_r
114,bcdms,0.225,11.75,0.32274,0.0066,0.00219,120,3,p,mu,NC,sig_r
115,bcdms,0.225,13.25,0.3404,0.00703,0.00223,120,3,p,mu,NC,sig_r
116,bcdms,0.225,15.0,0.32526,0.00632,0.00207,120,3,p,mu,NC,sig_r
117,bcdms,0.225,17.0,0.33403,0.00678,0.00211,120,3,p,mu,NC,sig_r
118,bcdms,0.225,19.0,0.31631,0.00705,0.00195,120,3,p,mu,NC,sig_r
119,bcdms,0.225,21.5,0.32392,0.00648,0.00204,120,3,p,mu,NC,sig_r
120,bcdms,0.225,24.5,0.31374,0.00709,0.00191,120,3,p,mu,NC,sig_r
121,bcdms,0.225,28.0,0.31301,0.00592,0.00077,120,3,p,mu,NC,sig_r
122,bcdms,0.225,32.5,0.31897,0.00582,0.00066,120,3,p,mu,NC,sig_r
123,bcdms,0.275,13.25,0.30041,0.00785,0.00197,120,3,p,mu,NC,sig_r
124,bcdms,0.275,15.0,0.31094,0.00731,0.00222,120,3,p,mu,NC,sig_r
125,bcdms,0.275,17.0,0.29574,0.00722,0.00182,120,3,p,mu,NC,sig_r
126,bcdms,0.275,19.0,0.2956,0.00754,0.00198,120,3,p,mu,NC,sig_r
127,bcdms,0.275,21.5,0.29235,0.00676,0.00176,120,3,p,mu,NC,sig_r
128,bcdms,0.275,24.5,0.28614,0.00484,0.00096,120,3,p,mu,NC,sig_r
129,bcdms,0.275,28.0,0.28387,0.00463,0.00088,120,3,p,mu,NC,sig_r
130,bcdms,0.275,32.5,0.28255,0.00472,0.00061,120,3,p,mu,NC,sig_r
131,bcdms,0.275,37.5,0.28359,0.00609,0.00075,120,3,p,mu,NC,sig_r
132,bcdms,0.275,43.0,0.26798,0.00615,0.00099,120,3,p,mu,NC,sig_r
133,bcdms,0.35,13.25,0.23697,0.00604,0.00164,120,3,p,mu,NC,sig_r
134,bcdms,0.35,15.0,0.23426,0.00545,0.00162,120,3,p,mu,NC,sig_r
135,bcdms,0.35,17.0,0.23448,0.00534,0.00141,120,3,p,mu,NC,sig_r
136,bcdms,0.35,19.0,0.22909,0.00549,0.00147,120,3,p,mu,NC,sig_r
137,bcdms,0.35,21.5,0.22136,0.00466,0.00138,120,3,p,mu,NC,sig_r
138,bcdms,0.35,24.5,0.23127,0.00351,0.00084,120,3,p,mu,NC,sig_r
139,bcdms,0.35,28.0,0.22575,0.00332,0.00075,120,3,p,mu,NC,sig_r
140,bcdms,0.35,32.5,0.22033,0.00319,0.00052,120,3,p,mu,NC,sig_r
141,bcdms,0.35,37.5,0.22098,0.00413,0.00036,120,3,p,mu,NC,sig_r
142,bcdms,0.35,43.0,0.2171,0.00418,0.00061,120,3,p,mu,NC,sig_r
143,bcdms,0.35,49.5,0.20737,0.00422,0.00036,120,3,p,mu,NC,sig_r
144,bcdms,0.35,57.0,0.21152,0.00496,0.0006,120,3,p,mu,NC,sig_r
145,bcdms,0.45,13.25,0.15958,0.00593,0.0016,120,3,p,mu,NC,sig_r
146,bcdms,0.45,15.0,0.16145,0.00548,0.00153,120,3,p,mu,NC,sig_r
147,bcdms,0.45,17.0,0.1524,0.00528,0.00138,120,3,p,mu,NC,sig_r
148,bcdms,0.45,19.0,0.15374,0.00554,0.00141,120,3,p,mu,NC,sig_r
149,bcdms,0.45,21.5,0.15342,0.0048,0.00122,120,3,p,mu,NC,sig_r
150,bcdms,0.45,24.5,0.14968,0.00319,0.00078,120,3,p,mu,NC,sig_r
151,bcdms,0.45,28.0,0.14585,0.00303,0.00072,120,3,p,mu,NC,sig_r
152,bcdms,0.45,32.5,0.14579,0.00291,0.00057,120,3,p,mu,NC,sig_r
153,bcdms,0.45,37.5,0.14296,0.00316,0.00053,120,3,p,mu,NC,sig_r
154,bcdms,0.45,43.0,0.14187,0.00365,0.00053,120,3,p,mu,NC,sig_r
155,bcdms,0.45,49.5,0.13688,0.00367,0.00047,120,3,p,mu,NC,sig_r
156,bcdms,0.45,57.0,0.13681,0.00386,0.00068,120,3,p,mu,NC,sig_r
157,bcdms,0.45,65.5,0.13381,0.00421,0.00038,120,3,p,mu,NC,sig_r
158,bcdms,0.45,75.0,0.12253,0.00479,0.00032,120,3,p,mu,NC,sig_r
159,bcdms,0.55,15.0,0.08494,0.00385,0.00193,120,3,p,mu,NC,sig_r
160,bcdms,0.55,17.0,0.07999,0.00362,0.00162,120,3,p,mu,NC,sig_r
161,bcdms,0.55,19.0,0.09073,0.00451,0.00151,120,3,p,mu,NC,sig_r
162,bcdms,0.55,21.5,0.08537,0.00371,0.00132,120,3,p,mu,NC,sig_r
163,bcdms,0.55,24.5,0.09156,0.00433,0.00124,120,3,p,mu,NC,sig_r
164,bcdms,0.55,28.0,0.08154,0.00229,0.00091,120,3,p,mu,NC,sig_r
165,bcdms,0.55,32.5,0.07923,0.0022,0.00074,120,3,p,mu,NC,sig_r
166,bcdms,0.55,37.5,0.0786,0.00247,0.00068,120,3,p,mu,NC,sig_r
167,bcdms,0.55,43.0,0.07617,0.00285,0.00056,120,3,p,mu,NC,sig_r
168,bcdms,0.55,49.5,0.07888,0.003,0.00052,120,3,p,mu,NC,sig_r
169,bcdms,0.55,57.0,0.07464,0.00309,0.00044,120,3,p,mu,NC,sig_r
170,bcdms,0.55,65.5,0.06671,0.0032,0.00035,120,3,p,mu,NC,sig_r
171,bcdms,0.55,75.0,0.07039,0.00357,0.00033,120,3,p,mu,NC,sig_r
172,bcdms,0.55,86.0,0.0702,0.00379,0.0003,120,3,p,mu,NC,sig_r
173,bcdms,0.65,17.0,0.04111,0.00214,0.00227,120,3,p,mu,NC,sig_r
174,bcdms,0.65,19.0,0.04282,0.00238,0.00208,120,3,p,mu,NC,sig_r
175,bcdms,0.65,21.5,0.04106,0.00218,0.00181,120,3,p,mu,NC,sig_r
176,bcdms,0.65,24.5,0.03654,0.0023,0.00138,120,3,p,mu,NC,sig_r
177,bcdms,0.65,28.0,0.03692,0.00225,0.00121,120,3,p,mu,NC,sig_r
178,bcdms,0.65,32.5,0.03679,0.00136,0.00095,120,3,p,mu,NC,sig_r
179,bcdms,0.65,37.5,0.04065,0.0017,0.00088,120,3,p,mu,NC,sig_r
180,bcdms,0.65,43.0,0.03612,0.00184,0.00067,120,3,p,mu,NC,sig_r
181,bcdms,0.65,49.5,0.03589,0.00198,0.00057,120,3,p,mu,NC,sig_r
182,bcdms,0.65,57.0,0.03042,0.00193,0.00041,120,3,p,mu,NC,sig_r
183,bcdms,0.65,65.5,0.0356,0.00231,0.00043,120,3,p,mu,NC,sig_r
184,bcdms,0.65,75.0,0.03168,0.00243,0.00033,120,3,p,mu,NC,sig_r
185,bcdms,0.65,86.0,0.03041,0.00251,0.00029,120,3,p,mu,NC,sig_r
186,bcdms,0.65,99.0,0.03436,0.00295,0.00028,120,3,p,mu,NC,sig_r
187,bcdms,0.75,32.5,0.01335,0.00075,0.00084,120,3,p,mu,NC,sig_r
188,bcdms,0.75,37.5,0.01194,0.00084,0.00066,120,3,p,mu,NC,sig_r
189,bcdms,0.75,43.0,0.01238,0.00091,0.00061,120,3,p,mu,NC,sig_r
190,bcdms,0.75,49.5,0.01155,0.00097,0.0005,120,3,p,mu,NC,sig_r
191,bcdms,0.75,57.0,0.01169,0.00105,0.00043,120,3,p,mu,NC,sig_r
192,bcdms,0.75,65.5,0.01056,0.00117,0.00034,120,3,p,mu,NC,sig_r
193,bcdms,0.75,75.0,0.00992,0.00124,0.00026,120,3,p,mu,NC,sig_r
194,bcdms,0.75,86.0,0.00961,0.00134,0.00022,120,3,p,mu,NC,sig_r
195,bcdms,0.75,99.0,0.00815,0.00131,0.00016,120,3,p,mu,NC,sig_r
196,bcdms,0.07,8.75,0.37824,0.00583,0.00405,200,3,p,mu,NC,sig_r
197,bcdms,0.07,17.0,0.39928,0.00521,0.00383,200,3,p,mu,NC,sig_r
198,bcdms,0.07,19.0,0.39989,0.00527,0.00386,200,3,p,mu,NC,sig_r
199,bcdms,0.1,19.0,0.39548,0.00407,0.00199,200,3,p,mu,NC,sig_r
200,bcdms,0.1,21.5,0.39338,0.00317,0.00223,200,3,p,mu,NC,sig_r
201,bcdms,0.1,24.5,0.39402,0.00339,0.00189,200,3,p,mu,NC,sig_r
202,bcdms,0.14,21.5,0.37841,0.00361,0.00183,200,3,p,mu,NC,sig_r
203,bcdms,0.14,24.5,0.37991,0.00378,0.00205,200,3,p,mu,NC,sig_r
204,bcdms,0.14,28.0,0.37499,0.00362,0.00144,200,3,p,mu,NC,sig_r
205,bcdms,0.14,32.5,0.36709,0.00356,0.00151,200,3,p,mu,NC,sig_r
206,bcdms,0.18,21.5,0.35061,0.00419,0.00175,200,3,p,mu,NC,sig_r
207,bcdms,0.18,24.5,0.36077,0.00434,0.00146,200,3,p,mu,NC,sig_r
208,bcdms,0.18,28.0,0.36004,0.00413,0.00143,200,3,p,mu,NC,sig_r
209,bcdms,0.18,32.5,0.34712,0.00288,0.00119,200,3,p,mu,NC,sig_r
210,bcdms,0.18,37.5,0.34052,0.00302,0.00083,200,3,p,mu,NC,sig_r
211,bcdms,0.18,43.0,0.34255,0.00301,0.00074,200,3,p,mu,NC,sig_r
212,bcdms,0.225,28.0,0.32246,0.00384,0.00137,200,3,p,mu,NC,sig_r
213,bcdms,0.225,32.5,0.32715,0.00365,0.00118,200,3,p,mu,NC,sig_r
214,bcdms,0.225,37.5,0.31302,0.00276,0.0007,200,3,p,mu,NC,sig_r
215,bcdms,0.225,43.0,0.31337,0.00269,0.00085,200,3,p,mu,NC,sig_r
216,bcdms,0.225,49.5,0.30607,0.00264,0.00109,200,3,p,mu,NC,sig_r
217,bcdms,0.225,57.0,0.31349,0.00363,0.00065,200,3,p,mu,NC,sig_r
218,bcdms,0.275,28.0,0.28822,0.00409,0.0011,200,3,p,mu,NC,sig_r
219,bcdms,0.275,32.5,0.28252,0.00372,0.00115,200,3,p,mu,NC,sig_r
220,bcdms,0.275,37.5,0.27908,0.0029,0.00068,200,3,p,mu,NC,sig_r
221,bcdms,0.275,43.0,0.27264,0.00272,0.00065,200,3,p,mu,NC,sig_r
222,bcdms,0.275,49.5,0.27001,0.00272,0.00084,200,3,p,mu,NC,sig_r
223,bcdms,0.275,57.0,0.27276,0.00292,0.00061,200,3,p,mu,NC,sig_r
224,bcdms,0.275,65.5,0.26985,0.00361,0.00071,200,3,p,mu,NC,sig_r
225,bcdms,0.275,75.0,0.26068,0.00385,0.00111,200,3,p,mu,NC,sig_r
226,bcdms,0.35,32.5,0.22221,0.00276,0.00078,200,3,p,mu,NC,sig_r
227,bcdms,0.35,37.5,0.21985,0.00209,0.00058,200,3,p,mu,NC,sig_r
228,bcdms,0.35,43.0,0.21666,0.00201,0.00066,200,3,p,mu,NC,sig_r
229,bcdms,0.35,49.5,0.21473,0.00196,0.00057,200,3,p,mu,NC,sig_r
230,bcdms,0.35,57.0,0.2141,0.00203,0.00075,200,3,p,mu,NC,sig_r
231,bcdms,0.35,65.5,0.20758,0.0021,0.00043,200,3,p,mu,NC,sig_r
232,bcdms,0.35,75.0,0.20193,0.00258,0.00035,200,3,p,mu,NC,sig_r
233,bcdms,0.35,86.0,0.20554,0.00273,0.00079,200,3,p,mu,NC,sig_r
234,bcdms,0.35,99.0,0.20033,0.00297,0.00048,200,3,p,mu,NC,sig_r
235,bcdms,0.45,32.5,0.14298,0.00266,0.00106,200,3,p,mu,NC,sig_r
236,bcdms,0.45,37.5,0.13689,0.00276,0.00086,200,3,p,mu,NC,sig_r
237,bcdms,0.45,43.0,0.13873,0.00183,0.00074,200,3,p,mu,NC,sig_r
238,bcdms,0.45,49.5,0.13676,0.00179,0.00058,200,3,p,mu,NC,sig_r
239,bcdms,0.45,57.0,0.13594,0.00185,0.00055,200,3,p,mu,NC,sig_r
240,bcdms,0.45,65.5,0.1303,0.00183,0.00053,200,3,p,mu,NC,sig_r
241,bcdms,0.45,75.0,0.12735,0.00225,0.0004,200,3,p,mu,NC,sig_r
242,bcdms,0.45,86.0,0.13085,0.00235,0.00054,200,3,p,mu,NC,sig_r
243,bcdms,0.45,99.0,0.12724,0.00243,0.00037,200,3,p,mu,NC,sig_r
244,bcdms,0.45,115.5,0.12334,0.00239,0.00038,200,3,p,mu,NC,sig_r
245,bcdms,0.55,32.5,0.07733,0.00202,0.00155,200,3,p,mu,NC,sig_r
246,bcdms,0.55,37.5,0.08019,0.00227,0.00137,200,3,p,mu,NC,sig_r
247,bcdms,0.55,43.0,0.07591,0.00135,0.00104,200,3,p,mu,NC,sig_r
248,bcdms,0.55,49.5,0.07558,0.00136,0.00093,200,3,p,mu,NC,sig_r
249,bcdms,0.55,57.0,0.07589,0.00145,0.00073,200,3,p,mu,NC,sig_r
250,bcdms,0.55,65.5,0.0709,0.00142,0.00055,200,3,p,mu,NC,sig_r
251,bcdms,0.55,75.0,0.07022,0.00155,0.0005,200,3,p,mu,NC,sig_r
252,bcdms,0.55,86.0,0.07299,0.00191,0.0005,200,3,p,mu,NC,sig_r
253,bcdms,0.55,99.0,0.06683,0.00188,0.00039,200,3,p,mu,NC,sig_r
254,bcdms,0.55,115.5,0.06513,0.00185,0.00034,200,3,p,mu,NC,sig_r
255,bcdms,0.55,137.5,0.06621,0.00196,0.00033,200,3,p,mu,NC,sig_r
256,bcdms,0.65,32.5,0.03721,0.00122,0.00171,200,3,p,mu,NC,sig_r
257,bcdms,0.65,37.5,0.03407,0.0013,0.00141,200,3,p,mu,NC,sig_r
258,bcdms,0.65,43.0,0.03538,0.00078,0.00125,200,3,p,mu,NC,sig_r
259,bcdms,0.65,49.5,0.03512,0.00083,0.00108,200,3,p,mu,NC,sig_r
260,bcdms,0.65,57.0,0.03327,0.00086,0.00084,200,3,p,mu,NC,sig_r
261,bcdms,0.65,65.5,0.03248,0.00092,0.00067,200,3,p,mu,NC,sig_r
262,bcdms,0.65,75.0,0.03213,0.001,0.00054,200,3,p,mu,NC,sig_r
263,bcdms,0.65,86.0,0.03359,0.00126,0.00048,200,3,p,mu,NC,sig_r
264,bcdms,0.65,99.0,0.0308,0.00128,0.00041,200,3,p,mu,NC,sig_r
265,bcdms,0.65,115.5,0.02839,0.00125,0.00031,200,3,p,mu,NC,sig_r
266,bcdms,0.65,137.5,0.0278,0.0013,0.00025,200,3,p,mu,NC,sig_r
267,bcdms,0.75,43.0,0.01252,0.00042,0.00108,200,3,p,mu,NC,sig_r
268,bcdms,0.75,49.5,0.01189,0.00044,0.00091,200,3,p,mu,NC,sig_r
269,bcdms,0.75,57.0,0.01076,0.00046,0.00075,200,3,p,mu,NC,sig_r
270,bcdms,0.75,65.5,0.01068,0.00052,0.00066,200,3,p,mu,NC,sig_r
271,bcdms,0.75,75.0,0.01117,0.00058,0.00063,200,3,p,mu,NC,sig_r
272,bcdms,0.75,86.0,0.00999,0.00058,0.00048,200,3,p,mu,NC,sig_r
273,bcdms,0.75,99.0,0.00905,0.0006,0.00039,200,3,p,mu,NC,sig_r
274,bcdms,0.75,115.5,0.00813,0.00061,0.00029,200,3,p,mu,NC,sig_r
275,bcdms,0.75,137.5,0.00903,0.00068,0.00026,200,3,p,mu,NC,sig_r
276,bcdms,0.07,8.75,0.37824,0.00583,0.00405,280,3,p,mu,NC,sig_r
277,bcdms,0.1,32.5,0.39629,0.00559,0.00255,280,3,p,mu,NC,sig_r
278,bcdms,0.1,37.5,0.39408,0.0063,0.0019,280,3,p,mu,NC,sig_r
279,bcdms,0.14,37.5,0.37285,0.00654,0.00167,280,3,p,mu,NC,sig_r
280,bcdms,0.14,43.0,0.37063,0.00645,0.00153,280,3,p,mu,NC,sig_r
281,bcdms,0.14,49.5,0.35668,0.00661,0.00146,280,3,p,mu,NC,sig_r
282,bcdms,0.14,57.0,0.37001,0.00802,0.00143,280,3,p,mu,NC,sig_r
283,bcdms,0.18,37.5,0.3463,0.00695,0.0014,280,3,p,mu,NC,sig_r
284,bcdms,0.18,43.0,0.35894,0.00694,0.00124,280,3,p,mu,NC,sig_r
285,bcdms,0.18,49.5,0.33701,0.00706,0.00122,280,3,p,mu,NC,sig_r
286,bcdms,0.18,57.0,0.34082,0.00475,0.00081,280,3,p,mu,NC,sig_r
287,bcdms,0.18,65.5,0.33512,0.00504,0.0008,280,3,p,mu,NC,sig_r
288,bcdms,0.225,37.5,0.31199,0.00658,0.00141,280,3,p,mu,NC,sig_r
289,bcdms,0.225,43.0,0.30882,0.00631,0.00127,280,3,p,mu,NC,sig_r
290,bcdms,0.225,49.5,0.31671,0.00659,0.0011,280,3,p,mu,NC,sig_r
291,bcdms,0.225,57.0,0.30994,0.00435,0.00067,280,3,p,mu,NC,sig_r
292,bcdms,0.225,65.5,0.31282,0.0047,0.00074,280,3,p,mu,NC,sig_r
293,bcdms,0.225,75.0,0.30247,0.00499,0.00063,280,3,p,mu,NC,sig_r
294,bcdms,0.225,86.0,0.30229,0.00533,0.00068,280,3,p,mu,NC,sig_r
