,exp,Elab,x,Q2,obs,target,lepton beam,current,units,value unscaled,stat unscaled,sys unscaled,value,stat_u,sys_u,*norm_c
57,bonus,4.223,0.284,0.738,F2,n/d,e_minus,NC,1,0.342,0.05,0.003,0.684,0.1,0.006,0.030780000000000002
58,bonus,4.223,0.277,0.737,F2,n/d,e_minus,NC,1,0.367,0.049,0.003,0.734,0.098,0.006,0.03303
59,bonus,4.223,0.269,0.736,F2,n/d,e_minus,NC,1,0.429,0.048,0.004,0.858,0.096,0.008,0.03861
60,bonus,4.223,0.262,0.735,F2,n/d,e_minus,NC,1,0.429,0.047,0.004,0.858,0.094,0.008,0.03861
61,bonus,4.223,0.256,0.734,F2,n/d,e_minus,NC,1,0.444,0.045,0.004,0.888,0.09,0.008,0.03996
62,bonus,4.223,0.249,0.733,F2,n/d,e_minus,NC,1,0.472,0.044,0.004,0.944,0.088,0.008,0.04248
63,bonus,4.223,0.244,0.732,F2,n/d,e_minus,NC,1,0.353,0.038,0.003,0.706,0.076,0.006,0.03177
64,bonus,4.223,0.238,0.731,F2,n/d,e_minus,NC,1,0.397,0.039,0.003,0.794,0.078,0.006,0.03573
65,bonus,4.223,0.231,0.73,F2,n/d,e_minus,NC,1,0.377,0.036,0.003,0.754,0.072,0.006,0.03393
66,bonus,4.223,0.226,0.729,F2,n/d,e_minus,NC,1,0.348,0.035,0.003,0.696,0.07,0.006,0.031319999999999994
67,bonus,4.223,0.221,0.728,F2,n/d,e_minus,NC,1,0.385,0.035,0.003,0.77,0.07,0.006,0.03465
68,bonus,4.223,0.216,0.727,F2,n/d,e_minus,NC,1,0.455,0.037,0.003,0.91,0.074,0.006,0.04095
69,bonus,4.223,0.21,0.726,F2,n/d,e_minus,NC,1,0.464,0.036,0.003,0.928,0.072,0.006,0.04176
70,bonus,4.223,0.206,0.725,F2,n/d,e_minus,NC,1,0.42,0.034,0.003,0.84,0.068,0.006,0.0378
71,bonus,4.223,0.202,0.723,F2,n/d,e_minus,NC,1,0.452,0.034,0.003,0.904,0.068,0.006,0.04068
72,bonus,4.223,0.196,0.722,F2,n/d,e_minus,NC,1,0.442,0.033,0.003,0.884,0.066,0.006,0.039779999999999996
73,bonus,4.223,0.192,0.721,F2,n/d,e_minus,NC,1,0.456,0.033,0.003,0.912,0.066,0.006,0.04104
74,bonus,4.223,0.188,0.719,F2,n/d,e_minus,NC,1,0.434,0.032,0.003,0.868,0.064,0.006,0.03906
75,bonus,4.223,0.183,0.718,F2,n/d,e_minus,NC,1,0.411,0.031,0.002,0.822,0.062,0.004,0.036989999999999995
76,bonus,4.223,0.18,0.717,F2,n/d,e_minus,NC,1,0.433,0.031,0.002,0.866,0.062,0.004,0.03897
77,bonus,4.223,0.176,0.716,F2,n/d,e_minus,NC,1,0.437,0.03,0.002,0.874,0.06,0.004,0.03933
78,bonus,4.223,0.173,0.714,F2,n/d,e_minus,NC,1,0.394,0.029,0.002,0.788,0.058,0.004,0.03546
79,bonus,4.223,0.169,0.713,F2,n/d,e_minus,NC,1,0.449,0.03,0.002,0.898,0.06,0.004,0.04041
80,bonus,4.223,0.165,0.712,F2,n/d,e_minus,NC,1,0.43,0.029,0.002,0.86,0.058,0.004,0.0387
81,bonus,4.223,0.163,0.712,F2,n/d,e_minus,NC,1,0.447,0.029,0.002,0.894,0.058,0.004,0.04023
82,bonus,4.223,0.159,0.711,F2,n/d,e_minus,NC,1,0.468,0.029,0.002,0.936,0.058,0.004,0.04212
83,bonus,4.223,0.156,0.712,F2,n/d,e_minus,NC,1,0.45,0.028,0.002,0.9,0.056,0.004,0.0405
84,bonus,4.223,0.153,0.711,F2,n/d,e_minus,NC,1,0.437,0.028,0.002,0.874,0.056,0.004,0.03933
85,bonus,4.223,0.15,0.711,F2,n/d,e_minus,NC,1,0.375,0.026,0.002,0.75,0.052,0.004,0.03375
86,bonus,4.223,0.147,0.71,F2,n/d,e_minus,NC,1,0.41,0.027,0.002,0.82,0.054,0.004,0.036899999999999995
87,bonus,4.223,0.145,0.709,F2,n/d,e_minus,NC,1,0.432,0.027,0.002,0.864,0.054,0.004,0.03888
88,bonus,4.223,0.142,0.709,F2,n/d,e_minus,NC,1,0.471,0.028,0.002,0.942,0.056,0.004,0.04239
89,bonus,4.223,0.139,0.708,F2,n/d,e_minus,NC,1,0.481,0.029,0.002,0.962,0.058,0.004,0.043289999999999995
90,bonus,4.223,0.7,0.865,F2,n/d,e_minus,NC,1,0.16,0.04,0.011,0.32,0.08,0.022,0.0144
91,bonus,4.223,0.676,0.863,F2,n/d,e_minus,NC,1,0.323,0.06,0.02,0.646,0.12,0.04,0.02907
92,bonus,4.223,0.652,0.863,F2,n/d,e_minus,NC,1,0.432,0.062,0.024,0.864,0.124,0.048,0.03888
93,bonus,4.223,0.629,0.862,F2,n/d,e_minus,NC,1,0.632,0.062,0.031,1.264,0.124,0.062,0.05688
94,bonus,4.223,0.609,0.861,F2,n/d,e_minus,NC,1,0.653,0.056,0.03,1.306,0.112,0.06,0.05877
95,bonus,4.223,0.59,0.861,F2,n/d,e_minus,NC,1,0.736,0.054,0.03,1.472,0.108,0.06,0.06624
96,bonus,4.223,0.571,0.859,F2,n/d,e_minus,NC,1,0.749,0.051,0.028,1.498,0.102,0.056,0.06741
97,bonus,4.223,0.552,0.859,F2,n/d,e_minus,NC,1,0.609,0.044,0.021,1.218,0.088,0.042,0.05481
98,bonus,4.223,0.534,0.858,F2,n/d,e_minus,NC,1,0.498,0.039,0.016,0.996,0.078,0.032,0.04482
99,bonus,4.223,0.518,0.858,F2,n/d,e_minus,NC,1,0.477,0.038,0.014,0.954,0.076,0.028,0.042929999999999996
100,bonus,4.223,0.501,0.857,F2,n/d,e_minus,NC,1,0.452,0.037,0.012,0.904,0.074,0.024,0.04068
101,bonus,4.223,0.486,0.857,F2,n/d,e_minus,NC,1,0.472,0.038,0.012,0.944,0.076,0.024,0.04248
102,bonus,4.223,0.473,0.856,F2,n/d,e_minus,NC,1,0.424,0.037,0.01,0.848,0.074,0.02,0.03816
103,bonus,4.223,0.457,0.855,F2,n/d,e_minus,NC,1,0.365,0.035,0.008,0.73,0.07,0.016,0.03285
104,bonus,4.223,0.444,0.854,F2,n/d,e_minus,NC,1,0.4,0.037,0.008,0.8,0.074,0.016,0.036
105,bonus,4.223,0.431,0.853,F2,n/d,e_minus,NC,1,0.377,0.035,0.007,0.754,0.07,0.014,0.03393
106,bonus,4.223,0.419,0.853,F2,n/d,e_minus,NC,1,0.405,0.036,0.007,0.81,0.072,0.014,0.03645
107,bonus,4.223,0.408,0.852,F2,n/d,e_minus,NC,1,0.436,0.035,0.008,0.872,0.07,0.016,0.03924
108,bonus,4.223,0.396,0.851,F2,n/d,e_minus,NC,1,0.375,0.032,0.006,0.75,0.064,0.012,0.03375
109,bonus,4.223,0.384,0.85,F2,n/d,e_minus,NC,1,0.466,0.034,0.007,0.932,0.068,0.014,0.04194
110,bonus,4.223,0.374,0.849,F2,n/d,e_minus,NC,1,0.445,0.031,0.007,0.89,0.062,0.014,0.04005
111,bonus,4.223,0.365,0.849,F2,n/d,e_minus,NC,1,0.447,0.031,0.006,0.894,0.062,0.012,0.04023
112,bonus,4.223,0.356,0.848,F2,n/d,e_minus,NC,1,0.406,0.03,0.005,0.812,0.06,0.01,0.03654
113,bonus,4.223,0.345,0.847,F2,n/d,e_minus,NC,1,0.383,0.028,0.005,0.766,0.056,0.01,0.03447
114,bonus,4.223,0.338,0.847,F2,n/d,e_minus,NC,1,0.398,0.029,0.005,0.796,0.058,0.01,0.03582
115,bonus,4.223,0.329,0.846,F2,n/d,e_minus,NC,1,0.402,0.029,0.005,0.804,0.058,0.01,0.036180000000000004
116,bonus,4.223,0.321,0.846,F2,n/d,e_minus,NC,1,0.418,0.029,0.005,0.836,0.058,0.01,0.037619999999999994
117,bonus,4.223,0.313,0.845,F2,n/d,e_minus,NC,1,0.441,0.029,0.005,0.882,0.058,0.01,0.039689999999999996
118,bonus,4.223,0.304,0.845,F2,n/d,e_minus,NC,1,0.459,0.029,0.005,0.918,0.058,0.01,0.04131
119,bonus,4.223,0.298,0.845,F2,n/d,e_minus,NC,1,0.435,0.028,0.004,0.87,0.056,0.008,0.03915
120,bonus,4.223,0.293,0.845,F2,n/d,e_minus,NC,1,0.473,0.029,0.005,0.946,0.058,0.01,0.04257
121,bonus,4.223,0.284,0.845,F2,n/d,e_minus,NC,1,0.421,0.027,0.004,0.842,0.054,0.008,0.03789
122,bonus,4.223,0.277,0.845,F2,n/d,e_minus,NC,1,0.38,0.025,0.004,0.76,0.05,0.008,0.0342
123,bonus,4.223,0.272,0.845,F2,n/d,e_minus,NC,1,0.418,0.026,0.004,0.836,0.052,0.008,0.037619999999999994
124,bonus,4.223,0.266,0.845,F2,n/d,e_minus,NC,1,0.371,0.025,0.003,0.742,0.05,0.006,0.033389999999999996
125,bonus,4.223,0.259,0.845,F2,n/d,e_minus,NC,1,0.383,0.025,0.003,0.766,0.05,0.006,0.03447
126,bonus,4.223,0.254,0.845,F2,n/d,e_minus,NC,1,0.391,0.025,0.003,0.782,0.05,0.006,0.03519
127,bonus,4.223,0.248,0.845,F2,n/d,e_minus,NC,1,0.405,0.026,0.003,0.81,0.052,0.006,0.03645
128,bonus,4.223,0.243,0.845,F2,n/d,e_minus,NC,1,0.444,0.027,0.003,0.888,0.054,0.006,0.03996
129,bonus,4.223,0.237,0.845,F2,n/d,e_minus,NC,1,0.397,0.026,0.003,0.794,0.052,0.006,0.03573
130,bonus,4.223,0.232,0.844,F2,n/d,e_minus,NC,1,0.427,0.026,0.003,0.854,0.052,0.006,0.03843
131,bonus,4.223,0.227,0.844,F2,n/d,e_minus,NC,1,0.458,0.027,0.003,0.916,0.054,0.006,0.04122
132,bonus,4.223,0.223,0.843,F2,n/d,e_minus,NC,1,0.429,0.027,0.003,0.858,0.054,0.006,0.03861
133,bonus,4.223,0.218,0.843,F2,n/d,e_minus,NC,1,0.438,0.026,0.003,0.876,0.052,0.006,0.03942
134,bonus,4.223,0.214,0.842,F2,n/d,e_minus,NC,1,0.422,0.026,0.003,0.844,0.052,0.006,0.03798
135,bonus,4.223,0.21,0.842,F2,n/d,e_minus,NC,1,0.436,0.026,0.003,0.872,0.052,0.006,0.03924
136,bonus,4.223,0.205,0.842,F2,n/d,e_minus,NC,1,0.438,0.026,0.003,0.876,0.052,0.006,0.03942
137,bonus,4.223,0.202,0.842,F2,n/d,e_minus,NC,1,0.379,0.025,0.002,0.758,0.05,0.004,0.03411
138,bonus,4.223,0.198,0.842,F2,n/d,e_minus,NC,1,0.42,0.026,0.003,0.84,0.052,0.006,0.0378
139,bonus,4.223,0.193,0.842,F2,n/d,e_minus,NC,1,0.478,0.027,0.003,0.956,0.054,0.006,0.043019999999999996
140,bonus,4.223,0.19,0.843,F2,n/d,e_minus,NC,1,0.451,0.026,0.003,0.902,0.052,0.006,0.04059
141,bonus,4.223,0.187,0.842,F2,n/d,e_minus,NC,1,0.404,0.025,0.002,0.808,0.05,0.004,0.03636
142,bonus,4.223,0.183,0.843,F2,n/d,e_minus,NC,1,0.414,0.026,0.002,0.828,0.052,0.004,0.037259999999999995
143,bonus,4.223,0.18,0.843,F2,n/d,e_minus,NC,1,0.443,0.027,0.003,0.886,0.054,0.006,0.039869999999999996
144,bonus,4.223,0.177,0.843,F2,n/d,e_minus,NC,1,0.474,0.027,0.003,0.948,0.054,0.006,0.04266
145,bonus,4.223,0.174,0.843,F2,n/d,e_minus,NC,1,0.428,0.026,0.002,0.856,0.052,0.004,0.03852
146,bonus,4.223,0.17,0.842,F2,n/d,e_minus,NC,1,0.441,0.027,0.002,0.882,0.054,0.004,0.039689999999999996
147,bonus,4.223,0.167,0.842,F2,n/d,e_minus,NC,1,0.446,0.027,0.002,0.892,0.054,0.004,0.04014
148,bonus,4.223,0.734,1.007,F2,n/d,e_minus,NC,1,0.171,0.032,0.014,0.342,0.064,0.028,0.015390000000000001
149,bonus,4.223,0.71,1.007,F2,n/d,e_minus,NC,1,0.283,0.045,0.021,0.566,0.09,0.042,0.025469999999999996
150,bonus,4.223,0.687,1.006,F2,n/d,e_minus,NC,1,0.526,0.052,0.035,1.052,0.104,0.07,0.04734
151,bonus,4.223,0.668,1.006,F2,n/d,e_minus,NC,1,0.64,0.052,0.038,1.28,0.104,0.076,0.0576
152,bonus,4.223,0.645,1.006,F2,n/d,e_minus,NC,1,0.728,0.05,0.039,1.456,0.1,0.078,0.06552
153,bonus,4.223,0.628,1.005,F2,n/d,e_minus,NC,1,0.716,0.045,0.035,1.432,0.09,0.07,0.06444
154,bonus,4.223,0.609,1.006,F2,n/d,e_minus,NC,1,0.762,0.044,0.034,1.524,0.088,0.068,0.06858
155,bonus,4.223,0.591,1.006,F2,n/d,e_minus,NC,1,0.58,0.038,0.024,1.16,0.076,0.048,0.052199999999999996
156,bonus,4.223,0.575,1.006,F2,n/d,e_minus,NC,1,0.539,0.036,0.021,1.078,0.072,0.042,0.048510000000000005
157,bonus,4.223,0.558,1.006,F2,n/d,e_minus,NC,1,0.452,0.033,0.016,0.904,0.066,0.032,0.04068
158,bonus,4.223,0.543,1.007,F2,n/d,e_minus,NC,1,0.466,0.035,0.015,0.932,0.07,0.03,0.04194
159,bonus,4.223,0.527,1.006,F2,n/d,e_minus,NC,1,0.44,0.034,0.013,0.88,0.068,0.026,0.039599999999999996
160,bonus,4.223,0.513,1.006,F2,n/d,e_minus,NC,1,0.405,0.034,0.012,0.81,0.068,0.024,0.03645
161,bonus,4.223,0.498,1.006,F2,n/d,e_minus,NC,1,0.404,0.034,0.011,0.808,0.068,0.022,0.03636
162,bonus,4.223,0.485,1.006,F2,n/d,e_minus,NC,1,0.437,0.035,0.011,0.874,0.07,0.022,0.03933
163,bonus,4.223,0.47,1.006,F2,n/d,e_minus,NC,1,0.348,0.032,0.008,0.696,0.064,0.016,0.031319999999999994
164,bonus,4.223,0.459,1.005,F2,n/d,e_minus,NC,1,0.401,0.032,0.009,0.802,0.064,0.018,0.036090000000000004
165,bonus,4.223,0.447,1.005,F2,n/d,e_minus,NC,1,0.36,0.031,0.008,0.72,0.062,0.016,0.0324
166,bonus,4.223,0.436,1.005,F2,n/d,e_minus,NC,1,0.426,0.032,0.008,0.852,0.064,0.016,0.03834
167,bonus,4.223,0.425,1.004,F2,n/d,e_minus,NC,1,0.432,0.031,0.008,0.864,0.062,0.016,0.03888
168,bonus,4.223,0.415,1.003,F2,n/d,e_minus,NC,1,0.412,0.029,0.007,0.824,0.058,0.014,0.037079999999999995
169,bonus,4.223,0.406,1.003,F2,n/d,e_minus,NC,1,0.431,0.029,0.007,0.862,0.058,0.014,0.03879
170,bonus,4.223,0.395,1.002,F2,n/d,e_minus,NC,1,0.468,0.029,0.008,0.936,0.058,0.016,0.04212
171,bonus,4.223,0.386,1.003,F2,n/d,e_minus,NC,1,0.361,0.027,0.006,0.722,0.054,0.012,0.03249
172,bonus,4.223,0.377,1.003,F2,n/d,e_minus,NC,1,0.433,0.029,0.006,0.866,0.058,0.012,0.03897
173,bonus,4.223,0.368,1.003,F2,n/d,e_minus,NC,1,0.423,0.028,0.006,0.846,0.056,0.012,0.03807
174,bonus,4.223,0.36,1.003,F2,n/d,e_minus,NC,1,0.419,0.028,0.006,0.838,0.056,0.012,0.03771
175,bonus,4.223,0.351,1.004,F2,n/d,e_minus,NC,1,0.481,0.029,0.006,0.962,0.058,0.012,0.043289999999999995
176,bonus,4.223,0.344,1.003,F2,n/d,e_minus,NC,1,0.395,0.027,0.005,0.79,0.054,0.01,0.03555
177,bonus,4.223,0.336,1.004,F2,n/d,e_minus,NC,1,0.444,0.028,0.005,0.888,0.056,0.01,0.03996
178,bonus,4.223,0.327,1.005,F2,n/d,e_minus,NC,1,0.425,0.027,0.005,0.85,0.054,0.01,0.03825
179,bonus,4.223,0.322,1.006,F2,n/d,e_minus,NC,1,0.372,0.025,0.004,0.744,0.05,0.008,0.033479999999999996
180,bonus,4.223,0.315,1.006,F2,n/d,e_minus,NC,1,0.392,0.026,0.004,0.784,0.052,0.008,0.03528
181,bonus,4.223,0.307,1.006,F2,n/d,e_minus,NC,1,0.373,0.025,0.004,0.746,0.05,0.008,0.033569999999999996
182,bonus,4.223,0.301,1.007,F2,n/d,e_minus,NC,1,0.4,0.026,0.004,0.8,0.052,0.008,0.036
183,bonus,4.223,0.294,1.007,F2,n/d,e_minus,NC,1,0.312,0.023,0.003,0.624,0.046,0.006,0.028079999999999997
184,bonus,4.223,0.289,1.007,F2,n/d,e_minus,NC,1,0.412,0.026,0.004,0.824,0.052,0.008,0.037079999999999995
185,bonus,4.223,0.283,1.007,F2,n/d,e_minus,NC,1,0.38,0.025,0.004,0.76,0.05,0.008,0.0342
186,bonus,4.223,0.276,1.007,F2,n/d,e_minus,NC,1,0.378,0.025,0.003,0.756,0.05,0.006,0.03402
187,bonus,4.223,0.271,1.007,F2,n/d,e_minus,NC,1,0.411,0.026,0.004,0.822,0.052,0.008,0.036989999999999995
188,bonus,4.223,0.266,1.007,F2,n/d,e_minus,NC,1,0.438,0.026,0.004,0.876,0.052,0.008,0.03942
189,bonus,4.223,0.26,1.007,F2,n/d,e_minus,NC,1,0.466,0.027,0.004,0.932,0.054,0.008,0.04194
190,bonus,4.223,0.255,1.006,F2,n/d,e_minus,NC,1,0.467,0.027,0.004,0.934,0.054,0.008,0.04203
191,bonus,4.223,0.249,1.005,F2,n/d,e_minus,NC,1,0.431,0.026,0.003,0.862,0.052,0.006,0.03879
192,bonus,4.223,0.244,1.005,F2,n/d,e_minus,NC,1,0.395,0.026,0.003,0.79,0.052,0.006,0.03555
193,bonus,4.223,0.24,1.004,F2,n/d,e_minus,NC,1,0.408,0.026,0.003,0.816,0.052,0.006,0.036719999999999996
194,bonus,4.223,0.236,1.004,F2,n/d,e_minus,NC,1,0.482,0.028,0.004,0.964,0.056,0.008,0.043379999999999995
195,bonus,4.223,0.231,1.003,F2,n/d,e_minus,NC,1,0.377,0.025,0.003,0.754,0.05,0.006,0.03393
196,bonus,4.223,0.227,1.003,F2,n/d,e_minus,NC,1,0.431,0.027,0.003,0.862,0.054,0.006,0.03879
197,bonus,4.223,0.223,1.003,F2,n/d,e_minus,NC,1,0.42,0.027,0.003,0.84,0.054,0.006,0.0378
198,bonus,4.223,0.219,1.003,F2,n/d,e_minus,NC,1,0.457,0.028,0.003,0.914,0.056,0.006,0.04113
199,bonus,4.223,0.215,1.004,F2,n/d,e_minus,NC,1,0.438,0.027,0.003,0.876,0.054,0.006,0.03942
200,bonus,4.223,0.212,1.004,F2,n/d,e_minus,NC,1,0.43,0.027,0.003,0.86,0.054,0.006,0.0387
201,bonus,4.223,0.208,1.005,F2,n/d,e_minus,NC,1,0.424,0.027,0.003,0.848,0.054,0.006,0.03816
202,bonus,4.223,0.204,1.006,F2,n/d,e_minus,NC,1,0.454,0.027,0.003,0.908,0.054,0.006,0.04086
203,bonus,4.223,0.765,1.198,F2,n/d,e_minus,NC,1,0.15,0.032,0.014,0.3,0.064,0.028,0.0135
204,bonus,4.223,0.745,1.199,F2,n/d,e_minus,NC,1,0.384,0.054,0.034,0.768,0.108,0.068,0.03456
205,bonus,4.223,0.724,1.199,F2,n/d,e_minus,NC,1,0.361,0.053,0.028,0.722,0.106,0.056,0.03249
206,bonus,4.223,0.704,1.198,F2,n/d,e_minus,NC,1,0.568,0.058,0.041,1.136,0.116,0.082,0.05111999999999999
207,bonus,4.223,0.686,1.198,F2,n/d,e_minus,NC,1,0.73,0.06,0.048,1.46,0.12,0.096,0.0657
208,bonus,4.223,0.668,1.198,F2,n/d,e_minus,NC,1,0.663,0.052,0.04,1.326,0.104,0.08,0.05967
209,bonus,4.223,0.651,1.198,F2,n/d,e_minus,NC,1,0.597,0.046,0.033,1.194,0.092,0.066,0.05372999999999999
210,bonus,4.223,0.633,1.199,F2,n/d,e_minus,NC,1,0.665,0.047,0.034,1.33,0.094,0.068,0.05985
211,bonus,4.223,0.616,1.199,F2,n/d,e_minus,NC,1,0.475,0.04,0.022,0.95,0.08,0.044,0.042749999999999996
212,bonus,4.223,0.601,1.2,F2,n/d,e_minus,NC,1,0.412,0.037,0.018,0.824,0.074,0.036,0.037079999999999995
