,exp,I,J,Elab,epsilon,y,x,Q2,obs,target,lepton beam,current,units,value,%ptp,%sys,%stat_u,%dSR_u,%dSY_c,%dSE_c,%dRC_c,%dN1_c,%1dN2_c,%2dN2_c,%3dN2_c,%4dN2_c,%5dN2_c,%6dN2_c,%7dN2_c,%8dN2_c,%dFSZ_c,%*norm_c
24,slac,25,1,16.075,0.852,0.434712286158631,0.122,1.594,F2,p,e,NC,1,0.34326,0.029,0.009,2.2,2.0,0.5,-0.1,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
25,slac,26,1,16.075,0.806,0.489393468118196,0.098,1.44,F2,p,e,NC,1,0.34013,0.029,0.01,2.2,1.9,0.4,-0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.5,2.1
26,slac,27,1,16.075,0.747,0.547744945567652,0.077,1.275,F2,p,e,NC,1,0.34363,0.028,0.013,2.1,1.9,0.4,-0.5,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.9,2.1
27,slac,28,1,16.075,0.69,0.59701399688958,0.063,1.136,F2,p,e,NC,1,0.32321,0.029,0.017,2.2,1.9,0.7,-0.6,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,1.3,2.1
28,slac,29,1,19.544,0.98,0.160151453131396,0.596,3.5,F2,p,e,NC,1,0.11615,0.026,0.02,1.3,2.3,1.2,1.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.0,2.1
29,slac,30,1,19.544,0.977,0.173250102333197,0.542,3.446,F2,p,e,NC,1,0.14308,0.023,0.017,1.2,2.0,0.9,1.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.0,2.1
30,slac,31,1,19.544,0.973,0.18829308227589,0.49,3.383,F2,p,e,NC,1,0.17846,0.022,0.015,1.2,1.8,0.6,1.2,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.0,2.1
31,slac,32,1,19.544,0.969,0.20487106017192,0.441,3.313,F2,p,e,NC,1,0.21499,0.021,0.014,1.1,1.8,0.4,1.2,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.0,2.1
32,slac,33,1,19.544,0.96,0.234189521080639,0.372,3.191,F2,p,e,NC,1,0.25352,0.027,0.013,1.9,1.9,0.4,1.1,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
33,slac,34,1,19.544,0.948,0.268982808022923,0.309,3.047,F2,p,e,NC,1,0.29241,0.028,0.012,2.0,2.0,0.5,0.9,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
34,slac,35,1,19.544,0.923,0.322042570609906,0.239,2.818,F2,p,e,NC,1,0.32459,0.025,0.011,1.5,2.0,0.5,0.7,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
35,slac,36,1,19.544,0.889,0.383647155137127,0.183,2.569,F2,p,e,NC,1,0.34746,0.03,0.01,2.2,2.0,0.5,0.5,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
36,slac,37,1,19.544,0.857,0.428417928776095,0.152,2.382,F2,p,e,NC,1,0.35876,0.029,0.009,2.2,2.0,0.5,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.4,2.1
37,slac,38,1,19.544,0.819,0.474979533360622,0.126,2.188,F2,p,e,NC,1,0.36489,0.028,0.009,2.0,1.9,0.4,0.1,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,0.4,2.1
38,slac,39,1,19.544,0.78,0.516219811706918,0.107,2.017,F2,p,e,NC,1,0.35363,0.028,0.009,2.1,1.9,0.4,0.0,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,0.5,2.1
39,slac,40,1,19.544,0.737,0.557408923454769,0.09,1.845,F2,p,e,NC,1,0.36392,0.028,0.01,2.1,1.9,0.4,-0.2,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.6,2.1
40,slac,41,1,19.544,0.684,0.602230863692182,0.075,1.658,F2,p,e,NC,1,0.35448,0.029,0.013,2.2,1.9,0.4,-0.4,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,1.0,2.1
41,slac,42,1,7.019,0.941,0.262003134349623,0.32,1.104,F2,p,e,NC,1,0.27664,0.024,0.014,1.4,2.0,0.8,-0.9,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
42,slac,43,1,7.019,0.927,0.296053568884456,0.27,1.053,F2,p,e,NC,1,0.30144,0.023,0.014,1.2,2.0,0.8,-0.9,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
43,slac,44,1,7.019,0.916,0.321555777176236,0.24,1.016,F2,p,e,NC,1,0.30967,0.03,0.014,2.2,2.0,0.8,-1.0,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
44,slac,45,1,7.019,0.876,0.390796409744978,0.177,0.912,F2,p,e,NC,1,0.32512,0.028,0.015,2.0,2.0,0.8,-1.1,0.4,0.4,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
45,slac,46,1,7.019,0.815,0.471434677304459,0.127,0.791,F2,p,e,NC,1,0.31725,0.028,0.015,2.0,1.9,0.4,-1.2,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.5,2.1
46,slac,47,1,7.019,0.727,0.560906111981764,0.089,0.657,F2,p,e,NC,1,0.29204,0.027,0.019,2.0,1.9,0.4,-1.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,1.0,2.1
47,slac,48,1,9.022,0.948,0.243626690312569,0.454,1.871,F2,p,e,NC,1,0.22037,0.033,0.011,2.7,1.8,0.7,-0.6,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
48,slac,49,1,9.022,0.928,0.295832409665263,0.348,1.741,F2,p,e,NC,1,0.27128,0.03,0.012,2.3,1.9,0.7,-0.7,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
49,slac,50,1,9.022,0.866,0.406118377299934,0.214,1.469,F2,p,e,NC,1,0.33795,0.032,0.013,2.5,1.9,0.7,-0.9,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
50,slac,51,1,9.022,0.74,0.548991354466859,0.12,1.115,F2,p,e,NC,1,0.337,0.034,0.016,2.8,1.9,0.7,-1.1,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,0.7,2.1
51,slac,52,1,10.998,0.946,0.24822695035461,0.539,2.762,F2,p,e,NC,1,0.1526,0.02,0.009,1.0,1.8,0.6,-0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
52,slac,53,1,10.998,0.939,0.266957628659756,0.489,2.693,F2,p,e,NC,1,0.18149,0.02,0.009,1.0,1.8,0.5,-0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
53,slac,54,1,10.998,0.931,0.288052373158756,0.44,2.616,F2,p,e,NC,1,0.21158,0.021,0.009,1.0,1.8,0.4,-0.4,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
54,slac,55,1,10.998,0.916,0.321058374249864,0.376,2.494,F2,p,e,NC,1,0.25243,0.027,0.009,1.9,1.9,0.4,-0.4,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
55,slac,56,1,10.998,0.886,0.374886342971449,0.297,2.297,F2,p,e,NC,1,0.30233,0.028,0.012,2.1,1.9,0.7,-0.6,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
56,slac,57,1,10.998,0.849,0.429078014184397,0.237,2.098,F2,p,e,NC,1,0.33396,0.029,0.012,2.2,1.9,0.7,-0.7,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
57,slac,58,1,10.998,0.8,0.488361520276414,0.187,1.88,F2,p,e,NC,1,0.3422,0.03,0.013,2.3,1.9,0.7,-0.8,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,0.4,2.1
58,slac,59,1,10.998,0.736,0.5527368612475,0.144,1.644,F2,p,e,NC,1,0.34421,0.03,0.014,2.4,1.9,0.7,-1.0,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,0.5,2.1
59,slac,60,1,10.998,0.653,0.622204037097654,0.108,1.388,F2,p,e,NC,1,0.33206,0.03,0.017,2.4,1.8,0.7,-1.1,0.1,0.1,0.3,0,0.0,0.0,0.0,0.0,0,0,0.9,2.1
60,slac,61,1,10.998,0.549,0.696763047826878,0.077,1.114,F2,p,e,NC,1,0.32474,0.031,0.025,2.5,1.8,0.8,-1.3,0.1,0.1,0.3,0,0.0,0.0,0.0,0.0,0,0,1.9,2.1
61,slac,62,1,13.545,0.944,0.255740125507567,0.638,4.148,F2,p,e,NC,1,0.091,0.026,0.013,1.6,2.0,1.1,0.1,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
62,slac,63,1,13.545,0.937,0.274344776670358,0.58,4.045,F2,p,e,NC,1,0.11591,0.029,0.01,2.3,1.8,0.8,0.0,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
63,slac,64,1,13.545,0.933,0.284163898117386,0.553,3.991,F2,p,e,NC,1,0.12534,0.068,0.01,6.6,1.8,0.7,0.0,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
64,slac,65,1,13.545,0.918,0.317607973421927,0.471,3.804,F2,p,e,NC,1,0.18311,0.028,0.008,2.2,1.8,0.5,-0.1,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
65,slac,66,1,13.545,0.898,0.355260243632337,0.398,3.594,F2,p,e,NC,1,0.23489,0.028,0.008,2.1,1.8,0.4,-0.2,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
66,slac,67,1,13.545,0.871,0.397785160575858,0.332,3.357,F2,p,e,NC,1,0.28093,0.03,0.009,2.3,1.9,0.4,-0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
67,slac,68,1,13.545,0.837,0.445256552233296,0.273,3.092,F2,p,e,NC,1,0.30827,0.03,0.01,2.3,1.9,0.4,-0.4,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
68,slac,69,1,13.545,0.794,0.494352159468439,0.224,2.819,F2,p,e,NC,1,0.33113,0.031,0.012,2.5,1.9,0.7,-0.6,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,0.5,2.1
69,slac,70,1,13.545,0.739,0.549944629014397,0.179,2.509,F2,p,e,NC,1,0.34092,0.031,0.014,2.5,1.9,0.7,-0.7,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,0.7,2.1
70,slac,71,1,13.545,0.672,0.607235142118863,0.142,2.189,F2,p,e,NC,1,0.34797,0.031,0.015,2.5,1.8,0.7,-0.9,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,0.8,2.1
71,slac,72,1,13.545,0.587,0.671022517534145,0.108,1.834,F2,p,e,NC,1,0.36327,0.031,0.017,2.5,1.8,0.7,-1.0,0.1,0.1,0.3,0,0.0,0.0,0.0,0.0,0,0,0.9,2.1
72,slac,73,1,13.545,0.508,0.7234403839055,0.084,1.542,F2,p,e,NC,1,0.33888,0.032,0.022,2.7,1.8,0.8,-1.2,0.1,0.1,0.3,0,0.0,0.0,0.0,0.0,0,0,1.6,2.1
73,slac,74,1,15.204,0.941,0.262496711391739,0.692,5.18,F2,p,e,NC,1,0.06271,0.05,0.017,4.4,2.4,1.6,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
74,slac,75,1,15.204,0.93,0.290515653775322,0.601,4.982,F2,p,e,NC,1,0.10437,0.034,0.012,2.9,1.9,0.9,0.2,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
75,slac,76,1,15.204,0.918,0.317087608524073,0.53,4.796,F2,p,e,NC,1,0.14042,0.027,0.01,2.0,1.8,0.6,0.1,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
76,slac,77,1,15.204,0.9,0.351749539594844,0.454,4.553,F2,p,e,NC,1,0.19577,0.029,0.008,2.3,1.8,0.4,0.0,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
77,slac,78,1,15.204,0.877,0.388581952117864,0.387,4.294,F2,p,e,NC,1,0.2311,0.03,0.008,2.4,1.8,0.4,-0.1,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
78,slac,79,1,15.204,0.849,0.428571428571429,0.328,4.014,F2,p,e,NC,1,0.28058,0.027,0.009,1.9,1.9,0.4,-0.2,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
79,slac,80,1,15.204,0.813,0.47336227308603,0.274,3.699,F2,p,e,NC,1,0.30358,0.03,0.009,2.4,1.9,0.4,-0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.4,2.1
80,slac,81,1,15.204,0.77,0.519797421731123,0.227,3.373,F2,p,e,NC,1,0.33368,0.031,0.011,2.5,1.9,0.4,-0.5,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,0.6,2.1
81,slac,82,1,15.204,0.715,0.571033938437253,0.185,3.013,F2,p,e,NC,1,0.36625,0.031,0.014,2.5,1.9,0.7,-0.6,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,0.8,2.1
82,slac,83,1,15.204,0.649,0.625427519073928,0.147,2.631,F2,p,e,NC,1,0.35421,0.032,0.017,2.6,1.8,0.7,-0.8,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,1.1,2.1
83,slac,84,1,15.204,0.585,0.671862667719021,0.12,2.305,F2,p,e,NC,1,0.35712,0.032,0.018,2.6,1.8,0.7,-0.9,0.1,0.1,0.3,0,0.0,0.0,0.0,0.0,0,0,1.2,2.1
84,slac,85,1,15.204,0.514,0.719876348329387,0.096,1.968,F2,p,e,NC,1,0.35394,0.032,0.02,2.7,1.8,1.0,-1.1,0.1,0.1,0.3,0,0.0,0.0,0.0,0.0,0,0,1.2,2.1
85,slac,86,1,17.706,0.935,0.278380210098272,0.743,6.873,F2,p,e,NC,1,0.03517,0.063,0.024,5.5,3.2,2.2,0.6,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
86,slac,87,1,17.706,0.929,0.293516322150683,0.69,6.729,F2,p,e,NC,1,0.05328,0.039,0.018,3.1,2.4,1.5,0.6,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
87,slac,88,1,17.706,0.925,0.302157460747769,0.662,6.647,F2,p,e,NC,1,0.05917,0.185,0.016,18.4,2.2,1.3,0.5,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
88,slac,89,1,17.706,0.915,0.323845024285553,0.599,6.441,F2,p,e,NC,1,0.09594,0.036,0.013,3.1,1.9,0.9,0.5,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
89,slac,90,1,17.706,0.9,0.351801649158477,0.528,6.174,F2,p,e,NC,1,0.13006,0.033,0.01,2.8,1.8,0.6,0.4,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
90,slac,91,1,17.706,0.882,0.381226702812606,0.465,5.894,F2,p,e,NC,1,0.17991,0.03,0.009,2.4,1.8,0.5,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
91,slac,92,1,17.706,0.859,0.415339432960578,0.404,5.569,F2,p,e,NC,1,0.21761,0.031,0.009,2.5,1.8,0.4,0.1,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
92,slac,93,1,17.706,0.831,0.452558454761098,0.347,5.215,F2,p,e,NC,1,0.25488,0.03,0.009,2.4,1.8,0.4,0.0,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.4,2.1
93,slac,94,1,17.706,0.797,0.491358861402914,0.297,4.845,F2,p,e,NC,1,0.28623,0.03,0.009,2.4,1.9,0.4,-0.1,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.5,2.1
94,slac,95,1,17.706,0.756,0.533209081667231,0.251,4.446,F2,p,e,NC,1,0.31369,0.032,0.01,2.6,1.9,0.4,-0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.6,2.1
95,slac,96,1,17.706,0.705,0.579746978425393,0.208,4.003,F2,p,e,NC,1,0.33321,0.031,0.012,2.5,1.8,0.4,-0.4,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,0.8,2.1
96,slac,97,1,17.706,0.66,0.616966000225912,0.178,3.649,F2,p,e,NC,1,0.34573,0.032,0.015,2.6,1.8,0.7,-0.6,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,1.1,2.1
97,slac,98,1,17.706,0.606,0.657234835648933,0.15,3.265,F2,p,e,NC,1,0.35661,0.033,0.018,2.7,1.8,0.7,-0.7,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,1.4,2.1
98,slac,99,1,17.706,0.543,0.700666440754546,0.122,2.851,F2,p,e,NC,1,0.36177,0.033,0.021,2.7,1.8,0.7,-0.9,0.1,0.1,0.3,0,0.0,0.0,0.0,0.0,0,0,1.7,2.1
99,slac,100,1,17.706,0.475,0.74409804586016,0.099,2.438,F2,p,e,NC,1,0.38122,0.032,0.023,2.7,1.8,1.0,-1.0,0.1,0.1,0.3,0,0.0,0.0,0.0,0.0,0,0,1.7,2.1
100,slac,101,1,17.706,0.4,0.789054557777025,0.077,2.009,F2,p,e,NC,1,0.37937,0.035,0.024,3.0,1.8,0.8,-1.2,0.1,0.1,0.3,0,0.0,0.0,0.0,0.0,0,0,1.8,2.1
101,slac,102,1,19.35,0.93,0.290852713178295,0.764,8.067,F2,p,e,NC,1,0.02465,0.051,0.027,3.7,3.5,2.5,0.8,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
102,slac,103,1,19.35,0.924,0.304289405684755,0.716,7.914,F2,p,e,NC,1,0.03698,0.04,0.021,3.0,2.7,1.8,0.8,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
103,slac,104,1,19.35,0.913,0.326976744186047,0.645,7.656,F2,p,e,NC,1,0.06626,0.032,0.015,2.4,2.1,1.2,0.7,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
104,slac,105,1,19.35,0.898,0.354108527131783,0.571,7.348,F2,p,e,NC,1,0.10294,0.029,0.012,2.3,1.8,0.8,0.6,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
105,slac,106,1,19.35,0.882,0.381447028423773,0.508,7.037,F2,p,e,NC,1,0.14264,0.029,0.01,2.3,1.8,0.6,0.5,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
106,slac,107,1,19.35,0.862,0.411834625322997,0.447,6.691,F2,p,e,NC,1,0.18475,0.029,0.009,2.3,1.8,0.4,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
107,slac,108,1,19.35,0.838,0.443772609819122,0.393,6.328,F2,p,e,NC,1,0.21957,0.03,0.009,2.4,1.8,0.4,0.2,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.4,2.1
108,slac,109,1,19.35,0.809,0.478708010335917,0.341,5.931,F2,p,e,NC,1,0.26182,0.03,0.009,2.4,1.8,0.4,0.1,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.5,2.1
109,slac,110,1,19.35,0.773,0.516692506459948,0.293,5.498,F2,p,e,NC,1,0.28716,0.03,0.01,2.4,1.8,0.4,-0.1,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.6,2.1
110,slac,111,1,19.35,0.73,0.557726098191215,0.248,5.032,F2,p,e,NC,1,0.31681,0.03,0.01,2.4,1.8,0.4,-0.2,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.7,2.1
111,slac,112,1,19.35,0.69,0.59266149870801,0.215,4.634,F2,p,e,NC,1,0.31944,0.031,0.012,2.5,1.8,0.4,-0.4,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,0.8,2.1
112,slac,113,1,19.35,0.644,0.629147286821705,0.185,4.219,F2,p,e,NC,1,0.34692,0.031,0.014,2.5,1.8,0.4,-0.5,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,1.0,2.1
113,slac,114,1,19.35,0.594,0.665633074935401,0.157,3.804,F2,p,e,NC,1,0.35328,0.031,0.018,2.5,1.8,0.7,-0.6,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,1.4,2.1
114,slac,115,1,19.35,0.536,0.705116279069767,0.131,3.355,F2,p,e,NC,1,0.33947,0.032,0.022,2.6,1.8,0.7,-0.8,0.1,0.1,0.3,0,0.0,0.0,0.0,0.0,0,0,1.9,2.1
115,slac,116,1,19.35,0.472,0.746149870801034,0.107,2.888,F2,p,e,NC,1,0.36865,0.029,0.026,2.3,1.8,1.0,-1.0,0.1,0.1,0.3,0,0.0,0.0,0.0,0.0,0,0,2.1,2.1
116,slac,117,1,19.35,0.398,0.790232558139535,0.083,2.386,F2,p,e,NC,1,0.359,0.033,0.026,2.8,1.8,1.0,-1.1,0.1,0.1,0.3,0,0.0,0.0,0.0,0.0,0,0,2.0,2.1
