,exp,X,Q2,value,obs,target,lepton beam,current,stat_u,syst_u,*norm_c,%cor1_c,%cor2_c,%cor3_c,%cor4_c,%cor5_c,*Elab,*nu,*E',*sin2(theta/2),*epsilon
37,bcdms,0.35,15.0,0.18897,F2,d,mu,NC,0.0039,0,0.0056691,-0.2,0.3,0.7,0.0,1.0,120,22.844958879074,97.155041120926,0.000321650833960371,0.99933843385706
38,bcdms,0.35,17.0,0.17921,F2,d,mu,NC,0.004,0,0.0053763,-0.2,0.3,0.1,0.0,1.0,120,25.8909533962839,94.1090466037161,0.000376336472898326,0.999228544163154
39,bcdms,0.35,19.0,0.17414,F2,d,mu,NC,0.0042,0,0.0052242,-0.2,0.3,0.4,0.0,1.0,120,28.9369479134937,91.0630520865062,0.000434680503523325,0.999111316395238
40,bcdms,0.35,21.5,0.18573,F2,d,mu,NC,0.0039,0,0.0055719,-0.2,0.3,-0.3,0.0,1.0,120,32.7444410600061,87.2555589399939,0.000513338831483162,0.998953293994622
41,bcdms,0.35,24.5,0.17887,F2,d,mu,NC,0.0029,0,0.0053661,-0.2,0.3,0.5,0.0,0.4,120,37.3134328358209,82.6865671641791,0.00061729091456077,0.998744495669564
42,bcdms,0.35,28.0,0.17794,F2,d,mu,NC,0.0027,0,0.0053382,-0.2,0.3,0.3,0.0,0.4,120,42.6439232409382,77.3560767590618,0.000754088570378537,0.998469790496331
43,bcdms,0.35,32.5,0.17747,F2,d,mu,NC,0.0028,0,0.0053241,-0.2,0.3,0.0,1.0,0.3,120,49.4974109046604,70.5025890953396,0.000960366622022524,0.998055704351536
44,bcdms,0.35,37.5,0.17344,F2,d,mu,NC,0.0037,0,0.0052032,-0.2,0.2,0.0,0.0,0.0,120,57.112397197685,62.887602802315,0.0012422957231425,0.997490033945293
45,bcdms,0.35,43.0,0.1707,F2,d,mu,NC,0.0037,0,0.005121,-0.2,0.2,0.5,0.0,0.0,120,65.4888821200122,54.5111178799878,0.0016433956377589,0.996685810669566
46,bcdms,0.35,49.5,0.16729,F2,d,mu,NC,0.0038,0,0.0050187,-0.2,0.2,0.1,0.0,0.0,120,75.3883643009443,44.6116356990558,0.00231161665301106,0.995347442605052
47,bcdms,0.35,57.0,0.16445,F2,d,mu,NC,0.0044,0,0.0049335,-0.2,0.2,0.5,0.0,0.0,120,86.8108437404812,33.1891562595188,0.00357797586270191,0.992816016672828
48,bcdms,0.45,13.25,0.12077,F2,d,mu,NC,0.004,0,0.0036231,0.7,1.5,0.3,0.0,1.0,120,15.695332859512,104.304667140488,0.000264649391282622,0.999442395432281
49,bcdms,0.45,15.0,0.11864,F2,d,mu,NC,0.0036,0,0.0035592,0.6,1.4,-0.3,0.0,1.0,120,17.7683013503909,102.231698649609,0.000305678184093437,0.999359811414188
50,bcdms,0.45,17.0,0.12121,F2,d,mu,NC,0.0039,0,0.0036363,0.4,1.2,-0.5,0.0,1.0,120,20.1374081971097,99.8625918028903,0.000354653990320744,0.999261240396712
51,bcdms,0.45,19.0,0.11297,F2,d,mu,NC,0.004,0,0.0033891,0.3,1.1,0.8,0.0,1.0,120,22.5065150438285,97.4934849561715,0.00040601003596423,0.999157889308911
52,bcdms,0.45,21.5,0.11777,F2,d,mu,NC,0.0037,0,0.0035331,0.3,1.0,0.2,0.0,1.0,120,25.467898602227,94.532101397773,0.000473824933587289,0.99902143221242
53,bcdms,0.45,24.5,0.10969,F2,d,mu,NC,0.0025,0,0.0032907,0.2,0.9,0.0,0.0,0.4,120,29.0215588723051,90.9784411276949,0.000561030349981772,0.998845985094149
54,bcdms,0.45,28.0,0.1094,F2,d,mu,NC,0.0023,0,0.003282,0.1,0.8,0.3,0.0,0.4,120,33.167495854063,86.832504145937,0.000671791443850267,0.99862319140613
55,bcdms,0.45,32.5,0.10935,F2,d,mu,NC,0.0023,0,0.0032805,0.0,0.7,-0.1,0.0,0.3,120,38.4979862591803,81.5020137408197,0.000830756569385501,0.998303523672676
56,bcdms,0.45,37.5,0.10882,F2,d,mu,NC,0.0027,0,0.0032646,0.0,0.7,-0.1,0.0,0.2,120,44.4207533759773,75.5792466240227,0.00103368323302614,0.99789560196015
57,bcdms,0.45,43.0,0.10567,F2,d,mu,NC,0.003,0,0.0031701,-0.1,0.6,0.5,0.0,0.0,120,50.9357972044539,69.0642027955461,0.00129710225713502,0.997366329021942
58,bcdms,0.45,49.5,0.09836,F2,d,mu,NC,0.003,0,0.0029508,-0.1,0.5,0.4,0.0,0.0,120,58.63539445629,61.36460554371,0.00168052901320361,0.996596435806955
59,bcdms,0.45,57.0,0.10376,F2,d,mu,NC,0.0034,0,0.0031128,-0.2,0.5,0.8,0.0,0.0,120,67.5195451314854,52.4804548685146,0.002262747156013,0.995428525978099
60,bcdms,0.45,65.5,0.09801,F2,d,mu,NC,0.0035,0,0.0029403,-0.2,0.5,0.2,0.0,0.0,120,77.5882492300403,42.4117507699597,0.0032174652273489,0.993516369007999
61,bcdms,0.45,75.0,0.09714,F2,d,mu,NC,0.0042,0,0.0029142,-0.2,0.4,0.0,0.0,0.0,120,88.8415067519545,31.1584932480455,0.00501468407846715,0.989926803521543
62,bcdms,0.55,15.0,0.05873,F2,d,mu,NC,0.0024,0,0.0017619,2.0,3.4,2.1,0.0,1.0,120,14.5377011048653,105.462298895135,0.00029631442067343,0.999365524561353
63,bcdms,0.55,17.0,0.05719,F2,d,mu,NC,0.0026,0,0.0017157,1.7,3.0,1.8,0.0,1.0,120,16.4760612521807,103.523938747819,0.000342110888506091,0.999273209173215
64,bcdms,0.55,19.0,0.06293,F2,d,mu,NC,0.003,0,0.0018879,1.4,2.7,0.7,0.0,1.0,120,18.414421399496,101.585578600504,0.000389655046303363,0.99917737993034
65,bcdms,0.55,21.5,0.05927,F2,d,mu,NC,0.0026,0,0.0017781,1.2,2.4,0.8,0.0,1.0,120,20.8373715836402,99.1626284163598,0.000451699066291359,0.999052338930794
66,bcdms,0.55,24.5,0.05603,F2,d,mu,NC,0.0028,0,0.0016809,1.0,2.1,0.7,0.0,1.0,120,23.7449118046133,96.2550881953867,0.000530274997650597,0.998894002826387
67,bcdms,0.55,28.0,0.05914,F2,d,mu,NC,0.0017,0,0.0017742,0.8,1.9,0.7,0.0,0.4,120,27.1370420624152,92.8629579375848,0.000628165789986363,0.998696781283869
68,bcdms,0.55,32.5,0.0568,F2,d,mu,NC,0.0017,0,0.001704,0.6,1.6,0.4,0.0,0.3,120,31.4983523938748,88.5016476061252,0.000765051670390001,0.998421061761496
