,exp,x,Q2,value,stat_u,sys_u,Elab,%*norm_c,target,lepton beam,current,obs
47,bcdms,0.35,57.0,0.16205,0.00431,0.00094,120,3,d,mu_minus,NC,sig_r
48,bcdms,0.45,13.25,0.12068,0.00403,0.00236,120,3,d,mu_minus,NC,sig_r
49,bcdms,0.45,15.0,0.11853,0.00364,0.00218,120,3,d,mu_minus,NC,sig_r
50,bcdms,0.45,17.0,0.12108,0.00388,0.00204,120,3,d,mu_minus,NC,sig_r
51,bcdms,0.45,19.0,0.11283,0.00402,0.00194,120,3,d,mu_minus,NC,sig_r
52,bcdms,0.45,21.5,0.11759,0.00367,0.00171,120,3,d,mu_minus,NC,sig_r
53,bcdms,0.45,24.5,0.10949,0.00246,0.00111,120,3,d,mu_minus,NC,sig_r
54,bcdms,0.45,28.0,0.10915,0.00231,0.00104,120,3,d,mu_minus,NC,sig_r
55,bcdms,0.45,32.5,0.10904,0.0023,0.00083,120,3,d,mu_minus,NC,sig_r
56,bcdms,0.45,37.5,0.10842,0.00266,0.0008,120,3,d,mu_minus,NC,sig_r
57,bcdms,0.45,43.0,0.10518,0.00303,0.00083,120,3,d,mu_minus,NC,sig_r
58,bcdms,0.45,49.5,0.09777,0.00303,0.00064,120,3,d,mu_minus,NC,sig_r
59,bcdms,0.45,57.0,0.10295,0.00333,0.00099,120,3,d,mu_minus,NC,sig_r
60,bcdms,0.45,65.5,0.09701,0.0035,0.00055,120,3,d,mu_minus,NC,sig_r
61,bcdms,0.45,75.0,0.09586,0.00414,0.00043,120,3,d,mu_minus,NC,sig_r
62,bcdms,0.55,15.0,0.05869,0.00241,0.00268,120,3,d,mu_minus,NC,sig_r
63,bcdms,0.55,17.0,0.05714,0.00256,0.00229,120,3,d,mu_minus,NC,sig_r
64,bcdms,0.55,19.0,0.06287,0.00303,0.00206,120,3,d,mu_minus,NC,sig_r
65,bcdms,0.55,21.5,0.0592,0.00264,0.00177,120,3,d,mu_minus,NC,sig_r
66,bcdms,0.55,24.5,0.05595,0.0028,0.00147,120,3,d,mu_minus,NC,sig_r
67,bcdms,0.55,28.0,0.05904,0.00172,0.0013,120,3,d,mu_minus,NC,sig_r
68,bcdms,0.55,32.5,0.05668,0.00171,0.001,120,3,d,mu_minus,NC,sig_r
69,bcdms,0.55,37.5,0.05511,0.00194,0.00085,120,3,d,mu_minus,NC,sig_r
70,bcdms,0.55,43.0,0.05589,0.00234,0.0008,120,3,d,mu_minus,NC,sig_r
71,bcdms,0.55,49.5,0.05493,0.00241,0.00066,120,3,d,mu_minus,NC,sig_r
72,bcdms,0.55,57.0,0.04965,0.0024,0.0005,120,3,d,mu_minus,NC,sig_r
73,bcdms,0.55,65.5,0.05175,0.0027,0.00047,120,3,d,mu_minus,NC,sig_r
74,bcdms,0.55,75.0,0.04983,0.00286,0.0004,120,3,d,mu_minus,NC,sig_r
75,bcdms,0.55,86.0,0.04681,0.00298,0.00038,120,3,d,mu_minus,NC,sig_r
76,bcdms,0.65,17.0,0.02807,0.00152,0.0032,120,3,d,mu_minus,NC,sig_r
77,bcdms,0.65,19.0,0.02869,0.00176,0.00284,120,3,d,mu_minus,NC,sig_r
78,bcdms,0.65,21.5,0.02673,0.00151,0.00241,120,3,d,mu_minus,NC,sig_r
79,bcdms,0.65,24.5,0.02861,0.00183,0.0022,120,3,d,mu_minus,NC,sig_r
80,bcdms,0.65,28.0,0.0237,0.00159,0.00154,120,3,d,mu_minus,NC,sig_r
81,bcdms,0.65,32.5,0.0246,0.001,0.00126,120,3,d,mu_minus,NC,sig_r
82,bcdms,0.65,37.5,0.02521,0.00119,0.00106,120,3,d,mu_minus,NC,sig_r
83,bcdms,0.65,43.0,0.02659,0.00152,0.00095,120,3,d,mu_minus,NC,sig_r
84,bcdms,0.65,49.5,0.02449,0.00157,0.00074,120,3,d,mu_minus,NC,sig_r
85,bcdms,0.65,57.0,0.02296,0.00163,0.00057,120,3,d,mu_minus,NC,sig_r
86,bcdms,0.65,65.5,0.02062,0.00168,0.00045,120,3,d,mu_minus,NC,sig_r
87,bcdms,0.65,75.0,0.02491,0.00211,0.00047,120,3,d,mu_minus,NC,sig_r
88,bcdms,0.65,86.0,0.01926,0.00194,0.00035,120,3,d,mu_minus,NC,sig_r
89,bcdms,0.65,99.0,0.02329,0.00234,0.00035,120,3,d,mu_minus,NC,sig_r
90,bcdms,0.75,32.5,0.00867,0.00054,0.00107,120,3,d,mu_minus,NC,sig_r
91,bcdms,0.75,37.5,0.00984,0.00073,0.00107,120,3,d,mu_minus,NC,sig_r
92,bcdms,0.75,43.0,0.008,0.0007,0.00076,120,3,d,mu_minus,NC,sig_r
93,bcdms,0.75,49.5,0.00861,0.00082,0.00071,120,3,d,mu_minus,NC,sig_r
94,bcdms,0.75,57.0,0.00876,0.00092,0.00061,120,3,d,mu_minus,NC,sig_r
95,bcdms,0.75,65.5,0.00785,0.00098,0.00048,120,3,d,mu_minus,NC,sig_r
96,bcdms,0.75,75.0,0.00775,0.0011,0.00036,120,3,d,mu_minus,NC,sig_r
97,bcdms,0.75,86.0,0.00707,0.00115,0.00029,120,3,d,mu_minus,NC,sig_r
98,bcdms,0.75,99.0,0.00651,0.00123,0.00023,120,3,d,mu_minus,NC,sig_r
99,bcdms,0.07,17.0,0.3742,0.00686,0.00622,200,3,d,mu_minus,NC,sig_r
100,bcdms,0.07,19.0,0.3604,0.00597,0.00608,200,3,d,mu_minus,NC,sig_r
101,bcdms,0.1,19.0,0.35627,0.00466,0.00324,200,3,d,mu_minus,NC,sig_r
102,bcdms,0.1,21.5,0.36119,0.00392,0.00353,200,3,d,mu_minus,NC,sig_r
103,bcdms,0.1,24.5,0.3501,0.00416,0.00291,200,3,d,mu_minus,NC,sig_r
104,bcdms,0.14,21.5,0.33493,0.00434,0.00281,200,3,d,mu_minus,NC,sig_r
105,bcdms,0.14,24.5,0.34013,0.00457,0.00324,200,3,d,mu_minus,NC,sig_r
106,bcdms,0.14,28.0,0.3272,0.00419,0.00234,200,3,d,mu_minus,NC,sig_r
107,bcdms,0.14,32.5,0.32015,0.00421,0.00227,200,3,d,mu_minus,NC,sig_r
108,bcdms,0.18,21.5,0.30177,0.00485,0.00268,200,3,d,mu_minus,NC,sig_r
