,exp,I,J,x,Q2,obs,target,lepton beam,current,units,value,*%stat_u,*%dSR_u,*%1dN1_c,*%2dN1_c,*%3dN1_c,*%4dN1_c,*%5dN1_c,*%6dN1_c,*%7dN1_c,*%8dN1_c,*%1dN2_c,*%2dN2_c,*%3dN2_c,*%4dN2_c,*%5dN2_c,*%6dN2_c,*%7dN2_c,*%8dN2_c,%*norm_c
47,slac,48,1,0.453,1.87,sig_r,d/p,e,nc,1,0.7475,3.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
48,slac,49,1,0.348,1.741,sig_r,d/p,e,nc,1,0.829,2.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
49,slac,50,1,0.214,1.469,sig_r,d/p,e,nc,1,0.8555,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
50,slac,51,1,0.12,1.115,sig_r,d/p,e,nc,1,0.892,3.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
51,slac,52,1,0.541,2.764,sig_r,d/p,e,nc,1,0.7695,1.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
52,slac,53,1,0.487,2.691,sig_r,d/p,e,nc,1,0.7735,1.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
53,slac,54,1,0.44,2.616,sig_r,d/p,e,nc,1,0.8,1.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
54,slac,55,1,0.375,2.492,sig_r,d/p,e,nc,1,0.8235,2.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
55,slac,56,1,0.297,2.297,sig_r,d/p,e,nc,1,0.8315,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
56,slac,57,1,0.237,2.098,sig_r,d/p,e,nc,1,0.8565,2.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
