,exp,x,Q2,W2,epsilon,sigma,stat,value,stf2rec_u,obs,target,lepton beam,current,units,%*norm_c
177,e94110,0.826161,3.065,1.525,0.842095,2.407,0.06835,0.039384,0.001118,F2,p,e,NC,1,1.9
178,e94110,0.814433,3.049,1.575,0.840337,2.219,0.04801,0.036441,0.000788,F2,p,e,NC,1,1.9
179,e94110,0.80318,3.034,1.625,0.838581,2.154,0.044,0.035491,0.000725,F2,p,e,NC,1,1.9
180,e94110,0.791863,3.018,1.675,0.836777,2.135,0.04689,0.035288,0.000775,F2,p,e,NC,1,1.9
181,e94110,0.780746,3.002,1.725,0.834949,2.164,0.05306,0.035905,0.00088,F2,p,e,NC,1,1.9
182,e94110,0.76945,2.986,1.775,0.833017,2.231,0.05711,0.037217,0.000953,F2,p,e,NC,1,1.9
183,e94110,0.758723,2.97,1.825,0.831141,2.373,0.06237,0.039804,0.001046,F2,p,e,NC,1,1.9
184,e94110,0.748179,2.954,1.875,0.82924,2.602,0.06866,0.043914,0.001159,F2,p,e,NC,1,1.9
185,e94110,0.737815,2.938,1.925,0.827314,2.875,0.076,0.04885,0.001291,F2,p,e,NC,1,1.9
186,e94110,0.727874,2.923,1.975,0.825394,3.142,0.08348,0.053802,0.001429,F2,p,e,NC,1,1.9
187,e94110,0.717519,2.907,2.025,0.823338,3.313,0.09612,0.057231,0.00166,F2,p,e,NC,1,1.9
188,e94110,0.70767,2.891,2.075,0.821339,3.912,0.1117,0.068193,0.001947,F2,p,e,NC,1,1.9
189,e94110,0.697982,2.875,2.125,0.819314,4.591,0.1373,0.080839,0.002418,F2,p,e,NC,1,1.9
190,e94110,0.688452,2.859,2.175,0.817265,5.643,0.1689,0.100425,0.003006,F2,p,e,NC,1,1.9
191,e94110,0.679076,2.843,2.225,0.815191,6.564,0.1783,0.117928,0.003203,F2,p,e,NC,1,1.9
192,e94110,0.669789,2.828,2.275,0.813039,6.567,0.1254,0.118826,0.002269,F2,p,e,NC,1,1.9
193,e94110,0.660714,2.812,2.325,0.810914,5.858,0.1176,0.106277,0.002134,F2,p,e,NC,1,1.9
194,e94110,0.651781,2.796,2.375,0.808764,5.309,0.1041,0.096456,0.001891,F2,p,e,NC,1,1.9
195,e94110,0.642989,2.78,2.425,0.806588,4.873,0.09554,0.088708,0.001739,F2,p,e,NC,1,1.9
196,e94110,0.634332,2.764,2.475,0.804386,4.823,0.09889,0.088052,0.001805,F2,p,e,NC,1,1.9
197,e94110,0.625542,2.748,2.525,0.802068,4.861,0.1051,0.089132,0.001927,F2,p,e,NC,1,1.9
198,e94110,0.61738,2.733,2.575,0.799852,5.274,0.1181,0.097157,0.002176,F2,p,e,NC,1,1.9
199,e94110,0.609118,2.717,2.625,0.797572,5.793,0.1337,0.107212,0.002474,F2,p,e,NC,1,1.9
200,e94110,0.60098,2.701,2.675,0.795266,6.488,0.1554,0.120659,0.00289,F2,p,e,NC,1,1.9
201,e94110,0.592963,2.685,2.725,0.792933,7.093,0.1812,0.132573,0.003387,F2,p,e,NC,1,1.9
202,e94110,0.584825,2.669,2.775,0.79048,8.097,0.2051,0.152212,0.003856,F2,p,e,NC,1,1.9
203,e94110,0.577048,2.653,2.825,0.788093,8.894,0.1954,0.168067,0.003692,F2,p,e,NC,1,1.9
