,exp,X,Q2,RS,obs,target,lepton beam,current,units,value,%stat_u,%ucor_u,%cor_u
29,HERA I and II charm rean.,0.0014,32.0,318,sigcc_r,p,none,NC,1,0.2807,2.0,1.1,3.4
30,HERA I and II charm rean.,0.0024,32.0,318,sigcc_r,p,none,NC,1,0.219,2.3,1.4,3.9
31,HERA I and II charm rean.,0.0032,32.0,318,sigcc_r,p,none,NC,1,0.2015,3.6,1.6,5.4
32,HERA I and II charm rean.,0.0055,32.0,318,sigcc_r,p,none,NC,1,0.1553,4.2,3.0,4.1
33,HERA I and II charm rean.,0.008,32.0,318,sigcc_r,p,none,NC,1,0.094,8.7,5.4,6.0
34,HERA I and II charm rean.,0.0014,60.0,318,sigcc_r,p,none,NC,1,0.3254,3.2,1.4,4.8
35,HERA I and II charm rean.,0.002,60.0,318,sigcc_r,p,none,NC,1,0.3289,2.3,1.2,4.1
36,HERA I and II charm rean.,0.0032,60.0,318,sigcc_r,p,none,NC,1,0.2576,2.2,1.2,3.6
37,HERA I and II charm rean.,0.005,60.0,318,sigcc_r,p,none,NC,1,0.1925,2.3,1.6,4.1
38,HERA I and II charm rean.,0.008,60.0,318,sigcc_r,p,none,NC,1,0.1596,4.8,3.1,3.4
39,HERA I and II charm rean.,0.015,60.0,318,sigcc_r,p,none,NC,1,0.0946,8.1,6.5,4.9
40,HERA I and II charm rean.,0.002,120.0,318,sigcc_r,p,none,NC,1,0.3766,3.3,2.6,5.0
41,HERA I and II charm rean.,0.0032,120.0,318,sigcc_r,p,none,NC,1,0.2274,14.6,13.7,2.7
42,HERA I and II charm rean.,0.0055,120.0,318,sigcc_r,p,none,NC,1,0.2173,3.3,1.6,5.4
43,HERA I and II charm rean.,0.01,120.0,318,sigcc_r,p,none,NC,1,0.1519,3.9,2.3,5.2
44,HERA I and II charm rean.,0.025,120.0,318,sigcc_r,p,none,NC,1,0.0702,13.6,12.6,4.4
45,HERA I and II charm rean.,0.005,200.0,318,sigcc_r,p,none,NC,1,0.2389,3.1,2.4,4.5
46,HERA I and II charm rean.,0.013,200.0,318,sigcc_r,p,none,NC,1,0.1704,3.4,2.3,5.0
47,HERA I and II charm rean.,0.01,350.0,318,sigcc_r,p,none,NC,1,0.223,5.1,3.0,6.4
48,HERA I and II charm rean.,0.025,350.0,318,sigcc_r,p,none,NC,1,0.1065,6.1,2.9,7.4
49,HERA I and II charm rean.,0.013,650.0,318,sigcc_r,p,none,NC,1,0.2026,5.4,3.7,9.1
50,HERA I and II charm rean.,0.032,650.0,318,sigcc_r,p,none,NC,1,0.0885,7.8,3.8,12.8
51,HERA I and II charm rean.,0.05,2000.0,318,sigcc_r,p,none,NC,1,0.0603,16.0,6.7,26.4
