,exp,x,Q2,obs,target,lepton beam,current,units,value,dstat_u,dsys,%dVX_c,%dSM_c,%dRC_c,%dE_c,%dEp_c,%*norm_c
66,nmc,0.025,1.13,sig,d/p,mu_minus,nc,1,0.9631,0.0124,0.0023,0.2,0.0,0.1,0.0,0.0,0.25
67,nmc,0.025,1.37,sig,d/p,mu_minus,nc,1,0.9849,0.0107,0.0027,0.3,0.0,0.1,0.0,0.0,0.25
68,nmc,0.025,1.74,sig,d/p,mu_minus,nc,1,0.9802,0.0076,0.0023,0.2,0.0,0.1,0.0,0.0,0.25
69,nmc,0.025,2.24,sig,d/p,mu_minus,nc,1,0.9677,0.0071,0.002,0.2,0.0,0.1,0.0,0.0,0.25
70,nmc,0.025,2.74,sig,d/p,mu_minus,nc,1,0.9581,0.0074,0.0018,0.2,0.0,0.1,0.0,0.0,0.25
71,nmc,0.025,3.45,sig,d/p,mu_minus,nc,1,0.979,0.0065,0.0023,0.1,0.0,0.2,0.0,0.0,0.25
72,nmc,0.025,4.47,sig,d/p,mu_minus,nc,1,0.9764,0.0085,0.0017,0.2,0.0,0.1,0.0,0.0,0.25
73,nmc,0.025,5.48,sig,d/p,mu_minus,nc,1,0.9592,0.0097,0.0017,0.2,0.0,0.1,0.0,0.0,0.25
74,nmc,0.025,6.92,sig,d/p,mu_minus,nc,1,0.9893,0.0085,0.0032,0.2,0.0,0.3,0.0,0.0,0.25
75,nmc,0.025,8.92,sig,d/p,mu_minus,nc,1,0.9738,0.01,0.0043,0.1,0.0,0.4,0.0,0.0,0.25
76,nmc,0.035,0.36,sig,d/p,mu_minus,nc,1,0.9557,0.0375,0.0064,0.2,-0.6,0.2,-0.1,0.1,0.25
77,nmc,0.035,0.45,sig,d/p,mu_minus,nc,1,0.9264,0.034,0.0061,0.2,-0.6,0.1,0.0,0.0,0.25
78,nmc,0.035,0.64,sig,d/p,mu_minus,nc,1,0.9308,0.0207,0.003,0.2,-0.2,0.1,0.0,0.0,0.25
79,nmc,0.035,0.86,sig,d/p,mu_minus,nc,1,0.9618,0.0179,0.0023,0.2,-0.1,0.1,0.0,0.0,0.25
80,nmc,0.035,1.13,sig,d/p,mu_minus,nc,1,0.9723,0.0183,0.0023,0.2,0.0,0.1,0.0,0.0,0.25
81,nmc,0.035,1.38,sig,d/p,mu_minus,nc,1,0.9633,0.0138,0.0025,0.2,0.0,0.1,0.0,0.0,0.25
82,nmc,0.035,1.74,sig,d/p,mu_minus,nc,1,0.9554,0.0089,0.0024,0.2,0.0,0.1,0.0,0.0,0.25
83,nmc,0.035,2.24,sig,d/p,mu_minus,nc,1,0.9572,0.0087,0.0022,0.2,0.0,0.1,0.0,0.0,0.25
84,nmc,0.035,2.74,sig,d/p,mu_minus,nc,1,0.9766,0.009,0.0019,0.2,0.0,0.1,0.0,0.0,0.25
